,Open,High,Low,Close,Adj Close,Volume
2000-01-03,13.72,13.83,13.61,13.72,13.72,5622765
2000-01-04,13.51,13.62,13.4,13.51,13.51,3833770
2000-01-05,13.59,13.7,13.49,13.59,13.59,8671445
2000-01-06,13.69,13.8,13.58,13.69,13.69,5306660
2000-01-07,13.5,13.61,13.39,13.5,13.5,12105617
2000-01-10,13.59,13.7,13.48,13.59,13.59,5111634
2000-01-11,13.8,13.91,13.69,13.8,13.8,4057108
2000-01-12,13.91,14.03,13.8,13.91,13.91,6032107
2000-01-13,13.97,14.09,13.86,13.97,13.97,7362312
2000-01-14,13.63,13.74,13.52,13.63,13.63,2989940
2000-01-17,13.75,13.86,13.64,13.75,13.75,4137167
2000-01-18,13.81,13.92,13.7,13.81,13.81,3586200
2000-01-19,13.96,14.07,13.85,13.96,13.96,9331200
2000-01-20,13.84,13.95,13.73,13.84,13.84,3071357
2000-01-21,13.5,13.61,13.4,13.5,13.5,3800478
2000-01-24,13.19,13.3,13.09,13.19,13.19,7868897
2000-01-25,13.02,13.13,12.92,13.02,13.02,5934315
2000-01-26,13.09,13.19,12.99,13.09,13.09,1433278
2000-01-27,13.26,13.37,13.15,13.26,13.26,4854856
2000-01-28,13.48,13.59,13.37,13.48,13.48,2322069
2000-01-31,13.43,13.54,13.32,13.43,13.43,5648747
2000-02-01,13.34,13.45,13.23,13.34,13.34,5613178
2000-02-02,13.29,13.39,13.18,13.29,13.29,3176654
2000-02-03,13.28,13.38,13.17,13.28,13.28,8378253
2000-02-04,13.14,13.25,13.03,13.14,13.14,6016328
2000-02-07,13.0,13.1,12.89,13.0,13.0,6449112
2000-02-08,12.63,12.73,12.53,12.63,12.63,4998460
2000-02-09,12.38,12.48,12.28,12.38,12.38,6201203
2000-02-10,12.49,12.59,12.39,12.49,12.49,5628319
2000-02-11,12.67,12.77,12.57,12.67,12.67,4583730
2000-02-14,12.8,12.9,12.7,12.8,12.8,2333759
2000-02-15,13.09,13.19,12.98,13.09,13.09,4535739
2000-02-16,12.95,13.05,12.84,12.95,12.95,5069914
2000-02-17,13.03,13.14,12.93,13.03,13.03,4370071
2000-02-18,13.01,13.12,12.91,13.01,13.01,5129361
2000-02-21,13.44,13.55,13.33,13.44,13.44,5642186
2000-02-22,13.76,13.87,13.65,13.76,13.76,3765166
2000-02-23,13.67,13.77,13.56,13.67,13.67,1265560
2000-02-24,13.38,13.49,13.27,13.38,13.38,3904384
2000-02-25,13.23,13.34,13.13,13.23,13.23,2904187
2000-02-28,13.28,13.38,13.17,13.28,13.28,5860455
2000-02-29,12.67,12.77,12.57,12.67,12.67,13054159
2000-03-01,12.8,12.9,12.7,12.8,12.8,8111483
2000-03-02,12.69,12.8,12.59,12.69,12.69,13219886
2000-03-03,12.86,12.96,12.76,12.86,12.86,3957174
2000-03-06,12.66,12.76,12.56,12.66,12.66,4258710
2000-03-07,12.66,12.76,12.56,12.66,12.66,5161748
2000-03-08,12.43,12.53,12.33,12.43,12.43,5544084
2000-03-09,12.36,12.46,12.27,12.36,12.36,6078911
2000-03-10,12.34,12.44,12.24,12.34,12.34,4669915
2000-03-13,12.43,12.53,12.33,12.43,12.43,4595943
2000-03-14,12.46,12.56,12.36,12.46,12.46,6401154
2000-03-15,12.62,12.72,12.52,12.62,12.62,7614050
2000-03-16,12.35,12.45,12.25,12.35,12.35,5345841
2000-03-17,12.59,12.69,12.49,12.59,12.59,6260731
2000-03-20,12.63,12.73,12.53,12.63,12.63,5251431
