,Open,High,Low,Close,Adj Close,Volume
2018-01-01,264.09,266.2,261.98,264.09,264.09,5961291
2018-01-02,265.38,267.51,263.26,265.38,265.38,4645702
2018-01-03,261.22,263.31,259.13,261.22,261.22,4858347
2018-01-04,263.11,265.22,261.01,263.11,263.11,6878620
2018-01-05,263.79,265.9,261.68,263.79,263.79,5593294
2018-01-08,266.77,268.91,264.64,266.77,266.77,7589771
2018-01-09,261.75,263.84,259.65,261.75,261.75,3409240
2018-01-10,261.91,264.0,259.81,261.91,261.91,5542536
2018-01-11,264.27,266.39,262.16,264.27,264.27,3233521
2018-01-12,257.19,259.25,255.14,257.19,257.19,3124649
2018-01-15,249.0,250.99,247.01,249.0,249.0,6825061
2018-01-16,251.54,253.56,249.53,251.54,251.54,6178264
2018-01-17,255.17,257.21,253.12,255.17,255.17,3473535
2018-01-18,259.45,261.53,257.38,259.45,259.45,3966037
2018-01-19,264.37,266.48,262.25,264.37,264.37,5468915
2018-01-22,264.72,266.84,262.6,264.72,264.72,7113443
2018-01-23,263.2,265.31,261.1,263.2,263.2,11025401
2018-01-24,269.1,271.26,266.95,269.1,269.1,1997021
2018-01-25,273.43,275.61,271.24,273.43,273.43,5570421
2018-01-26,272.56,274.74,270.37,272.56,272.56,6545276
2018-01-29,265.89,268.02,263.77,265.89,265.89,5198754
2018-01-30,262.29,264.39,260.19,262.29,262.29,2255525
2018-01-31,259.21,261.28,257.13,259.21,259.21,7423836
2018-02-01,271.75,273.92,269.57,271.75,271.75,7013395
2018-02-02,271.15,273.32,268.98,271.15,271.15,3329943
2018-02-05,270.68,272.84,268.51,270.68,270.68,7979366
2018-02-06,272.92,275.1,270.73,272.92,272.92,2495731
2018-02-07,275.65,277.85,273.44,275.65,275.65,4017391
2018-02-08,274.01,276.2,271.82,274.01,274.01,4773524
2018-02-09,273.45,275.64,271.26,273.45,273.45,4013157
2018-02-12,267.33,269.47,265.19,267.33,267.33,5451525
2018-02-13,270.33,272.49,268.16,270.33,270.33,4813566
2018-02-14,274.74,276.94,272.55,274.74,274.74,6676135
2018-02-15,276.5,278.71,274.29,276.5,276.5,4935371
2018-02-16,272.05,274.23,269.87,272.05,272.05,5462833
2018-02-19,267.04,269.18,264.91,267.04,267.04,4284693
2018-02-20,266.51,268.64,264.38,266.51,266.51,5656580
2018-02-21,271.54,273.72,269.37,271.54,271.54,4097586
2018-02-22,271.64,273.82,269.47,271.64,271.64,4726541
