,Open,High,Low,Close,Adj Close,Volume
2000-01-03,163.44,163.79,162.21,163.0,163.0,4180427
2000-01-04,167.54,168.22,165.41,166.82,166.82,7186946
2000-01-05,168.26,168.53,167.45,167.99,167.99,7280422
2000-01-06,165.23,166.49,164.21,165.35,165.35,8830284
2000-01-07,168.51,170.07,166.92,168.5,168.5,5119246
2000-01-10,168.92,170.36,167.94,169.15,169.15,5366739
2000-01-11,166.68,167.43,164.36,165.89,165.89,3592027
2000-01-12,161.05,162.09,159.93,161.01,161.01,4837015
2000-01-13,163.02,164.89,161.15,163.02,163.02,4845298
2000-01-14,159.76,160.29,157.85,159.07,159.07,4794710
2000-01-17,158.82,159.51,156.08,157.8,157.8,8952133
2000-01-18,160.14,161.38,159.12,160.25,160.25,7419694
2000-01-19,161.27,164.08,160.39,162.24,162.24,11684864
2000-01-20,167.65,168.64,165.04,166.84,166.84,3202311
2000-01-21,166.95,170.31,165.96,168.14,168.14,3926689
2000-01-24,165.85,166.54,164.91,165.73,165.73,5695307
2000-01-25,165.13,167.05,164.41,165.73,165.73,5765586
2000-01-26,163.79,166.55,162.19,164.37,164.37,7562444
2000-01-27,165.11,165.76,163.81,164.79,164.79,2914994
2000-01-28,163.32,165.33,162.14,163.74,163.74,5358463
2000-01-31,160.83,162.79,160.33,161.56,161.56,6335754
2000-02-01,168.74,170.93,167.67,169.3,169.3,5986879
2000-02-02,166.78,168.99,165.72,167.35,167.35,3407508
2000-02-03,163.15,164.67,162.77,163.72,163.72,4073726
2000-02-04,159.53,161.55,157.93,159.74,159.74,4943811
2000-02-07,160.18,160.82,158.1,159.46,159.46,8560634
2000-02-08,160.31,161.51,157.63,159.57,159.57,4603391
2000-02-09,166.01,167.24,164.74,165.99,165.99,4133541
2000-02-10,162.36,164.09,161.84,162.97,162.97,4754399
2000-02-11,167.91,169.34,163.91,166.63,166.63,5122908
2000-02-14,167.08,169.95,166.15,168.05,168.05,8954921
2000-02-15,173.62,174.2,171.79,172.99,172.99,6297916
2000-02-16,171.04,172.11,170.13,171.12,171.12,3146917
2000-02-17,171.57,172.92,170.7,171.81,171.81,5181213
2000-02-18,171.66,172.91,171.21,172.06,172.06,3663745
2000-02-21,169.18,169.92,168.78,169.35,169.35,6199062
2000-02-22,168.07,169.76,167.55,168.65,168.65,7660659
2000-02-23,167.45,169.26,165.39,167.32,167.32,8381144
2000-02-24,168.29,169.35,167.59,168.47,168.47,5671039
2000-02-25,166.13,166.65,165.4,166.03,166.03,5393034
2000-02-28,171.6,172.99,169.91,171.45,171.45,2203662
2000-02-29,170.41,171.45,169.31,170.38,170.38,3406254
2000-03-01,178.21,181.43,176.27,178.85,178.85,6184218
2000-03-02,186.88,187.63,184.36,185.99,185.99,1977996
2000-03-03,183.79,185.3,182.77,184.04,184.04,5616090
2000-03-06,181.33,182.4,179.71,181.05,181.05,7244439
2000-03-07,179.03,180.87,178.4,179.63,179.63,12330057
2000-03-08,179.58,181.18,177.7,179.44,179.44,4330103
2000-03-09,179.55,181.06,179.02,180.04,180.04,3867793
2000-03-10,178.98,180.62,177.13,178.88,178.88,5656967
2000-03-13,180.84,182.84,179.95,181.39,181.39,3008845
2000-03-14,187.15,188.22,184.47,186.35,186.35,5075728
2000-03-15,194.99,198.76,193.04,195.9,195.9,8029919
2000-03-16,202.48,203.41,199.69,201.55,201.55,5867074
2000-03-17,200.15,201.59,198.31,199.95,199.95,3964708
2000-03-20,197.13,199.22,194.64,196.93,196.93,7674922
2000-03-21,197.2,198.48,196.59,197.54,197.54,4288353
2000-03-22,202.31,202.69,201.29,201.99,201.99,6559095
2000-03-23,202.62,203.54,200.12,201.83,201.83,9115101
2000-03-24,205.86,208.4,204.95,206.68,206.68,16536555
2000-03-27,209.32,211.72,207.33,209.52,209.52,4280692
2000-03-28,210.96,214.08,209.98,212.03,212.03,3382825
2000-03-29,207.11,209.39,206.23,207.81,207.81,5582294
2000-03-30,205.41,206.3,205.03,205.66,205.66,5594106
2000-03-31,202.16,202.69,201.19,201.94,201.94,3984783
2000-04-03,204.46,206.69,203.57,205.13,205.13,6962185
2000-04-04,202.94,203.7,201.45,202.58,202.58,8310908
2000-04-05,201.92,203.67,200.8,202.24,202.24,10316815
2000-04-06,206.1,206.67,205.24,205.96,205.96,7031342
2000-04-07,200.73,201.4,198.62,200.01,200.01,3839818
2000-04-10,201.23,203.27,198.22,200.74,200.74,5914561
2000-04-11,201.46,203.18,200.26,201.72,201.72,8486710
2000-04-12,201.72,203.85,200.18,202.02,202.02,3434507
2000-04-13,204.3,205.66,201.78,203.72,203.72,2149874
2000-04-14,201.43,202.45,198.53,200.49,200.49,11019240
2000-04-17,199.93,200.39,198.91,199.65,199.65,8149869
2000-04-18,193.95,195.57,192.96,194.26,194.26,8256019
2000-04-19,197.13,198.74,196.2,197.47,197.47,4792702
2000-04-20,197.09,197.7,196.83,197.27,197.27,3858295
