,Open,High,Low,Close,Adj Close,Volume
2000-01-03,230.95,234.12,229.88,232.0,232.0,10490347
2000-01-04,232.41,234.58,229.57,232.07,232.07,3609328
2000-01-05,234.23,235.23,231.38,233.3,233.3,3774009
2000-01-06,229.33,230.92,227.7,229.31,229.31,8860054
2000-01-07,232.12,234.68,229.24,231.96,231.96,11008017
2000-01-10,224.37,228.43,222.61,225.52,225.52,3036701
2000-01-11,229.6,232.21,227.7,229.95,229.95,3658728
2000-01-12,233.1,236.75,229.71,233.23,233.23,3164207
2000-01-13,239.08,240.76,235.43,238.1,238.1,5142697
2000-01-14,238.75,242.97,237.31,240.14,240.14,6159865
2000-01-17,242.12,245.22,240.82,243.02,243.02,3433097
2000-01-18,247.03,249.18,246.08,247.63,247.63,3568842
2000-01-19,252.63,255.21,249.69,252.45,252.45,6797799
2000-01-20,261.45,264.57,259.89,262.23,262.23,2702629
2000-01-21,265.69,266.18,265.17,265.68,265.68,4412862
2000-01-24,266.71,267.2,266.36,266.78,266.78,3818917
2000-01-25,266.02,269.3,264.91,267.1,267.1,5587471
2000-01-26,271.83,273.48,268.57,271.02,271.02,6295835
2000-01-27,272.74,274.4,267.59,270.99,270.99,7884721
2000-01-28,269.52,271.21,268.86,270.03,270.03,3915831
2000-01-31,270.18,271.77,266.16,268.96,268.96,3333075
2000-02-01,265.19,266.37,261.41,263.89,263.89,8799980
2000-02-02,258.61,261.07,256.24,258.66,258.66,7679247
2000-02-03,261.66,264.07,259.33,261.7,261.7,4745829
2000-02-04,258.19,260.36,257.51,258.93,258.93,4183815
2000-02-07,259.1,260.63,255.11,257.87,257.87,5889966
2000-02-08,255.24,257.18,251.73,254.46,254.46,4690472
2000-02-09,262.79,263.77,259.73,261.75,261.75,3289221
2000-02-10,265.3,267.04,262.97,265.0,265.0,7995754
2000-02-11,266.18,267.34,265.62,266.48,266.48,5054552
2000-02-14,260.38,261.06,258.78,259.92,259.92,7662024
2000-02-15,260.61,262.11,258.81,260.46,260.46,5450247
2000-02-16,260.81,262.24,257.09,259.67,259.67,4667204
2000-02-17,258.93,260.15,255.89,258.02,258.02,7472934
2000-02-18,259.87,261.53,259.11,260.32,260.32,10562327
2000-02-21,263.33,264.23,261.43,262.83,262.83,7476635
2000-02-22,263.73,265.88,263.01,264.44,264.44,12447261
2000-02-23,259.93,261.87,257.09,259.48,259.48,3280606
2000-02-24,253.53,257.8,251.78,254.79,254.79,4432834
2000-02-25,255.73,256.62,253.12,254.87,254.87,3231896
2000-02-28,255.34,256.49,253.5,254.99,254.99,5359063
2000-02-29,258.34,260.15,253.21,256.68,256.68,4963449
2000-03-01,264.3,265.68,262.47,264.08,264.08,6149402
2000-03-02,265.03,265.93,262.06,263.99,263.99,6707983
2000-03-03,267.44,269.35,266.6,267.98,267.98,5240568
2000-03-06,267.21,268.69,266.68,267.69,267.69,6455273
2000-03-07,272.61,274.03,268.01,271.02,271.02,6130625
2000-03-08,273.96,275.72,269.96,272.84,272.84,5517009
2000-03-09,271.01,271.82,268.19,270.0,270.0,4501171
2000-03-10,269.59,271.34,265.47,268.41,268.41,3781605
2000-03-13,272.28,273.71,268.67,271.19,271.19,4648867
2000-03-14,276.42,277.39,274.86,276.12,276.12,4390320
2000-03-15,273.28,275.62,271.5,273.56,273.56,4322618
2000-03-16,271.7,274.05,266.43,270.24,270.24,5410726
2000-03-17,272.78,274.99,271.67,273.33,273.33,3416348
2000-03-20,265.68,267.8,265.04,266.42,266.42,6516218
2000-03-21,269.81,271.2,266.89,269.05,269.05,4180249
2000-03-22,264.79,265.75,262.53,264.14,264.14,6935543
2000-03-23,258.34,260.33,255.68,258.0,258.0,9508387
2000-03-24,259.29,262.27,257.03,259.65,259.65,4954639
2000-03-27,255.58,257.18,252.71,254.95,254.95,6933445
2000-03-28,253.06,254.35,252.49,253.42,253.42,4544380
2000-03-29,255.82,258.88,254.01,256.45,256.45,5138950
2000-03-30,254.61,258.22,252.16,255.19,255.19,1361080
2000-03-31,256.32,259.03,253.93,256.48,256.48,7891611
2000-04-03,255.67,257.06,251.5,254.28,254.28,12624954
2000-04-04,252.98,254.6,250.57,252.59,252.59,4614927
2000-04-05,246.39,247.7,242.81,245.25,245.25,5351972
2000-04-06,246.37,247.12,243.97,245.55,245.55,3341871
2000-04-07,248.37,251.06,245.45,248.25,248.25,6934045
2000-04-10,243.95,247.09,243.01,245.05,245.05,3322094
2000-04-11,245.0,247.02,241.03,244.02,244.02,6203317
2000-04-12,240.2,241.62,238.11,239.87,239.87,3849651
2000-04-13,236.71,240.26,234.5,237.38,237.38,5992519
2000-04-14,237.0,238.0,236.16,237.08,237.08,7869482
2000-04-17,241.99,243.82,238.32,241.07,241.07,8880468
2000-04-18,236.78,237.83,233.6,235.72,235.72,4916229
2000-04-19,233.8,238.23,232.47,235.35,235.35,4693063
2000-04-20,236.04,239.36,233.93,236.65,236.65,2807833
2000-04-21,234.86,236.4,233.1,234.75,234.75,9240965
2000-04-24,232.75,234.99,229.99,232.49,232.49,3938573
2000-04-25,229.09,231.4,227.39,229.39,229.39,6527419
2000-04-26,232.32,233.84,231.54,232.69,232.69,8253661
2000-04-27,233.8,235.16,231.28,233.22,233.22,3292737
2000-04-28,231.74,233.56,229.61,231.58,231.58,3760214
2000-05-01,236.97,238.1,235.02,236.56,236.56,5920917
2000-05-02,240.13,243.65,237.36,240.5,240.5,3604922
2000-05-03,239.75,241.13,238.06,239.59,239.59,12025127
2000-05-04,239.99,244.13,238.78,241.46,241.46,7775076
2000-05-05,243.45,244.9,242.04,243.47,243.47,4679956
2000-05-08,243.88,248.65,242.39,245.52,245.52,11572882
2000-05-09,243.98,248.09,241.0,244.54,244.54,5553853
