,Open,High,Low,Close,Adj Close,Volume
2000-01-03,183.8,185.18,182.82,184.0,184.0,8927269
2000-01-04,181.32,182.36,180.43,181.39,181.39,8128986
2000-01-05,182.57,183.7,179.69,181.69,181.69,7437166
2000-01-06,183.37,184.23,182.44,183.33,183.33,3627238
2000-01-07,182.99,184.16,180.45,182.31,182.31,9120506
2000-01-10,181.71,182.66,180.1,181.38,181.38,4992749
2000-01-11,184.2,185.23,182.91,184.07,184.07,5083662
2000-01-12,184.76,185.7,182.22,183.96,183.96,4703512
2000-01-13,185.87,187.14,185.29,186.21,186.21,5069124
2000-01-14,189.03,190.29,187.69,188.99,188.99,3789521
2000-01-17,185.85,186.2,185.39,185.79,185.79,7506684
2000-01-18,190.57,191.34,188.73,190.03,190.03,9933525
2000-01-19,193.69,194.92,191.97,193.45,193.45,6367383
2000-01-20,194.92,195.85,192.83,194.34,194.34,4320743
2000-01-21,196.03,197.4,194.56,195.98,195.98,4686581
2000-01-24,191.55,192.82,190.6,191.71,191.71,7661904
2000-01-25,189.09,191.41,187.03,189.22,189.22,7598621
2000-01-26,185.39,186.44,184.52,185.48,185.48,5911030
2000-01-27,189.35,190.67,187.68,189.17,189.17,5040649
2000-01-28,191.36,192.96,190.21,191.58,191.58,7607345
2000-01-31,189.56,190.93,187.28,189.11,189.11,5600492
2000-02-01,193.04,195.04,191.65,193.35,193.35,4746040
2000-02-02,201.5,202.71,201.11,201.91,201.91,6159905
2000-02-03,202.73,205.42,202.04,203.73,203.73,3558535
2000-02-04,200.16,200.63,199.98,200.3,200.3,2733024
2000-02-07,196.22,196.94,194.49,195.72,195.72,4573237
2000-02-08,191.45,193.96,190.3,192.13,192.13,2974548
2000-02-09,189.62,190.8,188.38,189.59,189.59,6012074
2000-02-10,186.37,187.86,183.59,185.72,185.72,6022365
2000-02-11,188.29,190.23,187.61,188.92,188.92,5505815
2000-02-14,190.83,193.7,189.63,191.67,191.67,4628502
2000-02-15,194.47,195.24,193.53,194.38,194.38,5140789
2000-02-16,197.08,200.8,196.01,198.4,198.4,6515345
2000-02-17,203.58,204.55,203.21,203.88,203.88,3025496
2000-02-18,204.45,205.14,201.75,203.44,203.44,3815577
2000-02-21,203.75,206.15,200.59,203.37,203.37,6320126
2000-02-22,198.11,199.76,197.51,198.63,198.63,2475583
2000-02-23,200.83,201.91,199.59,200.75,200.75,4217136
2000-02-24,200.42,201.09,198.17,199.63,199.63,5239316
2000-02-25,203.2,205.9,201.78,203.84,203.84,3628708
2000-02-28,203.47,205.17,202.53,203.85,203.85,5817081
2000-02-29,206.45,207.52,205.19,206.36,206.36,6752595
2000-03-01,205.11,206.98,204.34,205.66,205.66,4378634
2000-03-02,202.95,203.61,202.32,202.96,202.96,5549254
2000-03-03,207.55,210.51,206.71,208.61,208.61,3716490
2000-03-06,206.7,208.58,205.61,207.1,207.1,11563262
2000-03-07,207.28,208.57,205.57,207.07,207.07,4226056
2000-03-08,208.04,210.14,205.4,207.77,207.77,7444551
2000-03-09,210.03,210.15,209.7,209.93,209.93,6459631
2000-03-10,212.54,213.42,211.56,212.49,212.49,4847935
2000-03-13,210.91,213.78,209.31,211.55,211.55,6176094
2000-03-14,212.64,213.48,210.85,212.17,212.17,6564281
2000-03-15,212.11,212.6,210.19,211.39,211.39,7379621
2000-03-16,218.39,220.51,217.03,218.77,218.77,5050857
2000-03-17,215.61,216.87,213.35,215.11,215.11,6600861
2000-03-20,223.21,224.09,222.03,223.06,223.06,6228577
2000-03-21,222.34,222.64,222.09,222.36,222.36,6590684
2000-03-22,221.38,224.02,220.36,222.19,222.19,5512072
2000-03-23,226.56,227.43,224.38,225.91,225.91,3014815
2000-03-24,227.2,229.3,223.69,226.5,226.5,5612289
2000-03-27,224.64,227.26,223.48,225.37,225.37,3864835
2000-03-28,221.88,224.52,221.16,222.84,222.84,5301964
2000-03-29,223.47,224.03,222.1,223.06,223.06,6029508
2000-03-30,221.06,223.7,218.77,221.24,221.24,7884642
2000-03-31,223.49,224.75,222.9,223.83,223.83,4569011
2000-04-03,223.89,225.06,222.39,223.73,223.73,6661983
2000-04-04,222.3,224.2,221.82,223.01,223.01,4663110
2000-04-05,224.54,227.54,223.12,225.33,225.33,7016486
2000-04-06,222.53,225.34,221.13,223.24,223.24,4952718
2000-04-07,226.49,227.15,224.12,225.64,225.64,3600820
2000-04-10,222.79,222.97,222.69,222.83,222.83,4393887
2000-04-11,222.17,225.0,220.8,222.9,222.9,5021083
2000-04-12,224.74,226.11,221.17,223.64,223.64,7498725
2000-04-13,230.0,231.29,229.35,230.32,230.32,2825506
2000-04-14,227.27,231.21,225.96,228.58,228.58,7525854
2000-04-17,227.28,229.07,226.48,227.77,227.77,7584116
2000-04-18,229.0,230.73,228.2,229.47,229.47,4930915
2000-04-19,228.88,232.38,227.2,229.79,229.79,4904734
2000-04-20,230.0,232.86,228.26,230.56,230.56,5057392
2000-04-21,234.95,235.9,232.89,234.4,234.4,6077421
2000-04-24,232.08,235.82,230.65,233.23,233.23,6461386
2000-04-25,238.35,239.4,236.01,237.7,237.7,4668909
2000-04-26,238.68,239.85,237.2,238.53,238.53,5216236
2000-04-27,244.47,248.74,243.25,245.99,245.99,8186178
2000-04-28,244.93,245.73,242.77,244.25,244.25,5976567
2000-05-01,239.81,242.64,238.53,240.59,240.59,2653636
2000-05-02,234.56,237.39,233.53,235.46,235.46,6815338
2000-05-03,235.44,236.01,234.85,235.43,235.43,5754477
2000-05-04,232.53,237.13,230.75,233.94,233.94,4830597
2000-05-05,237.13,239.82,236.07,237.95,237.95,3568331
2000-05-08,236.97,238.95,234.87,236.91,236.91,6459352
2000-05-09,230.66,231.84,230.15,230.99,230.99,6836846
2000-05-10,225.94,230.83,224.17,227.5,227.5,9360453
2000-05-11,231.45,233.49,230.93,232.21,232.21,7620811
2000-05-12,232.53,234.67,230.77,232.72,232.72,7948345
2000-05-15,236.11,238.74,234.06,236.4,236.4,6501009
2000-05-16,241.74,242.39,239.27,240.83,240.83,3121224
2000-05-17,242.44,243.44,241.19,242.32,242.32,10774511
2000-05-18,246.87,247.32,245.36,246.34,246.34,2173209
2000-05-19,251.33,253.93,247.95,250.94,250.94,7748240
2000-05-22,249.38,251.63,247.69,249.66,249.66,4111791
2000-05-23,249.34,251.73,248.07,249.9,249.9,4163621
2000-05-24,252.42,254.11,249.02,251.57,251.57,3068361
2000-05-25,252.51,254.86,251.08,252.97,252.97,4083299
2000-05-26,244.78,247.64,243.81,245.72,245.72,3110198
2000-05-29,243.42,244.87,241.51,243.19,243.19,3891181
2000-05-30,241.13,242.73,239.98,241.35,241.35,4943103
2000-05-31,235.71,237.04,234.42,235.73,235.73,4072590
2000-06-01,239.31,243.06,237.99,240.53,240.53,5318772
2000-06-02,239.75,241.41,237.73,239.57,239.57,3631980
2000-06-05,241.34,242.25,238.59,240.42,240.42,8086332
2000-06-06,242.33,245.74,241.04,243.39,243.39,2612597
2000-06-07,238.61,240.32,236.14,238.23,238.23,2420306
2000-06-08,243.18,245.02,239.31,242.16,242.16,7106353
2000-06-09,238.34,239.78,234.6,237.19,237.19,5083371
2000-06-12,236.33,241.39,234.12,237.75,237.75,4391311
2000-06-13,235.87,238.1,233.77,235.93,235.93,6090301
2000-06-14,240.89,242.67,237.95,240.31,240.31,2828539
2000-06-15,239.75,242.49,238.63,240.56,240.56,3099444
2000-06-16,234.5,236.49,232.79,234.64,234.64,5780001
2000-06-19,233.14,234.6,231.31,232.96,232.96,6644007
2000-06-20,235.21,236.6,232.0,234.3,234.3,4125996
2000-06-21,234.85,239.13,233.42,236.28,236.28,8260795
2000-06-22,232.9,234.61,231.88,233.24,233.24,3769625
2000-06-23,234.21,234.98,231.66,233.32,233.32,6283711
2000-06-26,236.0,237.57,234.22,235.89,235.89,3184579
2000-06-27,235.3,237.98,233.73,235.86,235.86,9732638
2000-06-28,237.19,238.11,233.58,235.84,235.84,5517306
2000-06-29,233.7,235.06,231.48,233.27,233.27,6571611
2000-06-30,235.38,236.97,234.7,235.83,235.83,6521410
2000-07-03,241.26,242.18,238.13,240.16,240.16,5706238
2000-07-04,238.06,241.84,237.03,239.43,239.43,4442274
2000-07-05,234.92,237.99,232.98,235.48,235.48,5795473
2000-07-06,247.04,248.13,242.83,245.48,245.48,5501182
2000-07-07,240.93,241.57,239.11,240.34,240.34,7760669
2000-07-10,240.29,241.89,239.17,240.53,240.53,5276393
2000-07-11,248.97,250.17,246.27,248.22,248.22,3496942
2000-07-12,241.81,243.76,238.1,240.93,240.93,7287429
2000-07-13,240.32,244.4,238.69,241.55,241.55,6568429
2000-07-14,246.61,248.99,242.69,245.84,245.84,4143136
2000-07-17,243.31,246.29,241.35,243.82,243.82,6820784
2000-07-18,244.4,245.51,242.1,243.81,243.81,3770673
2000-07-19,249.09,250.65,247.22,248.93,248.93,10424441
2000-07-20,247.93,250.08,246.24,248.16,248.16,6072243
2000-07-21,244.07,244.56,243.62,244.09,244.09,4718192
2000-07-24,247.55,249.02,246.11,247.57,247.57,3768144
2000-07-25,244.86,246.78,243.53,245.16,245.16,4153485
2000-07-26,244.94,247.4,242.63,245.02,245.02,4805439
2000-07-27,242.21,243.49,240.64,242.06,242.06,6795421
2000-07-28,243.98,244.82,240.9,242.86,242.86,4871343
2000-07-31,241.52,243.44,240.83,242.13,242.13,5564811
2000-08-01,241.97,243.65,241.21,242.43,242.43,6978246
2000-08-02,240.52,241.59,237.98,239.78,239.78,5095467
2000-08-03,245.07,246.09,241.74,243.92,243.92,10355669
2000-08-04,242.08,242.82,240.07,241.45,241.45,7799170
2000-08-07,237.33,238.23,234.99,236.61,236.61,7054834
2000-08-08,239.53,241.93,238.36,240.15,240.15,5052234
2000-08-09,237.7,240.86,236.41,238.64,238.64,5164652
2000-08-10,243.47,246.42,241.87,244.15,244.15,4526236
2000-08-11,248.75,251.03,245.61,248.32,248.32,5036666
2000-08-14,240.22,242.67,239.05,240.86,240.86,3998182
2000-08-15,242.87,243.88,242.5,243.19,243.19,7604315
