,Open,High,Low,Close,Adj Close,Volume
2000-01-03,180.49,182.29,179.71,181.0,181.0,8040936
2000-01-04,180.18,181.05,179.08,180.07,180.07,8301214
2000-01-05,181.96,183.23,180.14,181.69,181.69,6829362
2000-01-06,182.07,183.43,180.93,182.18,182.18,6420634
2000-01-07,183.16,185.25,181.88,183.56,183.56,4576710
2000-01-10,182.01,183.99,180.41,182.2,182.2,7672359
2000-01-11,186.18,186.86,184.21,185.53,185.53,2862092
2000-01-12,184.17,184.74,182.7,183.72,183.72,6641751
2000-01-13,182.98,185.09,181.27,183.18,183.18,3987356
2000-01-14,180.79,181.51,180.45,180.98,180.98,5516709
2000-01-17,180.4,182.41,178.71,180.56,180.56,7133957
2000-01-18,182.23,182.96,180.02,181.49,181.49,4839902
2000-01-19,183.53,183.89,182.87,183.38,183.38,4034068
2000-01-20,185.14,186.26,181.77,184.01,184.01,9138257
2000-01-21,183.35,185.81,181.49,183.65,183.65,3740684
2000-01-24,186.59,187.41,183.73,185.57,185.57,3749682
2000-01-25,180.58,181.4,179.98,180.69,180.69,4836811
2000-01-26,185.24,186.1,184.39,185.24,185.24,4620698
2000-01-27,181.11,182.21,178.37,180.29,180.29,3637730
2000-01-28,182.18,183.25,181.89,182.57,182.57,5182639
2000-01-31,185.46,187.15,184.54,185.85,185.85,11899801
2000-02-01,183.29,185.23,182.67,183.95,183.95,5447738
2000-02-02,184.3,185.19,182.18,183.68,183.68,5139899
2000-02-03,182.86,184.5,179.83,182.17,182.17,8136642
2000-02-04,180.87,182.35,180.21,181.28,181.28,7115134
2000-02-07,177.64,179.93,177.06,178.49,178.49,4898995
2000-02-08,178.84,180.12,177.57,178.85,178.85,8479556
2000-02-09,175.73,178.13,174.55,176.34,176.34,5775224
2000-02-10,178.61,178.81,178.24,178.52,178.52,10199343
2000-02-11,181.29,181.86,179.62,180.74,180.74,5421884
2000-02-14,181.47,182.91,179.85,181.38,181.38,6822361
2000-02-15,180.44,182.33,178.6,180.46,180.46,4969975
2000-02-16,179.46,180.95,178.84,179.89,179.89,5859025
2000-02-17,181.07,183.55,179.73,181.64,181.64,5374208
2000-02-18,182.78,184.45,181.27,182.86,182.86,3721422
2000-02-21,181.55,183.05,179.4,181.22,181.22,6524998
2000-02-22,179.1,180.37,177.52,178.94,178.94,5137483
2000-02-23,178.56,179.45,176.61,178.03,178.03,3765621
2000-02-24,183.68,184.28,181.82,183.05,183.05,6962129
2000-02-25,181.83,182.42,179.48,180.95,180.95,5562741
2000-02-28,178.75,179.58,177.95,178.77,178.77,6340454
2000-02-29,179.61,180.93,177.91,179.42,179.42,4688378
2000-03-01,175.52,176.06,174.84,175.45,175.45,10135960
2000-03-02,177.09,177.34,176.32,176.83,176.83,3279489
2000-03-03,176.13,176.8,174.22,175.51,175.51,5084923
2000-03-06,181.93,183.19,179.16,181.18,181.18,5942272
2000-03-07,182.89,184.07,180.39,182.23,182.23,6486954
2000-03-08,176.09,178.17,175.38,176.78,176.78,9146164
2000-03-09,180.28,180.71,179.19,179.95,179.95,11001658
2000-03-10,180.51,183.46,178.87,181.17,181.17,11072361
2000-03-13,182.9,184.63,180.03,182.33,182.33,4398134
2000-03-14,183.82,186.88,183.02,184.95,184.95,6004350
2000-03-15,190.16,191.92,188.7,190.31,190.31,9911614
2000-03-16,191.4,193.63,190.11,191.87,191.87,5708575
2000-03-17,191.76,193.81,191.21,192.51,192.51,3885948
2000-03-20,192.43,194.45,191.4,192.93,192.93,9418722
2000-03-21,192.72,193.73,192.22,192.97,192.97,6442530
2000-03-22,193.23,194.27,192.5,193.38,193.38,14090546
2000-03-23,191.85,192.82,189.92,191.37,191.37,3729169
2000-03-24,189.84,192.55,188.85,190.7,190.7,5076446
2000-03-27,191.02,192.62,187.56,190.09,190.09,7114209
2000-03-28,193.24,193.88,191.59,192.74,192.74,5244287
2000-03-29,193.31,195.01,192.67,193.84,193.84,6769543
2000-03-30,188.56,191.1,186.88,188.99,188.99,6007012
2000-03-31,191.15,191.82,188.71,190.26,190.26,3839689
2000-04-03,195.13,195.46,193.97,194.71,194.71,7098996
2000-04-04,193.44,194.37,190.16,192.26,192.26,8296656
2000-04-05,193.14,193.88,191.48,192.68,192.68,4100674
2000-04-06,197.83,199.61,196.22,197.92,197.92,4326181
2000-04-07,200.75,202.61,200.24,201.43,201.43,4623553
2000-04-10,199.85,200.04,199.24,199.64,199.64,5866333
2000-04-11,200.35,202.68,199.72,201.2,201.2,5855493
2000-04-12,207.6,208.69,203.96,206.33,206.33,6420253
2000-04-13,209.19,210.04,208.87,209.46,209.46,6929351
2000-04-14,211.37,213.76,210.13,211.95,211.95,4092657
2000-04-17,215.57,217.03,214.96,216.0,216.0,12311204
2000-04-18,211.85,214.13,208.44,211.29,211.29,5435175
2000-04-19,213.28,215.11,212.19,213.65,213.65,6182903
2000-04-20,213.19,215.34,212.22,213.78,213.78,4223261
2000-04-21,209.62,211.74,208.25,209.99,209.99,4715449
2000-04-24,211.17,212.7,209.44,211.07,211.07,10538731
2000-04-25,213.12,217.29,211.96,214.63,214.63,6664607
2000-04-26,215.15,217.13,212.77,214.95,214.95,8744997
2000-04-27,215.19,218.19,213.19,215.69,215.69,2387637
2000-04-28,216.59,218.77,213.24,216.01,216.01,3386273
2000-05-01,217.55,218.57,215.71,217.14,217.14,4924584
2000-05-02,210.77,213.7,208.24,210.97,210.97,3991471
2000-05-03,213.76,214.71,212.37,213.54,213.54,3494848
2000-05-04,209.72,213.58,208.59,211.08,211.08,3645074
2000-05-05,208.03,211.65,206.85,209.25,209.25,8122079
2000-05-08,207.45,208.05,206.79,207.42,207.42,4125309
2000-05-09,214.44,215.17,212.81,213.99,213.99,4154881
2000-05-10,216.11,216.59,214.86,215.72,215.72,6987454
2000-05-11,216.67,218.44,215.93,217.19,217.19,2678618
2000-05-12,214.51,217.0,212.28,214.64,214.64,4931884
2000-05-15,215.12,216.86,213.43,215.14,215.14,8776265
2000-05-16,213.85,216.11,212.89,214.5,214.5,5733480
2000-05-17,212.12,212.95,211.52,212.23,212.23,7305286
2000-05-18,213.69,215.65,212.74,214.19,214.19,4971619
2000-05-19,214.4,216.58,212.55,214.56,214.56,5162542
2000-05-22,220.86,222.39,219.21,220.8,220.8,3474496
2000-05-23,221.68,222.26,220.53,221.4,221.4,5166019
2000-05-24,219.0,219.28,218.3,218.79,218.79,6842229
2000-05-25,222.0,223.09,218.86,220.97,220.97,5529322
2000-05-26,217.53,221.52,216.11,218.81,218.81,3172074
2000-05-29,219.59,222.19,217.58,219.89,219.89,4251671
2000-05-30,222.05,223.52,220.21,221.86,221.86,4613245
2000-05-31,219.38,221.99,217.55,219.77,219.77,3596629
2000-06-01,223.45,225.73,222.16,223.94,223.94,1590239
2000-06-02,224.73,226.56,220.82,223.69,223.69,4049338
2000-06-05,232.98,235.39,231.28,233.33,233.33,8596384
2000-06-06,228.58,230.3,225.93,228.12,228.12,4353363
2000-06-07,224.72,227.59,223.95,225.77,225.77,3365515
2000-06-08,224.96,225.67,223.36,224.51,224.51,9454850
2000-06-09,221.92,224.95,220.89,222.92,222.92,6084993
2000-06-12,223.35,224.93,220.03,222.48,222.48,2697690
2000-06-13,222.06,225.02,219.84,222.43,222.43,4248198
2000-06-14,216.6,218.24,215.67,216.96,216.96,9154689
2000-06-15,217.4,219.1,215.09,217.1,217.1,7369433
2000-06-16,213.22,215.7,210.97,213.34,213.34,6779148
2000-06-19,213.75,216.43,210.51,213.47,213.47,4857398
2000-06-20,217.07,219.18,214.61,216.89,216.89,9106595
2000-06-21,219.95,220.89,216.69,218.79,218.79,3940997
2000-06-22,220.6,223.57,219.01,221.29,221.29,4595153
2000-06-23,220.12,220.44,219.06,219.75,219.75,6727988
2000-06-26,215.34,217.5,213.56,215.53,215.53,5158426
2000-06-27,212.1,213.66,210.15,211.91,211.91,3687427
2000-06-28,210.9,211.94,209.24,210.59,210.59,4597117
2000-06-29,211.4,212.78,209.68,211.23,211.23,4685368
2000-06-30,213.17,213.61,212.58,213.1,213.1,8396313
2000-07-03,210.5,214.35,209.39,211.87,211.87,4085867
2000-07-04,203.73,205.51,202.08,203.79,203.79,7951081
2000-07-05,205.29,206.25,204.47,205.36,205.36,5831145
2000-07-06,207.61,208.78,207.02,207.9,207.9,5277691
2000-07-07,208.89,210.65,208.43,209.54,209.54,7972289
2000-07-10,206.0,207.43,202.19,204.81,204.81,3655529
2000-07-11,205.05,205.77,203.05,204.41,204.41,4661549
2000-07-12,203.71,205.05,202.52,203.78,203.78,5822697
2000-07-13,205.74,206.39,203.77,205.08,205.08,6190670
2000-07-14,203.57,205.66,202.74,204.2,204.2,6685772
2000-07-17,202.29,203.99,201.42,202.71,202.71,6604711
2000-07-18,202.64,205.24,200.86,203.05,203.05,5504168
2000-07-19,207.2,209.5,205.67,207.58,207.58,3112694
2000-07-20,207.15,209.55,205.68,207.61,207.61,4296304
2000-07-21,206.45,207.34,204.76,206.05,206.05,8050008
2000-07-24,204.53,205.81,201.99,203.9,203.9,5485920
2000-07-25,200.84,203.06,199.46,201.26,201.26,4246575
2000-07-26,198.79,199.87,197.74,198.81,198.81,4211638
2000-07-27,199.18,200.8,196.43,198.62,198.62,5911933
2000-07-28,195.15,197.12,194.41,195.77,195.77,6044788
2000-07-31,195.76,195.96,195.44,195.7,195.7,3721919
2000-08-01,194.88,195.81,192.78,194.3,194.3,4081187
2000-08-02,195.91,196.5,195.52,196.01,196.01,3914127
