,Open,High,Low,Close,Adj Close,Volume
2000-01-03,179.47,181.53,178.47,180.0,180.0,6058182
2000-01-04,178.39,179.44,177.42,178.43,178.43,3651149
2000-01-05,179.83,181.78,178.49,180.14,180.14,5561377
2000-01-06,180.13,180.76,179.54,180.15,180.15,4843032
2000-01-07,181.42,183.12,180.43,181.78,181.78,2073565
2000-01-10,183.36,184.68,181.96,183.32,183.32,4649447
2000-01-11,185.88,186.74,183.91,185.33,185.33,8136880
2000-01-12,186.53,188.81,185.72,187.27,187.27,2462567
2000-01-13,190.05,192.31,187.58,189.94,189.94,3971590
2000-01-14,188.72,190.26,186.88,188.57,188.57,4278294
2000-01-17,185.82,187.25,184.47,185.86,185.86,7043795
2000-01-18,183.24,184.64,181.25,182.95,182.95,4272533
2000-01-19,181.07,184.18,179.56,181.87,181.87,6630253
2000-01-20,183.25,185.67,182.14,183.91,183.91,3003868
2000-01-21,184.06,185.52,183.18,184.35,184.35,3124927
2000-01-24,185.65,188.68,184.02,186.35,186.35,7755257
2000-01-25,188.59,190.12,186.26,188.19,188.19,4780901
2000-01-26,185.26,186.73,183.94,185.34,185.34,5340045
2000-01-27,185.9,187.09,184.97,186.03,186.03,4873892
2000-01-28,191.23,192.59,189.75,191.17,191.17,13262763
2000-01-31,191.04,192.35,187.7,190.02,190.02,6495993
2000-02-01,193.05,194.54,192.66,193.6,193.6,6518593
2000-02-02,195.84,197.48,194.31,195.89,195.89,3762453
2000-02-03,199.55,201.81,198.24,200.03,200.03,3989984
2000-02-04,201.84,202.99,199.47,201.23,201.23,7305031
2000-02-07,203.49,205.44,201.46,203.45,203.45,3569887
2000-02-08,204.7,205.71,201.13,203.42,203.42,8879202
2000-02-09,203.53,206.05,202.05,204.05,204.05,5565061
2000-02-10,209.46,211.93,207.65,209.79,209.79,3873125
2000-02-11,212.65,213.77,209.1,211.44,211.44,7107406
2000-02-14,210.42,213.51,208.93,211.22,211.22,4339807
2000-02-15,207.96,208.79,207.54,208.16,208.16,4057154
2000-02-16,210.75,212.1,207.88,209.99,209.99,7679280
2000-02-17,216.5,217.26,213.53,215.4,215.4,8133295
2000-02-18,214.36,216.08,211.02,213.55,213.55,6335519
2000-02-21,212.83,215.78,211.5,213.64,213.64,5202064
2000-02-22,213.8,214.41,212.01,213.21,213.21,5725036
2000-02-23,218.15,218.95,215.07,217.01,217.01,8604480
2000-02-24,214.2,218.3,212.88,215.59,215.59,5593381
2000-02-25,213.85,214.62,210.87,212.75,212.75,3507230
2000-02-28,210.89,211.82,210.49,211.15,211.15,2401239
2000-02-29,213.79,215.1,211.86,213.48,213.48,4370656
2000-03-01,217.55,218.48,216.06,217.27,217.27,4762781
2000-03-02,218.09,220.28,216.66,218.47,218.47,10034736
2000-03-03,222.99,224.39,219.63,222.01,222.01,7975799
2000-03-06,224.39,228.17,223.29,225.73,225.73,7019448
2000-03-07,221.03,224.71,218.87,221.79,221.79,3889995
2000-03-08,224.6,225.8,221.72,223.76,223.76,2503452
2000-03-09,222.36,222.86,221.95,222.41,222.41,9313702
2000-03-10,222.55,224.66,220.33,222.49,222.49,10215348
2000-03-13,219.68,222.79,218.84,220.81,220.81,7538481
2000-03-14,219.3,220.45,217.21,218.83,218.83,2183339
2000-03-15,223.78,223.81,223.68,223.75,223.75,7332127
2000-03-16,221.67,223.13,220.37,221.75,221.75,5494211
2000-03-17,223.4,225.38,222.08,223.73,223.73,2726883
2000-03-20,221.86,223.81,220.16,221.99,221.99,6374754
2000-03-21,220.81,223.08,220.04,221.56,221.56,4626400
2000-03-22,220.76,221.8,217.02,219.41,219.41,9200556
2000-03-23,219.67,222.59,217.39,219.99,219.99,5082845
2000-03-24,222.04,224.04,220.28,222.16,222.16,4858003
2000-03-27,222.39,223.82,219.61,221.72,221.72,4165276
2000-03-28,218.34,223.81,216.35,220.08,220.08,9156710
2000-03-29,223.21,224.29,221.31,222.8,222.8,3520180
2000-03-30,223.77,226.28,222.53,224.41,224.41,9623813
2000-03-31,224.14,225.9,223.45,224.68,224.68,2800990
2000-04-03,223.43,224.02,221.14,222.58,222.58,8523680
2000-04-04,224.44,226.31,222.89,224.6,224.6,10232031
2000-04-05,220.89,225.96,219.01,222.49,222.49,2689371
2000-04-06,215.08,216.44,214.12,215.28,215.28,3414415
2000-04-07,218.94,219.41,218.36,218.89,218.89,3267800
2000-04-10,224.77,226.43,223.87,225.15,225.15,3292497
2000-04-11,225.22,226.85,223.44,225.15,225.15,5961314
2000-04-12,221.78,222.98,220.27,221.63,221.63,7344091
2000-04-13,222.26,222.42,222.14,222.28,222.28,4580575
2000-04-14,224.83,225.96,223.05,224.51,224.51,8379720
2000-04-17,225.99,226.76,224.85,225.81,225.81,3603228
2000-04-18,226.05,230.37,224.6,227.48,227.48,2278229
2000-04-19,228.89,230.66,227.73,229.19,229.19,3437583
2000-04-20,231.28,232.54,228.93,230.74,230.74,10282531
2000-04-21,231.27,231.98,229.28,230.63,230.63,5728853
2000-04-24,233.65,235.67,230.58,233.12,233.12,8008438
2000-04-25,231.18,231.99,228.68,230.34,230.34,13070019
2000-04-26,231.38,233.12,230.42,231.77,231.77,6169151
2000-04-27,230.43,231.23,228.27,229.75,229.75,5253955
2000-04-28,229.78,231.82,228.85,230.34,230.34,3823195
2000-05-01,235.79,236.83,233.84,235.34,235.34,3180921
2000-05-02,231.41,233.34,230.59,231.96,231.96,5302533
2000-05-03,229.7,232.07,228.77,230.42,230.42,3597875
2000-05-04,232.18,233.69,227.36,230.52,230.52,5638517
2000-05-05,232.34,233.71,230.7,232.21,232.21,3968855
2000-05-08,233.59,234.93,230.09,232.51,232.51,7858571
2000-05-09,234.31,237.16,233.2,235.18,235.18,3957202
2000-05-10,238.64,240.29,237.01,238.65,238.65,5218404
2000-05-11,235.83,237.6,234.21,235.91,235.91,3862998
2000-05-12,237.65,238.85,236.74,237.8,237.8,3191913
2000-05-15,240.02,241.11,236.85,238.98,238.98,7707788
2000-05-16,237.32,239.83,234.74,237.29,237.29,7293909
2000-05-17,235.45,236.88,234.82,235.85,235.85,2648575
2000-05-18,237.13,239.01,233.6,236.3,236.3,3119857
2000-05-19,233.56,235.43,233.03,234.23,234.23,7522468
2000-05-22,235.45,236.15,233.93,235.04,235.04,5278165
2000-05-23,236.36,238.38,235.55,236.97,236.97,3401172
2000-05-24,235.84,236.5,234.38,235.44,235.44,8591800
2000-05-25,237.79,239.04,235.31,237.17,237.17,6404845
2000-05-26,240.47,242.32,239.55,240.94,240.94,5055985
2000-05-29,240.19,242.32,238.68,240.5,240.5,5845232
2000-05-30,242.73,245.83,239.39,242.61,242.61,2272569
2000-05-31,242.57,244.31,238.6,241.45,241.45,8492235
2000-06-01,241.24,244.14,237.8,240.97,240.97,6838110
2000-06-02,240.43,242.86,239.0,240.93,240.93,3086454
2000-06-05,236.87,237.06,236.8,236.93,236.93,3838012
2000-06-06,240.06,242.8,237.41,240.1,240.1,4659136
2000-06-07,241.74,244.3,240.82,242.56,242.56,4605258
2000-06-08,241.36,244.61,239.57,242.09,242.09,8493543
2000-06-09,240.97,242.35,238.74,240.55,240.55,5433559
2000-06-12,242.02,245.6,237.73,241.67,241.67,3569134
2000-06-13,242.98,243.78,241.21,242.49,242.49,2736857
2000-06-14,239.52,242.22,238.56,240.39,240.39,7775944
2000-06-15,236.33,240.62,234.92,237.77,237.77,3902691
2000-06-16,237.68,238.35,236.27,237.31,237.31,10890357
2000-06-19,237.9,240.87,236.73,238.8,238.8,9112971
2000-06-20,237.8,240.22,236.61,238.42,238.42,4232465
2000-06-21,233.67,234.58,232.39,233.48,233.48,13362427
2000-06-22,239.32,242.2,236.15,239.18,239.18,5033403
2000-06-23,242.12,243.81,240.7,242.25,242.25,7760743
2000-06-26,245.91,247.85,242.86,245.35,245.35,2558431
2000-06-27,246.2,246.83,245.52,246.18,246.18,2380996
