,Open,High,Low,Close,Adj Close,Volume
2000-01-03,159.31,161.41,158.59,160.0,160.0,5345694
2000-01-04,163.48,164.24,162.6,163.42,163.42,4143916
2000-01-05,166.36,167.87,165.38,166.62,166.62,9989643
2000-01-06,165.81,168.66,164.97,166.81,166.81,3668937
2000-01-07,167.71,168.23,166.85,167.54,167.54,8696169
2000-01-10,169.58,171.42,168.23,169.82,169.82,10498690
2000-01-11,171.54,172.66,170.12,171.39,171.39,4287919
2000-01-12,170.36,171.51,169.25,170.38,170.38,3348205
2000-01-13,167.93,168.71,167.14,167.92,167.92,3580177
2000-01-14,162.76,163.49,160.94,162.21,162.21,3385333
2000-01-17,162.81,164.44,162.27,163.35,163.35,5511686
2000-01-18,156.94,158.11,155.9,157.01,157.01,10163007
2000-01-19,160.59,161.84,159.59,160.71,160.71,3705553
2000-01-20,158.74,160.74,158.11,159.43,159.43,3970913
2000-01-21,156.87,157.45,155.46,156.46,156.46,6170074
2000-01-24,150.38,151.0,149.19,150.09,150.09,6353220
2000-01-25,148.62,149.12,147.17,148.15,148.15,12266784
2000-01-26,148.19,149.02,145.11,147.06,147.06,5558320
2000-01-27,143.47,145.66,142.67,144.16,144.16,3671806
2000-01-28,147.18,148.12,146.72,147.42,147.42,2350453
2000-01-31,145.82,147.15,144.98,146.07,146.07,7923080
2000-02-01,148.08,148.2,147.78,147.99,147.99,8471940
2000-02-02,143.31,144.23,141.45,142.84,142.84,5280887
2000-02-03,138.74,139.53,138.21,138.87,138.87,7056449
2000-02-04,136.82,137.02,136.21,136.61,136.61,4906596
2000-02-07,132.37,132.98,131.7,132.34,132.34,3699396
2000-02-08,132.61,133.33,130.55,131.94,131.94,3628154
2000-02-09,130.17,131.4,128.72,130.06,130.06,3534196
2000-02-10,130.29,131.02,129.68,130.35,130.35,6762672
2000-02-11,133.49,133.64,133.18,133.41,133.41,4636597
2000-02-14,126.27,127.99,125.82,126.9,126.9,6829950
2000-02-15,122.74,124.84,121.79,123.31,123.31,3330401
2000-02-16,121.38,123.6,120.77,122.18,122.18,7019448
2000-02-17,120.14,120.8,119.33,120.07,120.07,2359130
2000-02-18,124.11,126.84,122.42,124.63,124.63,7532879
2000-02-21,125.22,126.63,124.83,125.73,125.73,4158163
2000-02-22,126.83,128.14,125.46,126.8,126.8,3709867
2000-02-23,126.86,129.29,126.14,127.71,127.71,6405380
2000-02-24,125.14,125.52,123.81,124.66,124.66,3927108
2000-02-25,127.67,129.07,127.24,128.15,128.15,8668644
2000-02-28,128.97,130.21,127.39,128.8,128.8,4339422
2000-02-29,130.99,131.64,129.91,130.78,130.78,4033492
2000-03-01,129.14,129.67,128.46,129.07,129.07,4977301
2000-03-02,128.08,129.21,127.64,128.42,128.42,5397838
2000-03-03,126.22,127.25,125.02,126.13,126.13,7488854
2000-03-06,129.61,130.53,129.09,129.81,129.81,4775370
2000-03-07,128.46,130.68,127.86,129.27,129.27,12138555
2000-03-08,127.19,128.08,125.79,126.93,126.93,9794387
2000-03-09,126.41,126.8,125.24,126.02,126.02,4204821
2000-03-10,122.91,123.65,122.09,122.87,122.87,10970824
2000-03-13,124.12,124.71,122.13,123.42,123.42,7597987
2000-03-14,121.51,123.25,120.83,122.04,122.04,7603376
2000-03-15,123.5,124.8,122.39,123.6,123.6,7147784
2000-03-16,126.66,128.83,125.5,127.16,127.16,9970719
2000-03-17,128.88,129.56,127.6,128.58,128.58,3186069
2000-03-20,128.27,128.65,127.88,128.27,128.27,5596984
2000-03-21,125.45,127.39,124.94,126.17,126.17,5669353
2000-03-22,130.32,131.19,130.03,130.61,130.61,4943503
2000-03-23,123.54,125.5,122.99,124.24,124.24,6540825
2000-03-24,124.68,125.5,123.49,124.5,124.5,2892153
2000-03-27,123.44,125.07,122.66,123.87,123.87,5783464
2000-03-28,121.41,122.81,119.2,121.01,121.01,6251141
2000-03-29,122.7,123.09,122.05,122.57,122.57,5875443
2000-03-30,124.39,126.29,123.48,124.88,124.88,4547655
2000-03-31,123.39,124.31,122.87,123.59,123.59,4502768
2000-04-03,130.47,131.23,128.62,129.92,129.92,4573322
2000-04-04,131.04,131.6,130.4,131.0,131.0,7530711
2000-04-05,129.32,129.97,127.46,128.71,128.71,4296033
2000-04-06,135.3,136.02,134.6,135.31,135.31,4358101
2000-04-07,135.1,136.63,133.38,135.0,135.0,3371967
2000-04-10,132.35,133.79,131.42,132.61,132.61,3552157
2000-04-11,129.2,129.65,127.41,128.53,128.53,5906719
2000-04-12,129.47,130.54,128.6,129.57,129.57,9471992
2000-04-13,133.24,134.81,132.67,133.74,133.74,4750063
2000-04-14,132.32,134.47,131.15,132.81,132.81,5203501
2000-04-17,132.06,132.54,130.99,131.76,131.76,4106254
2000-04-18,133.52,135.63,132.53,134.08,134.08,10892729
2000-04-19,136.59,138.01,135.89,136.95,136.95,8747688
2000-04-20,133.91,134.7,133.35,134.03,134.03,5837985
2000-04-21,138.92,140.01,136.74,138.37,138.37,5251141
2000-04-24,140.67,141.66,140.05,140.85,140.85,6043160
2000-04-25,135.73,137.23,134.81,136.02,136.02,4622355
2000-04-26,131.33,132.7,129.64,131.17,131.17,3510135
2000-04-27,131.05,131.76,130.06,130.91,130.91,7148586
2000-04-28,132.52,133.11,130.59,131.85,131.85,6110103
2000-05-01,133.65,133.95,132.66,133.31,133.31,5107112
2000-05-02,132.16,132.51,131.96,132.24,132.24,4954779
2000-05-03,132.8,133.74,132.19,132.96,132.96,9079002
2000-05-04,134.15,136.05,133.16,134.6,134.6,4021281
2000-05-05,135.74,137.09,133.87,135.48,135.48,4739965
2000-05-08,133.45,135.11,132.88,133.99,133.99,6670806
2000-05-09,136.45,137.62,135.18,136.4,136.4,4553839
2000-05-10,134.15,134.65,133.24,133.94,133.94,4315623
2000-05-11,131.6,132.81,131.24,132.02,132.02,3526387
2000-05-12,132.1,132.68,130.14,131.41,131.41,5565285
2000-05-15,133.13,133.64,132.19,132.92,132.92,4493369
2000-05-16,130.83,132.63,130.28,131.45,131.45,6729043
2000-05-17,128.18,130.81,127.44,129.13,129.13,2822565
2000-05-18,129.55,130.93,127.67,129.3,129.3,4664349
2000-05-19,130.12,130.63,128.42,129.53,129.53,4301594
2000-05-22,131.71,132.05,130.59,131.32,131.32,4469365
