,Open,High,Low,Close,Adj Close,Volume
2000-01-03,4.76,4.79,4.72,4.76,4.76,9031356
2000-01-04,4.73,4.76,4.69,4.73,4.73,2887396
2000-01-05,4.77,4.81,4.73,4.77,4.77,3618992
2000-01-06,4.86,4.9,4.82,4.86,4.86,9226784
2000-01-07,4.83,4.87,4.79,4.83,4.83,2328876
2000-01-10,4.87,4.91,4.83,4.87,4.87,3430236
2000-01-11,4.81,4.85,4.77,4.81,4.81,3546762
2000-01-12,4.72,4.76,4.68,4.72,4.72,5038534
2000-01-13,4.73,4.77,4.69,4.73,4.73,9063112
2000-01-14,4.76,4.8,4.72,4.76,4.76,4326458
2000-01-17,4.8,4.84,4.76,4.8,4.8,4916726
2000-01-18,4.78,4.81,4.74,4.78,4.78,6490075
2000-01-19,4.73,4.76,4.69,4.73,4.73,7199294
2000-01-20,4.7,4.74,4.66,4.7,4.7,5454827
2000-01-21,4.61,4.65,4.58,4.61,4.61,5090155
2000-01-24,4.65,4.69,4.61,4.65,4.65,5286193
2000-01-25,4.64,4.67,4.6,4.64,4.64,2382865
2000-01-26,4.6,4.64,4.57,4.6,4.6,15122229
2000-01-27,4.66,4.7,4.62,4.66,4.66,5208245
2000-01-28,4.76,4.8,4.73,4.76,4.76,8255372
2000-01-31,4.7,4.74,4.67,4.7,4.7,2968371
2000-02-01,4.75,4.79,4.72,4.75,4.75,3898506
2000-02-02,4.85,4.89,4.81,4.85,4.85,3801208
2000-02-03,4.96,5.0,4.92,4.96,4.96,5805298
2000-02-04,5.02,5.06,4.98,5.02,5.02,5920341
2000-02-07,4.98,5.02,4.94,4.98,4.98,5274016
2000-02-08,4.91,4.95,4.87,4.91,4.91,3086921
2000-02-09,5.04,5.08,5.0,5.04,5.04,3192880
2000-02-10,5.04,5.08,5.0,5.04,5.04,7731916
2000-02-11,5.08,5.12,5.04,5.08,5.08,3146526
2000-02-14,5.07,5.11,5.03,5.07,5.07,3488256
2000-02-15,4.97,5.01,4.93,4.97,4.97,4801245
2000-02-16,4.98,5.02,4.94,4.98,4.98,7570313
2000-02-17,4.98,5.02,4.94,4.98,4.98,5368052
2000-02-18,5.12,5.16,5.08,5.12,5.12,7284735
2000-02-21,5.13,5.17,5.09,5.13,5.13,4941227
2000-02-22,5.05,5.09,5.01,5.05,5.05,4217729
2000-02-23,5.04,5.08,5.0,5.04,5.04,12897448
2000-02-24,5.19,5.23,5.15,5.19,5.19,5110117
2000-02-25,5.39,5.43,5.35,5.39,5.39,6202899
2000-02-28,5.34,5.38,5.3,5.34,5.34,8483732
2000-02-29,5.43,5.47,5.38,5.43,5.43,5099541
2000-03-01,5.47,5.51,5.42,5.47,5.47,8176355
2000-03-02,5.48,5.52,5.43,5.48,5.48,7519801
2000-03-03,5.44,5.48,5.4,5.44,5.44,5026713
2000-03-06,5.36,5.4,5.32,5.36,5.36,13045516
2000-03-07,5.25,5.3,5.21,5.25,5.25,2547251
2000-03-08,5.28,5.33,5.24,5.28,5.28,5175751
2000-03-09,5.29,5.33,5.25,5.29,5.29,5160554
2000-03-10,5.25,5.29,5.21,5.25,5.25,5464442
2000-03-13,5.3,5.34,5.26,5.3,5.3,11682855
2000-03-14,5.29,5.33,5.24,5.29,5.29,9526851
2000-03-15,5.16,5.2,5.12,5.16,5.16,3350588
2000-03-16,5.14,5.18,5.1,5.14,5.14,7466109
2000-03-17,5.14,5.18,5.1,5.14,5.14,9942038
2000-03-20,5.03,5.07,4.99,5.03,5.03,3977261
2000-03-21,4.98,5.02,4.94,4.98,4.98,3608124
2000-03-22,4.88,4.92,4.84,4.88,4.88,7264213
2000-03-23,4.74,4.78,4.7,4.74,4.74,2927575
2000-03-24,4.77,4.81,4.73,4.77,4.77,3784469
2000-03-27,4.71,4.75,4.68,4.71,4.71,6720148
2000-03-28,4.71,4.74,4.67,4.71,4.71,9350673
2000-03-29,4.79,4.83,4.76,4.79,4.79,2020175
2000-03-30,4.7,4.74,4.66,4.7,4.7,4647088
2000-03-31,4.7,4.74,4.66,4.7,4.7,2626444
2000-04-03,4.73,4.77,4.69,4.73,4.73,5612171
2000-04-04,4.76,4.79,4.72,4.76,4.76,6185210
