,Open,High,Low,Close,Adj Close,Volume
2018-01-01,116.1,117.26,114.74,116.0,116.0,7843385
2018-01-02,115.21,116.57,114.77,115.67,115.67,7474615
2018-01-03,116.65,116.93,115.87,116.4,116.4,4273013
2018-01-04,115.21,116.2,114.76,115.48,115.48,5322482
2018-01-05,114.35,114.83,112.82,113.83,113.83,7591720
2018-01-08,109.6,110.71,109.05,109.88,109.88,10682892
2018-01-09,109.52,110.21,108.53,109.37,109.37,4973475
2018-01-10,111.53,112.3,110.82,111.56,111.56,2782089
2018-01-11,114.82,115.06,114.11,114.59,114.59,6976426
2018-01-12,119.41,119.88,118.62,119.25,119.25,5862402
2018-01-15,120.72,121.44,120.15,120.8,120.8,8589207
2018-01-16,120.64,121.57,119.39,120.48,120.48,6997296
2018-01-17,116.7,117.68,115.95,116.82,116.82,4629419
2018-01-18,117.64,119.16,117.21,118.19,118.19,3543507
2018-01-19,118.98,120.18,117.76,118.97,118.97,4588846
2018-01-22,120.27,122.19,119.77,120.98,120.98,3958605
2018-01-23,122.02,122.55,120.11,121.33,121.33,8359967
2018-01-24,119.23,119.88,117.62,118.75,118.75,14799103
2018-01-25,121.21,121.72,119.17,120.44,120.44,6463259
2018-01-26,120.81,122.71,119.93,121.32,121.32,4469267
2018-01-29,119.34,121.4,117.72,119.56,119.56,3948794
2018-01-30,121.37,122.03,119.85,120.94,120.94,3654093
2018-01-31,121.32,122.49,120.71,121.6,121.6,4314669
2018-02-01,121.93,123.51,121.22,122.36,122.36,5106445
2018-02-02,118.59,119.6,117.62,118.61,118.61,7887229
2018-02-05,121.66,122.4,119.65,121.03,121.03,6781353
2018-02-06,119.02,119.71,117.98,118.84,118.84,4501830
2018-02-07,119.37,120.49,118.55,119.52,119.52,7641735
2018-02-08,118.32,119.49,117.21,118.35,118.35,5559036
2018-02-09,120.49,120.74,120.07,120.41,120.41,5866654
2018-02-12,118.13,119.96,117.13,118.55,118.55,5275500
2018-02-13,116.29,116.75,114.53,115.64,115.64,3500177
2018-02-14,115.98,116.37,114.8,115.59,115.59,3391448
2018-02-15,111.32,112.21,110.94,111.58,111.58,4915441
2018-02-16,112.06,112.6,111.09,111.85,111.85,6744736
2018-02-19,113.47,113.93,111.72,112.82,112.82,5419118
2018-02-20,116.94,117.73,114.53,116.13,116.13,7158290
2018-02-21,115.52,117.03,114.48,115.76,115.76,3447473
2018-02-22,114.44,114.6,113.86,114.23,114.23,4133849
2018-02-23,113.72,114.97,112.3,113.64,113.64,6130758
2018-02-26,114.51,114.92,113.23,114.08,114.08,8743375
2018-02-27,115.16,116.03,114.78,115.41,115.41,4788643
2018-02-28,116.23,117.8,115.13,116.46,116.46,5659444
2018-03-01,117.5,118.1,115.35,116.72,116.72,4906804
2018-03-02,120.06,120.98,118.79,119.89,119.89,8526709
2018-03-05,121.99,123.3,121.6,122.45,122.45,7633339
2018-03-06,122.36,122.43,122.32,122.38,122.38,5365862
2018-03-07,126.02,126.46,124.55,125.51,125.51,3201085
2018-03-08,127.25,127.89,125.88,126.88,126.88,7978630
2018-03-09,128.07,129.03,126.99,128.01,128.01,9741546
2018-03-12,129.16,129.43,128.19,128.81,128.81,5132575
2018-03-13,131.93,132.8,130.56,131.68,131.68,6691078
2018-03-14,133.77,135.03,132.58,133.8,133.8,3253348
2018-03-15,136.12,136.57,135.03,135.8,135.8,11279903
2018-03-16,136.34,138.18,135.55,136.87,136.87,3854465
2018-03-19,136.27,139.06,135.31,137.19,137.19,9496206
2018-03-20,134.07,135.02,133.75,134.38,134.38,8421174
2018-03-21,135.89,136.46,135.25,135.86,135.86,4105729
2018-03-22,134.69,135.31,134.11,134.71,134.71,3094309
2018-03-23,134.13,134.7,133.82,134.26,134.26,4677045
2018-03-26,138.91,140.31,138.36,139.34,139.34,10216072
2018-03-27,139.81,140.23,138.57,139.4,139.4,6103632
2018-03-28,142.21,143.73,141.28,142.5,142.5,4737635
2018-03-29,145.11,146.04,143.59,144.82,144.82,4153323
2018-03-30,144.93,145.59,144.67,145.13,145.13,4579459
2018-04-02,145.81,148.14,145.02,146.58,146.58,3121687
2018-04-03,147.48,148.9,146.21,147.56,147.56,8268269
2018-04-04,150.17,151.26,148.04,149.65,149.65,5662729
2018-04-05,146.68,148.52,145.38,146.95,146.95,4291427
2018-04-06,150.63,151.94,149.57,150.76,150.76,4806705
2018-04-09,146.03,147.87,144.84,146.36,146.36,17793263
2018-04-10,144.25,146.0,142.76,144.38,144.38,6788904
2018-04-11,142.89,144.93,141.73,143.33,143.33,3178238
2018-04-12,150.16,151.83,149.13,150.48,150.48,3137274
2018-04-13,150.54,152.16,148.68,150.42,150.42,2489959
2018-04-16,149.21,149.75,147.17,148.46,148.46,6262813
2018-04-17,149.86,151.03,148.07,149.55,149.55,6872472
2018-04-18,147.8,148.35,146.91,147.63,147.63,7051290
2018-04-19,144.85,146.01,144.46,145.23,145.23,3875675
2018-04-20,144.24,146.53,143.62,145.07,145.07,7558561
2018-04-23,141.92,143.18,140.05,141.61,141.61,1530828
2018-04-24,144.26,145.62,143.05,144.34,144.34,6140770
2018-04-25,146.01,146.89,145.71,146.3,146.3,8177244
2018-04-26,141.15,142.75,139.82,141.29,141.29,3347071
2018-04-27,140.77,141.57,140.48,141.03,141.03,5652120
2018-04-30,142.59,143.24,140.39,141.82,141.82,9282785
2018-05-01,144.38,145.17,142.06,143.62,143.62,4343633
2018-05-02,142.23,142.87,140.08,141.48,141.48,8445017
2018-05-03,142.28,142.92,140.8,141.86,141.86,5913215
2018-05-04,141.94,142.73,140.79,141.76,141.76,4574265
2018-05-07,138.49,139.99,137.42,138.7,138.7,3334208
2018-05-08,139.68,140.84,139.2,140.02,140.02,4003888
2018-05-09,138.35,141.04,137.31,139.18,139.18,6753211
2018-05-10,140.04,141.95,138.99,140.47,140.47,8219835
2018-05-11,140.81,141.6,139.03,140.32,140.32,3966738
2018-05-14,139.25,141.18,138.06,139.62,139.62,4020315
2018-05-15,141.25,142.13,140.01,141.07,141.07,9623964
2018-05-16,139.91,140.45,138.23,139.34,139.34,7313269
2018-05-17,138.47,138.67,138.17,138.42,138.42,1904443
2018-05-18,138.51,138.91,137.51,138.21,138.21,4575297
2018-05-21,138.99,140.74,138.03,139.38,139.38,5200028
2018-05-22,140.49,141.65,139.57,140.61,140.61,4032507
2018-05-23,144.37,144.92,142.29,143.61,143.61,7743329
2018-05-24,145.73,146.08,144.78,145.43,145.43,5520074
2018-05-25,143.08,144.6,142.68,143.64,143.64,4735897
2018-05-28,143.54,143.89,142.43,143.16,143.16,5528227
2018-05-29,149.83,150.88,147.9,149.39,149.39,5407841
2018-05-30,151.56,151.99,149.98,150.99,150.99,4076862
2018-05-31,155.54,156.29,153.18,154.73,154.73,8773372
2018-06-01,154.47,155.52,151.18,153.35,153.35,5389843
2018-06-04,150.65,152.81,149.97,151.39,151.39,2784501
2018-06-05,151.33,153.09,149.55,151.32,151.32,5389812
2018-06-06,151.86,152.49,151.12,151.8,151.8,10770699
2018-06-07,150.7,150.99,150.32,150.65,150.65,3850254
2018-06-08,150.96,152.23,149.48,150.85,150.85,3317935
2018-06-11,151.48,151.87,150.81,151.34,151.34,6632666
2018-06-12,148.73,149.15,147.54,148.35,148.35,10335383
2018-06-13,147.25,149.42,146.16,147.79,147.79,7403937
2018-06-14,151.25,151.84,149.12,150.48,150.48,5291323
2018-06-15,149.2,150.71,148.69,149.7,149.7,5664641
2018-06-18,151.4,153.09,149.82,151.46,151.46,4787861
2018-06-19,151.39,152.6,150.29,151.44,151.44,8018411
2018-06-20,153.86,154.64,152.77,153.7,153.7,4607028
2018-06-21,153.67,154.25,152.25,153.25,153.25,4029398
2018-06-22,150.49,150.75,149.86,150.3,150.3,9886421
2018-06-25,148.16,148.7,147.05,147.88,147.88,4784363
2018-06-26,147.04,148.35,144.67,146.51,146.51,5021150
2018-06-27,148.64,149.01,147.24,148.12,148.12,7009108
2018-06-28,145.28,146.54,144.65,145.59,145.59,3493964
2018-06-29,144.12,144.92,143.0,143.96,143.96,6217649
2018-07-02,142.58,143.62,141.52,142.57,142.57,8914420
2018-07-03,143.96,144.56,143.49,144.03,144.03,3804475
2018-07-04,147.96,148.45,147.24,147.85,147.85,2823309
2018-07-05,149.09,150.65,147.39,149.02,149.02,2723669
2018-07-06,149.91,150.56,147.55,149.05,149.05,5086254
2018-07-09,148.13,148.73,146.56,147.64,147.64,3939412
2018-07-10,147.34,148.93,145.17,147.05,147.05,11382393
2018-07-11,145.11,146.03,144.67,145.35,145.35,6367712
2018-07-12,147.25,147.32,146.97,147.14,147.14,5668038
2018-07-13,143.63,144.91,141.71,143.31,143.31,7307878
2018-07-16,138.83,138.91,138.8,138.85,138.85,5691472
2018-07-17,137.72,139.54,136.61,138.08,138.08,12741452
2018-07-18,138.65,140.78,137.7,139.24,139.24,2756052
2018-07-19,142.54,143.02,141.2,142.11,142.11,5685398
2018-07-20,139.27,140.45,138.87,139.66,139.66,7922293
2018-07-23,142.43,143.08,141.8,142.44,142.44,3025530
2018-07-24,148.11,148.83,147.4,148.12,148.12,9395072
2018-07-25,145.71,147.25,143.98,145.61,145.61,5042266
2018-07-26,150.76,152.82,150.24,151.53,151.53,6456969
2018-07-27,146.16,147.65,145.64,146.64,146.64,5496734
2018-07-30,143.15,143.37,142.51,142.94,142.94,5824914
2018-07-31,140.96,142.62,139.84,141.23,141.23,5809117
2018-08-01,143.16,145.54,142.2,143.87,143.87,3805405
2018-08-02,141.61,142.66,141.26,141.96,141.96,5444801
2018-08-03,140.17,141.46,139.15,140.31,140.31,4199074
2018-08-06,135.32,135.88,135.04,135.46,135.46,5233938
2018-08-07,135.13,137.35,134.44,135.9,135.9,7577449
2018-08-08,135.48,136.35,133.12,134.73,134.73,3830546
2018-08-09,132.57,133.94,130.71,132.32,132.32,3424766
2018-08-10,133.08,133.97,132.12,133.05,133.05,4597225
2018-08-13,135.48,137.27,133.83,135.55,135.55,3121008
2018-08-14,136.18,137.07,134.08,135.57,135.57,4536335
2018-08-15,135.13,137.84,134.0,135.92,135.92,6511960
2018-08-16,139.31,140.93,138.5,139.71,139.71,2204374
2018-08-17,137.21,138.46,135.84,137.15,137.15,8539648
2018-08-20,133.6,134.12,132.01,133.07,133.07,2085013
2018-08-21,129.43,130.87,128.27,129.57,129.57,6754423
2018-08-22,129.18,129.58,128.26,128.92,128.92,7594860
2018-08-23,125.68,126.21,125.06,125.63,125.63,2652216
2018-08-24,126.52,127.84,124.5,126.17,126.17,8940666
2018-08-27,122.78,123.8,122.34,123.07,123.07,6469932
2018-08-28,125.03,126.75,124.22,125.49,125.49,3732835
2018-08-29,123.71,124.81,123.13,123.97,123.97,3830633
2018-08-30,124.85,125.78,124.39,125.09,125.09,3520080
2018-08-31,124.71,125.27,124.13,124.7,124.7,4975062
2018-09-03,124.62,126.37,123.64,125.01,125.01,5801499
2018-09-04,121.12,123.21,120.0,121.6,121.6,3822139
2018-09-05,120.91,121.9,120.43,121.17,121.17,6983433
2018-09-06,123.36,124.28,122.63,123.45,123.45,4838075
2018-09-07,125.75,126.81,124.11,125.46,125.46,4595307
2018-09-10,124.09,124.65,122.22,123.43,123.43,7444573
2018-09-11,121.15,122.12,119.64,120.88,120.88,5133013
2018-09-12,122.51,123.27,120.91,122.09,122.09,4970930
2018-09-13,119.98,121.51,119.46,120.48,120.48,4643620
2018-09-14,119.84,120.38,118.67,119.52,119.52,4242984
2018-09-17,121.71,122.51,121.04,121.78,121.78,5326196
2018-09-18,123.7,124.64,123.09,123.86,123.86,3079376
2018-09-19,122.93,123.61,122.07,122.84,122.84,4832682
2018-09-20,123.91,124.53,123.28,123.9,123.9,7944219
2018-09-21,130.15,130.63,129.59,130.11,130.11,5629032
2018-09-24,131.16,132.4,129.72,131.06,131.06,4655453
2018-09-25,136.86,137.38,135.96,136.67,136.67,3281315
2018-09-26,138.27,138.81,136.78,137.8,137.8,5751417
2018-09-27,140.17,141.1,137.85,139.47,139.47,6187978
2018-09-28,138.43,139.86,137.61,138.73,138.73,7011858
2018-10-01,140.54,143.03,139.37,141.2,141.2,4645697
2018-10-02,141.19,141.57,139.77,140.67,140.67,7682042
2018-10-03,144.61,144.81,143.85,144.33,144.33,5579020
2018-10-04,147.97,149.05,147.04,148.05,148.05,12371353
2018-10-05,146.49,146.93,144.87,145.9,145.9,4623186
2018-10-08,149.33,150.47,147.37,148.92,148.92,2681128
2018-10-09,147.89,148.86,146.35,147.6,147.6,4625393
2018-10-10,148.11,150.4,146.54,148.47,148.47,3329564
2018-10-11,147.67,149.9,146.63,148.26,148.26,6267021
2018-10-12,152.37,154.69,150.71,152.7,152.7,4424530
2018-10-15,153.94,154.7,153.49,154.1,154.1,8987095
2018-10-16,153.15,153.71,151.21,152.46,152.46,2157633
2018-10-17,149.22,150.27,148.33,149.3,149.3,9565781
2018-10-18,148.05,148.72,147.78,148.25,148.25,6673721
2018-10-19,146.41,148.09,145.85,146.97,146.97,5870901
2018-10-22,148.32,149.05,146.72,147.89,147.89,6585676
2018-10-23,144.81,146.59,143.46,145.02,145.02,5550383
2018-10-24,143.59,145.0,142.53,143.77,143.77,6199739
2018-10-25,145.87,146.4,144.02,145.21,145.21,3275616
2018-10-26,145.59,146.61,144.69,145.65,145.65,5008917
2018-10-29,148.87,149.66,146.53,148.1,148.1,4085384
2018-10-30,148.64,149.34,147.04,148.19,148.19,2626110
2018-10-31,146.44,147.63,145.09,146.36,146.36,5737133
2018-11-01,149.18,150.28,148.73,149.51,149.51,9727097
2018-11-02,152.86,154.58,150.85,152.71,152.71,4401123
2018-11-05,155.09,155.69,154.89,155.29,155.29,3968509
2018-11-06,156.64,157.6,155.7,156.65,156.65,3496974
2018-11-07,156.34,156.69,155.12,155.9,155.9,6358538
2018-11-08,153.57,155.74,152.9,154.32,154.32,4221891
2018-11-09,154.42,155.11,152.47,153.79,153.79,3278014
2018-11-12,154.35,155.45,151.08,153.26,153.26,2797915
2018-11-13,152.05,152.63,151.14,151.89,151.89,4371102
2018-11-14,148.49,151.23,147.78,149.5,149.5,3168828
2018-11-15,151.18,151.91,149.0,150.45,150.45,2274453
2018-11-16,151.28,152.11,150.4,151.26,151.26,6743623
2018-11-19,154.47,155.75,152.94,154.35,154.35,4929258
2018-11-20,155.16,156.99,153.21,155.1,155.1,6528531
2018-11-21,154.07,155.1,152.18,153.64,153.64,4111325
2018-11-22,156.65,157.63,155.55,156.59,156.59,9285173
2018-11-23,154.41,155.44,153.27,154.35,154.35,4287164
2018-11-26,155.85,156.72,154.67,155.7,155.7,9409238
2018-11-27,154.61,156.97,153.69,155.33,155.33,4591122
2018-11-28,151.12,152.13,148.36,150.25,150.25,2967924
2018-11-29,158.38,159.75,156.15,157.95,157.95,4272015
2018-11-30,160.39,161.33,158.15,159.74,159.74,5370299
2018-12-03,160.3,162.33,158.77,160.55,160.55,3160654
2018-12-04,164.56,166.75,162.44,164.6,164.6,5049081
2018-12-05,163.82,165.39,162.04,163.72,163.72,5454374
2018-12-06,159.74,160.68,158.33,159.5,159.5,6322728
2018-12-07,159.99,160.49,158.2,159.34,159.34,5527268
2018-12-10,161.78,162.64,160.2,161.42,161.42,6764521
2018-12-11,166.95,168.61,164.92,166.77,166.77,4138906
2018-12-12,168.08,170.65,166.56,168.6,168.6,2968556
2018-12-13,167.05,168.63,166.54,167.59,167.59,7049990
2018-12-14,164.06,165.17,161.46,163.31,163.31,7737512
2018-12-17,162.29,163.9,160.19,162.04,162.04,7773071
2018-12-18,164.13,166.81,163.31,165.06,165.06,10509875
2018-12-19,165.64,166.42,164.63,165.52,165.52,11634261
2018-12-20,162.43,162.82,162.29,162.55,162.55,4281190
2018-12-21,167.71,169.78,167.12,168.45,168.45,4197225
2018-12-24,172.59,174.3,172.13,173.22,173.22,8221426
2018-12-25,172.62,173.24,171.57,172.41,172.41,4576738
2018-12-26,172.38,173.91,169.81,171.86,171.86,3083375
2018-12-27,168.36,169.18,167.82,168.5,168.5,4674443
2018-12-28,172.55,174.22,170.97,172.6,172.6,4302974
2018-12-31,168.46,171.2,167.1,169.15,169.15,4632304
2019-01-01,171.46,172.13,170.81,171.47,171.47,8864236
2019-01-02,170.64,174.42,168.92,171.67,171.67,2304880
