,Open,High,Low,Close,Adj Close,Volume
2000-01-03,131.44,132.29,129.71,131.0,131.0,4001590
2000-01-04,133.15,134.17,132.1,133.14,133.14,5436988
2000-01-05,133.54,134.17,131.2,132.68,132.68,11794529
2000-01-06,131.98,133.65,131.48,132.57,132.57,3878759
2000-01-07,129.25,130.87,128.8,129.84,129.84,6385152
2000-01-10,127.98,128.83,127.32,128.07,128.07,4106849
2000-01-11,128.97,129.25,128.53,128.89,128.89,8452785
2000-01-12,129.22,130.36,128.13,129.25,129.25,3462856
2000-01-13,128.01,129.22,126.43,127.83,127.83,7756684
2000-01-14,126.65,128.09,125.13,126.61,126.61,2287632
2000-01-17,125.43,126.23,124.91,125.57,125.57,5703452
2000-01-18,127.37,127.88,125.53,126.7,126.7,10453631
2000-01-19,128.21,129.28,127.2,128.24,128.24,7198378
2000-01-20,128.7,128.9,128.58,128.74,128.74,6232168
2000-01-21,128.03,130.33,127.36,128.85,128.85,10507698
2000-01-24,127.53,128.69,127.09,127.89,127.89,3028703
2000-01-25,127.37,128.16,126.84,127.5,127.5,5290663
2000-01-26,127.1,127.39,126.14,126.76,126.76,6539193
2000-01-27,128.76,129.17,127.26,128.21,128.21,7541687
2000-01-28,128.91,129.84,128.07,128.96,128.96,6632691
2000-01-31,130.16,131.85,128.76,130.3,130.3,4684277
2000-02-01,130.6,132.0,129.91,130.95,130.95,6269308
2000-02-02,128.14,129.45,127.29,128.37,128.37,4666554
2000-02-03,128.86,130.11,128.03,129.07,129.07,2789078
2000-02-04,126.8,127.65,126.33,126.99,126.99,7684463
2000-02-07,126.01,127.31,124.7,126.0,126.0,3993944
2000-02-08,126.5,127.63,124.72,126.18,126.18,6870144
2000-02-09,125.19,126.7,124.67,125.68,125.68,7152130
2000-02-10,125.43,126.05,123.18,124.62,124.62,3188243
2000-02-11,124.19,124.8,123.11,123.96,123.96,6322795
2000-02-14,123.43,123.88,122.07,122.97,122.97,14388706
2000-02-15,124.04,125.13,122.66,123.89,123.89,3109171
2000-02-16,123.47,125.7,122.63,124.16,124.16,4692385
2000-02-17,124.91,125.31,123.77,124.54,124.54,3594239
2000-02-18,122.02,123.49,121.33,122.41,122.41,6856072
2000-02-21,121.58,122.98,120.45,121.71,121.71,6493366
2000-02-22,122.91,123.83,121.68,122.76,122.76,7992759
2000-02-23,123.61,124.19,121.72,122.96,122.96,6789009
2000-02-24,123.27,123.88,121.69,122.78,122.78,4157471
2000-02-25,122.35,123.78,121.6,122.69,122.69,2515996
2000-02-28,122.67,125.07,121.88,123.48,123.48,5965705
2000-02-29,122.39,123.86,121.96,122.91,122.91,4633124
2000-03-01,122.98,123.43,121.97,122.7,122.7,6006827
2000-03-02,125.91,126.95,124.06,125.51,125.51,11143656
2000-03-03,126.83,128.02,124.56,126.29,126.29,4102134
2000-03-06,123.34,125.46,122.75,124.1,124.1,5554557
2000-03-07,123.29,124.49,122.7,123.59,123.59,4426103
2000-03-08,123.35,125.84,122.36,124.1,124.1,5321207
2000-03-09,122.5,124.56,121.44,123.0,123.0,3987272
2000-03-10,122.91,124.38,122.34,123.36,123.36,4329258
2000-03-13,123.97,125.67,123.0,124.34,124.34,2496920
2000-03-14,123.69,124.08,122.47,123.27,123.27,5263109
2000-03-15,121.06,122.23,120.75,121.49,121.49,3729261
2000-03-16,120.8,122.26,119.19,120.72,120.72,4295279
2000-03-17,122.57,123.93,122.19,123.06,123.06,3012234
2000-03-20,124.2,125.59,123.61,124.6,124.6,4795676
2000-03-21,122.98,123.81,122.57,123.19,123.19,5442495
2000-03-22,123.98,124.08,123.89,123.98,123.98,3509527
2000-03-23,124.16,124.9,122.69,123.8,123.8,3853733
2000-03-24,127.47,128.09,125.97,127.03,127.03,7358125
2000-03-27,128.68,130.26,128.26,129.26,129.26,7655554
2000-03-28,129.25,130.77,128.77,129.77,129.77,9512373
2000-03-29,131.27,132.42,129.9,131.16,131.16,5146481
2000-03-30,129.97,130.87,128.99,129.93,129.93,8248598
2000-03-31,130.26,131.87,128.89,130.38,130.38,5649416
2000-04-03,131.29,132.29,130.23,131.26,131.26,3972818
2000-04-04,130.71,131.46,129.44,130.45,130.45,4421782
2000-04-05,129.52,130.13,128.57,129.35,129.35,3111361
2000-04-06,129.67,130.34,129.13,129.74,129.74,5403985
2000-04-07,131.59,132.37,130.27,131.32,131.32,3890680
2000-04-10,134.14,135.4,133.79,134.59,134.59,4134605
2000-04-11,134.63,134.96,134.06,134.51,134.51,7997096
2000-04-12,137.22,138.21,136.56,137.39,137.39,8345259
2000-04-13,140.6,142.15,139.21,140.68,140.68,5080272
2000-04-14,140.12,141.27,138.27,139.77,139.77,3973835
2000-04-17,141.43,141.78,140.47,141.13,141.13,8915633
2000-04-18,141.79,143.12,139.94,141.53,141.53,2442679
2000-04-19,139.47,140.07,139.15,139.61,139.61,6740830
2000-04-20,137.64,139.75,137.09,138.42,138.42,18638875
2000-04-21,137.35,138.31,136.27,137.29,137.29,9667203
2000-04-24,138.32,140.53,137.53,139.03,139.03,3602650
2000-04-25,140.63,141.13,139.82,140.48,140.48,3505448
2000-04-26,140.36,140.8,138.81,139.81,139.81,5493384
2000-04-27,141.01,142.86,140.34,141.6,141.6,5792781
2000-04-28,140.18,140.48,139.29,139.89,139.89,3478368
2000-05-01,140.92,143.82,139.81,141.82,141.82,5446987
2000-05-02,141.66,142.23,140.52,141.37,141.37,3705981
2000-05-03,138.89,140.32,137.76,139.04,139.04,2634655
2000-05-04,140.46,141.38,137.98,139.68,139.68,7772530
2000-05-05,141.11,142.13,139.92,141.02,141.02,7806207
2000-05-08,140.15,140.96,139.82,140.39,140.39,10213946
2000-05-09,137.72,140.51,136.58,138.55,138.55,2849201
2000-05-10,140.03,140.72,138.44,139.58,139.58,1953135
2000-05-11,138.63,139.8,137.75,138.77,138.77,5134717
2000-05-12,141.33,142.59,139.47,141.03,141.03,7063628
2000-05-15,140.62,140.98,139.65,140.32,140.32,7793991
2000-05-16,138.62,140.47,138.09,139.28,139.28,4615928
2000-05-17,137.52,139.49,136.81,138.15,138.15,4676385
2000-05-18,138.29,139.8,137.87,138.83,138.83,8685128
2000-05-19,134.3,135.97,133.12,134.55,134.55,3929204
2000-05-22,135.5,137.77,134.89,136.33,136.33,10163174
2000-05-23,139.24,140.62,137.95,139.29,139.29,7188160
2000-05-24,139.64,140.63,138.01,139.32,139.32,4515609
2000-05-25,140.54,141.7,139.81,140.76,140.76,1961609
2000-05-26,139.0,139.9,138.42,139.16,139.16,5645785
2000-05-29,140.77,142.54,139.57,141.05,141.05,5459727
2000-05-30,141.21,143.25,140.42,141.84,141.84,3968013
2000-05-31,139.81,141.42,139.25,140.34,140.34,6025466
2000-06-01,138.06,138.74,136.6,137.67,137.67,6119419
2000-06-02,134.81,136.79,133.82,135.3,135.3,9175319
2000-06-05,137.89,139.43,137.22,138.33,138.33,2375702
2000-06-06,137.47,139.72,135.86,137.79,137.79,4981914
2000-06-07,135.67,138.03,135.07,136.55,136.55,7457745
2000-06-08,134.16,135.18,133.33,134.26,134.26,3373218
2000-06-09,133.45,134.43,132.94,133.69,133.69,12821788
2000-06-12,135.26,136.89,132.78,134.83,134.83,6278488
2000-06-13,138.83,139.84,137.16,138.5,138.5,6892961
2000-06-14,137.08,139.14,135.63,137.39,137.39,3069463
2000-06-15,140.5,141.76,139.01,140.38,140.38,17135990
2000-06-16,140.02,141.97,139.22,140.6,140.6,4324332
2000-06-19,141.5,142.7,140.49,141.6,141.6,3627901
2000-06-20,140.37,142.01,139.35,140.68,140.68,5565627
2000-06-21,139.41,140.27,138.99,139.63,139.63,4276926
2000-06-22,138.05,138.76,136.49,137.62,137.62,3025630
2000-06-23,137.3,138.93,135.87,137.4,137.4,9242312
2000-06-26,141.4,141.95,140.52,141.24,141.24,5114399
2000-06-27,142.43,144.46,141.41,142.93,142.93,4719291
2000-06-28,141.82,143.39,141.35,142.37,142.37,8865008
