,Open,High,Low,Close,Adj Close,Volume
2000-01-03,18.05,18.19,17.9,18.05,18.05,4456098
2000-01-04,18.28,18.42,18.13,18.28,18.28,3245412
2000-01-05,18.41,18.56,18.26,18.41,18.41,3752406
2000-01-06,18.88,19.03,18.73,18.88,18.88,4561132
2000-01-07,19.03,19.18,18.87,19.03,19.03,6943668
2000-01-10,18.63,18.78,18.48,18.63,18.63,11438579
2000-01-11,19.11,19.26,18.95,19.11,19.11,4497159
2000-01-12,19.23,19.38,19.08,19.23,19.23,4457104
2000-01-13,19.43,19.58,19.27,19.43,19.43,3297451
2000-01-14,19.7,19.86,19.54,19.7,19.7,11118134
2000-01-17,19.75,19.91,19.6,19.75,19.75,3694379
2000-01-18,19.34,19.49,19.18,19.34,19.34,5268334
2000-01-19,19.82,19.98,19.66,19.82,19.82,6024266
2000-01-20,20.14,20.3,19.98,20.14,20.14,9223338
2000-01-21,19.98,20.14,19.82,19.98,19.98,4272597
2000-01-24,19.91,20.07,19.75,19.91,19.91,4215837
2000-01-25,19.75,19.91,19.59,19.75,19.75,5111227
2000-01-26,19.87,20.03,19.72,19.87,19.87,2713947
2000-01-27,20.22,20.38,20.05,20.22,20.22,6023408
2000-01-28,19.74,19.9,19.58,19.74,19.74,3618671
2000-01-31,19.11,19.26,18.96,19.11,19.11,9920105
2000-02-01,19.28,19.43,19.12,19.28,19.28,7855800
2000-02-02,19.49,19.65,19.34,19.49,19.49,3777533
2000-02-03,19.23,19.38,19.07,19.23,19.23,7685091
2000-02-04,19.85,20.01,19.7,19.85,19.85,6641084
2000-02-07,19.48,19.63,19.32,19.48,19.48,6543281
2000-02-08,19.86,20.02,19.7,19.86,19.86,3879902
2000-02-09,20.06,20.22,19.9,20.06,20.06,8165046
2000-02-10,20.23,20.39,20.07,20.23,20.23,6599842
2000-02-11,20.05,20.21,19.89,20.05,20.05,6039449
2000-02-14,20.11,20.27,19.95,20.11,20.11,2607341
2000-02-15,20.8,20.97,20.63,20.8,20.8,3152051
2000-02-16,20.77,20.93,20.6,20.77,20.77,4804971
2000-02-17,20.97,21.13,20.8,20.97,20.97,4388298
2000-02-18,20.97,21.14,20.8,20.97,20.97,7519774
2000-02-21,20.93,21.1,20.76,20.93,20.93,3191188
2000-02-22,20.67,20.84,20.5,20.67,20.67,3964530
2000-02-23,20.69,20.85,20.52,20.69,20.69,6921822
2000-02-24,20.81,20.97,20.64,20.81,20.81,10381182
2000-02-25,20.58,20.75,20.42,20.58,20.58,8074639
2000-02-28,20.82,20.99,20.65,20.82,20.82,6650032
2000-02-29,21.23,21.4,21.06,21.23,21.23,6613176
2000-03-01,21.13,21.3,20.96,21.13,21.13,4601912
2000-03-02,20.97,21.14,20.8,20.97,20.97,3993764
2000-03-03,21.21,21.38,21.04,21.21,21.21,5285404
2000-03-06,20.96,21.12,20.79,20.96,20.96,4887504
2000-03-07,20.97,21.14,20.8,20.97,20.97,7521711
2000-03-08,20.98,21.15,20.82,20.98,20.98,4630583
2000-03-09,21.19,21.36,21.02,21.19,21.19,4230613
2000-03-10,21.31,21.48,21.14,21.31,21.31,5120442
2000-03-13,21.43,21.6,21.26,21.43,21.43,7141847
2000-03-14,21.88,22.05,21.7,21.88,21.88,7394963
2000-03-15,22.52,22.7,22.34,22.52,22.52,6508330
2000-03-16,22.94,23.13,22.76,22.94,22.94,6573749
2000-03-17,22.96,23.15,22.78,22.96,22.96,5674619
2000-03-20,22.76,22.94,22.57,22.76,22.76,3867443
2000-03-21,22.37,22.55,22.19,22.37,22.37,4954224
2000-03-22,22.95,23.13,22.77,22.95,22.95,4413843
