,Open,High,Low,Close,Adj Close,Volume
2000-01-03,231.3,234.27,229.73,232.0,232.0,4923333
2000-01-04,231.64,232.79,229.84,231.32,231.32,9879533
2000-01-05,233.22,235.68,231.95,233.81,233.81,7773967
2000-01-06,239.35,240.46,237.31,238.88,238.88,11180517
2000-01-07,233.87,237.74,232.77,235.25,235.25,4091188
2000-01-10,235.73,238.18,233.48,235.83,235.83,3479173
2000-01-11,239.29,239.48,238.57,239.03,239.03,6634112
2000-01-12,243.68,244.54,241.11,242.83,242.83,4932454
2000-01-13,247.11,248.93,246.1,247.51,247.51,3784586
2000-01-14,243.52,246.1,241.67,243.89,243.89,6569467
2000-01-17,241.48,242.27,239.19,240.73,240.73,4306081
2000-01-18,239.99,241.82,237.66,239.74,239.74,2897403
2000-01-19,240.84,242.63,237.73,240.18,240.18,3106662
2000-01-20,238.99,240.53,238.25,239.39,239.39,5176646
2000-01-21,238.02,239.38,234.83,237.11,237.11,10307144
2000-01-24,239.29,243.25,237.29,240.27,240.27,3249084
2000-01-25,246.47,247.97,245.16,246.56,246.56,11169051
2000-01-26,242.67,243.88,239.69,241.79,241.79,7152857
2000-01-27,246.16,248.55,244.82,246.68,246.68,4673890
2000-01-28,249.2,249.96,247.25,248.6,248.6,4774315
2000-01-31,247.35,248.53,246.61,247.57,247.57,5590343
2000-02-01,251.74,253.41,246.19,249.8,249.8,4643868
2000-02-02,242.41,244.78,240.57,242.68,242.68,10089100
2000-02-03,239.13,240.37,237.68,239.03,239.03,6776356
2000-02-04,244.37,246.66,243.18,244.92,244.92,4425156
2000-02-07,246.16,247.02,243.65,245.33,245.33,6507697
2000-02-08,246.2,248.7,245.56,247.13,247.13,5623428
2000-02-09,246.42,248.31,245.11,246.71,246.71,6807169
2000-02-10,249.55,251.81,248.58,250.19,250.19,5687895
2000-02-11,245.55,249.35,243.98,246.66,246.66,5334928
2000-02-14,244.34,246.73,243.0,244.87,244.87,2127314
2000-02-15,240.43,241.33,238.96,240.14,240.14,3955263
2000-02-16,240.62,241.6,236.8,239.2,239.2,5285058
2000-02-17,237.84,239.04,234.06,236.55,236.55,5420322
2000-02-18,240.97,242.28,238.94,240.61,240.61,2672897
2000-02-21,240.2,243.44,238.9,241.17,241.17,7151313
2000-02-22,240.73,242.15,239.01,240.58,240.58,7874379
2000-02-23,238.72,241.65,237.18,239.42,239.42,6843663
2000-02-24,242.02,244.82,239.88,242.35,242.35,6991767
2000-02-25,239.3,241.98,238.48,240.23,240.23,5202502
2000-02-28,240.87,243.58,238.77,241.18,241.18,12667990
2000-02-29,244.3,245.0,241.65,243.32,243.32,3894274
2000-03-01,243.82,245.47,242.44,243.95,243.95,3853802
2000-03-02,241.03,244.34,238.81,241.57,241.57,4708077
2000-03-03,239.66,243.92,238.59,241.26,241.26,10529060
2000-03-06,235.63,238.2,234.72,236.46,236.46,5372857
2000-03-07,237.14,240.05,233.11,236.58,236.58,14048848
2000-03-08,233.38,235.43,231.85,233.64,233.64,7443604
2000-03-09,228.85,232.38,226.73,229.56,229.56,6575473
2000-03-10,231.39,234.98,229.0,231.99,231.99,7159514
2000-03-13,230.53,231.5,228.41,229.95,229.95,7411870
2000-03-14,221.63,223.82,220.6,222.21,222.21,1943312
2000-03-15,223.18,226.52,220.61,223.57,223.57,2514499
2000-03-16,220.12,222.02,218.98,220.5,220.5,4148138
2000-03-17,224.8,224.83,224.71,224.77,224.77,5486577
2000-03-20,228.0,229.0,224.46,226.73,226.73,3682594
2000-03-21,224.25,225.61,222.55,224.08,224.08,6087422
2000-03-22,224.28,226.73,222.92,224.83,224.83,11265198
2000-03-23,222.19,225.42,221.14,223.28,223.28,6569749
2000-03-24,218.18,219.3,216.65,217.97,217.97,2494866
2000-03-27,220.86,223.71,219.32,221.51,221.51,10113446
2000-03-28,223.0,226.2,221.26,223.73,223.73,6951698
2000-03-29,225.42,228.09,222.75,225.42,225.42,2945924
