,Open,High,Low,Close,Adj Close,Volume
2000-01-03,226.53,228.58,225.42,227.0,227.0,11438605
2000-01-04,229.51,231.43,226.82,229.13,229.13,5702891
2000-01-05,230.54,231.65,228.31,229.98,229.98,4292085
2000-01-06,223.63,226.58,221.97,224.27,224.27,5616097
2000-01-07,225.9,226.92,222.5,224.71,224.71,10580996
2000-01-10,221.91,224.11,219.83,221.97,221.97,5845152
2000-01-11,221.2,223.45,218.96,221.21,221.21,10493045
2000-01-12,227.52,228.89,223.99,226.44,226.44,8099876
2000-01-13,225.75,226.63,223.23,224.93,224.93,3858565
2000-01-14,224.78,225.03,224.47,224.75,224.75,7794117
2000-01-17,226.75,231.03,225.0,228.02,228.02,5166587
2000-01-18,226.63,229.17,224.07,226.62,226.62,18015790
2000-01-19,227.85,228.91,225.0,226.96,226.96,5487746
2000-01-20,224.91,227.13,224.28,225.7,225.7,4961631
2000-01-21,227.27,229.46,224.79,227.13,227.13,5243283
2000-01-24,225.7,228.5,222.88,225.69,225.69,3219951
2000-01-25,231.46,233.41,228.18,230.79,230.79,9048417
2000-01-26,229.17,230.02,227.01,228.51,228.51,3656524
2000-01-27,224.25,225.38,222.01,223.7,223.7,8205500
2000-01-28,221.29,224.51,219.04,221.77,221.77,5370866
2000-01-31,215.16,216.0,213.48,214.74,214.74,3663934
2000-02-01,209.53,210.67,208.84,209.76,209.76,5905233
2000-02-02,212.98,213.4,211.79,212.6,212.6,3884984
2000-02-03,210.82,213.8,209.57,211.69,211.69,6739438
2000-02-04,215.01,216.62,214.42,215.52,215.52,5387441
2000-02-07,216.26,218.37,215.1,216.73,216.73,6138448
2000-02-08,217.92,222.36,216.42,219.39,219.39,8733083
2000-02-09,219.51,220.12,217.37,218.74,218.74,3627286
2000-02-10,209.85,211.67,208.73,210.2,210.2,9253772
2000-02-11,210.99,212.62,208.74,210.68,210.68,3876519
2000-02-14,208.74,210.97,207.6,209.28,209.28,4528033
2000-02-15,203.23,205.61,201.76,203.68,203.68,12645820
2000-02-16,204.14,206.41,202.4,204.41,204.41,5554786
2000-02-17,204.38,206.81,201.63,204.22,204.22,5479275
2000-02-18,199.67,201.03,196.41,198.72,198.72,4651367
2000-02-21,201.56,204.07,200.1,202.08,202.08,3209882
2000-02-22,207.11,210.07,204.97,207.52,207.52,9078081
2000-02-23,211.22,212.54,208.17,210.36,210.36,5847260
2000-02-24,206.84,207.34,205.82,206.58,206.58,4654905
2000-02-25,203.46,204.45,202.28,203.37,203.37,6363662
2000-02-28,212.47,216.42,211.17,213.79,213.79,5504659
2000-02-29,211.03,212.64,208.64,210.64,210.64,5478138
2000-03-01,206.25,207.81,205.71,206.76,206.76,9647216
2000-03-02,206.17,207.49,204.21,205.85,205.85,5448278
2000-03-03,202.45,206.28,201.09,203.69,203.69,7139113
2000-03-06,203.88,204.56,201.74,203.15,203.15,14199683
2000-03-07,211.3,212.43,210.03,211.23,211.23,6137986
2000-03-08,206.01,208.01,203.29,205.65,205.65,6625628
2000-03-09,210.09,211.35,206.22,208.78,208.78,5059329
2000-03-10,211.15,215.12,210.04,212.58,212.58,6571777
2000-03-13,209.67,210.29,207.42,208.85,208.85,7531984
2000-03-14,211.4,213.07,209.18,211.12,211.12,7397384
