,Open,High,Low,Close,Adj Close,Volume
2000-01-03,40.26,40.46,39.54,40.0,40.0,5161916
2000-01-04,40.58,41.01,40.38,40.7,40.7,7664236
2000-01-05,40.97,41.28,40.76,41.02,41.02,6273740
2000-01-06,40.87,41.13,40.15,40.64,40.64,7817667
2000-01-07,40.44,40.73,40.08,40.4,40.4,7094000
2000-01-10,41.07,41.17,40.82,41.0,41.0,4390672
2000-01-11,42.11,42.33,41.67,42.0,42.0,4854657
2000-01-12,42.79,43.05,42.28,42.67,42.67,6670557
2000-01-13,43.19,43.38,42.7,43.04,43.04,4421798
2000-01-14,43.69,43.87,43.6,43.73,43.73,2165592
2000-01-17,43.3,43.65,42.83,43.24,43.24,6263131
2000-01-18,43.19,43.4,42.38,42.89,42.89,8228629
2000-01-19,42.64,42.95,42.49,42.72,42.72,9659821
2000-01-20,43.19,43.88,42.93,43.41,43.41,8930608
2000-01-21,42.7,42.9,42.46,42.68,42.68,4761783
2000-01-24,42.64,43.0,42.4,42.7,42.7,3611752
2000-01-25,41.95,42.38,41.46,41.92,41.92,3631296
2000-01-26,41.61,42.25,41.2,41.72,41.72,2919973
2000-01-27,41.44,41.67,41.3,41.49,41.49,5230497
2000-01-28,41.29,41.68,40.93,41.3,41.3,3555463
2000-01-31,41.58,41.73,40.95,41.34,41.34,4778086
2000-02-01,40.69,41.26,40.49,40.87,40.87,2858910
2000-02-02,40.3,40.87,40.02,40.45,40.45,8110148
2000-02-03,40.29,40.64,40.0,40.32,40.32,5641335
2000-02-04,39.74,40.03,39.48,39.76,39.76,1695907
2000-02-07,39.46,40.15,39.28,39.72,39.72,3836366
2000-02-08,39.24,39.52,39.07,39.29,39.29,4203473
2000-02-09,39.3,39.76,39.01,39.38,39.38,3202726
2000-02-10,38.94,39.13,38.42,38.78,38.78,4943850
2000-02-11,39.06,39.37,38.59,38.98,38.98,3134824
2000-02-14,39.06,39.54,38.89,39.22,39.22,4469053
2000-02-15,39.62,40.15,39.31,39.73,39.73,3625907
2000-02-16,39.63,39.98,39.25,39.62,39.62,7926689
2000-02-17,39.7,39.78,39.37,39.58,39.58,8502698
2000-02-18,38.76,38.86,38.35,38.61,38.61,4144990
2000-02-21,38.23,38.79,37.8,38.3,38.3,7769015
2000-02-22,37.57,38.13,37.1,37.61,37.61,13312015
2000-02-23,37.36,37.63,37.1,37.36,37.36,6662494
2000-02-24,36.87,37.18,36.48,36.83,36.83,5669681
2000-02-25,35.89,36.36,35.63,36.0,36.0,3576539
2000-02-28,35.73,36.11,35.48,35.8,35.8,3114969
2000-02-29,36.61,36.85,36.25,36.55,36.55,9883713
2000-03-01,36.13,36.4,35.89,36.14,36.14,9994779
2000-03-02,36.12,36.38,35.7,36.04,36.04,3065435
2000-03-03,36.27,36.82,35.83,36.32,36.32,4054566
2000-03-06,36.77,37.48,36.55,37.02,37.02,6018687
2000-03-07,36.29,36.93,36.07,36.5,36.5,4826417
2000-03-08,36.48,36.68,36.27,36.48,36.48,18061816
2000-03-09,36.75,36.9,36.35,36.62,36.62,2940025
2000-03-10,35.96,36.26,35.66,35.96,35.96,4624019
2000-03-13,35.82,36.03,35.62,35.82,35.82,4721025
2000-03-14,35.5,35.78,35.28,35.53,35.53,3742447
2000-03-15,34.62,35.21,34.42,34.82,34.82,2781697
2000-03-16,34.31,34.76,34.19,34.47,34.47,5570060
2000-03-17,34.82,34.89,34.74,34.81,34.81,5553092
2000-03-20,34.61,34.97,33.95,34.46,34.46,6336398
2000-03-21,35.09,35.23,35.03,35.13,35.13,4566495
2000-03-22,35.17,35.38,35.07,35.22,35.22,3431871
2000-03-23,34.73,34.94,34.14,34.54,34.54,6271649
2000-03-24,34.71,35.21,34.57,34.89,34.89,17572163
2000-03-27,34.68,34.91,34.36,34.63,34.63,5363461
2000-03-28,34.91,35.09,34.6,34.85,34.85,3373795
2000-03-29,34.69,34.85,34.31,34.58,34.58,8597311
2000-03-30,34.42,34.65,34.06,34.35,34.35,7401559
2000-03-31,34.41,34.71,34.26,34.48,34.48,3598227
2000-04-03,34.77,35.28,34.29,34.79,34.79,7951139
2000-04-04,34.42,34.69,34.27,34.48,34.48,8097271
2000-04-05,34.73,34.89,34.14,34.51,34.51,4896436
2000-04-06,34.13,34.37,33.95,34.16,34.16,6651390
2000-04-07,34.4,34.58,33.88,34.23,34.23,3905276
2000-04-10,34.04,34.14,33.69,33.92,33.92,4892956
2000-04-11,33.99,34.23,33.49,33.86,33.86,4549758
2000-04-12,33.21,33.38,33.01,33.19,33.19,11347054
2000-04-13,32.9,33.24,32.81,33.03,33.03,1655182
2000-04-14,33.19,33.33,33.06,33.2,33.2,5486868
2000-04-17,33.56,33.75,32.84,33.3,33.3,3806254
