,Open,High,Low,Close,Adj Close,Volume
2000-01-03,20.96,21.13,20.79,20.96,20.96,9151981
2000-01-04,21.08,21.25,20.92,21.08,21.08,4118872
2000-01-05,21.17,21.34,21.0,21.17,21.17,4204846
2000-01-06,21.32,21.49,21.15,21.32,21.32,7220844
2000-01-07,21.85,22.03,21.68,21.85,21.85,3296587
2000-01-10,21.87,22.05,21.7,21.87,21.87,2707911
2000-01-11,21.83,22.0,21.65,21.83,21.83,6813268
2000-01-12,21.85,22.03,21.68,21.85,21.85,3906502
2000-01-13,21.66,21.84,21.49,21.66,21.66,8444085
2000-01-14,21.81,21.98,21.63,21.81,21.81,6553994
2000-01-17,21.82,21.99,21.65,21.82,21.82,10058303
2000-01-18,21.65,21.82,21.48,21.65,21.65,5957788
2000-01-19,21.89,22.07,21.72,21.89,21.89,5211678
2000-01-20,21.51,21.68,21.34,21.51,21.51,8199123
2000-01-21,20.76,20.93,20.6,20.76,20.76,6470940
2000-01-24,20.53,20.69,20.36,20.53,20.53,3984252
2000-01-25,20.2,20.36,20.04,20.2,20.2,4852627
2000-01-26,20.75,20.91,20.58,20.75,20.75,7080774
2000-01-27,20.72,20.88,20.55,20.72,20.72,7921318
2000-01-28,21.14,21.31,20.97,21.14,21.14,3487749
2000-01-31,21.42,21.59,21.25,21.42,21.42,7116650
2000-02-01,21.69,21.87,21.52,21.69,21.69,4437316
2000-02-02,21.72,21.89,21.54,21.72,21.72,6637664
2000-02-03,21.68,21.86,21.51,21.68,21.68,5267093
2000-02-04,21.91,22.09,21.74,21.91,21.91,7272198
2000-02-07,21.87,22.05,21.7,21.87,21.87,3378360
2000-02-08,21.93,22.1,21.75,21.93,21.93,2716891
2000-02-09,21.81,21.98,21.63,21.81,21.81,8032175
2000-02-10,21.54,21.72,21.37,21.54,21.54,9492037
2000-02-11,21.36,21.53,21.19,21.36,21.36,7283301
2000-02-14,21.62,21.79,21.44,21.62,21.62,7998550
2000-02-15,21.79,21.97,21.62,21.79,21.79,4785635
2000-02-16,21.88,22.05,21.7,21.88,21.88,1786998
2000-02-17,21.63,21.8,21.46,21.63,21.63,3840779
2000-02-18,22.53,22.71,22.35,22.53,22.53,4919535
2000-02-21,22.46,22.64,22.28,22.46,22.46,6382759
2000-02-22,22.65,22.83,22.46,22.65,22.65,4919366
2000-02-23,23.19,23.37,23.0,23.19,23.19,7897220
2000-02-24,22.41,22.59,22.23,22.41,22.41,4976984
2000-02-25,23.08,23.26,22.89,23.08,23.08,6002556
2000-02-28,23.28,23.47,23.1,23.28,23.28,9337885
2000-02-29,23.23,23.42,23.05,23.23,23.23,3650336
2000-03-01,22.66,22.85,22.48,22.66,22.66,14335388
2000-03-02,22.32,22.5,22.14,22.32,22.32,5443575
2000-03-03,22.15,22.33,21.98,22.15,22.15,5516714
2000-03-06,22.29,22.47,22.11,22.29,22.29,9506156
2000-03-07,22.38,22.56,22.2,22.38,22.38,5249992
2000-03-08,22.36,22.54,22.18,22.36,22.36,6053723
2000-03-09,22.0,22.17,21.82,22.0,22.0,4770297
2000-03-10,21.81,21.99,21.64,21.81,21.81,3865525
2000-03-13,21.82,22.0,21.65,21.82,21.82,8774397
2000-03-14,21.97,22.15,21.8,21.97,21.97,3676710
2000-03-15,23.02,23.2,22.83,23.02,23.02,4819014
2000-03-16,23.3,23.49,23.12,23.3,23.3,5686109
2000-03-17,23.19,23.37,23.0,23.19,23.19,8910457
2000-03-20,23.81,24.0,23.62,23.81,23.81,4160720
2000-03-21,24.19,24.39,24.0,24.19,24.19,9878792
2000-03-22,24.23,24.43,24.04,24.23,24.23,4176110
2000-03-23,24.67,24.87,24.47,24.67,24.67,3161473
2000-03-24,24.6,24.8,24.4,24.6,24.6,4392290
2000-03-27,24.88,25.07,24.68,24.88,24.88,6497758
2000-03-28,24.22,24.41,24.02,24.22,24.22,7206589
2000-03-29,23.55,23.74,23.36,23.55,23.55,8711276
2000-03-30,24.03,24.22,23.84,24.03,24.03,8047644
2000-03-31,23.98,24.17,23.79,23.98,23.98,7422347
2000-04-03,23.55,23.74,23.36,23.55,23.55,3857947
2000-04-04,23.97,24.16,23.78,23.97,23.97,9305691
2000-04-05,23.77,23.96,23.58,23.77,23.77,5037733
2000-04-06,24.16,24.35,23.97,24.16,24.16,8709737
