,Open,High,Low,Close,Adj Close,Volume
2000-01-03,118.02,119.09,116.91,118.0,118.0,3534696
2000-01-04,118.39,119.42,117.9,118.66,118.66,4044978
2000-01-05,117.53,118.09,115.54,116.82,116.82,3378925
2000-01-06,119.47,121.35,118.18,119.76,119.76,5255494
2000-01-07,121.27,122.41,120.42,121.41,121.41,6049270
2000-01-10,122.96,124.02,121.82,122.92,122.92,3646634
2000-01-11,121.39,122.56,120.67,121.62,121.62,3339889
2000-01-12,125.37,126.09,124.65,125.37,125.37,2300040
2000-01-13,129.64,130.19,128.5,129.34,129.34,4805472
2000-01-14,133.57,134.52,133.14,133.83,133.83,4189557
2000-01-17,129.53,131.64,128.95,130.29,130.29,5897756
2000-01-18,128.83,129.43,128.47,128.95,128.95,6720050
2000-01-19,126.5,128.05,125.65,126.85,126.85,6855466
2000-01-20,126.02,126.55,124.49,125.52,125.52,8928870
2000-01-21,124.92,126.54,124.43,125.49,125.49,7907581
2000-01-24,124.59,125.87,123.93,124.9,124.9,5131400
2000-01-25,124.19,125.85,123.57,124.71,124.71,5560139
2000-01-26,121.74,122.34,120.74,121.54,121.54,7174022
2000-01-27,124.69,124.87,124.11,124.49,124.49,5995861
2000-01-28,125.19,126.09,124.2,125.14,125.14,7416946
2000-01-31,126.92,128.75,125.81,127.28,127.28,3131089
2000-02-01,128.29,128.62,127.1,127.86,127.86,2538410
2000-02-02,126.48,127.28,123.74,125.51,125.51,6246227
2000-02-03,125.14,125.5,124.41,124.95,124.95,7302251
2000-02-04,125.48,127.98,124.63,126.3,126.3,5659247
2000-02-07,124.8,126.11,123.91,125.01,125.01,9350030
2000-02-08,122.92,123.92,121.38,122.65,122.65,7397756
2000-02-09,120.24,121.64,119.89,120.76,120.76,4201166
2000-02-10,121.07,122.85,120.32,121.59,121.59,5697939
2000-02-11,122.74,123.92,121.41,122.67,122.67,6770664
2000-02-14,118.0,119.11,117.4,118.26,118.26,6423336
2000-02-15,120.29,121.7,118.95,120.33,120.33,4830043
2000-02-16,119.22,120.16,118.62,119.39,119.39,4403772
2000-02-17,119.93,120.61,119.2,119.9,119.9,18778993
2000-02-18,123.33,124.24,122.33,123.28,123.28,4961490
2000-02-21,122.42,123.87,121.91,122.89,122.89,4473452
2000-02-22,121.01,121.45,119.95,120.7,120.7,4457984
2000-02-23,118.96,120.17,118.0,119.08,119.08,5192081
2000-02-24,118.2,119.09,116.52,117.8,117.8,3483660
2000-02-25,120.16,120.55,118.92,119.74,119.74,5327958
2000-02-28,119.05,120.04,117.88,118.96,118.96,3018863
2000-02-29,118.99,120.26,118.4,119.33,119.33,4726700
2000-03-01,120.75,121.7,119.17,120.44,120.44,2444913
2000-03-02,124.16,124.5,124.02,124.26,124.26,5062880
2000-03-03,124.69,125.14,123.0,124.07,124.07,8844016
2000-03-06,121.38,122.39,120.3,121.34,121.34,4790850
2000-03-07,120.08,121.44,119.16,120.3,120.3,1722680
2000-03-08,117.26,118.11,116.99,117.55,117.55,8361232
2000-03-09,120.89,121.78,120.12,120.95,120.95,2115540
2000-03-10,123.0,124.07,122.48,123.28,123.28,8632712
2000-03-13,124.9,125.82,122.89,124.36,124.36,6776029
2000-03-14,123.13,124.83,122.48,123.65,123.65,3816877
2000-03-15,126.18,127.93,125.3,126.61,126.61,5363598
2000-03-16,125.96,126.5,125.21,125.85,125.85,4976757
2000-03-17,123.81,125.15,121.95,123.55,123.55,3310642
2000-03-20,123.56,124.35,122.02,123.18,123.18,3886210
2000-03-21,122.49,123.49,121.92,122.7,122.7,7913652
2000-03-22,120.51,121.31,118.67,119.99,119.99,4715073
2000-03-23,122.01,123.58,121.6,122.59,122.59,6133996
2000-03-24,121.96,122.58,121.05,121.82,121.82,8058494
2000-03-27,121.48,121.98,120.3,121.14,121.14,5288530
2000-03-28,121.5,122.74,121.17,121.95,121.95,8540781
2000-03-29,123.34,123.51,122.79,123.15,123.15,5286631
2000-03-30,123.66,124.29,122.74,123.52,123.52,3291065
2000-03-31,122.66,123.64,120.95,122.29,122.29,3545985
2000-04-03,121.07,123.09,120.43,121.76,121.76,3643513
2000-04-04,122.83,123.09,122.61,122.85,122.85,6049405
2000-04-05,125.55,126.09,123.86,124.97,124.97,3641582
2000-04-06,127.23,128.9,126.62,127.76,127.76,4399789
2000-04-07,128.48,129.89,128.11,129.0,129.0,6810768
2000-04-10,131.05,133.92,129.68,131.8,131.8,6329981
2000-04-11,132.2,133.81,131.73,132.77,132.77,4760342
2000-04-12,131.15,131.9,129.91,130.9,130.9,3825640
2000-04-13,131.77,132.58,130.53,131.56,131.56,6308059
2000-04-14,132.43,133.77,130.67,132.22,132.22,3815933
2000-04-17,132.91,134.29,131.9,133.1,133.1,3920299
2000-04-18,137.1,137.26,136.79,137.03,137.03,4804295
2000-04-19,139.15,140.91,138.5,139.7,139.7,5231033
2000-04-20,139.17,139.79,138.54,139.17,139.17,3172434
2000-04-21,136.06,137.24,135.62,136.43,136.43,7816460
2000-04-24,138.56,139.49,136.41,137.95,137.95,4210882
2000-04-25,139.32,139.99,139.14,139.57,139.57,5438219
2000-04-26,136.97,137.47,135.46,136.47,136.47,5167544
2000-04-27,136.25,136.99,135.95,136.47,136.47,8741581
2000-04-28,132.12,133.12,130.51,131.82,131.82,4664095
2000-05-01,132.61,133.0,131.69,132.34,132.34,4698975
2000-05-02,131.01,132.63,130.03,131.33,131.33,5164938
2000-05-03,130.33,130.92,128.55,129.74,129.74,5066446
2000-05-04,131.69,132.09,131.39,131.74,131.74,7062433
2000-05-05,130.26,131.43,129.1,130.26,130.26,4067401
2000-05-08,131.36,132.75,130.7,131.73,131.73,6027866
2000-05-09,130.69,132.13,129.21,130.67,130.67,4687257
2000-05-10,127.97,129.33,126.27,127.8,127.8,3985453
2000-05-11,126.56,128.05,125.3,126.67,126.67,4296900
2000-05-12,127.27,129.58,126.58,128.08,128.08,7193081
2000-05-15,126.74,127.3,125.44,126.37,126.37,8863345
2000-05-16,125.9,127.22,124.11,125.66,125.66,2753956
2000-05-17,124.12,125.22,123.14,124.18,124.18,10635105
2000-05-18,124.08,124.64,123.65,124.15,124.15,4527983
2000-05-19,127.27,128.12,125.71,126.91,126.91,7316327
2000-05-22,124.71,126.04,123.82,124.93,124.93,6175224
2000-05-23,122.0,122.69,121.3,121.99,121.99,4182574
2000-05-24,123.82,124.47,122.81,123.64,123.64,7118392
2000-05-25,124.25,124.48,124.11,124.29,124.29,8447108
2000-05-26,123.38,124.41,122.58,123.49,123.49,3369481
2000-05-29,119.6,121.34,119.17,120.25,120.25,2827079
2000-05-30,121.57,123.66,121.03,122.35,122.35,5441806
2000-05-31,121.46,122.01,120.3,121.15,121.15,3731097
2000-06-01,117.27,117.74,116.32,117.03,117.03,4176963
2000-06-02,114.43,115.61,112.78,114.19,114.19,6925277
2000-06-05,114.29,115.63,113.6,114.61,114.61,5473542
2000-06-06,110.95,112.81,110.23,111.52,111.52,6490289
2000-06-07,112.37,113.69,111.86,112.78,112.78,7958285
2000-06-08,113.93,114.67,112.63,113.65,113.65,5532906
2000-06-09,115.49,116.03,114.85,115.44,115.44,3708080
2000-06-12,114.57,114.61,114.48,114.54,114.54,4380918
2000-06-13,118.97,120.62,117.71,119.17,119.17,6273756
2000-06-14,119.61,120.33,119.39,119.86,119.86,4241565
2000-06-15,122.11,122.74,120.41,121.57,121.57,5487903
2000-06-16,120.04,120.8,118.12,119.46,119.46,6609211
2000-06-19,116.69,117.2,116.45,116.83,116.83,5062894
2000-06-20,118.88,120.19,117.72,118.95,118.95,5292800
2000-06-21,118.52,120.23,117.64,118.94,118.94,8286061
2000-06-22,122.34,122.73,121.93,122.33,122.33,5773505
2000-06-23,121.01,121.94,120.14,121.04,121.04,5487305
2000-06-26,120.5,122.56,119.62,121.09,121.09,4443170
2000-06-27,124.18,125.05,123.7,124.37,124.37,6766835
2000-06-28,124.48,125.38,123.15,124.27,124.27,5034023
2000-06-29,125.91,126.43,125.61,126.02,126.02,3887526
2000-06-30,126.07,126.71,125.45,126.08,126.08,8655055
2000-07-03,128.03,128.96,127.67,128.32,128.32,6598627
2000-07-04,131.74,133.37,130.83,132.1,132.1,5950934
2000-07-05,133.58,134.4,131.63,133.01,133.01,4409934
2000-07-06,134.11,134.98,133.41,134.2,134.2,5359874
2000-07-07,135.59,136.4,134.12,135.26,135.26,3239544
2000-07-10,135.73,136.58,134.61,135.59,135.59,1914737
2000-07-11,138.26,139.66,137.81,138.73,138.73,5017724
2000-07-12,136.88,137.31,135.21,136.26,136.26,7446435
2000-07-13,137.7,139.05,136.61,137.83,137.83,5972260
2000-07-14,139.86,141.05,137.75,139.4,139.4,6788211
2000-07-17,140.2,141.25,137.55,139.4,139.4,4960650
2000-07-18,141.89,142.44,140.53,141.49,141.49,6260688
2000-07-19,139.89,140.57,139.54,140.06,140.06,2214488
2000-07-20,143.87,144.48,142.95,143.71,143.71,4901044
2000-07-21,145.34,147.96,144.37,146.17,146.17,3420835
2000-07-24,148.97,150.5,148.42,149.46,149.46,8585359
2000-07-25,146.65,147.49,145.8,146.65,146.65,4166519
2000-07-26,146.94,148.91,146.25,147.58,147.58,4489670
2000-07-27,147.92,149.27,147.17,148.22,148.22,8697153
2000-07-28,148.25,148.57,148.06,148.31,148.31,6155522
2000-07-31,149.41,150.88,147.98,149.43,149.43,3860017
2000-08-01,146.6,147.27,145.36,146.31,146.31,4239264
2000-08-02,145.77,147.01,143.52,145.26,145.26,8030459
2000-08-03,141.56,143.54,141.01,142.28,142.28,11502960
2000-08-04,145.14,145.55,144.73,145.14,145.14,1614981
2000-08-07,145.78,147.54,144.81,146.18,146.18,8442526
2000-08-08,148.05,149.63,145.79,147.71,147.71,3256430
2000-08-09,146.63,147.28,144.1,145.69,145.69,4972901
2000-08-10,145.33,146.29,143.61,144.95,144.95,3776852
2000-08-11,143.93,144.72,142.9,143.81,143.81,10496442
2000-08-14,140.94,143.01,140.1,141.56,141.56,4263627
2000-08-15,144.49,145.29,143.7,144.49,144.49,3066770
2000-08-16,140.73,142.29,139.27,140.78,140.78,4405391
2000-08-17,141.06,141.84,138.54,140.19,140.19,6577693
2000-08-18,140.54,141.71,140.04,140.87,140.87,4575843
2000-08-21,140.69,141.56,139.28,140.42,140.42,6017748
2000-08-22,142.57,142.59,142.55,142.57,142.57,2001670
2000-08-23,140.17,140.77,138.82,139.8,139.8,5909737
2000-08-24,135.88,136.32,135.47,135.9,135.9,8857764
