,Open,High,Low,Close,Adj Close,Volume
2000-01-03,132.01,133.4,130.6,132.0,132.0,3577440
2000-01-04,132.38,134.1,130.63,132.37,132.37,14856462
2000-01-05,130.82,133.13,129.94,131.53,131.53,9917671
2000-01-06,132.24,133.62,130.97,132.3,132.3,4276538
2000-01-07,133.32,135.16,132.29,133.72,133.72,4298230
2000-01-10,130.45,132.14,129.91,131.02,131.02,15753739
2000-01-11,132.68,133.58,132.32,132.95,132.95,8804023
2000-01-12,132.57,133.89,131.07,132.48,132.48,4948289
2000-01-13,133.53,136.13,132.8,134.46,134.46,15391965
2000-01-14,133.85,135.92,132.97,134.45,134.45,4167331
2000-01-17,132.46,133.59,131.3,132.44,132.44,5252234
2000-01-18,131.9,132.28,131.64,131.96,131.96,4157789
2000-01-19,133.23,135.5,132.47,133.98,133.98,5162083
2000-01-20,135.32,136.34,133.69,135.02,135.02,8574821
2000-01-21,134.99,135.68,132.58,134.13,134.13,5682502
2000-01-24,136.27,137.27,135.47,136.37,136.37,7573131
2000-01-25,137.8,139.17,137.18,138.18,138.18,5309912
2000-01-26,137.17,138.97,136.44,137.71,137.71,1994225
2000-01-27,137.95,139.04,136.94,137.99,137.99,4419739
2000-01-28,140.2,140.77,139.18,139.97,139.97,12401349
2000-01-31,140.79,141.81,139.85,140.83,140.83,8391518
2000-02-01,140.71,141.51,140.02,140.76,140.76,9010579
2000-02-02,141.61,142.02,140.11,141.06,141.06,3428788
2000-02-03,138.87,139.93,138.34,139.13,139.13,4159901
2000-02-04,136.42,137.63,135.86,136.74,136.74,4610286
2000-02-07,136.78,137.78,135.22,136.5,136.5,5816302
2000-02-08,133.77,134.47,132.58,133.52,133.52,6066355
2000-02-09,134.47,135.03,132.79,133.91,133.91,5402619
2000-02-10,134.86,135.66,133.66,134.66,134.66,10135660
2000-02-11,134.01,134.78,133.27,134.02,134.02,5746549
2000-02-14,133.15,133.83,132.68,133.25,133.25,8192833
2000-02-15,131.35,133.25,130.84,132.04,132.04,4591108
2000-02-16,133.28,134.6,131.85,133.23,133.23,6216680
2000-02-17,129.74,130.95,129.38,130.17,130.17,5493071
2000-02-18,127.65,128.62,126.87,127.74,127.74,4111221
2000-02-21,128.33,129.6,127.52,128.56,128.56,5639678
2000-02-22,128.84,128.93,128.57,128.75,128.75,2603982
2000-02-23,130.09,130.38,129.98,130.18,130.18,6435970
2000-02-24,130.6,131.93,129.79,130.86,130.86,5756360
2000-02-25,132.66,133.64,131.35,132.49,132.49,3553604
2000-02-28,132.92,133.38,131.37,132.38,132.38,2178602
2000-02-29,133.4,134.38,132.53,133.46,133.46,6037672
2000-03-01,135.19,135.43,134.6,135.02,135.02,3973918
2000-03-02,134.93,137.18,133.86,135.52,135.52,4498412
2000-03-03,135.88,137.19,135.34,136.27,136.27,7363684
2000-03-06,135.96,138.35,135.18,136.77,136.77,5965375
2000-03-07,136.89,138.04,135.17,136.6,136.6,6093246
2000-03-08,134.52,135.0,133.21,134.11,134.11,3767920
2000-03-09,136.3,136.37,136.22,136.29,136.29,9556442
2000-03-10,138.12,138.69,136.21,137.45,137.45,5158077
2000-03-13,134.37,136.6,132.92,134.76,134.76,8337086
2000-03-14,133.07,134.82,131.68,133.25,133.25,7085721
2000-03-15,132.88,133.39,131.74,132.57,132.57,8389768
2000-03-16,131.35,132.42,129.73,131.08,131.08,5976538
2000-03-17,129.28,129.85,127.91,128.88,128.88,3226530
2000-03-20,130.98,131.97,130.2,131.08,131.08,6339969
2000-03-21,131.54,132.29,131.02,131.66,131.66,9713169
2000-03-22,132.36,133.84,130.56,132.2,132.2,8425044
2000-03-23,128.97,129.47,128.52,128.99,128.99,4370787
2000-03-24,130.95,132.18,130.53,131.35,131.35,3646350
2000-03-27,132.05,134.08,131.37,132.73,132.73,4014761
2000-03-28,132.75,134.76,131.05,132.91,132.91,10793484
2000-03-29,132.07,133.06,131.18,132.12,132.12,10748367
2000-03-30,131.0,132.72,130.45,131.58,131.58,4578329
2000-03-31,130.89,131.66,129.71,130.69,130.69,7077035
2000-04-03,127.74,128.83,126.7,127.76,127.76,7766888
2000-04-04,127.47,128.55,127.05,127.8,127.8,4438631
2000-04-05,126.8,128.48,126.05,127.26,127.26,3003977
2000-04-06,126.1,128.1,125.17,126.64,126.64,10639162
2000-04-07,127.38,127.91,126.58,127.25,127.25,3452329
2000-04-10,127.11,129.3,126.47,127.89,127.89,6259322
2000-04-11,129.39,130.07,127.12,128.59,128.59,6874517
2000-04-12,126.81,129.44,125.51,127.47,127.47,7047694
2000-04-13,128.86,130.1,127.5,128.8,128.8,2693675
2000-04-14,126.65,127.27,124.87,126.07,126.07,4351567
2000-04-17,123.92,125.54,123.39,124.46,124.46,3433508
2000-04-18,125.34,125.76,123.95,124.86,124.86,5330448
2000-04-19,122.58,124.24,121.55,122.89,122.89,2971951
2000-04-20,124.79,125.9,123.74,124.82,124.82,5271244
2000-04-21,123.75,124.23,122.58,123.4,123.4,5904330
2000-04-24,123.74,124.33,123.33,123.83,123.83,9049204
2000-04-25,124.82,126.21,123.12,124.67,124.67,6214650
2000-04-26,120.7,121.18,119.96,120.57,120.57,2822980
2000-04-27,118.85,120.67,118.37,119.52,119.52,4401020
2000-04-28,121.3,122.28,120.68,121.48,121.48,4350773
2000-05-01,121.18,121.44,120.42,120.93,120.93,1788200
2000-05-02,119.85,120.44,118.23,119.34,119.34,6576961
2000-05-03,120.87,121.84,120.07,120.95,120.95,3711106
2000-05-04,119.76,120.96,119.21,120.08,120.08,3705856
2000-05-05,120.7,120.91,119.92,120.41,120.41,10525205
2000-05-08,119.8,121.08,119.17,120.13,120.13,3639039
2000-05-09,119.2,119.68,118.64,119.16,119.16,6758357
2000-05-10,119.91,120.19,118.94,119.57,119.57,9240733
2000-05-11,119.53,121.81,118.83,120.32,120.32,5110042
2000-05-12,118.74,120.26,117.78,119.02,119.02,5611788
2000-05-15,120.41,120.98,119.18,120.08,120.08,3516898
2000-05-16,118.32,119.94,117.26,118.6,118.6,3984047
2000-05-17,120.09,121.49,118.65,120.07,120.07,6622817
2000-05-18,120.2,121.0,119.52,120.26,120.26,2629501
2000-05-19,121.18,123.52,120.52,122.02,122.02,6404359
2000-05-22,121.89,123.46,120.29,121.88,121.88,4056404
2000-05-23,123.56,124.3,123.07,123.68,123.68,6808211
2000-05-24,123.48,125.22,122.42,123.82,123.82,7815903
2000-05-25,125.23,125.58,124.21,124.9,124.9,3534161
2000-05-26,123.92,124.6,122.9,123.75,123.75,5514908
2000-05-29,124.67,125.37,123.13,124.25,124.25,5749277
2000-05-30,126.45,126.7,125.54,126.12,126.12,4356818
2000-05-31,126.09,127.46,124.13,125.79,125.79,6570431
2000-06-01,125.84,128.29,125.05,126.67,126.67,3723739
2000-06-02,128.63,130.07,127.72,128.89,128.89,9400413
2000-06-05,129.82,131.06,128.24,129.65,129.65,8392307
2000-06-06,133.26,133.75,131.63,132.69,132.69,3518451
2000-06-07,133.12,133.71,132.1,132.9,132.9,4555083
2000-06-08,130.68,131.47,128.35,129.91,129.91,6836228
2000-06-09,131.25,132.07,129.24,130.65,130.65,2972350
2000-06-12,133.56,134.22,132.03,133.13,133.13,6632860
2000-06-13,132.48,134.46,131.62,133.04,133.04,4866888
2000-06-14,133.41,134.82,132.01,133.42,133.42,3978504
2000-06-15,134.91,135.7,132.82,134.26,134.26,9720820
2000-06-16,134.84,135.57,132.81,134.19,134.19,13337426
2000-06-19,136.53,138.5,135.98,137.24,137.24,5160449
2000-06-20,136.75,139.52,135.9,137.71,137.71,4185356
2000-06-21,138.47,140.46,137.03,138.75,138.75,6642418
2000-06-22,140.53,141.85,139.36,140.6,140.6,6200453
2000-06-23,140.95,140.96,140.94,140.95,140.95,4313978
2000-06-26,141.61,143.67,141.03,142.35,142.35,5609760
2000-06-27,141.78,142.95,139.75,141.35,141.35,11506581
2000-06-28,140.12,140.62,138.36,139.49,139.49,4261681
2000-06-29,141.34,142.37,139.64,141.01,141.01,3558088
2000-06-30,140.62,141.7,139.94,140.82,140.82,6034041
2000-07-03,141.01,141.4,139.45,140.43,140.43,7225843
2000-07-04,140.19,141.39,137.97,139.68,139.68,5868372
2000-07-05,139.09,140.99,138.58,139.79,139.79,5973902
2000-07-06,141.42,142.37,140.1,141.24,141.24,8063976
2000-07-07,144.69,145.72,143.61,144.66,144.66,3809342
2000-07-10,145.26,146.63,144.83,145.73,145.73,6036952
2000-07-11,144.96,146.19,144.15,145.17,145.17,10216186
2000-07-12,144.59,145.88,144.05,144.96,144.96,5732832
2000-07-13,145.0,145.71,144.35,145.03,145.03,4910532
2000-07-14,144.93,146.07,144.06,145.07,145.07,4002695
2000-07-17,146.82,148.67,145.99,147.33,147.33,6509746
2000-07-18,147.53,147.75,147.2,147.48,147.48,3610064
2000-07-19,148.82,151.1,147.95,149.53,149.53,8349995
2000-07-20,150.81,151.21,149.94,150.57,150.57,3736177
2000-07-21,148.99,150.22,148.39,149.31,149.31,4483365
2000-07-24,150.34,152.89,149.41,151.15,151.15,2789352
2000-07-25,148.3,149.11,147.04,148.07,148.07,6267994
2000-07-26,148.35,149.14,146.84,147.99,147.99,6035459
2000-07-27,147.37,148.31,145.82,147.06,147.06,2883053
2000-07-28,146.61,147.26,146.24,146.75,146.75,4483390
2000-07-31,149.33,150.19,147.89,149.04,149.04,7214765
2000-08-01,148.61,150.06,147.69,148.88,148.88,2133895
2000-08-02,151.21,152.15,150.8,151.47,151.47,9824387
2000-08-03,149.62,149.92,148.57,149.25,149.25,2651824
2000-08-04,148.08,149.65,146.38,148.01,148.01,6797200
2000-08-07,148.43,149.46,147.82,148.64,148.64,6531049
2000-08-08,147.93,149.29,146.52,147.9,147.9,6032484
2000-08-09,148.45,149.8,147.52,148.66,148.66,8631584
2000-08-10,149.21,150.56,148.7,149.63,149.63,5218657
2000-08-11,149.92,151.21,148.97,150.09,150.09,3388762
2000-08-14,148.84,150.34,148.0,149.17,149.17,4646686
2000-08-15,147.13,149.39,146.54,147.96,147.96,5801820
2000-08-16,145.18,146.03,144.26,145.15,145.15,3354790
2000-08-17,145.72,147.67,144.68,146.18,146.18,7262210
2000-08-18,146.96,148.97,145.2,147.09,147.09,8121929
2000-08-21,147.31,148.68,146.92,147.8,147.8,7173401
2000-08-22,151.7,152.68,150.29,151.49,151.49,4333202
2000-08-23,156.12,157.1,155.56,156.33,156.33,5571173
2000-08-24,157.54,158.77,156.0,157.38,157.38,3567660
2000-08-25,158.46,159.71,157.82,158.77,158.77,5311335
2000-08-28,163.4,164.58,163.06,163.82,163.82,3443723
2000-08-29,162.98,164.08,161.84,162.96,162.96,4714722
2000-08-30,159.05,160.15,158.28,159.22,159.22,5066989
2000-08-31,157.79,160.21,156.98,158.6,158.6,8522668
2000-09-01,158.56,159.44,157.39,158.41,158.41,6943820
2000-09-04,159.72,159.99,158.97,159.48,159.48,4295734
2000-09-05,159.7,160.56,157.49,159.02,159.02,6143669
2000-09-06,161.51,162.68,159.91,161.3,161.3,4016482
2000-09-07,161.52,163.88,160.39,162.13,162.13,4737539
2000-09-08,165.11,166.57,163.45,165.01,165.01,4058150
2000-09-11,166.49,167.77,164.15,165.96,165.96,4266560
2000-09-12,165.28,167.12,164.29,165.71,165.71,16389089
2000-09-13,164.38,165.58,162.2,163.89,163.89,3232994
2000-09-14,162.15,162.9,160.74,161.82,161.82,6605517
2000-09-15,162.04,162.53,160.89,161.71,161.71,6175142
2000-09-18,162.62,164.21,161.62,162.92,162.92,3068119
2000-09-19,162.47,163.58,160.98,162.28,162.28,4069042
2000-09-20,163.98,165.06,161.9,163.48,163.48,5561366
2000-09-21,160.22,160.76,159.54,160.15,160.15,3150077
2000-09-22,160.35,160.75,159.53,160.14,160.14,2509629
2000-09-25,159.11,160.18,158.61,159.39,159.39,4303058
2000-09-26,153.17,153.97,152.06,153.01,153.01,7505511
2000-09-27,151.86,153.77,151.05,152.41,152.41,4771942
2000-09-28,152.25,152.8,151.18,151.99,151.99,5154885
2000-09-29,154.84,155.06,154.33,154.69,154.69,5072158
2000-10-02,155.96,156.7,154.59,155.64,155.64,5988104
2000-10-03,155.47,156.33,155.18,155.75,155.75,3425321
2000-10-04,156.41,156.88,155.73,156.3,156.3,4983831
2000-10-05,157.98,158.48,156.23,157.36,157.36,5525371
2000-10-06,157.11,158.77,156.46,157.62,157.62,7501141
2000-10-09,153.76,155.76,153.15,154.45,154.45,5694422
2000-10-10,153.06,154.43,151.65,153.04,153.04,6630106
2000-10-11,157.16,158.11,156.32,157.21,157.21,6189091
2000-10-12,156.6,158.94,155.85,157.4,157.4,3435593
2000-10-13,159.73,162.1,157.71,159.9,159.9,7195980
2000-10-16,162.5,163.9,162.02,162.96,162.96,4079371
2000-10-17,164.33,165.75,162.25,164.0,164.0,5703117
2000-10-18,162.55,164.48,161.96,163.22,163.22,5668930
2000-10-19,162.37,162.63,161.54,162.08,162.08,3485685
2000-10-20,165.18,165.96,162.98,164.47,164.47,4840716
2000-10-23,163.39,166.28,162.27,164.27,164.27,6959772
2000-10-24,165.17,167.32,163.25,165.29,165.29,9420654
2000-10-25,163.32,164.92,162.41,163.66,163.66,6419756
2000-10-26,161.97,163.22,160.14,161.68,161.68,3679728
2000-10-27,164.15,165.73,162.63,164.18,164.18,4718157
2000-10-30,169.52,172.71,168.32,170.52,170.52,4605425
2000-10-31,171.21,173.46,169.06,171.26,171.26,5185346
2000-11-01,170.69,173.21,169.51,171.36,171.36,3989981
2000-11-02,169.24,170.31,168.2,169.25,169.25,4786778
2000-11-03,170.89,171.75,168.69,170.22,170.22,5692123
2000-11-06,169.63,170.97,169.15,170.06,170.06,4155885
2000-11-07,168.12,169.25,164.87,167.06,167.06,4806233
2000-11-08,167.01,168.37,165.83,167.1,167.1,8801585
2000-11-09,167.92,170.33,166.62,168.48,168.48,4738195
2000-11-10,168.29,171.58,166.73,169.15,169.15,9474546
2000-11-13,169.23,172.21,168.29,170.25,170.25,3298783
2000-11-14,170.53,171.14,168.17,169.66,169.66,6437452
2000-11-15,169.21,170.25,168.92,169.59,169.59,6181655
2000-11-16,167.76,168.49,165.7,167.1,167.1,11600744
2000-11-17,166.09,166.53,164.34,165.44,165.44,9582867
2000-11-20,165.64,166.58,163.28,164.93,164.93,4435399
2000-11-21,165.55,165.94,164.34,165.14,165.14,5740716
2000-11-22,162.74,164.59,161.43,163.01,163.01,3192538
2000-11-23,160.01,161.26,158.08,159.67,159.67,4690627
2000-11-24,158.37,159.38,157.4,158.39,158.39,12881234
2000-11-27,160.12,161.74,159.66,160.7,160.7,5418068
2000-11-28,160.27,163.04,158.65,160.85,160.85,7500603
2000-11-29,159.11,160.65,158.27,159.46,159.46,6509390
2000-11-30,157.0,158.25,155.94,157.09,157.09,2943519
2000-12-01,157.19,158.12,154.4,156.26,156.26,18009701
2000-12-04,154.97,156.91,152.39,154.65,154.65,9069770
2000-12-05,157.1,158.55,155.58,157.06,157.06,5196984
2000-12-06,156.7,157.31,155.77,156.54,156.54,5347512
2000-12-07,155.74,156.71,154.32,155.51,155.51,6558171
2000-12-08,155.25,156.07,153.21,154.64,154.64,2742312
2000-12-11,151.01,154.03,150.1,152.07,152.07,4050329
2000-12-12,151.05,152.15,150.74,151.45,151.45,6892811
2000-12-13,152.73,153.84,151.12,152.48,152.48,3608311
2000-12-14,151.71,152.84,151.26,152.05,152.05,5947878
2000-12-15,150.1,151.43,149.26,150.34,150.34,7468946
2000-12-18,148.45,150.12,146.33,148.23,148.23,5077245
2000-12-19,148.3,150.18,147.73,148.95,148.95,3476530
2000-12-20,150.54,151.31,148.83,150.07,150.07,4400192
2000-12-21,146.86,148.28,145.9,147.09,147.09,7327994
2000-12-22,147.55,148.86,146.87,147.87,147.87,3947836
2000-12-25,146.9,147.69,144.28,145.99,145.99,4482926
2000-12-26,144.88,145.85,144.28,145.07,145.07,8341533
2000-12-27,144.1,145.36,143.11,144.23,144.23,7483070
2000-12-28,147.02,148.65,146.03,147.34,147.34,13035794
2000-12-29,145.21,145.8,143.54,144.67,144.67,5076907
2001-01-01,146.6,147.31,144.71,146.01,146.01,4685551
2001-01-02,144.68,145.56,143.64,144.6,144.6,3823245
2001-01-03,142.17,143.73,141.41,142.57,142.57,6185888
2001-01-04,144.07,145.36,143.6,144.48,144.48,4836364
