,Open,High,Low,Close,Adj Close,Volume
2000-01-03,11.77,11.86,11.67,11.77,11.77,5067794
2000-01-04,11.59,11.68,11.49,11.59,11.59,5199074
2000-01-05,11.96,12.06,11.86,11.96,11.96,5215931
2000-01-06,11.82,11.91,11.72,11.82,11.82,2774286
2000-01-07,12.11,12.2,12.01,12.11,12.11,8451960
2000-01-10,11.97,12.07,11.88,11.97,11.97,7756619
2000-01-11,12.42,12.52,12.32,12.42,12.42,4855293
2000-01-12,12.33,12.43,12.24,12.33,12.33,4090476
2000-01-13,12.57,12.67,12.47,12.57,12.57,12241866
2000-01-14,12.55,12.66,12.45,12.55,12.55,3408334
2000-01-17,12.46,12.56,12.36,12.46,12.46,5671823
2000-01-18,12.64,12.74,12.54,12.64,12.64,3102629
2000-01-19,12.77,12.87,12.67,12.77,12.77,7009904
2000-01-20,13.18,13.29,13.08,13.18,13.18,6483811
2000-01-21,13.22,13.33,13.11,13.22,13.22,5467559
2000-01-24,13.43,13.54,13.32,13.43,13.43,5550798
2000-01-25,13.48,13.59,13.37,13.48,13.48,4696868
2000-01-26,13.47,13.58,13.36,13.47,13.47,4200376
2000-01-27,13.51,13.61,13.4,13.51,13.51,4404092
2000-01-28,13.04,13.14,12.94,13.04,13.04,7811036
2000-01-31,13.21,13.31,13.1,13.21,13.21,8199487
2000-02-01,13.29,13.4,13.19,13.29,13.29,8531253
2000-02-02,13.35,13.46,13.24,13.35,13.35,6944301
2000-02-03,12.95,13.06,12.85,12.95,12.95,4904648
2000-02-04,13.17,13.28,13.07,13.17,13.17,4053609
2000-02-07,13.39,13.5,13.29,13.39,13.39,12723826
2000-02-08,13.4,13.5,13.29,13.4,13.4,7315635
2000-02-09,13.65,13.76,13.54,13.65,13.65,2731504
2000-02-10,13.61,13.71,13.5,13.61,13.61,6197031
2000-02-11,13.85,13.97,13.74,13.85,13.85,5248892
2000-02-14,13.93,14.04,13.82,13.93,13.93,12595990
2000-02-15,14.04,14.15,13.92,14.04,14.04,5803788
2000-02-16,14.15,14.26,14.04,14.15,14.15,5875540
2000-02-17,14.15,14.26,14.04,14.15,14.15,6830815
2000-02-18,14.28,14.4,14.17,14.28,14.28,6590361
2000-02-21,14.28,14.4,14.17,14.28,14.28,4776364
2000-02-22,14.14,14.26,14.03,14.14,14.14,8496819
2000-02-23,14.2,14.32,14.09,14.2,14.2,2890316
2000-02-24,14.46,14.57,14.34,14.46,14.46,6494486
2000-02-25,14.32,14.43,14.2,14.32,14.32,6953535
2000-02-28,14.18,14.3,14.07,14.18,14.18,3871409
2000-02-29,14.09,14.2,13.98,14.09,14.09,12483173
2000-03-01,13.85,13.96,13.74,13.85,13.85,4517912
2000-03-02,13.69,13.8,13.58,13.69,13.69,6360591
2000-03-03,14.04,14.16,13.93,14.04,14.04,5297277
2000-03-06,14.32,14.43,14.2,14.32,14.32,4531024
2000-03-07,14.25,14.36,14.13,14.25,14.25,4533573
2000-03-08,13.96,14.07,13.84,13.96,13.96,8156031
