,Open,High,Low,Close,Adj Close,Volume
2000-01-03,140.47,141.89,140.11,141.0,141.0,9155369
2000-01-04,138.34,138.94,136.45,137.69,137.69,6458064
2000-01-05,134.52,135.3,133.98,134.64,134.64,8078049
2000-01-06,136.86,138.52,136.14,137.33,137.33,5280764
2000-01-07,133.94,134.7,133.67,134.18,134.18,3712141
2000-01-10,135.43,136.54,134.99,135.77,135.77,3999513
2000-01-11,137.1,138.61,135.88,137.25,137.25,6700756
2000-01-12,135.19,135.94,135.0,135.47,135.47,2787044
2000-01-13,136.93,138.29,135.16,136.72,136.72,3400125
2000-01-14,138.69,140.07,138.12,139.09,139.09,2662152
2000-01-17,141.17,141.96,140.65,141.3,141.3,4031470
2000-01-18,139.81,142.15,139.18,140.67,140.67,9318395
2000-01-19,142.14,143.36,141.78,142.57,142.57,7185219
2000-01-20,144.94,145.84,143.84,144.84,144.84,7144541
2000-01-21,146.9,148.2,145.56,146.88,146.88,3339919
2000-01-24,144.76,145.58,143.87,144.73,144.73,6160486
2000-01-25,146.44,147.23,144.46,145.85,145.85,5293263
2000-01-26,149.91,150.59,147.53,149.06,149.06,5627258
2000-01-27,149.05,149.78,146.98,148.38,148.38,4465797
2000-01-28,142.77,144.21,142.24,143.22,143.22,5405601
2000-01-31,147.98,149.57,145.82,147.69,147.69,3010307
2000-02-01,144.28,146.58,143.04,144.81,144.81,3911571
2000-02-02,142.53,145.13,141.8,143.46,143.46,2047009
2000-02-03,139.36,140.85,138.81,139.83,139.83,3685766
2000-02-04,139.45,141.5,138.75,140.13,140.13,6248446
2000-02-07,143.26,144.61,142.17,143.39,143.39,5644846
2000-02-08,141.23,143.74,140.24,141.99,141.99,4823358
2000-02-09,138.7,139.33,137.29,138.31,138.31,4874996
2000-02-10,136.95,137.53,136.21,136.87,136.87,11168531
2000-02-11,137.45,138.9,135.56,137.23,137.23,5105424
2000-02-14,136.79,137.06,135.79,136.42,136.42,3190728
2000-02-15,137.8,139.94,136.82,138.38,138.38,3802725
2000-02-16,140.43,140.92,139.61,140.26,140.26,4544164
2000-02-17,148.02,148.89,146.01,147.45,147.45,4355336
2000-02-18,148.12,149.24,147.32,148.28,148.28,4363899
2000-02-21,148.13,148.73,147.14,147.94,147.94,4941132
2000-02-22,151.38,152.56,149.69,151.13,151.13,4379051
2000-02-23,155.02,155.19,154.67,154.93,154.93,5715170
2000-02-24,151.43,152.76,150.3,151.53,151.53,5396661
2000-02-25,153.77,155.34,152.48,153.91,153.91,6448669
2000-02-28,161.84,163.06,159.7,161.38,161.38,5928085
2000-02-29,158.46,161.18,157.65,159.41,159.41,5558196
2000-03-01,159.75,159.96,159.33,159.65,159.65,3934036
2000-03-02,162.27,162.59,161.06,161.83,161.83,4492850
2000-03-03,158.92,160.52,157.9,159.21,159.21,3018994
2000-03-06,153.08,156.01,152.02,154.01,154.01,5588846
2000-03-07,156.01,156.36,155.05,155.71,155.71,10137515
2000-03-08,152.92,153.73,150.67,152.2,152.2,8751171
2000-03-09,152.94,153.0,152.71,152.86,152.86,3531834
2000-03-10,147.54,149.38,146.79,148.08,148.08,4412261
2000-03-13,146.92,148.06,144.79,146.42,146.42,7744163
2000-03-14,147.46,148.06,146.77,147.42,147.42,4891613
2000-03-15,143.11,144.34,142.11,143.23,143.23,3496029
2000-03-16,147.19,148.4,146.88,147.64,147.64,8864766
2000-03-17,144.76,146.58,143.75,145.16,145.16,3180414
2000-03-20,141.83,143.14,141.05,142.1,142.1,8604968
2000-03-21,141.02,142.25,139.95,141.1,141.1,5708100
2000-03-22,145.09,147.02,143.44,145.23,145.23,2878640
2000-03-23,150.72,152.16,148.23,150.19,150.19,6213440
2000-03-24,152.76,153.24,151.11,152.17,152.17,4693788
2000-03-27,151.92,153.33,151.06,152.2,152.2,3434203
2000-03-28,151.58,152.59,150.48,151.54,151.54,3887897
2000-03-29,149.59,151.67,148.18,149.93,149.93,5973209
2000-03-30,152.76,153.14,151.35,152.25,152.25,6109945
2000-03-31,148.45,149.94,147.91,148.92,148.92,2982690
2000-04-03,149.43,151.06,148.9,149.98,149.98,6325646
2000-04-04,147.38,148.84,145.21,147.03,147.03,6480622
2000-04-05,149.35,149.85,149.01,149.43,149.43,3838511
2000-04-06,152.32,152.99,150.79,151.89,151.89,6255991
2000-04-07,154.88,157.04,153.55,155.29,155.29,6741845
2000-04-10,153.84,155.23,152.33,153.78,153.78,2453864
2000-04-11,155.05,155.81,152.83,154.32,154.32,5102840
2000-04-12,150.39,150.41,150.38,150.4,150.4,5593442
2000-04-13,148.03,149.04,147.39,148.21,148.21,4868614
2000-04-14,149.0,150.24,145.34,147.79,147.79,8531353
2000-04-17,152.02,153.33,151.13,152.23,152.23,8728894
2000-04-18,151.67,152.26,150.84,151.55,151.55,3829994
2000-04-19,149.05,150.52,148.1,149.31,149.31,5992195
2000-04-20,144.49,145.37,143.59,144.48,144.48,4059441
2000-04-21,143.02,143.87,142.05,142.96,142.96,8120778
2000-04-24,141.25,142.05,140.14,141.09,141.09,8253822
2000-04-25,136.48,137.6,136.18,136.89,136.89,6109563
2000-04-26,139.03,140.05,137.78,138.92,138.92,3050570
2000-04-27,132.5,134.12,131.4,132.76,132.76,4597580
2000-04-28,133.11,134.56,131.73,133.14,133.14,3057627
2000-05-01,134.24,135.14,133.2,134.17,134.17,4662660
2000-05-02,131.75,133.0,130.91,131.95,131.95,3329563
2000-05-03,134.51,136.35,133.97,135.16,135.16,6349540
2000-05-04,134.13,135.72,133.36,134.54,134.54,6046636
2000-05-05,133.22,134.82,131.0,132.91,132.91,5059270
2000-05-08,135.45,136.72,134.78,135.75,135.75,11314700
2000-05-09,137.42,139.29,136.92,138.1,138.1,13080191
2000-05-10,139.76,140.54,138.47,139.5,139.5,4503351
2000-05-11,144.16,144.96,143.49,144.23,144.23,8053630
2000-05-12,140.82,141.73,139.03,140.38,140.38,5068423
2000-05-15,140.47,140.61,140.29,140.45,140.45,8174697
2000-05-16,142.05,142.83,139.28,141.06,141.06,4783274
2000-05-17,141.32,141.77,140.96,141.36,141.36,3231981
2000-05-18,141.78,143.01,140.77,141.89,141.89,4599584
2000-05-19,138.73,140.01,138.15,139.08,139.08,4644329
2000-05-22,139.54,140.09,138.4,139.25,139.25,4663081
2000-05-23,134.92,135.15,134.45,134.8,134.8,4502867
