,Open,High,Low,Close,Adj Close,Volume
2000-01-03,161.28,163.32,160.68,162.0,162.0,5062179
2000-01-04,161.16,162.26,159.92,161.09,161.09,12291142
2000-01-05,163.32,164.15,162.28,163.22,163.22,3210360
2000-01-06,161.78,162.36,160.57,161.46,161.46,4530530
2000-01-07,163.61,164.58,162.63,163.61,163.61,5328698
2000-01-10,162.19,164.63,161.07,162.85,162.85,6452778
2000-01-11,159.78,161.03,158.91,159.97,159.97,5296481
2000-01-12,162.37,165.48,161.12,163.3,163.3,3259599
2000-01-13,166.16,166.59,165.27,165.93,165.93,5330836
2000-01-14,169.69,171.28,168.78,170.03,170.03,7744660
2000-01-17,171.84,172.52,169.31,170.92,170.92,3384438
2000-01-18,172.63,175.17,171.23,173.2,173.2,3887121
2000-01-19,174.73,175.3,173.23,174.26,174.26,11540164
2000-01-20,173.89,175.52,172.61,174.06,174.06,6191276
2000-01-21,173.96,175.01,172.9,173.96,173.96,6058234
2000-01-24,171.91,173.22,170.18,171.7,171.7,6573467
2000-01-25,167.79,168.97,167.19,168.08,168.08,4748491
2000-01-26,168.85,171.42,167.59,169.51,169.51,6180664
2000-01-27,167.57,169.64,166.94,168.29,168.29,10951942
2000-01-28,167.36,168.8,166.41,167.61,167.61,6946020
2000-01-31,170.43,172.58,168.29,170.43,170.43,7346652
2000-02-01,171.41,172.08,170.39,171.24,171.24,7964921
2000-02-02,173.84,175.75,172.99,174.37,174.37,3612141
2000-02-03,173.45,174.08,172.19,173.13,173.13,11514848
2000-02-04,170.55,171.6,167.82,169.71,169.71,8013441
2000-02-07,169.56,170.79,167.46,169.13,169.13,4321840
2000-02-08,170.82,172.2,170.46,171.33,171.33,6067078
2000-02-09,168.94,171.14,168.07,169.61,169.61,6295571
2000-02-10,170.71,171.59,170.22,170.91,170.91,2842471
2000-02-11,166.64,167.83,165.7,166.77,166.77,5190935
2000-02-14,164.97,165.61,163.05,164.33,164.33,3586759
2000-02-15,162.4,164.28,160.84,162.56,162.56,11257448
2000-02-16,160.03,162.19,158.91,160.55,160.55,8103860
2000-02-17,160.9,161.47,160.44,160.96,160.96,3529638
2000-02-18,160.62,161.16,159.53,160.35,160.35,9087265
2000-02-21,159.62,160.07,157.84,158.95,158.95,4070087
2000-02-22,159.17,161.42,157.74,159.58,159.58,4158227
2000-02-23,156.42,157.5,155.7,156.6,156.6,5967439
2000-02-24,157.05,158.01,154.77,156.39,156.39,3590632
2000-02-25,152.26,153.9,151.41,152.66,152.66,5719825
2000-02-28,156.72,157.37,155.39,156.38,156.38,3777823
2000-02-29,154.73,155.28,153.11,154.19,154.19,6530312
2000-03-01,152.11,153.5,151.08,152.29,152.29,6485843
2000-03-02,150.49,152.49,149.69,151.09,151.09,7715778
2000-03-03,145.48,146.78,144.91,145.84,145.84,9477125
2000-03-06,145.28,145.84,143.18,144.51,144.51,9360049
2000-03-07,146.24,148.34,145.61,146.97,146.97,3763280
2000-03-08,148.2,148.85,147.41,148.13,148.13,8611624
2000-03-09,148.8,150.47,146.8,148.63,148.63,4097998
2000-03-10,149.93,150.89,149.56,150.23,150.23,6449592
2000-03-13,150.62,151.75,150.3,151.02,151.02,6192956
2000-03-14,152.86,153.52,151.94,152.73,152.73,2098152
2000-03-15,151.17,151.54,150.4,150.97,150.97,7452107
2000-03-16,150.8,151.22,150.16,150.69,150.69,3954038
2000-03-17,147.59,148.12,146.89,147.51,147.51,7119982
2000-03-20,148.68,149.91,147.01,148.46,148.46,3708297
2000-03-21,151.17,151.87,150.56,151.22,151.22,3562851
2000-03-22,152.64,153.65,150.74,152.2,152.2,4836151
2000-03-23,153.69,154.37,152.49,153.43,153.43,4941319
2000-03-24,151.74,152.28,151.06,151.67,151.67,6840127
2000-03-27,154.68,155.4,153.21,154.31,154.31,6411152
2000-03-28,155.08,156.24,154.13,155.18,155.18,6732893
2000-03-29,155.59,156.47,154.24,155.36,155.36,5447276
2000-03-30,154.67,156.02,153.68,154.85,154.85,2422285
2000-03-31,160.18,161.73,159.25,160.49,160.49,4680245
2000-04-03,161.09,162.32,158.87,160.59,160.59,6530281
2000-04-04,160.49,161.87,159.52,160.7,160.7,4028510
2000-04-05,158.03,158.67,156.93,157.8,157.8,4531448
2000-04-06,158.32,160.09,157.29,158.69,158.69,3574293
2000-04-07,157.2,158.83,154.65,156.74,156.74,2828239
2000-04-10,159.3,160.48,159.0,159.74,159.74,2332223
2000-04-11,158.5,160.49,157.57,159.03,159.03,8713620
2000-04-12,163.11,164.65,161.84,163.25,163.25,5489170
2000-04-13,160.0,160.84,158.72,159.78,159.78,8532792
2000-04-14,160.22,161.02,158.13,159.57,159.57,2280421
2000-04-17,163.91,164.92,162.59,163.76,163.76,2778166
2000-04-18,162.27,163.93,160.15,162.04,162.04,6562143
2000-04-19,162.79,163.09,162.35,162.72,162.72,7305544
2000-04-20,163.99,165.86,162.84,164.35,164.35,8338357
2000-04-21,166.73,167.17,165.88,166.53,166.53,3671950
2000-04-24,171.26,172.75,169.72,171.24,171.24,8314310
2000-04-25,170.44,172.13,169.15,170.64,170.64,11153290
2000-04-26,165.53,167.05,164.81,165.93,165.93,6150424
2000-04-27,167.91,168.5,167.4,167.95,167.95,7891644
2000-04-28,169.6,171.91,168.83,170.37,170.37,5819977
2000-05-01,169.92,172.47,168.76,170.62,170.62,3822807
2000-05-02,171.86,172.41,170.4,171.41,171.41,4565928
2000-05-03,174.22,175.58,173.36,174.47,174.47,6362369
2000-05-04,173.5,175.34,172.66,174.0,174.0,4247305
2000-05-05,174.62,176.19,173.95,175.07,175.07,6445928
2000-05-08,175.24,175.78,173.85,174.81,174.81,2273895
2000-05-09,176.55,177.63,176.01,176.82,176.82,6970453
2000-05-10,177.57,179.0,176.57,177.79,177.79,3131696
2000-05-11,180.18,180.89,179.33,180.11,180.11,7862032
2000-05-12,177.35,179.28,176.37,177.83,177.83,4354207
2000-05-15,183.38,184.96,181.0,182.98,182.98,7980311
2000-05-16,180.19,182.86,179.43,181.14,181.14,3881656
2000-05-17,175.72,176.66,173.65,175.16,175.16,5168924
2000-05-18,171.64,173.44,169.93,171.69,171.69,4635602
2000-05-19,170.78,172.87,169.48,171.17,171.17,5720669
2000-05-22,172.24,172.55,171.48,172.02,172.02,5868007
2000-05-23,171.33,173.04,168.45,170.75,170.75,3940861
2000-05-24,171.46,173.53,170.22,171.87,171.87,9559069
2000-05-25,171.35,172.06,169.28,170.67,170.67,5258979
2000-05-26,169.97,171.62,169.01,170.32,170.32,8706465
2000-05-29,168.52,169.57,168.09,168.83,168.83,6948128
2000-05-30,165.92,166.51,163.68,165.1,165.1,6964553
2000-05-31,166.81,167.51,164.98,166.24,166.24,2345600
2000-06-01,167.1,168.06,165.42,166.74,166.74,5829487
2000-06-02,160.69,163.29,160.03,161.66,161.66,4258370
2000-06-05,159.29,160.6,158.67,159.64,159.64,4632685
2000-06-06,158.13,159.98,156.62,158.3,158.3,3269798
2000-06-07,157.0,159.87,155.99,157.93,157.93,6199275
2000-06-08,154.4,156.48,152.1,154.29,154.29,6820200
2000-06-09,157.23,159.4,156.33,157.87,157.87,10600358
2000-06-12,155.21,155.4,154.94,155.17,155.17,5384705
2000-06-13,154.4,154.79,153.3,154.04,154.04,7852334
2000-06-14,147.66,150.05,146.83,148.44,148.44,4268025
2000-06-15,148.76,149.7,147.51,148.6,148.6,8543706
2000-06-16,147.81,148.47,145.24,146.85,146.85,3790816
2000-06-19,142.27,143.0,141.17,142.08,142.08,5622519
2000-06-20,139.67,141.26,139.13,140.2,140.2,6784614
2000-06-21,141.58,141.92,140.26,141.09,141.09,5065519
2000-06-22,142.92,144.5,142.2,143.35,143.35,12297407
2000-06-23,143.53,144.19,143.09,143.64,143.64,7230225
2000-06-26,143.58,144.01,142.57,143.29,143.29,9446111
2000-06-27,147.27,147.57,147.03,147.3,147.3,6995449
2000-06-28,148.94,149.95,147.22,148.59,148.59,3774285
2000-06-29,150.73,151.33,148.53,149.93,149.93,5275842
2000-06-30,152.32,153.74,150.55,152.14,152.14,9589751
2000-07-03,155.23,157.22,153.95,155.58,155.58,3270109
2000-07-04,151.16,152.58,149.55,151.07,151.07,2774108
2000-07-05,155.8,157.01,154.92,155.97,155.97,9584965
2000-07-06,157.47,159.18,156.26,157.72,157.72,10800337
2000-07-07,160.43,161.93,159.1,160.52,160.52,4121211
2000-07-10,159.61,160.32,157.17,158.74,158.74,7088726
2000-07-11,158.11,159.73,156.69,158.21,158.21,4701342
2000-07-12,156.68,157.79,156.12,156.95,156.95,4667942
2000-07-13,152.39,153.93,151.15,152.54,152.54,6126469
2000-07-14,151.96,155.18,150.92,153.05,153.05,9515651
2000-07-17,153.78,155.86,153.1,154.48,154.48,4934339
2000-07-18,151.75,153.53,151.13,152.33,152.33,6581544
2000-07-19,151.43,152.5,149.98,151.24,151.24,3404038
2000-07-20,148.86,149.41,147.23,148.32,148.32,2806093
2000-07-21,148.0,149.47,146.45,147.96,147.96,4241519
2000-07-24,146.83,148.19,145.77,146.98,146.98,11171505
2000-07-25,146.2,147.72,145.1,146.41,146.41,4557446
2000-07-26,147.44,148.51,144.74,146.63,146.63,3033915
2000-07-27,147.02,148.63,146.07,147.35,147.35,6402109
2000-07-28,145.7,148.33,144.16,146.25,146.25,4060704
2000-07-31,144.71,145.93,144.22,145.08,145.08,4664581
2000-08-01,144.29,145.53,143.03,144.28,144.28,8253426
2000-08-02,144.41,145.29,144.14,144.71,144.71,4732517
2000-08-03,146.92,149.64,145.84,147.74,147.74,5783070
2000-08-04,148.65,149.4,147.69,148.55,148.55,7781775
2000-08-07,149.31,149.89,147.35,148.62,148.62,5984748
2000-08-08,149.91,151.26,148.7,149.98,149.98,2029098
2000-08-09,150.17,151.4,149.08,150.24,150.24,3900906
2000-08-10,150.88,151.51,148.96,150.24,150.24,2553759
2000-08-11,154.43,155.21,152.33,153.77,153.77,6513293
2000-08-14,149.34,149.87,147.62,148.75,148.75,3311617
2000-08-15,149.95,150.76,149.7,150.23,150.23,8236736
2000-08-16,150.81,151.84,148.27,150.06,150.06,5461255
2000-08-17,150.18,151.61,149.74,150.67,150.67,1594194
2000-08-18,153.6,154.54,151.29,152.92,152.92,3985186
2000-08-21,155.91,157.45,153.66,155.55,155.55,9187086
2000-08-22,149.27,151.68,148.44,150.06,150.06,4927551
2000-08-23,147.06,149.27,146.29,147.78,147.78,4012139
2000-08-24,149.32,150.59,146.54,148.57,148.57,3760408
2000-08-25,147.4,147.98,145.72,146.85,146.85,7292740
2000-08-28,149.83,150.65,148.89,149.77,149.77,3225673
2000-08-29,147.8,148.15,146.83,147.49,147.49,7304123
2000-08-30,148.6,149.62,146.01,147.81,147.81,8354480
2000-08-31,146.0,147.15,143.49,145.32,145.32,6764655
2000-09-01,147.96,148.71,146.57,147.64,147.64,6827112
2000-09-04,146.81,147.83,145.52,146.67,146.67,9066177
2000-09-05,145.33,146.39,144.26,145.33,145.33,6242258
2000-09-06,142.01,143.89,140.86,142.38,142.38,10327455
2000-09-07,143.8,144.03,143.41,143.72,143.72,8278731
2000-09-08,140.31,141.83,138.45,140.14,140.14,4496975
2000-09-11,140.16,141.36,138.0,139.68,139.68,12343110
2000-09-12,139.89,140.85,138.17,139.51,139.51,7271086
2000-09-13,134.48,135.18,133.62,134.4,134.4,6075848
2000-09-14,134.06,135.61,133.66,134.64,134.64,5798120
2000-09-15,132.67,133.84,132.02,132.93,132.93,6102450
2000-09-18,128.63,128.93,127.99,128.46,128.46,6830549
2000-09-19,131.52,132.54,130.69,131.61,131.61,15422797
2000-09-20,131.47,132.26,131.22,131.74,131.74,3035906
2000-09-21,132.42,132.84,131.5,132.17,132.17,2196223
2000-09-22,127.26,127.62,127.08,127.35,127.35,7932128
2000-09-25,126.45,128.46,125.44,126.95,126.95,5383055
2000-09-26,127.22,128.12,126.57,127.35,127.35,8496609
2000-09-27,131.04,132.28,130.19,131.24,131.24,3774923
2000-09-28,131.44,132.44,130.57,131.5,131.5,5535775
2000-09-29,132.96,134.08,130.46,132.27,132.27,9562975
2000-10-02,136.5,137.7,135.46,136.58,136.58,3878677
2000-10-03,137.53,138.79,135.68,137.24,137.24,4572693
2000-10-04,136.06,136.99,135.33,136.16,136.16,9611979
2000-10-05,134.64,134.72,134.36,134.54,134.54,5571658
2000-10-06,134.36,136.93,133.7,135.32,135.32,7283422
2000-10-09,138.99,139.61,136.7,138.15,138.15,3263946
2000-10-10,137.73,139.52,136.47,138.0,138.0,6395263
2000-10-11,141.34,143.05,140.77,141.91,141.91,3907051
2000-10-12,141.19,142.88,140.67,141.77,141.77,4529408
2000-10-13,139.39,141.0,138.27,139.63,139.63,6467553
2000-10-16,135.22,135.78,134.18,134.98,134.98,4338489
2000-10-17,134.79,135.32,133.46,134.39,134.39,6904975
2000-10-18,136.28,136.88,135.09,135.98,135.98,3195031
2000-10-19,133.64,134.19,132.16,133.17,133.17,3008466
2000-10-20,131.29,133.74,130.28,132.01,132.01,8965155
2000-10-23,129.5,129.55,129.47,129.51,129.51,6758377
2000-10-24,129.24,131.19,127.57,129.38,129.38,4591847
2000-10-25,128.49,129.71,127.69,128.7,128.7,5731209
2000-10-26,130.7,130.99,129.82,130.4,130.4,4742893
2000-10-27,132.99,133.34,131.77,132.56,132.56,5374603
2000-10-30,134.34,134.94,132.22,133.58,133.58,7088944
2000-10-31,132.66,133.23,132.33,132.78,132.78,6530503
2000-11-01,134.03,136.13,133.5,134.82,134.82,4768166
2000-11-02,133.84,134.37,133.67,134.02,134.02,5391873
2000-11-03,130.49,131.05,128.53,129.79,129.79,7505336
2000-11-06,129.97,130.4,129.28,129.84,129.84,4183416
2000-11-07,126.29,127.64,125.32,126.48,126.48,9578776
2000-11-08,127.25,128.13,127.01,127.57,127.57,6986965
2000-11-09,129.04,129.47,127.85,128.66,128.66,4518138
2000-11-10,132.46,133.29,131.54,132.42,132.42,2761106
2000-11-13,131.23,132.9,130.43,131.66,131.66,5880923
2000-11-14,133.86,134.8,132.49,133.64,133.64,5752875
2000-11-15,135.71,136.53,134.96,135.74,135.74,11977490
2000-11-16,136.58,138.31,134.3,136.3,136.3,2452098
2000-11-17,134.14,134.81,133.95,134.38,134.38,4656552
2000-11-20,133.87,134.62,132.84,133.73,133.73,7873298
2000-11-21,138.65,139.55,136.59,138.07,138.07,6829438
2000-11-22,141.27,142.11,139.35,140.73,140.73,5108112
2000-11-23,142.72,142.94,142.19,142.57,142.57,7775637
2000-11-24,146.16,148.12,144.22,146.17,146.17,5153128
2000-11-27,149.32,150.32,148.39,149.35,149.35,10660615
2000-11-28,148.66,149.54,147.43,148.48,148.48,6330218
2000-11-29,150.53,151.55,149.73,150.64,150.64,9721747
2000-11-30,151.11,152.44,150.47,151.45,151.45,7031068
2000-12-01,151.66,152.54,150.36,151.45,151.45,8255555
2000-12-04,150.58,151.51,150.14,150.82,150.82,5111736
2000-12-05,152.98,153.84,150.3,152.07,152.07,2876734
2000-12-06,153.26,154.22,149.62,151.92,151.92,7110134
2000-12-07,154.45,156.01,152.25,154.13,154.13,2535240
2000-12-08,153.47,155.6,152.88,154.24,154.24,5409647
2000-12-11,151.64,152.59,150.63,151.61,151.61,3896986
2000-12-12,152.43,152.84,151.77,152.31,152.31,12030149
