,Open,High,Low,Close,Adj Close,Volume
2000-01-03,53.86,54.29,53.43,53.86,53.86,7910507
2000-01-04,54.72,55.16,54.28,54.72,54.72,7803842
2000-01-05,54.79,55.22,54.35,54.79,54.79,6598131
2000-01-06,54.48,54.91,54.04,54.48,54.48,5881838
2000-01-07,52.83,53.25,52.41,52.83,52.83,6657980
2000-01-10,51.91,52.33,51.5,51.91,51.91,8607940
2000-01-11,51.85,52.26,51.44,51.85,51.85,3610147
2000-01-12,52.23,52.65,51.81,52.23,52.23,2444103
2000-01-13,52.31,52.73,51.89,52.31,52.31,6351435
2000-01-14,50.97,51.38,50.56,50.97,50.97,9667266
2000-01-17,51.87,52.28,51.45,51.87,51.87,4527931
2000-01-18,51.61,52.02,51.2,51.61,51.61,5945955
2000-01-19,53.04,53.47,52.62,53.04,53.04,5500869
2000-01-20,52.35,52.77,51.93,52.35,52.35,5708251
2000-01-21,52.14,52.56,51.72,52.14,52.14,3673473
2000-01-24,51.81,52.22,51.39,51.81,51.81,4366111
2000-01-25,52.71,53.13,52.28,52.71,52.71,10166507
2000-01-26,51.97,52.38,51.55,51.97,51.97,2821613
2000-01-27,51.82,52.24,51.41,51.82,51.82,3384551
2000-01-28,52.26,52.68,51.84,52.26,52.26,5022449
2000-01-31,53.0,53.42,52.57,53.0,53.0,8125985
2000-02-01,54.3,54.73,53.86,54.3,54.3,6551688
2000-02-02,55.09,55.53,54.65,55.09,55.09,6288092
2000-02-03,56.08,56.52,55.63,56.08,56.08,4280429
2000-02-04,55.53,55.97,55.08,55.53,55.53,7633874
2000-02-07,54.77,55.21,54.33,54.77,54.77,5112411
2000-02-08,55.9,56.34,55.45,55.9,55.9,2976526
2000-02-09,56.43,56.88,55.98,56.43,56.43,3343659
2000-02-10,58.29,58.76,57.83,58.29,58.29,4750604
2000-02-11,59.05,59.52,58.58,59.05,59.05,4637524
2000-02-14,59.03,59.51,58.56,59.03,59.03,5862986
2000-02-15,59.86,60.34,59.38,59.86,59.86,10597172
2000-02-16,60.28,60.76,59.8,60.28,60.28,7409672
2000-02-17,61.36,61.85,60.87,61.36,61.36,5156527
2000-02-18,63.12,63.62,62.61,63.12,63.12,4655523
2000-02-21,62.47,62.97,61.97,62.47,62.47,8773512
2000-02-22,61.54,62.03,61.05,61.54,61.54,7708209
2000-02-23,61.22,61.71,60.73,61.22,61.22,4095171
2000-02-24,60.78,61.27,60.3,60.78,60.78,5762848
2000-02-25,61.21,61.7,60.72,61.21,61.21,4489110
2000-02-28,61.52,62.01,61.03,61.52,61.52,3587878
2000-02-29,62.65,63.15,62.15,62.65,62.65,3986383
2000-03-01,62.04,62.53,61.54,62.04,62.04,4879230
2000-03-02,63.71,64.22,63.2,63.71,63.71,5239283
2000-03-03,63.17,63.67,62.66,63.17,63.17,3001447
2000-03-06,62.55,63.05,62.05,62.55,62.55,8634644
2000-03-07,63.52,64.03,63.02,63.52,63.52,5474687
2000-03-08,64.23,64.74,63.71,64.23,64.23,3264350
2000-03-09,63.75,64.26,63.24,63.75,63.75,8340563
2000-03-10,63.92,64.43,63.41,63.92,63.92,4931374
2000-03-13,64.38,64.89,63.86,64.38,64.38,7365345
2000-03-14,66.34,66.87,65.81,66.34,66.34,4057407
2000-03-15,66.37,66.9,65.84,66.37,66.37,4425915
2000-03-16,66.7,67.23,66.16,66.7,66.7,5853949
2000-03-17,67.64,68.19,67.1,67.64,67.64,11116871
2000-03-20,68.65,69.2,68.11,68.65,68.65,6523093
2000-03-21,68.99,69.54,68.44,68.99,68.99,8700612
2000-03-22,70.96,71.52,70.39,70.96,70.96,3151770
2000-03-23,70.91,71.48,70.34,70.91,70.91,11780259
2000-03-24,70.51,71.07,69.94,70.51,70.51,3805916
2000-03-27,70.7,71.27,70.14,70.7,70.7,7332803
2000-03-28,71.22,71.79,70.65,71.22,71.22,5186351
2000-03-29,69.93,70.49,69.37,69.93,69.93,4006658
2000-03-30,68.99,69.54,68.44,68.99,68.99,5019657
2000-03-31,69.71,70.27,69.15,69.71,69.71,7446686
2000-04-03,69.01,69.56,68.46,69.01,69.01,5907305
2000-04-04,67.85,68.4,67.31,67.85,67.85,7306161
2000-04-05,67.52,68.06,66.98,67.52,67.52,5150743
2000-04-06,65.74,66.27,65.21,65.74,65.74,4789593
2000-04-07,63.31,63.82,62.81,63.31,63.31,7398908
2000-04-10,62.24,62.73,61.74,62.24,62.24,5714623
2000-04-11,61.09,61.58,60.61,61.09,61.09,6581067
2000-04-12,61.41,61.91,60.92,61.41,61.41,2808682
2000-04-13,60.8,61.29,60.32,60.8,60.8,4450606
2000-04-14,60.58,61.07,60.1,60.58,60.58,7393648
2000-04-17,62.2,62.7,61.71,62.2,62.2,5702291
2000-04-18,62.42,62.91,61.92,62.42,62.42,4329173
2000-04-19,63.57,64.08,63.07,63.57,63.57,4487330
2000-04-20,62.84,63.34,62.34,62.84,62.84,3327125
2000-04-21,64.8,65.32,64.28,64.8,64.8,8410474
2000-04-24,65.32,65.84,64.79,65.32,65.32,6999322
2000-04-25,65.14,65.67,64.62,65.14,65.14,5539692
2000-04-26,66.82,67.36,66.29,66.82,66.82,3585625
2000-04-27,66.91,67.45,66.38,66.91,66.91,2955091
2000-04-28,67.36,67.9,66.82,67.36,67.36,9931779
2000-05-01,68.54,69.09,67.99,68.54,68.54,3878459
2000-05-02,68.67,69.22,68.12,68.67,68.67,8341433
2000-05-03,70.35,70.92,69.79,70.35,70.35,10635805
2000-05-04,70.49,71.06,69.93,70.49,70.49,4325748
2000-05-05,68.98,69.53,68.42,68.98,68.98,3284829
2000-05-08,69.91,70.47,69.35,69.91,69.91,7254318
2000-05-09,69.08,69.64,68.53,69.08,69.08,3441799
2000-05-10,68.12,68.66,67.57,68.12,68.12,4183130
2000-05-11,69.16,69.72,68.61,69.16,69.16,6086300
2000-05-12,69.91,70.47,69.35,69.91,69.91,5754235
2000-05-15,71.57,72.14,71.0,71.57,71.57,6404196
2000-05-16,71.43,72.0,70.86,71.43,71.43,4503516
2000-05-17,72.17,72.75,71.6,72.17,72.17,3712654
2000-05-18,72.45,73.03,71.87,72.45,72.45,6138055
2000-05-19,73.1,73.68,72.51,73.1,73.1,4557402
2000-05-22,73.82,74.41,73.23,73.82,73.82,7619500
2000-05-23,71.37,71.94,70.8,71.37,71.37,5137652
2000-05-24,70.17,70.73,69.61,70.17,70.17,3105385
2000-05-25,71.46,72.03,70.89,71.46,71.46,3467661
2000-05-26,69.26,69.82,68.71,69.26,69.26,6692434
2000-05-29,69.29,69.84,68.73,69.29,69.29,4795152
2000-05-30,70.52,71.09,69.96,70.52,70.52,6743246
2000-05-31,71.01,71.57,70.44,71.01,71.01,4505676
2000-06-01,70.92,71.48,70.35,70.92,70.92,3112512
2000-06-02,73.1,73.68,72.51,73.1,73.1,6193579
2000-06-05,71.35,71.92,70.78,71.35,71.35,6467770
