,Open,High,Low,Close,Adj Close,Volume
2000-01-03,52.43,52.85,52.01,52.43,52.43,13786893
2000-01-04,54.08,54.51,53.64,54.08,54.08,7031800
2000-01-05,54.79,55.23,54.35,54.79,54.79,3084731
2000-01-06,54.68,55.11,54.24,54.68,54.68,5244304
2000-01-07,53.37,53.8,52.94,53.37,53.37,4724108
2000-01-10,53.49,53.92,53.07,53.49,53.49,5342337
2000-01-11,54.21,54.64,53.78,54.21,54.21,3776213
2000-01-12,52.31,52.72,51.89,52.31,52.31,5625280
2000-01-13,52.59,53.01,52.17,52.59,52.59,9613113
2000-01-14,53.32,53.75,52.9,53.32,53.32,2398114
2000-01-17,53.52,53.95,53.09,53.52,53.52,5393824
2000-01-18,53.85,54.28,53.42,53.85,53.85,10451067
2000-01-19,54.65,55.09,54.21,54.65,54.65,11458516
2000-01-20,56.18,56.62,55.73,56.18,56.18,5160778
2000-01-21,56.72,57.18,56.27,56.72,56.72,4681179
2000-01-24,54.76,55.2,54.32,54.76,54.76,5260841
2000-01-25,54.65,55.08,54.21,54.65,54.65,5536663
2000-01-26,54.8,55.23,54.36,54.8,54.8,4932318
2000-01-27,54.69,55.12,54.25,54.69,54.69,3249265
2000-01-28,53.37,53.8,52.94,53.37,53.37,6346673
2000-01-31,54.43,54.87,54.0,54.43,54.43,6777301
2000-02-01,53.24,53.67,52.81,53.24,53.24,9576758
2000-02-02,52.84,53.26,52.42,52.84,52.84,3161151
2000-02-03,53.34,53.77,52.91,53.34,53.34,4744658
2000-02-04,52.36,52.78,51.95,52.36,52.36,6755005
2000-02-07,52.1,52.51,51.68,52.1,52.1,5613831
2000-02-08,51.89,52.3,51.47,51.89,51.89,9866379
2000-02-09,52.0,52.41,51.58,52.0,52.0,8100762
2000-02-10,53.31,53.73,52.88,53.31,53.31,5997325
2000-02-11,52.56,52.98,52.14,52.56,52.56,5598594
2000-02-14,53.73,54.16,53.3,53.73,53.73,5507868
2000-02-15,54.21,54.64,53.78,54.21,54.21,4317428
2000-02-16,53.87,54.3,53.44,53.87,53.87,4662643
2000-02-17,53.63,54.06,53.2,53.63,53.63,4884519
2000-02-18,53.81,54.24,53.38,53.81,53.81,6107496
2000-02-21,54.85,55.29,54.41,54.85,54.85,2640802
2000-02-22,53.73,54.16,53.3,53.73,53.73,8912175
2000-02-23,53.17,53.6,52.75,53.17,53.17,5946223
2000-02-24,52.92,53.34,52.5,52.92,52.92,3193459
2000-02-25,51.99,52.41,51.58,51.99,51.99,6717894
2000-02-28,51.36,51.77,50.95,51.36,51.36,6304968
2000-02-29,50.61,51.01,50.2,50.61,50.61,8502063
2000-03-01,49.88,50.28,49.48,49.88,49.88,3602097
2000-03-02,49.85,50.25,49.45,49.85,49.85,7354287
2000-03-03,49.8,50.2,49.4,49.8,49.8,10908389
2000-03-06,48.86,49.25,48.46,48.86,48.86,3207492
2000-03-07,48.12,48.5,47.73,48.12,48.12,4978318
2000-03-08,48.52,48.91,48.13,48.52,48.52,6231712
2000-03-09,48.52,48.91,48.14,48.52,48.52,5528465
2000-03-10,49.86,50.26,49.46,49.86,49.86,4935570
2000-03-13,50.43,50.83,50.02,50.43,50.43,6877657
2000-03-14,49.72,50.12,49.32,49.72,49.72,6185003
2000-03-15,50.32,50.72,49.92,50.32,50.32,8965403
2000-03-16,49.17,49.57,48.78,49.17,49.17,10287636
2000-03-17,49.1,49.49,48.7,49.1,49.1,5830686
2000-03-20,49.95,50.35,49.55,49.95,49.95,6655815
2000-03-21,49.96,50.36,49.56,49.96,49.96,3566793
2000-03-22,50.73,51.14,50.33,50.73,50.73,4766162
2000-03-23,51.6,52.02,51.19,51.6,51.6,4850974
2000-03-24,51.34,51.75,50.93,51.34,51.34,6805650
2000-03-27,51.65,52.07,51.24,51.65,51.65,9040801
2000-03-28,51.88,52.29,51.46,51.88,51.88,7632970
2000-03-29,52.52,52.94,52.1,52.52,52.52,7193475
2000-03-30,52.2,52.61,51.78,52.2,52.2,3818836
2000-03-31,51.53,51.95,51.12,51.53,51.53,5045959
2000-04-03,51.38,51.79,50.97,51.38,51.38,1130129
2000-04-04,51.45,51.86,51.04,51.45,51.45,6305192
2000-04-05,50.42,50.82,50.01,50.42,50.42,4406781
2000-04-06,51.01,51.42,50.6,51.01,51.01,5724091
2000-04-07,50.92,51.32,50.51,50.92,50.92,8284504
2000-04-10,51.4,51.82,50.99,51.4,51.4,7331513
2000-04-11,51.37,51.78,50.95,51.37,51.37,7729081
2000-04-12,51.27,51.68,50.86,51.27,51.27,2819054
