,Open,High,Low,Close,Adj Close,Volume
2000-01-03,19.33,19.48,19.17,19.33,19.33,3997746
2000-01-04,19.09,19.24,18.94,19.09,19.09,2512681
2000-01-05,19.08,19.23,18.93,19.08,19.08,5942849
2000-01-06,19.0,19.15,18.85,19.0,19.0,8020483
2000-01-07,19.11,19.26,18.95,19.11,19.11,5286290
2000-01-10,19.15,19.31,19.0,19.15,19.15,4568182
2000-01-11,19.59,19.74,19.43,19.59,19.59,5967201
2000-01-12,19.94,20.1,19.78,19.94,19.94,4335567
2000-01-13,19.64,19.79,19.48,19.64,19.64,3998632
2000-01-14,19.57,19.73,19.41,19.57,19.57,5480076
2000-01-17,19.76,19.91,19.6,19.76,19.76,2053063
2000-01-18,19.74,19.9,19.59,19.74,19.74,5612290
2000-01-19,19.49,19.64,19.33,19.49,19.49,5646128
2000-01-20,19.58,19.74,19.43,19.58,19.58,4971401
2000-01-21,19.32,19.48,19.17,19.32,19.32,6299632
2000-01-24,19.16,19.31,19.01,19.16,19.16,6256415
2000-01-25,19.62,19.78,19.46,19.62,19.62,7121209
2000-01-26,20.1,20.26,19.94,20.1,20.1,3736951
2000-01-27,20.49,20.66,20.33,20.49,20.49,5343331
2000-01-28,20.54,20.71,20.38,20.54,20.54,5616314
2000-01-31,20.77,20.93,20.6,20.77,20.77,6780266
2000-02-01,20.94,21.1,20.77,20.94,20.94,2178821
2000-02-02,21.41,21.58,21.24,21.41,21.41,3993245
2000-02-03,20.94,21.11,20.78,20.94,20.94,3182508
2000-02-04,21.53,21.7,21.36,21.53,21.53,5330965
2000-02-07,21.98,22.15,21.8,21.98,21.98,8575182
2000-02-08,22.11,22.29,21.94,22.11,22.11,4219209
2000-02-09,22.2,22.38,22.02,22.2,22.2,2312257
2000-02-10,21.94,22.12,21.77,21.94,21.94,2017838
2000-02-11,22.09,22.27,21.92,22.09,22.09,6376145
2000-02-14,22.07,22.25,21.9,22.07,22.07,4583567
2000-02-15,22.21,22.39,22.03,22.21,22.21,2963800
2000-02-16,22.53,22.71,22.35,22.53,22.53,4748130
2000-02-17,22.55,22.73,22.37,22.55,22.55,9884348
2000-02-18,22.99,23.18,22.81,22.99,22.99,5007714
2000-02-21,22.99,23.18,22.81,22.99,22.99,5303887
2000-02-22,23.13,23.32,22.95,23.13,23.13,3504495
2000-02-23,23.59,23.78,23.4,23.59,23.59,4303001
2000-02-24,23.72,23.91,23.53,23.72,23.72,4914254
2000-02-25,23.64,23.83,23.45,23.64,23.64,3444373
2000-02-28,23.86,24.05,23.67,23.86,23.86,3158503
2000-02-29,24.36,24.56,24.17,24.36,24.36,2661564
2000-03-01,24.67,24.87,24.48,24.67,24.67,4372191
2000-03-02,24.73,24.93,24.53,24.73,24.73,3904940
2000-03-03,25.09,25.3,24.89,25.09,25.09,9366124
2000-03-06,25.96,26.16,25.75,25.96,25.96,2335931
2000-03-07,25.45,25.65,25.24,25.45,25.45,10021083
2000-03-08,26.05,26.26,25.84,26.05,26.05,11803733
2000-03-09,26.82,27.04,26.61,26.82,26.82,8564667
2000-03-10,26.94,27.16,26.73,26.94,26.94,9163067
2000-03-13,27.08,27.29,26.86,27.08,27.08,6173286
2000-03-14,27.74,27.96,27.51,27.74,27.74,5401472
2000-03-15,27.24,27.46,27.02,27.24,27.24,5829487
2000-03-16,26.96,27.18,26.75,26.96,26.96,7098107
2000-03-17,27.14,27.36,26.92,27.14,27.14,9026911
2000-03-20,26.38,26.6,26.17,26.38,26.38,3897802
2000-03-21,27.14,27.36,26.92,27.14,27.14,4584563
2000-03-22,27.09,27.31,26.88,27.09,27.09,2186313
2000-03-23,26.98,27.19,26.76,26.98,26.98,9216180
2000-03-24,27.0,27.21,26.78,27.0,27.0,4774549
2000-03-27,28.24,28.47,28.02,28.24,28.24,6892955
2000-03-28,27.99,28.21,27.77,27.99,27.99,1484784
2000-03-29,27.69,27.92,27.47,27.69,27.69,8123571
2000-03-30,27.68,27.9,27.46,27.68,27.68,6755073
2000-03-31,27.86,28.09,27.64,27.86,27.86,3454370
2000-04-03,28.39,28.62,28.17,28.39,28.39,6020875
2000-04-04,27.86,28.09,27.64,27.86,27.86,3733853
2000-04-05,28.16,28.39,27.94,28.16,28.16,5804371
2000-04-06,28.79,29.02,28.56,28.79,28.79,5648941
2000-04-07,29.17,29.41,28.94,29.17,29.17,9772556
2000-04-10,28.57,28.8,28.34,28.57,28.57,10981047
2000-04-11,29.19,29.43,28.96,29.19,29.19,4078939
2000-04-12,28.79,29.02,28.56,28.79,28.79,3531963
2000-04-13,29.16,29.39,28.92,29.16,29.16,2524109
2000-04-14,29.43,29.66,29.19,29.43,29.43,4640449
2000-04-17,28.65,28.88,28.42,28.65,28.65,4338712
2000-04-18,29.03,29.26,28.79,29.03,29.03,7456540
2000-04-19,28.73,28.95,28.5,28.73,28.73,8866983
2000-04-20,28.26,28.48,28.03,28.26,28.26,6822415
2000-04-21,28.37,28.59,28.14,28.37,28.37,4737768
2000-04-24,28.37,28.6,28.15,28.37,28.37,3835264
2000-04-25,28.07,28.29,27.84,28.07,28.07,6693404
2000-04-26,28.2,28.43,27.98,28.2,28.2,3296941
2000-04-27,28.04,28.26,27.81,28.04,28.04,6505301
2000-04-28,28.34,28.57,28.11,28.34,28.34,4872236
2000-05-01,28.61,28.84,28.39,28.61,28.61,4348699
2000-05-02,28.8,29.03,28.57,28.8,28.8,8153966
2000-05-03,28.23,28.45,28.0,28.23,28.23,9180758
2000-05-04,28.74,28.97,28.51,28.74,28.74,5609270
2000-05-05,29.09,29.32,28.86,29.09,29.09,3451580
2000-05-08,29.9,30.13,29.66,29.9,29.9,3020040
2000-05-09,29.61,29.85,29.37,29.61,29.61,4474777
2000-05-10,30.26,30.5,30.02,30.26,30.26,5193022
2000-05-11,30.64,30.88,30.39,30.64,30.64,2946158
2000-05-12,30.01,30.25,29.77,30.01,30.01,4244895
2000-05-15,30.03,30.27,29.79,30.03,30.03,11113388
2000-05-16,29.72,29.96,29.49,29.72,29.72,7146948
2000-05-17,29.28,29.51,29.05,29.28,29.28,6042375
2000-05-18,30.06,30.3,29.82,30.06,30.06,3902108
2000-05-19,30.09,30.33,29.84,30.09,30.09,6279159
2000-05-22,30.02,30.26,29.78,30.02,30.02,5728754
2000-05-23,29.83,30.07,29.59,29.83,29.83,4105576
2000-05-24,29.78,30.02,29.55,29.78,29.78,4989428
2000-05-25,29.14,29.38,28.91,29.14,29.14,5844029
2000-05-26,29.12,29.36,28.89,29.12,29.12,5307056
2000-05-29,28.76,28.99,28.53,28.76,28.76,2347798
2000-05-30,29.16,29.4,28.93,29.16,29.16,4164098
2000-05-31,29.72,29.96,29.48,29.72,29.72,2945656
2000-06-01,29.86,30.1,29.62,29.86,29.86,5157076
2000-06-02,29.79,30.03,29.55,29.79,29.79,5857313
2000-06-05,30.02,30.26,29.78,30.02,30.02,4011971
2000-06-06,30.45,30.69,30.21,30.45,30.45,4509882
2000-06-07,30.16,30.4,29.92,30.16,30.16,6713872
2000-06-08,30.28,30.52,30.04,30.28,30.28,8255973
2000-06-09,30.4,30.64,30.15,30.4,30.4,4813093
2000-06-12,30.18,30.42,29.93,30.18,30.18,9220402
2000-06-13,30.6,30.85,30.36,30.6,30.6,8558058
2000-06-14,30.23,30.47,29.99,30.23,30.23,6235296
2000-06-15,29.89,30.13,29.65,29.89,29.89,6217925
2000-06-16,29.68,29.92,29.45,29.68,29.68,10626638
2000-06-19,29.52,29.75,29.28,29.52,29.52,3350395
2000-06-20,29.45,29.69,29.21,29.45,29.45,2619336
2000-06-21,29.69,29.92,29.45,29.69,29.69,9134672
2000-06-22,30.45,30.7,30.21,30.45,30.45,8199079
2000-06-23,30.59,30.83,30.34,30.59,30.59,10167508
2000-06-26,30.73,30.98,30.48,30.73,30.73,8763748
2000-06-27,31.14,31.39,30.89,31.14,31.14,2630218
2000-06-28,30.46,30.71,30.22,30.46,30.46,4139204
2000-06-29,30.03,30.27,29.79,30.03,30.03,4793058
2000-06-30,30.34,30.58,30.09,30.34,30.34,2549297
2000-07-03,30.46,30.71,30.22,30.46,30.46,5996591
2000-07-04,31.1,31.35,30.85,31.1,31.1,11010320
2000-07-05,30.47,30.72,30.23,30.47,30.47,4496647
2000-07-06,30.65,30.89,30.4,30.65,30.65,2934824
2000-07-07,30.49,30.73,30.25,30.49,30.49,6353050
2000-07-10,29.86,30.1,29.62,29.86,29.86,9260602
2000-07-11,30.14,30.39,29.9,30.14,30.14,4229895
2000-07-12,29.29,29.52,29.06,29.29,29.29,8039961
2000-07-13,29.86,30.1,29.62,29.86,29.86,8884526
2000-07-14,29.35,29.59,29.12,29.35,29.35,4555472
2000-07-17,29.1,29.34,28.87,29.1,29.1,7628612
2000-07-18,29.47,29.7,29.23,29.47,29.47,2560075
2000-07-19,29.79,30.03,29.55,29.79,29.79,4446841
2000-07-20,29.49,29.73,29.25,29.49,29.49,5983570
2000-07-21,29.34,29.57,29.1,29.34,29.34,3861954
2000-07-24,28.78,29.01,28.55,28.78,28.78,7224574
2000-07-25,28.94,29.17,28.71,28.94,28.94,7539095
2000-07-26,28.82,29.05,28.59,28.82,28.82,2235158
2000-07-27,29.6,29.84,29.36,29.6,29.6,2203276
2000-07-28,29.53,29.77,29.3,29.53,29.53,5287896
2000-07-31,29.86,30.1,29.62,29.86,29.86,10674024
2000-08-01,29.86,30.1,29.62,29.86,29.86,6952216
2000-08-02,30.04,30.28,29.8,30.04,30.04,5282049
2000-08-03,29.71,29.95,29.47,29.71,29.71,6772762
2000-08-04,29.56,29.8,29.33,29.56,29.56,8792426
2000-08-07,29.07,29.3,28.84,29.07,29.07,6088662
2000-08-08,29.24,29.48,29.01,29.24,29.24,6689201
2000-08-09,29.26,29.49,29.02,29.26,29.26,2709188
2000-08-10,29.49,29.73,29.26,29.49,29.49,5122432
2000-08-11,29.23,29.46,28.99,29.23,29.23,7475753
2000-08-14,29.52,29.76,29.29,29.52,29.52,2824289
2000-08-15,29.87,30.11,29.63,29.87,29.87,6530331
2000-08-16,29.44,29.68,29.21,29.44,29.44,3620557
2000-08-17,29.19,29.42,28.95,29.19,29.19,4954190
2000-08-18,29.64,29.88,29.4,29.64,29.64,7816266
2000-08-21,30.15,30.39,29.9,30.15,30.15,4497264
2000-08-22,29.88,30.12,29.65,29.88,29.88,2945365
2000-08-23,29.77,30.01,29.53,29.77,29.77,5346117
2000-08-24,30.22,30.47,29.98,30.22,30.22,1852666
2000-08-25,30.34,30.58,30.09,30.34,30.34,7801637
2000-08-28,29.9,30.14,29.66,29.9,29.9,3067170
2000-08-29,29.69,29.93,29.45,29.69,29.69,4493656
2000-08-30,29.78,30.02,29.54,29.78,29.78,6878692
2000-08-31,29.68,29.92,29.44,29.68,29.68,11823625
2000-09-01,29.6,29.83,29.36,29.6,29.6,6933309
2000-09-04,29.4,29.64,29.17,29.4,29.4,5163790
2000-09-05,29.33,29.57,29.1,29.33,29.33,3263694
2000-09-06,28.62,28.85,28.4,28.62,28.62,2862392
2000-09-07,28.26,28.48,28.03,28.26,28.26,2862843
2000-09-08,28.36,28.58,28.13,28.36,28.36,4492206
2000-09-11,28.07,28.29,27.84,28.07,28.07,7023269
2000-09-12,28.13,28.35,27.9,28.13,28.13,6582612
2000-09-13,28.03,28.25,27.8,28.03,28.03,4715596
2000-09-14,28.37,28.6,28.14,28.37,28.37,5874203
2000-09-15,27.83,28.05,27.6,27.83,27.83,3210851
2000-09-18,28.27,28.5,28.05,28.27,28.27,4602225
2000-09-19,28.34,28.57,28.12,28.34,28.34,5390871
2000-09-20,28.74,28.97,28.51,28.74,28.74,2176220
2000-09-21,28.28,28.51,28.05,28.28,28.28,5437620
2000-09-22,28.48,28.71,28.25,28.48,28.48,4950587
2000-09-25,28.1,28.33,27.88,28.1,28.1,13234198
2000-09-26,27.84,28.06,27.62,27.84,27.84,6534423
2000-09-27,28.08,28.31,27.86,28.08,28.08,2939772
2000-09-28,28.45,28.68,28.23,28.45,28.45,6103084
2000-09-29,28.79,29.02,28.56,28.79,28.79,4634895
2000-10-02,28.95,29.18,28.72,28.95,28.95,7211924
2000-10-03,29.23,29.47,29.0,29.23,29.23,5934881
2000-10-04,28.92,29.15,28.68,28.92,28.92,6066754
2000-10-05,29.16,29.39,28.93,29.16,29.16,7171501
2000-10-06,28.64,28.87,28.41,28.64,28.64,6585937
2000-10-09,29.25,29.48,29.02,29.25,29.25,4670900
2000-10-10,28.99,29.23,28.76,28.99,28.99,4831563
2000-10-11,28.6,28.83,28.37,28.6,28.6,7241782
2000-10-12,29.05,29.28,28.81,29.05,29.05,10510318
2000-10-13,29.01,29.24,28.78,29.01,29.01,9020798
2000-10-16,28.91,29.14,28.68,28.91,28.91,7319439
2000-10-17,29.32,29.55,29.08,29.32,29.32,8158501
2000-10-18,29.43,29.66,29.19,29.43,29.43,6156566
2000-10-19,29.02,29.25,28.79,29.02,29.02,6242691
2000-10-20,28.31,28.54,28.09,28.31,28.31,3102196
2000-10-23,28.65,28.88,28.42,28.65,28.65,1642068
2000-10-24,28.83,29.06,28.6,28.83,28.83,4968185
2000-10-25,29.26,29.49,29.02,29.26,29.26,9674510
2000-10-26,29.59,29.83,29.35,29.59,29.59,7137922
2000-10-27,28.84,29.07,28.61,28.84,28.84,4222039
2000-10-30,29.03,29.26,28.79,29.03,29.03,7051775
2000-10-31,30.04,30.28,29.8,30.04,30.04,8740176
2000-11-01,29.35,29.58,29.11,29.35,29.35,4558783
2000-11-02,29.33,29.56,29.09,29.33,29.33,3745924
2000-11-03,28.57,28.8,28.35,28.57,28.57,3123323
2000-11-06,28.31,28.54,28.08,28.31,28.31,7313791
2000-11-07,28.03,28.25,27.8,28.03,28.03,4618887
2000-11-08,27.78,28.01,27.56,27.78,27.78,4103711
2000-11-09,28.02,28.24,27.79,28.02,28.02,6231901
2000-11-10,28.38,28.61,28.15,28.38,28.38,5370242
2000-11-13,27.86,28.09,27.64,27.86,27.86,2135525
2000-11-14,28.89,29.12,28.65,28.89,28.89,7427064
2000-11-15,28.97,29.2,28.74,28.97,28.97,8817876
2000-11-16,29.45,29.68,29.21,29.45,29.45,6296142
