,Open,High,Low,Close,Adj Close,Volume
2000-01-03,200.99,201.09,200.91,201.0,201.0,6202349
2000-01-04,198.89,200.55,197.86,199.21,199.21,5559156
2000-01-05,200.75,201.46,198.51,199.99,199.99,6479112
2000-01-06,195.91,196.82,194.95,195.89,195.89,3374871
2000-01-07,200.23,202.12,197.31,199.71,199.71,6850444
2000-01-10,198.46,199.13,196.23,197.68,197.68,3200261
2000-01-11,199.59,200.39,198.82,199.6,199.6,6047168
2000-01-12,202.16,203.83,200.1,201.97,201.97,7342972
2000-01-13,204.03,205.27,202.81,204.04,204.04,8174733
2000-01-14,202.27,203.76,201.54,202.65,202.65,9053215
2000-01-17,200.1,200.42,199.58,200.0,200.0,7190571
2000-01-18,200.71,202.97,199.79,201.38,201.38,7902442
2000-01-19,202.04,204.26,200.84,202.55,202.55,3729730
2000-01-20,206.57,207.38,204.39,205.88,205.88,5034489
2000-01-21,208.48,209.27,207.61,208.44,208.44,7581419
2000-01-24,211.12,211.88,208.88,210.38,210.38,4241241
2000-01-25,213.23,216.5,212.28,214.39,214.39,4911934
2000-01-26,218.97,219.82,218.52,219.17,219.17,3568566
2000-01-27,217.24,218.06,216.6,217.33,217.33,2963094
2000-01-28,218.58,219.78,217.26,218.52,218.52,6094577
2000-01-31,218.96,221.67,217.48,219.58,219.58,7147841
2000-02-01,218.72,220.34,216.71,218.53,218.53,7121256
2000-02-02,218.46,219.26,215.89,217.57,217.57,5926610
2000-02-03,220.63,221.28,219.72,220.5,220.5,5465914
2000-02-04,225.52,227.73,221.76,224.75,224.75,4410141
2000-02-07,221.88,223.71,220.34,222.03,222.03,6525406
2000-02-08,219.36,221.45,218.3,219.88,219.88,7249520
2000-02-09,220.0,223.56,218.68,221.12,221.12,2447901
2000-02-10,220.55,223.18,219.42,221.3,221.3,3471417
2000-02-11,221.59,222.14,219.61,220.88,220.88,3371781
2000-02-14,217.68,219.31,216.17,217.74,217.74,12903630
2000-02-15,220.52,221.73,216.11,218.92,218.92,6059674
2000-02-16,217.84,219.18,216.48,217.83,217.83,3558458
2000-02-17,219.4,220.37,215.56,217.97,217.97,5836124
2000-02-18,217.37,218.06,214.76,216.41,216.41,4379752
2000-02-21,213.18,215.35,211.52,213.44,213.44,3276050
2000-02-22,211.83,214.5,211.11,212.8,212.8,3937568
2000-02-23,209.11,210.45,208.03,209.24,209.24,3991248
2000-02-24,207.08,209.26,204.53,206.89,206.89,4086596
2000-02-25,207.6,209.13,205.47,207.3,207.3,6488949
2000-02-28,206.84,208.4,205.29,206.85,206.85,7129716
2000-02-29,211.68,212.18,210.75,211.46,211.46,5778878
2000-03-01,216.6,217.59,213.3,215.45,215.45,7665139
2000-03-02,217.0,217.99,216.2,217.09,217.09,11824709
2000-03-03,218.15,218.9,216.58,217.74,217.74,3687669
2000-03-06,213.93,216.18,212.79,214.48,214.48,4507315
2000-03-07,211.75,214.73,210.05,212.39,212.39,4120662
2000-03-08,211.39,214.83,209.98,212.4,212.4,8409649
2000-03-09,209.9,212.55,209.01,210.78,210.78,5538440
2000-03-10,211.97,212.84,209.65,211.24,211.24,8666857
2000-03-13,211.84,213.34,210.92,212.13,212.13,3312598
2000-03-14,214.26,215.33,212.31,213.82,213.82,2451093
2000-03-15,212.67,215.48,211.39,213.43,213.43,7278704
2000-03-16,212.93,214.7,211.64,213.17,213.17,7027475
2000-03-17,215.19,216.13,214.51,215.32,215.32,3958470
2000-03-20,209.83,211.81,209.05,210.43,210.43,5123943
2000-03-21,208.91,210.05,207.24,208.65,208.65,3747047
2000-03-22,210.93,212.22,205.98,209.1,209.1,4882281
2000-03-23,208.37,209.53,207.73,208.63,208.63,4359648
2000-03-24,205.24,206.19,204.69,205.44,205.44,11010890
2000-03-27,206.63,208.61,205.62,207.11,207.11,5371853
2000-03-28,203.76,205.15,201.5,203.33,203.33,12992290
2000-03-29,205.62,207.34,204.18,205.76,205.76,5841024
2000-03-30,211.83,213.12,210.02,211.57,211.57,3693503
2000-03-31,211.76,213.46,210.23,211.84,211.84,3255782
2000-04-03,208.03,211.22,207.21,209.22,209.22,4898907
2000-04-04,209.45,210.53,207.53,209.03,209.03,5119320
2000-04-05,208.7,209.96,207.89,208.92,208.92,6462162
2000-04-06,209.28,210.36,207.52,208.94,208.94,8245317
2000-04-07,206.6,208.73,204.73,206.73,206.73,6191726
2000-04-10,206.34,207.77,205.8,206.78,206.78,6318350
2000-04-11,204.96,207.67,202.5,205.09,205.09,4136058
2000-04-12,207.36,209.0,206.08,207.54,207.54,6691948
2000-04-13,209.8,210.04,209.05,209.55,209.55,4850730
2000-04-14,211.05,211.77,208.68,210.22,210.22,9148961
2000-04-17,212.43,213.33,210.36,211.85,211.85,6264385
2000-04-18,212.81,215.73,211.66,213.69,213.69,5916774
2000-04-19,210.79,211.87,208.51,210.19,210.19,5374176
2000-04-20,211.21,212.88,209.29,211.09,211.09,6530715
2000-04-21,215.13,215.52,213.9,214.71,214.71,2935835
2000-04-24,213.7,218.12,211.25,214.69,214.69,3961690
2000-04-25,218.59,219.76,215.06,217.41,217.41,4931692
2000-04-26,219.83,220.59,216.79,218.69,218.69,7187717
2000-04-27,215.09,218.58,214.18,216.38,216.38,5631576
2000-04-28,217.95,219.45,214.59,217.02,217.02,4501263
2000-05-01,215.99,219.3,214.49,216.9,216.9,8242468
2000-05-02,220.99,221.46,220.29,220.87,220.87,11310743
2000-05-03,221.26,223.57,219.34,221.45,221.45,8886519
2000-05-04,222.54,226.69,221.19,223.94,223.94,8947015
2000-05-05,220.9,222.52,219.48,221.0,221.0,6315923
2000-05-08,218.04,219.66,215.51,217.59,217.59,14011398
2000-05-09,216.34,216.69,215.69,216.19,216.19,6082912
2000-05-10,213.27,217.76,211.5,214.63,214.63,4396353
2000-05-11,208.11,210.82,207.2,209.01,209.01,11657892
2000-05-12,211.37,212.63,210.24,211.43,211.43,5365748
2000-05-15,212.49,213.02,211.32,212.17,212.17,4418492
2000-05-16,211.68,214.69,210.59,212.64,212.64,4565406
2000-05-17,213.86,215.4,212.64,214.02,214.02,7221623
2000-05-18,218.6,219.57,214.9,217.23,217.23,4769168
2000-05-19,216.73,218.49,216.13,217.31,217.31,4520892
2000-05-22,217.04,218.5,212.56,215.53,215.53,3762409
2000-05-23,215.79,217.27,215.17,216.22,216.22,14473006
2000-05-24,220.49,221.18,218.4,219.79,219.79,6224979
2000-05-25,224.46,225.98,222.98,224.48,224.48,4324813
2000-05-26,222.08,224.83,219.63,222.23,222.23,5269124
2000-05-29,222.95,224.39,221.05,222.72,222.72,5755545
2000-05-30,227.08,227.69,226.32,227.01,227.01,3938361
2000-05-31,225.66,226.59,223.3,224.95,224.95,8032846
2000-06-01,226.24,227.39,224.08,225.73,225.73,5493570
2000-06-02,226.12,227.26,224.52,225.89,225.89,4459156
2000-06-05,227.31,228.14,226.3,227.22,227.22,5475004
2000-06-06,227.47,230.36,225.24,227.8,227.8,3354146
2000-06-07,223.92,227.0,222.18,224.59,224.59,6725733
2000-06-08,227.32,228.71,225.07,226.89,226.89,7099425
2000-06-09,223.35,225.73,220.46,223.1,223.1,11420854
2000-06-12,225.16,226.77,223.47,225.12,225.12,3410015
2000-06-13,225.56,226.47,225.18,225.82,225.82,4636649
2000-06-14,232.14,235.3,231.32,233.31,233.31,2592102
2000-06-15,232.91,233.9,231.85,232.87,232.87,6994251
2000-06-16,228.78,230.23,226.61,228.42,228.42,7673025
2000-06-19,229.71,230.39,229.34,229.86,229.86,4125526
2000-06-20,230.9,233.74,227.86,230.8,230.8,4251603
2000-06-21,234.55,235.64,231.88,233.76,233.76,2227437
2000-06-22,230.34,232.67,229.66,231.17,231.17,18908322
2000-06-23,228.96,231.5,226.25,228.87,228.87,14903423
2000-06-26,229.93,231.33,229.22,230.27,230.27,3099593
2000-06-27,231.8,232.78,230.2,231.49,231.49,7099135
2000-06-28,231.03,231.73,228.38,230.06,230.06,3838002
2000-06-29,234.37,235.04,231.92,233.48,233.48,5085258
2000-06-30,229.5,231.08,228.39,229.74,229.74,4967620
2000-07-03,232.85,234.34,229.55,231.94,231.94,1702626
2000-07-04,231.1,231.89,230.44,231.17,231.17,3023479
2000-07-05,229.7,230.25,227.8,229.02,229.02,3979871
2000-07-06,231.72,232.65,229.61,231.13,231.13,3329467
2000-07-07,231.83,234.84,230.77,232.8,232.8,4936133
2000-07-10,231.16,234.03,229.69,231.86,231.86,5608027
2000-07-11,228.57,230.31,227.46,228.89,228.89,5260617
2000-07-12,228.37,230.29,225.76,228.03,228.03,9612833
2000-07-13,224.08,225.12,223.5,224.31,224.31,4769210
2000-07-14,228.98,229.91,226.48,228.19,228.19,5734873
2000-07-17,226.66,227.88,223.24,225.56,225.56,3957148
2000-07-18,225.82,227.88,222.24,225.06,225.06,4206000
2000-07-19,224.52,226.24,221.06,223.65,223.65,6874955
2000-07-20,222.36,224.59,221.72,223.16,223.16,8385065
2000-07-21,222.48,223.49,219.77,221.63,221.63,3184128
2000-07-24,222.19,222.27,222.15,222.21,222.21,4272297
2000-07-25,223.29,224.6,220.63,222.61,222.61,3469379
2000-07-26,218.57,219.9,217.11,218.5,218.5,3669666
2000-07-27,219.54,220.75,216.0,218.37,218.37,6763238
2000-07-28,221.34,224.12,219.49,221.81,221.81,7930927
2000-07-31,225.99,227.56,224.34,225.95,225.95,3762609
2000-08-01,225.25,227.99,221.01,224.5,224.5,6799850
2000-08-02,223.44,224.0,222.4,223.2,223.2,2840065
2000-08-03,224.2,226.07,221.5,223.78,223.78,4259360
2000-08-04,225.7,228.13,224.54,226.34,226.34,7045138
2000-08-07,225.14,227.15,224.6,225.88,225.88,2850727
2000-08-08,226.99,229.25,226.27,227.76,227.76,6415758
2000-08-09,223.02,225.33,221.44,223.39,223.39,4717280
2000-08-10,223.57,224.76,220.33,222.55,222.55,3886023
2000-08-11,222.71,224.27,219.19,221.73,221.73,5635361
2000-08-14,224.29,225.69,223.32,224.5,224.5,9233170
2000-08-15,223.42,224.14,221.62,222.88,222.88,6604575
2000-08-16,223.13,223.84,220.51,222.18,222.18,5424150
2000-08-17,223.85,225.36,222.23,223.8,223.8,3071186
2000-08-18,224.64,225.8,222.3,224.05,224.05,6528900
2000-08-21,222.31,224.89,220.04,222.46,222.46,6278523
2000-08-22,220.44,221.65,219.28,220.47,220.47,6895277
2000-08-23,217.86,220.42,216.41,218.41,218.41,2710831
2000-08-24,222.95,224.95,221.37,223.16,223.16,6517681
2000-08-25,227.52,227.9,226.23,227.06,227.06,6772532
2000-08-28,229.93,231.48,228.66,230.07,230.07,6979450
2000-08-29,227.76,229.03,225.36,227.19,227.19,4353740
2000-08-30,231.85,233.74,227.48,230.61,230.61,9665246
2000-08-31,229.29,231.05,227.25,229.15,229.15,4073490
2000-09-01,223.39,226.9,221.74,224.32,224.32,3735857
2000-09-04,224.65,227.02,222.72,224.87,224.87,6432709
2000-09-05,224.25,225.55,222.65,224.1,224.1,3842467
2000-09-06,227.61,227.77,227.01,227.39,227.39,9507098
2000-09-07,225.1,227.79,224.24,226.02,226.02,4286506
2000-09-08,226.81,229.89,224.86,227.38,227.38,5986934
2000-09-11,232.19,232.56,231.66,232.11,232.11,3829514
2000-09-12,234.55,236.97,232.14,234.56,234.56,2969848
2000-09-13,236.79,237.77,233.89,235.83,235.83,9464087
2000-09-14,237.97,239.41,233.78,236.6,236.6,5655235
2000-09-15,233.36,235.05,231.96,233.51,233.51,4460602
2000-09-18,235.45,236.8,234.35,235.58,235.58,9639209
2000-09-19,240.01,243.3,235.87,239.59,239.59,2924462
2000-09-20,241.65,242.6,238.25,240.43,240.43,12064434
2000-09-21,238.52,239.48,236.66,238.07,238.07,7398744
2000-09-22,235.72,236.67,232.32,234.49,234.49,8770856
2000-09-25,231.65,235.57,230.3,232.94,232.94,5497828
2000-09-26,230.75,232.53,228.01,230.27,230.27,2992355
2000-09-27,231.66,234.08,230.2,232.14,232.14,4968056
2000-09-28,232.02,233.03,228.4,230.72,230.72,6547665
2000-09-29,236.55,237.4,234.13,235.76,235.76,2396095
2000-10-02,234.91,236.44,234.45,235.45,235.45,7704434
2000-10-03,238.86,239.5,236.69,238.09,238.09,7007805
2000-10-04,238.04,239.04,237.4,238.22,238.22,7042920
2000-10-05,235.33,238.65,233.51,236.08,236.08,3536944
2000-10-06,235.69,237.92,233.3,235.61,235.61,3223864
2000-10-09,234.95,236.12,233.15,234.64,234.64,7057679
2000-10-10,234.35,236.2,233.22,234.71,234.71,7305111
2000-10-11,227.41,230.78,225.86,228.32,228.32,5386193
2000-10-12,231.64,233.13,229.85,231.49,231.49,5373703
2000-10-13,231.28,231.75,229.38,230.57,230.57,3610412
2000-10-16,226.6,231.61,225.0,228.3,228.3,5462749
2000-10-17,232.78,233.92,230.54,232.23,232.23,4033527
2000-10-18,228.68,229.65,226.18,227.92,227.92,10232602
2000-10-19,228.53,230.89,226.73,228.81,228.81,4420002
2000-10-20,227.17,228.76,225.86,227.31,227.31,5547249
2000-10-23,225.79,226.22,225.08,225.65,225.65,3778532
2000-10-24,220.46,223.85,219.6,221.73,221.73,3655639
2000-10-25,221.4,223.74,219.12,221.43,221.43,5089571
2000-10-26,223.17,224.55,221.34,222.94,222.94,3541756
2000-10-27,220.95,223.87,219.98,221.93,221.93,4119796
2000-10-30,223.73,226.16,220.1,223.13,223.13,4317346
2000-10-31,222.42,225.52,220.62,223.07,223.07,6778080
2000-11-01,223.16,223.18,223.11,223.15,223.15,3506096
2000-11-02,221.03,222.88,219.95,221.42,221.42,7197270
2000-11-03,221.01,222.64,219.44,221.04,221.04,6679194
2000-11-06,220.96,222.28,219.72,221.0,221.0,4014685
2000-11-07,221.46,223.81,220.47,222.14,222.14,12586427
2000-11-08,220.98,224.73,219.48,222.1,222.1,3466975
2000-11-09,222.65,223.26,221.94,222.6,222.6,5089436
2000-11-10,221.92,223.3,221.1,222.2,222.2,7054609
2000-11-13,220.12,222.7,218.55,220.63,220.63,3081459
2000-11-14,220.7,221.38,219.18,220.28,220.28,4116039
2000-11-15,221.38,222.38,220.11,221.25,221.25,8201680
2000-11-16,222.6,225.07,221.05,223.06,223.06,2813344
2000-11-17,223.79,227.85,222.22,225.03,225.03,6476721
2000-11-20,221.81,223.77,218.71,221.24,221.24,3303628
2000-11-21,220.2,222.45,219.51,220.98,220.98,6134133
2000-11-22,220.01,222.18,218.22,220.2,220.2,6213388
2000-11-23,225.17,225.39,224.9,225.14,225.14,8981456
2000-11-24,225.41,226.23,222.96,224.6,224.6,11655049
2000-11-27,222.86,223.7,221.85,222.77,222.77,4441135
2000-11-28,223.69,225.71,221.58,223.64,223.64,5016491
2000-11-29,228.33,231.42,226.38,228.9,228.9,3913232
2000-11-30,226.01,228.08,222.32,225.2,225.2,6200599
2000-12-01,223.26,224.11,221.77,222.94,222.94,12840014
2000-12-04,223.4,225.14,219.72,222.43,222.43,7740390
2000-12-05,223.77,225.38,221.28,223.33,223.33,5835137
2000-12-06,220.33,222.26,219.25,220.75,220.75,8356685
2000-12-07,220.36,223.39,218.63,221.01,221.01,13852992
2000-12-08,219.34,219.95,218.96,219.45,219.45,7355126
2000-12-11,220.41,220.89,219.61,220.25,220.25,7691887
2000-12-12,220.19,223.81,218.57,221.19,221.19,3689735
2000-12-13,222.93,223.6,222.34,222.97,222.97,4249324
2000-12-14,219.62,221.68,219.05,220.36,220.36,4066760
2000-12-15,220.32,221.18,218.28,219.73,219.73,2816080
2000-12-18,215.79,216.68,212.39,214.54,214.54,6220663
2000-12-19,217.25,219.22,215.14,217.18,217.18,5273559
2000-12-20,215.61,217.69,213.29,215.49,215.49,4986391
2000-12-21,217.22,218.03,216.37,217.2,217.2,4328368
2000-12-22,216.02,217.79,214.97,216.38,216.38,5664288
2000-12-25,219.39,220.58,216.78,218.68,218.68,4625671
2000-12-26,218.48,221.39,217.6,219.49,219.49,6540790
2000-12-27,225.19,225.84,224.04,224.94,224.94,3458361
2000-12-28,225.32,226.88,223.06,224.97,224.97,6974754
2000-12-29,223.92,225.05,221.28,223.17,223.17,10492102
2001-01-01,224.96,226.8,223.52,225.16,225.16,3511427
2001-01-02,225.48,226.8,220.51,223.66,223.66,4971057
2001-01-03,217.93,219.56,216.42,217.99,217.99,6595435
2001-01-04,217.5,219.7,215.82,217.76,217.76,5358102
2001-01-05,217.22,220.25,216.34,218.29,218.29,3866462
2001-01-08,219.78,220.76,217.08,218.92,218.92,4833947
2001-01-09,222.39,224.23,219.97,222.1,222.1,3650474
2001-01-10,222.57,223.01,222.41,222.71,222.71,3239076
2001-01-11,215.73,218.91,214.33,216.62,216.62,10061719
2001-01-12,216.25,217.55,213.63,215.59,215.59,2850398
2001-01-15,214.45,215.64,213.08,214.36,214.36,3632097
2001-01-16,215.93,217.25,214.74,215.99,215.99,2441082
2001-01-17,213.98,215.61,212.53,214.07,214.07,4081159
2001-01-18,211.3,213.25,209.36,211.31,211.31,6742486
2001-01-19,209.79,212.69,208.49,210.59,210.59,3146718
2001-01-22,213.65,215.71,210.87,213.29,213.29,5822837
2001-01-23,212.36,214.44,209.45,211.95,211.95,4587051
2001-01-24,209.17,211.05,207.54,209.29,209.29,7712627
2001-01-25,208.38,210.27,207.74,209.0,209.0,11324806
2001-01-26,211.64,211.99,211.29,211.64,211.64,5014366
2001-01-29,214.16,216.74,213.5,215.12,215.12,6960704
2001-01-30,215.06,216.31,212.14,214.22,214.22,5720347
2001-01-31,210.18,213.73,209.04,211.39,211.39,5067945
2001-02-01,212.68,216.5,211.48,213.99,213.99,7460464
2001-02-02,214.25,214.98,212.37,213.68,213.68,4553045
2001-02-05,213.94,214.97,212.08,213.53,213.53,9515497
2001-02-06,213.95,216.09,211.55,213.82,213.82,4287812
2001-02-07,214.28,216.82,211.42,214.12,214.12,7467771
2001-02-08,214.16,215.97,211.8,213.89,213.89,10280137
2001-02-09,214.93,216.58,213.73,215.16,215.16,3446385
2001-02-12,214.65,216.15,211.09,213.62,213.62,3775602
2001-02-13,210.6,211.29,209.04,210.17,210.17,3985767
2001-02-14,212.53,214.12,211.35,212.73,212.73,4977575
2001-02-15,210.77,212.76,209.97,211.37,211.37,6361595
2001-02-16,214.05,215.46,211.68,213.57,213.57,6014428
2001-02-19,215.96,217.08,215.6,216.34,216.34,6149900
2001-02-20,217.22,220.45,215.77,218.11,218.11,6164898
2001-02-21,219.43,221.54,217.98,219.76,219.76,3709956
2001-02-22,225.62,226.94,224.76,225.85,225.85,4188220
2001-02-23,223.47,224.79,222.05,223.42,223.42,5835606
2001-02-26,226.16,228.5,225.4,226.95,226.95,7309672
2001-02-27,222.96,223.35,222.51,222.93,222.93,6347472
2001-02-28,222.66,224.75,220.51,222.63,222.63,6746786
2001-03-01,223.55,224.81,220.81,222.81,222.81,3137172
2001-03-02,224.01,224.38,222.98,223.68,223.68,3928438
2001-03-05,223.39,225.16,221.76,223.46,223.46,2673204
2001-03-06,219.95,222.5,218.22,220.36,220.36,6448773
2001-03-07,222.52,225.58,220.96,223.27,223.27,4387374
2001-03-08,227.11,228.77,226.52,227.65,227.65,5491200
2001-03-09,224.26,227.23,222.42,224.83,224.83,3101936
2001-03-12,225.28,229.39,223.73,226.56,226.56,4822014
2001-03-13,231.88,234.5,227.6,231.05,231.05,6836786
2001-03-14,228.25,229.44,226.93,228.19,228.19,2125640
2001-03-15,228.73,229.25,226.95,228.1,228.1,9143858
2001-03-16,229.39,230.92,228.46,229.69,229.69,6424722
2001-03-19,235.11,236.24,234.05,235.14,235.14,8621740
2001-03-20,229.13,232.1,225.86,228.98,228.98,9632301
2001-03-21,225.47,227.82,223.99,225.9,225.9,4895179
2001-03-22,228.78,229.96,227.06,228.51,228.51,5625313
2001-03-23,228.97,230.94,227.21,229.07,229.07,4266117
2001-03-26,232.51,233.81,229.25,231.53,231.53,5479873
2001-03-27,229.23,230.25,227.87,229.06,229.06,4277896
2001-03-28,229.71,231.28,227.23,229.25,229.25,5333576
2001-03-29,225.32,225.71,224.52,225.12,225.12,5428225
