,Open,High,Low,Close,Adj Close,Volume
2000-01-03,40.88,41.21,40.56,40.88,40.88,7902678
2000-01-04,41.02,41.35,40.69,41.02,41.02,5319774
2000-01-05,41.46,41.79,41.13,41.46,41.46,6940658
2000-01-06,41.61,41.94,41.28,41.61,41.61,6336835
2000-01-07,41.89,42.23,41.56,41.89,41.89,2963796
2000-01-10,42.38,42.72,42.04,42.38,42.38,5373654
2000-01-11,42.8,43.15,42.46,42.8,42.8,4399327
2000-01-12,43.37,43.72,43.03,43.37,43.37,12181687
2000-01-13,44.19,44.55,43.84,44.19,44.19,7125151
2000-01-14,43.43,43.78,43.08,43.43,43.43,7279167
2000-01-17,43.95,44.3,43.6,43.95,43.95,6000149
2000-01-18,43.2,43.55,42.86,43.2,43.2,9414404
2000-01-19,42.93,43.28,42.59,42.93,42.93,3429148
2000-01-20,43.92,44.27,43.57,43.92,43.92,5771135
2000-01-21,43.81,44.16,43.46,43.81,43.81,4599706
2000-01-24,43.81,44.16,43.46,43.81,43.81,4426205
2000-01-25,43.78,44.13,43.43,43.78,43.78,5536613
2000-01-26,43.78,44.13,43.43,43.78,43.78,3790810
2000-01-27,44.92,45.28,44.56,44.92,44.92,5111725
2000-01-28,45.68,46.04,45.31,45.68,45.68,5145529
2000-01-31,45.27,45.63,44.91,45.27,45.27,8085151
2000-02-01,46.05,46.42,45.69,46.05,46.05,4290322
2000-02-02,46.73,47.11,46.36,46.73,46.73,5302575
2000-02-03,46.96,47.34,46.59,46.96,46.96,5113297
2000-02-04,47.41,47.79,47.03,47.41,47.41,5887130
2000-02-07,48.28,48.66,47.89,48.28,48.28,7280062
2000-02-08,47.66,48.04,47.28,47.66,47.66,6252779
2000-02-09,48.03,48.41,47.65,48.03,48.03,4018672
2000-02-10,47.45,47.83,47.07,47.45,47.45,8397522
2000-02-11,47.23,47.61,46.86,47.23,47.23,3549144
2000-02-14,46.29,46.66,45.92,46.29,46.29,4980785
2000-02-15,45.26,45.63,44.9,45.26,45.26,5180187
2000-02-16,45.42,45.79,45.06,45.42,45.42,14858492
2000-02-17,45.43,45.79,45.06,45.43,45.43,5812174
2000-02-18,44.43,44.78,44.07,44.43,44.43,6316054
2000-02-21,45.37,45.74,45.01,45.37,45.37,8386400
2000-02-22,44.51,44.87,44.16,44.51,44.51,3732464
2000-02-23,44.22,44.57,43.87,44.22,44.22,8234357
2000-02-24,45.11,45.47,44.75,45.11,45.11,5873317
2000-02-25,44.12,44.47,43.77,44.12,44.12,7793016
2000-02-28,43.44,43.79,43.1,43.44,43.44,7875682
2000-02-29,44.03,44.38,43.68,44.03,44.03,8164487
2000-03-01,43.04,43.38,42.69,43.04,43.04,10694331
2000-03-02,43.54,43.89,43.2,43.54,43.54,5575449
2000-03-03,44.19,44.54,43.84,44.19,44.19,4107460
2000-03-06,43.92,44.27,43.57,43.92,43.92,6465867
2000-03-07,42.89,43.23,42.55,42.89,42.89,6222934
2000-03-08,42.16,42.5,41.82,42.16,42.16,10512439
2000-03-09,42.75,43.09,42.41,42.75,42.75,7106281
2000-03-10,44.26,44.62,43.91,44.26,44.26,7072953
2000-03-13,44.16,44.51,43.81,44.16,44.16,6347955
2000-03-14,44.05,44.41,43.7,44.05,44.05,6607030
2000-03-15,43.72,44.07,43.37,43.72,43.72,9504368
2000-03-16,45.2,45.57,44.84,45.2,45.2,4038533
2000-03-17,46.03,46.4,45.66,46.03,46.03,12613474
2000-03-20,46.77,47.15,46.4,46.77,46.77,2113075
2000-03-21,47.89,48.27,47.5,47.89,47.89,6180408
2000-03-22,47.05,47.42,46.67,47.05,47.05,3777723
2000-03-23,47.7,48.08,47.32,47.7,47.7,2593884
2000-03-24,47.26,47.64,46.88,47.26,47.26,4174956
2000-03-27,45.88,46.25,45.51,45.88,45.88,5485137
2000-03-28,46.42,46.79,46.05,46.42,46.42,6627896
2000-03-29,45.84,46.2,45.47,45.84,45.84,5782506
2000-03-30,47.22,47.6,46.84,47.22,47.22,4691653
2000-03-31,46.76,47.13,46.38,46.76,46.76,3580946
2000-04-03,46.7,47.08,46.33,46.7,46.7,3048282
2000-04-04,45.49,45.85,45.12,45.49,45.49,5291217
2000-04-05,47.1,47.48,46.73,47.1,47.1,2024019
2000-04-06,48.33,48.72,47.94,48.33,48.33,5284168
2000-04-07,48.61,49.0,48.22,48.61,48.61,4141304
2000-04-10,48.69,49.08,48.3,48.69,48.69,4163592
2000-04-11,48.34,48.73,47.96,48.34,48.34,2981393
2000-04-12,48.53,48.92,48.15,48.53,48.53,6234877
2000-04-13,47.32,47.69,46.94,47.32,47.32,3357161
2000-04-14,46.45,46.82,46.08,46.45,46.45,6974457
2000-04-17,46.85,47.22,46.48,46.85,46.85,9547287
2000-04-18,45.81,46.17,45.44,45.81,45.81,4420782
2000-04-19,46.23,46.6,45.86,46.23,46.23,3761046
2000-04-20,45.25,45.62,44.89,45.25,45.25,14053361
2000-04-21,45.71,46.07,45.34,45.71,45.71,5202090
2000-04-24,45.51,45.88,45.15,45.51,45.51,8767974
2000-04-25,46.0,46.37,45.64,46.0,46.0,4928323
2000-04-26,46.07,46.44,45.7,46.07,46.07,8144261
2000-04-27,45.13,45.5,44.77,45.13,45.13,5948091
2000-04-28,45.97,46.33,45.6,45.97,45.97,4071908
2000-05-01,45.62,45.99,45.26,45.62,45.62,5770381
2000-05-02,46.39,46.76,46.02,46.39,46.39,3857281
2000-05-03,46.59,46.97,46.22,46.59,46.59,4477409
2000-05-04,46.15,46.52,45.79,46.15,46.15,7049186
2000-05-05,46.43,46.8,46.06,46.43,46.43,4416036
2000-05-08,46.55,46.93,46.18,46.55,46.55,3490622
2000-05-09,46.07,46.44,45.7,46.07,46.07,4821092
2000-05-10,45.73,46.1,45.37,45.73,45.73,2374927
2000-05-11,46.09,46.46,45.72,46.09,46.09,3162890
2000-05-12,45.63,46.0,45.27,45.63,45.63,5333934
2000-05-15,46.03,46.4,45.67,46.03,46.03,17168470
2000-05-16,45.51,45.87,45.15,45.51,45.51,2618180
2000-05-17,46.36,46.73,45.99,46.36,46.36,6201196
2000-05-18,45.39,45.75,45.03,45.39,45.39,6455019
2000-05-19,46.28,46.65,45.91,46.28,46.28,6153587
2000-05-22,46.9,47.27,46.52,46.9,46.9,4359519
2000-05-23,46.67,47.05,46.3,46.67,46.67,4790581
2000-05-24,47.24,47.62,46.86,47.24,47.24,3602358
2000-05-25,47.3,47.68,46.92,47.3,47.3,8680368
2000-05-26,48.19,48.58,47.81,48.19,48.19,3783139
2000-05-29,48.21,48.6,47.83,48.21,48.21,5475654
2000-05-30,47.9,48.28,47.52,47.9,47.9,5643188
2000-05-31,48.3,48.69,47.92,48.3,48.3,4207703
2000-06-01,47.82,48.21,47.44,47.82,47.82,4026768
2000-06-02,46.19,46.56,45.82,46.19,46.19,4557869
2000-06-05,45.23,45.59,44.87,45.23,45.23,5383412
2000-06-06,44.41,44.77,44.06,44.41,44.41,5711540
2000-06-07,43.56,43.9,43.21,43.56,43.56,4487542
2000-06-08,43.64,43.99,43.29,43.64,43.64,10230847
2000-06-09,43.55,43.9,43.2,43.55,43.55,3643222
2000-06-12,43.55,43.9,43.2,43.55,43.55,5777441
2000-06-13,45.32,45.68,44.96,45.32,45.32,9244920
2000-06-14,46.34,46.71,45.97,46.34,46.34,6395786
2000-06-15,45.72,46.08,45.35,45.72,45.72,2580084
2000-06-16,45.72,46.08,45.35,45.72,45.72,7215330
