,Open,High,Low,Close,Adj Close,Volume
2000-01-03,94.16,94.61,93.39,94.0,94.0,4924297
2000-01-04,93.57,95.1,92.71,93.9,93.9,4455221
2000-01-05,94.16,94.92,93.95,94.44,94.44,4093930
2000-01-06,96.85,97.12,96.3,96.71,96.71,7529117
2000-01-07,98.57,98.85,98.01,98.43,98.43,2227962
2000-01-10,97.94,98.25,97.55,97.9,97.9,4101698
2000-01-11,97.31,98.32,96.54,97.43,97.43,7560218
2000-01-12,97.09,97.67,95.55,96.61,96.61,3974763
2000-01-13,95.2,95.35,95.03,95.19,95.19,4639435
2000-01-14,94.09,94.64,93.64,94.14,94.14,10024860
2000-01-17,96.36,96.65,96.08,96.37,96.37,5789150
2000-01-18,96.81,97.12,96.29,96.71,96.71,3317348
2000-01-19,95.66,96.61,94.1,95.36,95.36,4809899
2000-01-20,95.82,97.6,95.35,96.47,96.47,4621547
2000-01-21,99.32,99.74,98.04,98.89,98.89,2581097
2000-01-24,99.46,100.84,98.12,99.48,99.48,5228333
2000-01-25,101.56,102.26,100.22,101.24,101.24,3377472
2000-01-26,100.51,100.68,99.95,100.32,100.32,9184808
2000-01-27,101.27,102.31,100.11,101.21,101.21,14040615
2000-01-28,103.08,103.72,101.44,102.58,102.58,6542733
2000-01-31,104.82,105.47,104.2,104.83,104.83,4036829
2000-02-01,105.81,106.13,105.0,105.57,105.57,4968237
2000-02-02,105.69,107.56,105.06,106.31,106.31,3875832
2000-02-03,105.95,106.6,105.67,106.14,106.14,5529140
2000-02-04,103.85,105.6,103.13,104.37,104.37,4837711
2000-02-07,104.77,105.64,103.6,104.62,104.62,4881973
2000-02-08,104.42,104.81,104.07,104.44,104.44,2395637
2000-02-09,104.39,104.67,104.14,104.4,104.4,7319766
2000-02-10,102.86,103.58,101.95,102.76,102.76,5817751
2000-02-11,104.71,106.41,104.08,105.25,105.25,4424622
2000-02-14,103.77,104.58,103.31,103.94,103.94,4904387
2000-02-15,101.98,102.93,100.55,101.74,101.74,5325594
2000-02-16,101.38,102.28,100.59,101.43,101.43,7690752
2000-02-17,101.11,101.44,100.81,101.13,101.13,3051420
2000-02-18,102.73,103.43,102.08,102.76,102.76,5919627
2000-02-21,102.55,103.87,101.68,102.78,102.78,3252507
2000-02-22,102.86,103.64,102.12,102.88,102.88,2005631
2000-02-23,104.18,104.58,103.32,103.95,103.95,3338413
2000-02-24,104.0,105.03,103.24,104.14,104.14,6001305
2000-02-25,103.11,104.23,101.84,103.04,103.04,10336004
2000-02-28,104.47,104.94,103.69,104.32,104.32,9030489
2000-02-29,103.76,104.92,101.19,103.05,103.05,3993306
2000-03-01,100.82,101.03,100.0,100.51,100.51,2805535
2000-03-02,101.89,102.69,100.42,101.56,101.56,2697365
2000-03-03,102.1,103.76,101.16,102.46,102.46,4672588
2000-03-06,102.62,102.89,102.31,102.6,102.6,5215302
2000-03-07,103.63,104.5,102.12,103.31,103.31,6256415
2000-03-08,102.94,104.42,102.32,103.37,103.37,11732738
2000-03-09,101.5,102.66,101.07,101.87,101.87,3830036
2000-03-10,100.56,102.07,100.09,101.08,101.08,13782511
2000-03-13,100.21,100.79,99.63,100.21,100.21,7133090
2000-03-14,99.93,100.31,99.67,99.99,99.99,3769386
2000-03-15,99.44,99.69,99.36,99.52,99.52,4813997
2000-03-16,100.1,100.71,99.46,100.08,100.08,6065464
2000-03-17,101.43,102.2,100.61,101.4,101.4,4633571
2000-03-20,101.75,102.49,100.98,101.74,101.74,5945745
2000-03-21,101.49,102.44,100.28,101.36,101.36,12375484
2000-03-22,101.15,101.67,100.69,101.18,101.18,7465068
2000-03-23,100.77,101.17,99.91,100.54,100.54,5402623
2000-03-24,101.83,102.37,100.61,101.49,101.49,7462708
2000-03-27,101.9,102.48,100.78,101.63,101.63,8683688
2000-03-28,101.93,102.62,101.76,102.19,102.19,6284226
2000-03-29,101.9,102.39,100.31,101.35,101.35,5867746
2000-03-30,100.34,102.79,99.13,100.96,100.96,4047289
2000-03-31,100.31,101.14,99.38,100.26,100.26,7932374
2000-04-03,101.4,102.12,100.81,101.46,101.46,4284857
2000-04-04,102.86,103.31,102.1,102.71,102.71,3090416
2000-04-05,103.58,104.2,102.54,103.37,103.37,3579386
2000-04-06,104.46,104.88,103.82,104.35,104.35,6907202
