,Open,High,Low,Close,Adj Close,Volume
2000-01-03,69.61,70.17,69.06,69.61,69.61,7383072
2000-01-04,70.34,70.9,69.78,70.34,70.34,5852011
2000-01-05,70.14,70.7,69.58,70.14,70.14,5683038
2000-01-06,70.19,70.75,69.63,70.19,70.19,4986278
2000-01-07,69.88,70.44,69.32,69.88,69.88,4654825
2000-01-10,70.14,70.71,69.58,70.14,70.14,3660659
2000-01-11,69.58,70.14,69.02,69.58,69.58,5529647
2000-01-12,68.84,69.39,68.29,68.84,68.84,8363396
2000-01-13,68.39,68.94,67.85,68.39,68.39,6482092
2000-01-14,67.72,68.26,67.18,67.72,67.72,4281483
2000-01-17,68.44,68.99,67.89,68.44,68.44,5426138
2000-01-18,68.18,68.72,67.63,68.18,68.18,5946033
2000-01-19,68.81,69.36,68.26,68.81,68.81,3917490
2000-01-20,68.65,69.2,68.11,68.65,68.65,5157887
2000-01-21,66.99,67.52,66.45,66.99,66.99,2436331
2000-01-24,64.56,65.07,64.04,64.56,64.56,4572453
2000-01-25,66.15,66.68,65.62,66.15,66.15,1955352
2000-01-26,67.0,67.53,66.46,67.0,67.0,6829446
2000-01-27,66.99,67.53,66.46,66.99,66.99,4431293
2000-01-28,66.48,67.01,65.94,66.48,66.48,6130187
2000-01-31,67.76,68.31,67.22,67.76,67.76,5680462
2000-02-01,67.38,67.92,66.84,67.38,67.38,4299245
2000-02-02,67.92,68.47,67.38,67.92,67.92,5601983
2000-02-03,67.81,68.36,67.27,67.81,67.81,6821089
2000-02-04,68.06,68.61,67.52,68.06,68.06,8145679
2000-02-07,67.13,67.67,66.59,67.13,67.13,2644067
2000-02-08,67.74,68.29,67.2,67.74,67.74,10144736
2000-02-09,67.66,68.2,67.12,67.66,67.66,5591074
2000-02-10,69.15,69.71,68.6,69.15,69.15,7594543
2000-02-11,68.25,68.8,67.71,68.25,68.25,4257270
2000-02-14,68.7,69.25,68.15,68.7,68.7,3796108
2000-02-15,69.06,69.61,68.51,69.06,69.06,1887148
2000-02-16,68.19,68.74,67.65,68.19,68.19,6788854
2000-02-17,68.32,68.86,67.77,68.32,68.32,5233858
2000-02-18,67.22,67.76,66.68,67.22,67.22,5301297
2000-02-21,66.27,66.8,65.74,66.27,66.27,3723208
2000-02-22,66.27,66.8,65.74,66.27,66.27,3390327
2000-02-23,65.67,66.2,65.15,65.67,65.67,3464280
2000-02-24,65.74,66.26,65.21,65.74,65.74,5868099
2000-02-25,63.82,64.33,63.31,63.82,63.82,5906530
2000-02-28,64.21,64.72,63.69,64.21,64.21,4422307
2000-02-29,64.98,65.5,64.46,64.98,64.98,2871752
2000-03-01,64.18,64.69,63.67,64.18,64.18,4278630
2000-03-02,66.4,66.93,65.87,66.4,66.4,7658853
2000-03-03,66.4,66.93,65.87,66.4,66.4,3583898
2000-03-06,66.71,67.24,66.17,66.71,66.71,7077246
2000-03-07,66.41,66.94,65.88,66.41,66.41,7948130
2000-03-08,66.43,66.96,65.9,66.43,66.43,7218119
2000-03-09,67.05,67.58,66.51,67.05,67.05,5233404
2000-03-10,66.44,66.97,65.91,66.44,66.44,7383922
2000-03-13,67.33,67.87,66.8,67.33,67.33,8309819
2000-03-14,66.55,67.09,66.02,66.55,66.55,3534886
2000-03-15,66.5,67.04,65.97,66.5,66.5,4478130
2000-03-16,65.78,66.31,65.26,65.78,65.78,2397082
2000-03-17,67.33,67.87,66.79,67.33,67.33,3725963
2000-03-20,69.53,70.08,68.97,69.53,69.53,6188560
2000-03-21,69.42,69.98,68.87,69.42,69.42,11927308
2000-03-22,69.56,70.11,69.0,69.56,69.56,9070642
2000-03-23,70.03,70.59,69.47,70.03,70.03,3767069
2000-03-24,71.47,72.04,70.9,71.47,71.47,7585271
2000-03-27,71.35,71.92,70.77,71.35,71.35,2458614
2000-03-28,70.16,70.73,69.6,70.16,70.16,12100996
2000-03-29,72.18,72.75,71.6,72.18,72.18,4272457
2000-03-30,70.6,71.16,70.04,70.6,70.6,6818500
2000-03-31,71.52,72.09,70.94,71.52,71.52,7116957
2000-04-03,71.78,72.36,71.21,71.78,71.78,5015072
2000-04-04,71.57,72.14,71.0,71.57,71.57,6337093
2000-04-05,71.4,71.97,70.83,71.4,71.4,7298142
2000-04-06,72.48,73.06,71.9,72.48,72.48,4888091
2000-04-07,74.08,74.67,73.48,74.08,74.08,5188515
2000-04-10,75.1,75.7,74.5,75.1,75.1,2381113
2000-04-11,75.96,76.57,75.35,75.96,75.96,2508611
2000-04-12,76.74,77.35,76.13,76.74,76.74,5200756
2000-04-13,75.58,76.19,74.98,75.58,75.58,4724439
2000-04-14,76.35,76.96,75.74,76.35,76.35,10476405
2000-04-17,75.43,76.04,74.83,75.43,75.43,4505826
2000-04-18,74.78,75.38,74.18,74.78,74.78,4730080
2000-04-19,75.18,75.78,74.58,75.18,75.18,6184291
2000-04-20,74.59,75.19,74.0,74.59,74.59,7941674
2000-04-21,74.01,74.6,73.41,74.01,74.01,3043764
2000-04-24,72.77,73.35,72.19,72.77,72.77,3212610
2000-04-25,73.99,74.58,73.4,73.99,73.99,6588624
2000-04-26,74.9,75.5,74.3,74.9,74.9,3724557
2000-04-27,76.11,76.72,75.5,76.11,76.11,5783318
2000-04-28,76.65,77.27,76.04,76.65,76.65,6082844
2000-05-01,77.43,78.04,76.81,77.43,77.43,5447640
2000-05-02,75.01,75.61,74.41,75.01,75.01,8494359
2000-05-03,75.49,76.09,74.89,75.49,75.49,5006465
2000-05-04,76.48,77.09,75.86,76.48,76.48,6653979
2000-05-05,77.43,78.05,76.81,77.43,77.43,5492346
2000-05-08,76.54,77.15,75.93,76.54,76.54,10061142
2000-05-09,76.92,77.54,76.31,76.92,76.92,6430245
2000-05-10,77.27,77.89,76.65,77.27,77.27,6337751
2000-05-11,74.95,75.55,74.35,74.95,74.95,3025994
2000-05-12,75.1,75.7,74.49,75.1,75.1,3730437
2000-05-15,74.34,74.93,73.74,74.34,74.34,5113926
2000-05-16,74.39,74.98,73.79,74.39,74.39,2777505
2000-05-17,73.37,73.96,72.78,73.37,73.37,5153108
2000-05-18,73.26,73.85,72.68,73.26,73.26,5046316
2000-05-19,73.18,73.76,72.59,73.18,73.18,4240984
2000-05-22,75.03,75.63,74.43,75.03,75.03,9496283
2000-05-23,76.3,76.91,75.69,76.3,76.3,4292406
2000-05-24,73.83,74.42,73.24,73.83,73.83,5176073
2000-05-25,75.46,76.07,74.86,75.46,75.46,4718697
2000-05-26,74.11,74.7,73.52,74.11,74.11,4045649
2000-05-29,73.56,74.15,72.97,73.56,73.56,8882645
2000-05-30,73.85,74.44,73.26,73.85,73.85,5572452
2000-05-31,73.9,74.5,73.31,73.9,73.9,4582955
2000-06-01,74.29,74.89,73.7,74.29,74.29,4864974
2000-06-02,74.44,75.04,73.85,74.44,74.44,2434724
2000-06-05,74.34,74.93,73.74,74.34,74.34,5254019
2000-06-06,75.26,75.86,74.66,75.26,75.26,3256675
2000-06-07,75.53,76.14,74.93,75.53,75.53,8823547
2000-06-08,74.99,75.59,74.39,74.99,74.99,7006296
2000-06-09,75.72,76.32,75.11,75.72,75.72,6764205
2000-06-12,75.69,76.29,75.08,75.69,75.69,3966804
2000-06-13,75.08,75.68,74.48,75.08,75.08,3697018
2000-06-14,76.77,77.38,76.15,76.77,76.77,3888543
2000-06-15,77.03,77.65,76.42,77.03,77.03,4646282
2000-06-16,76.75,77.36,76.13,76.75,76.75,7590749
2000-06-19,77.47,78.09,76.85,77.47,77.47,6753929
2000-06-20,76.87,77.48,76.25,76.87,76.87,14988884
2000-06-21,76.19,76.8,75.58,76.19,76.19,3648394
2000-06-22,74.72,75.32,74.12,74.72,74.72,3893468
2000-06-23,75.04,75.64,74.44,75.04,75.04,4262557
2000-06-26,75.72,76.33,75.12,75.72,75.72,5060499
2000-06-27,75.19,75.79,74.59,75.19,75.19,8871083
2000-06-28,75.45,76.05,74.85,75.45,75.45,2721339
2000-06-29,75.16,75.76,74.56,75.16,75.16,1660176
2000-06-30,76.11,76.72,75.51,76.11,76.11,3251226
2000-07-03,75.35,75.95,74.75,75.35,75.35,4215816
2000-07-04,76.43,77.04,75.82,76.43,76.43,5903004
2000-07-05,75.48,76.08,74.87,75.48,75.48,3664406
2000-07-06,75.92,76.53,75.31,75.92,75.92,7720095
2000-07-07,76.82,77.43,76.2,76.82,76.82,6456461
2000-07-10,76.42,77.03,75.81,76.42,76.42,4901169
2000-07-11,75.05,75.65,74.45,75.05,75.05,5046902
2000-07-12,76.09,76.7,75.48,76.09,76.09,6158798
2000-07-13,77.26,77.88,76.64,77.26,77.26,8717467
2000-07-14,77.12,77.74,76.5,77.12,77.12,4787083
2000-07-17,77.33,77.95,76.71,77.33,77.33,4648927
2000-07-18,78.97,79.6,78.34,78.97,78.97,7360262
2000-07-19,81.36,82.01,80.71,81.36,81.36,10858889
2000-07-20,80.63,81.27,79.98,80.63,80.63,4309251
2000-07-21,80.81,81.45,80.16,80.81,80.81,3790776
2000-07-24,82.14,82.79,81.48,82.14,82.14,10663101
2000-07-25,84.43,85.11,83.76,84.43,84.43,4330003
2000-07-26,85.82,86.5,85.13,85.82,85.82,4879590
2000-07-27,85.15,85.83,84.47,85.15,85.15,5825577
2000-07-28,85.37,86.05,84.69,85.37,85.37,6469976
2000-07-31,86.86,87.55,86.16,86.86,86.86,4366777
2000-08-01,86.04,86.72,85.35,86.04,86.04,6641506
2000-08-02,88.14,88.84,87.43,88.14,88.14,6982549
2000-08-03,88.15,88.85,87.44,88.15,88.15,4667867
2000-08-04,87.63,88.33,86.93,87.63,87.63,3761324
2000-08-07,87.61,88.31,86.91,87.61,87.61,5454117
2000-08-08,87.52,88.22,86.82,87.52,87.52,7203218
2000-08-09,87.11,87.8,86.41,87.11,87.11,2754787
2000-08-10,88.33,89.04,87.63,88.33,88.33,8676735
2000-08-11,89.74,90.46,89.02,89.74,89.74,5426574
2000-08-14,87.99,88.69,87.29,87.99,87.99,5693743
2000-08-15,90.22,90.94,89.5,90.22,90.22,4067112
2000-08-16,89.53,90.25,88.82,89.53,89.53,3389131
2000-08-17,91.33,92.06,90.6,91.33,91.33,6102841
2000-08-18,90.6,91.32,89.88,90.6,90.6,5826223
2000-08-21,88.57,89.28,87.86,88.57,88.57,5077632
2000-08-22,87.15,87.85,86.46,87.15,87.15,3574666
2000-08-23,86.48,87.17,85.79,86.48,86.48,5346534
2000-08-24,86.1,86.79,85.42,86.1,86.1,5394533
2000-08-25,86.87,87.56,86.17,86.87,86.87,3691960
2000-08-28,87.72,88.43,87.02,87.72,87.72,4481783
2000-08-29,87.51,88.21,86.81,87.51,87.51,8491105
2000-08-30,86.42,87.11,85.73,86.42,86.42,5864424
2000-08-31,84.41,85.09,83.74,84.41,84.41,6899955
2000-09-01,86.2,86.88,85.51,86.2,86.2,6962271
2000-09-04,87.42,88.12,86.72,87.42,87.42,5269069
2000-09-05,87.3,88.0,86.6,87.3,87.3,3957122
2000-09-06,87.91,88.62,87.21,87.91,87.91,4167803
2000-09-07,89.43,90.15,88.72,89.43,89.43,7578480
2000-09-08,88.67,89.38,87.96,88.67,88.67,9215398
2000-09-11,85.81,86.5,85.12,85.81,85.81,6319039
2000-09-12,85.3,85.98,84.62,85.3,85.3,4543205
2000-09-13,86.58,87.27,85.88,86.58,86.58,9904958
2000-09-14,86.23,86.92,85.54,86.23,86.23,3240069
2000-09-15,86.12,86.8,85.43,86.12,86.12,5170331
2000-09-18,85.04,85.72,84.36,85.04,85.04,6431525
2000-09-19,82.5,83.16,81.84,82.5,82.5,6093558
2000-09-20,82.02,82.68,81.37,82.02,82.02,9151767
2000-09-21,80.56,81.21,79.92,80.56,80.56,7801364
2000-09-22,79.82,80.46,79.19,79.82,79.82,6963961
2000-09-25,78.88,79.51,78.25,78.88,78.88,6443064
2000-09-26,77.63,78.25,77.01,77.63,77.63,6322999
2000-09-27,75.71,76.31,75.1,75.71,75.71,6885272
2000-09-28,75.23,75.83,74.63,75.23,75.23,3302352
2000-09-29,75.4,76.0,74.79,75.4,75.4,1827986
2000-10-02,78.5,79.13,77.87,78.5,78.5,6799862
2000-10-03,79.09,79.72,78.45,79.09,79.09,3440911
2000-10-04,77.65,78.27,77.03,77.65,77.65,7138621
2000-10-05,77.97,78.59,77.35,77.97,77.97,12648423
2000-10-06,78.88,79.51,78.25,78.88,78.88,4779755
2000-10-09,79.97,80.61,79.33,79.97,79.97,3095675
2000-10-10,78.2,78.82,77.57,78.2,78.2,3162295
2000-10-11,77.08,77.69,76.46,77.08,77.08,3854753
2000-10-12,76.42,77.03,75.81,76.42,76.42,8676297
2000-10-13,76.11,76.72,75.5,76.11,76.11,4833303
2000-10-16,77.69,78.32,77.07,77.69,77.69,6576121
2000-10-17,77.12,77.74,76.51,77.12,77.12,7501269
2000-10-18,79.97,80.61,79.33,79.97,79.97,3817742
2000-10-19,79.89,80.53,79.25,79.89,79.89,11081226
2000-10-20,78.73,79.36,78.1,78.73,78.73,2303895
2000-10-23,80.13,80.77,79.49,80.13,80.13,5491152
2000-10-24,78.89,79.52,78.26,78.89,78.89,7490564
2000-10-25,77.69,78.31,77.07,77.69,77.69,2196833
2000-10-26,77.48,78.1,76.86,77.48,77.48,4858797
2000-10-27,77.28,77.9,76.66,77.28,77.28,5968746
2000-10-30,77.57,78.19,76.95,77.57,77.57,4559985
2000-10-31,76.45,77.06,75.84,76.45,76.45,5522349
2000-11-01,75.31,75.92,74.71,75.31,75.31,5998891
2000-11-02,75.07,75.67,74.47,75.07,75.07,5069680
2000-11-03,74.07,74.66,73.48,74.07,74.07,10092691
2000-11-06,73.97,74.56,73.38,73.97,73.97,4525989
2000-11-07,76.68,77.29,76.06,76.68,76.68,2148040
2000-11-08,75.55,76.15,74.94,75.55,75.55,9463266
2000-11-09,75.02,75.62,74.42,75.02,75.02,4238883
2000-11-10,76.12,76.72,75.51,76.12,76.12,11377472
2000-11-13,75.98,76.59,75.38,75.98,75.98,7722958
2000-11-14,75.49,76.1,74.89,75.49,75.49,6260235
2000-11-15,75.8,76.41,75.2,75.8,75.8,4194766
2000-11-16,74.89,75.49,74.29,74.89,74.89,2852252
2000-11-17,75.13,75.73,74.53,75.13,75.13,4558538
2000-11-20,76.74,77.35,76.12,76.74,76.74,3728341
2000-11-21,75.34,75.94,74.73,75.34,75.34,5015997
2000-11-22,73.62,74.21,73.03,73.62,73.62,4308253
2000-11-23,73.36,73.95,72.77,73.36,73.36,4453525
