,Open,High,Low,Close,Adj Close,Volume
2000-01-03,140.52,142.39,139.61,141.0,141.0,6451128
2000-01-04,142.99,144.32,142.54,143.43,143.43,3727978
2000-01-05,145.86,146.52,144.32,145.42,145.42,4472485
2000-01-06,148.05,149.17,145.28,147.22,147.22,7689592
2000-01-07,149.25,149.5,148.73,149.11,149.11,5015271
2000-01-10,149.01,150.09,146.26,148.17,148.17,2993212
2000-01-11,149.69,150.1,148.98,149.54,149.54,3053181
2000-01-12,152.27,153.44,150.89,152.17,152.17,6697451
2000-01-13,148.81,150.83,148.29,149.56,149.56,3526138
2000-01-14,149.33,151.74,148.56,150.15,150.15,9980450
2000-01-17,158.27,159.24,156.45,157.85,157.85,3198739
2000-01-18,156.92,158.51,156.43,157.47,157.47,3645587
2000-01-19,158.38,159.41,157.98,158.69,158.69,6221965
2000-01-20,156.99,157.57,155.13,156.35,156.35,3160215
2000-01-21,158.62,160.34,156.51,158.42,158.42,2919436
2000-01-24,158.01,158.57,157.29,157.93,157.93,5094155
2000-01-25,156.7,157.65,155.69,156.67,156.67,9261329
2000-01-26,158.05,158.5,156.38,157.44,157.44,4681934
2000-01-27,151.29,153.05,150.33,151.69,151.69,3133415
2000-01-28,151.74,152.87,148.6,150.73,150.73,3550988
2000-01-31,156.67,158.02,154.59,156.31,156.31,9361332
2000-02-01,156.87,157.82,155.75,156.78,156.78,10864117
2000-02-02,161.63,162.28,160.32,161.3,161.3,4555710
2000-02-03,162.65,165.22,161.34,163.28,163.28,5897433
2000-02-04,164.12,166.25,163.12,164.69,164.69,9658249
2000-02-07,166.28,167.56,164.6,166.08,166.08,3302059
2000-02-08,164.71,164.72,164.71,164.71,164.71,3566255
2000-02-09,163.6,164.78,162.69,163.74,163.74,8682282
2000-02-10,164.37,165.85,162.58,164.22,164.22,5627255
2000-02-11,169.76,171.76,167.88,169.82,169.82,10922220
2000-02-14,166.52,167.71,165.74,166.72,166.72,14331917
2000-02-15,168.3,169.21,166.9,168.05,168.05,12906517
2000-02-16,175.18,177.15,173.71,175.43,175.43,5497443
2000-02-17,182.12,183.88,180.34,182.11,182.11,4704360
2000-02-18,177.16,179.27,176.03,177.65,177.65,4720655
2000-02-21,177.78,178.38,177.48,177.93,177.93,5562011
2000-02-22,183.06,183.26,182.51,182.89,182.89,5371830
2000-02-23,181.8,182.73,180.6,181.66,181.66,8226012
2000-02-24,185.0,187.26,183.43,185.34,185.34,5475627
2000-02-25,188.42,188.77,187.01,187.89,187.89,6998978
2000-02-28,189.27,189.74,187.97,188.86,188.86,2552059
2000-02-29,190.26,192.37,189.59,190.98,190.98,7283989
2000-03-01,193.03,193.6,191.4,192.5,192.5,4732835
2000-03-02,191.66,192.77,190.01,191.39,191.39,6188649
2000-03-03,193.19,194.09,189.61,191.85,191.85,6310402
2000-03-06,189.88,192.26,188.53,190.39,190.39,6519140
2000-03-07,187.08,188.23,186.19,187.21,187.21,5759872
2000-03-08,195.99,197.68,194.62,196.15,196.15,6527628
2000-03-09,193.08,195.72,191.84,193.78,193.78,7167778
2000-03-10,192.75,194.74,191.46,193.1,193.1,5171291
2000-03-13,195.81,197.64,193.64,195.64,195.64,5322021
2000-03-14,196.74,199.02,194.85,196.93,196.93,5480122
2000-03-15,193.03,193.98,191.83,192.9,192.9,2242740
2000-03-16,189.53,190.36,189.07,189.71,189.71,5536570
2000-03-17,193.43,194.72,192.77,193.74,193.74,8451796
2000-03-20,191.64,194.08,190.3,192.19,192.19,8705469
2000-03-21,189.27,192.16,188.49,190.33,190.33,7112446
2000-03-22,186.28,186.83,186.02,186.43,186.43,5295819
2000-03-23,187.61,188.53,186.25,187.39,187.39,8402786
2000-03-24,189.19,190.86,187.11,188.99,188.99,3012806
2000-03-27,187.57,189.87,186.92,188.39,188.39,3547133
2000-03-28,185.96,188.75,184.1,186.42,186.42,3624493
2000-03-29,179.71,181.2,178.21,179.71,179.71,3582162
2000-03-30,178.15,179.92,177.09,178.51,178.51,3840588
2000-03-31,177.93,179.73,177.09,178.41,178.41,5663164
2000-04-03,180.42,184.4,178.31,181.36,181.36,2195633
