,Open,High,Low,Close,Adj Close,Volume
2000-01-03,13.9,14.01,13.79,13.9,13.9,3743816
2000-01-04,13.78,13.89,13.67,13.78,13.78,1504502
2000-01-05,13.81,13.92,13.7,13.81,13.81,4050036
2000-01-06,13.6,13.71,13.49,13.6,13.6,6810283
2000-01-07,13.37,13.48,13.26,13.37,13.37,5656545
2000-01-10,13.38,13.49,13.27,13.38,13.38,5904793
2000-01-11,13.58,13.69,13.47,13.58,13.58,4730340
2000-01-12,13.39,13.5,13.28,13.39,13.39,8045308
2000-01-13,13.7,13.81,13.59,13.7,13.7,3356474
2000-01-14,13.71,13.82,13.6,13.71,13.71,5237346
2000-01-17,13.96,14.07,13.85,13.96,13.96,7883164
2000-01-18,13.85,13.96,13.74,13.85,13.85,5147934
2000-01-19,13.65,13.76,13.54,13.65,13.65,4242099
2000-01-20,13.6,13.71,13.49,13.6,13.6,6661733
2000-01-21,13.7,13.81,13.59,13.7,13.7,2650378
2000-01-24,13.71,13.82,13.6,13.71,13.71,7554024
2000-01-25,13.71,13.82,13.6,13.71,13.71,4847585
2000-01-26,13.67,13.78,13.56,13.67,13.67,4986498
2000-01-27,13.27,13.37,13.16,13.27,13.27,7161054
2000-01-28,13.57,13.68,13.46,13.57,13.57,4027554
2000-01-31,13.26,13.36,13.15,13.26,13.26,7153859
2000-02-01,12.79,12.89,12.69,12.79,12.79,5119131
2000-02-02,12.67,12.77,12.57,12.67,12.67,6331684
2000-02-03,12.52,12.62,12.42,12.52,12.52,2104616
2000-02-04,12.76,12.87,12.66,12.76,12.76,6281031
2000-02-07,12.8,12.9,12.69,12.8,12.8,2253234
2000-02-08,13.32,13.42,13.21,13.32,13.32,9533675
2000-02-09,13.29,13.4,13.19,13.29,13.29,11760023
2000-02-10,13.26,13.37,13.15,13.26,13.26,3196149
2000-02-11,12.91,13.01,12.81,12.91,12.91,6701722
2000-02-14,13.41,13.51,13.3,13.41,13.41,5663726
2000-02-15,13.32,13.43,13.21,13.32,13.32,12645819
2000-02-16,13.27,13.38,13.16,13.27,13.27,6836771
2000-02-17,13.1,13.2,12.99,13.1,13.1,7825648
2000-02-18,13.39,13.49,13.28,13.39,13.39,8223599
2000-02-21,13.41,13.51,13.3,13.41,13.41,4982844
2000-02-22,13.42,13.52,13.31,13.42,13.42,4372633
2000-02-23,13.62,13.73,13.51,13.62,13.62,6571795
2000-02-24,13.58,13.69,13.47,13.58,13.58,8460494
2000-02-25,13.63,13.74,13.52,13.63,13.63,8667191
2000-02-28,13.9,14.01,13.79,13.9,13.9,6684189
2000-02-29,13.74,13.85,13.63,13.74,13.74,2776594
2000-03-01,13.69,13.8,13.58,13.69,13.69,5006034
2000-03-02,13.75,13.86,13.64,13.75,13.75,2298636
2000-03-03,13.98,14.09,13.87,13.98,13.98,3305333
2000-03-06,14.09,14.2,13.98,14.09,14.09,4132289
2000-03-07,14.04,14.15,13.93,14.04,14.04,4175234
2000-03-08,14.07,14.18,13.96,14.07,14.07,4074473
2000-03-09,13.95,14.06,13.84,13.95,13.95,4955753
2000-03-10,13.79,13.9,13.68,13.79,13.79,4894878
2000-03-13,13.85,13.96,13.74,13.85,13.85,5481203
2000-03-14,13.87,13.98,13.76,13.87,13.87,6177123
2000-03-15,13.83,13.94,13.72,13.83,13.83,4920221
2000-03-16,13.84,13.95,13.72,13.84,13.84,3619728
2000-03-17,13.6,13.71,13.49,13.6,13.6,8633088
2000-03-20,13.58,13.69,13.47,13.58,13.58,3506096
2000-03-21,13.38,13.49,13.28,13.38,13.38,5126462
2000-03-22,13.05,13.16,12.95,13.05,13.05,7321612
2000-03-23,13.2,13.31,13.1,13.2,13.2,3772987
2000-03-24,13.36,13.47,13.25,13.36,13.36,7415443
2000-03-27,13.41,13.52,13.31,13.41,13.41,4872951
2000-03-28,13.33,13.43,13.22,13.33,13.33,5753117
2000-03-29,13.51,13.61,13.4,13.51,13.51,7426741
2000-03-30,13.72,13.83,13.61,13.72,13.72,5240360
2000-03-31,13.88,13.99,13.77,13.88,13.88,4424463
2000-04-03,14.08,14.19,13.97,14.08,14.08,3565395
2000-04-04,14.0,14.11,13.89,14.0,14.0,5805804
2000-04-05,13.9,14.01,13.79,13.9,13.9,2508659
2000-04-06,13.88,13.99,13.77,13.88,13.88,8385869
2000-04-07,13.62,13.73,13.51,13.62,13.62,5013846
2000-04-10,13.73,13.84,13.62,13.73,13.73,5271632
2000-04-11,13.9,14.01,13.79,13.9,13.9,5870121
2000-04-12,13.6,13.71,13.49,13.6,13.6,7016547
2000-04-13,13.49,13.6,13.38,13.49,13.49,5002436
2000-04-14,13.17,13.27,13.06,13.17,13.17,5216365
2000-04-17,13.16,13.27,13.06,13.16,13.16,3161237
2000-04-18,13.2,13.3,13.09,13.2,13.2,9823021
2000-04-19,13.27,13.37,13.16,13.27,13.27,6269111
2000-04-20,13.43,13.53,13.32,13.43,13.43,4344844
2000-04-21,13.66,13.77,13.55,13.66,13.66,6670778
2000-04-24,13.54,13.65,13.43,13.54,13.54,6389711
2000-04-25,13.54,13.65,13.43,13.54,13.54,6773091
2000-04-26,13.94,14.05,13.83,13.94,13.94,3490215
2000-04-27,13.66,13.77,13.56,13.66,13.66,7495369
2000-04-28,13.73,13.84,13.62,13.73,13.73,8088110
2000-05-01,13.71,13.82,13.6,13.71,13.71,4448594
2000-05-02,13.55,13.66,13.44,13.55,13.55,4166960
2000-05-03,13.46,13.56,13.35,13.46,13.46,3613349
2000-05-04,13.33,13.44,13.22,13.33,13.33,6718294
2000-05-05,13.08,13.19,12.98,13.08,13.08,8681930
2000-05-08,12.91,13.01,12.81,12.91,12.91,4925281
2000-05-09,12.65,12.75,12.55,12.65,12.65,3609674
2000-05-10,12.73,12.84,12.63,12.73,12.73,5745594
2000-05-11,13.09,13.2,12.99,13.09,13.09,4569218
2000-05-12,13.11,13.22,13.01,13.11,13.11,5297310
2000-05-15,13.16,13.27,13.06,13.16,13.16,6323414
2000-05-16,12.98,13.08,12.88,12.98,12.98,7382771
2000-05-17,13.26,13.37,13.16,13.26,13.26,8894252
2000-05-18,13.31,13.42,13.21,13.31,13.31,2811079
2000-05-19,13.2,13.3,13.09,13.2,13.2,5391105
2000-05-22,13.24,13.34,13.13,13.24,13.24,6080088
2000-05-23,13.11,13.21,13.0,13.11,13.11,3500291
2000-05-24,13.05,13.15,12.94,13.05,13.05,6496130
2000-05-25,13.25,13.35,13.14,13.25,13.25,3769528
2000-05-26,12.86,12.97,12.76,12.86,12.86,5144292
2000-05-29,12.74,12.84,12.64,12.74,12.74,8651840
2000-05-30,12.79,12.89,12.68,12.79,12.79,12268119
2000-05-31,12.9,13.0,12.79,12.9,12.9,5478546
2000-06-01,12.61,12.71,12.51,12.61,12.61,12475231
2000-06-02,12.62,12.73,12.52,12.62,12.62,8762302
2000-06-05,12.82,12.92,12.72,12.82,12.82,4657251
2000-06-06,13.13,13.24,13.03,13.13,13.13,5093575
2000-06-07,12.82,12.92,12.71,12.82,12.82,11461467
2000-06-08,12.89,12.99,12.78,12.89,12.89,7485703
2000-06-09,13.0,13.11,12.9,13.0,13.0,4651171
2000-06-12,12.8,12.9,12.7,12.8,12.8,4247457
2000-06-13,12.6,12.7,12.5,12.6,12.6,4110318
2000-06-14,12.9,13.01,12.8,12.9,12.9,3756599
2000-06-15,13.04,13.14,12.93,13.04,13.04,5811313
2000-06-16,13.27,13.38,13.17,13.27,13.27,7820990
2000-06-19,13.18,13.29,13.08,13.18,13.18,5620509
2000-06-20,13.04,13.15,12.94,13.04,13.04,5213847
2000-06-21,13.16,13.26,13.05,13.16,13.16,7284962
2000-06-22,12.89,12.99,12.79,12.89,12.89,6229970
2000-06-23,12.91,13.01,12.81,12.91,12.91,4504621
2000-06-26,12.88,12.98,12.78,12.88,12.88,9680466
2000-06-27,13.22,13.33,13.12,13.22,13.22,5214070
2000-06-28,13.12,13.22,13.01,13.12,13.12,7146215
2000-06-29,13.07,13.17,12.96,13.07,13.07,4129061
2000-06-30,13.31,13.42,13.2,13.31,13.31,2980048
2000-07-03,13.48,13.58,13.37,13.48,13.48,7660905
2000-07-04,13.74,13.85,13.63,13.74,13.74,4651352
2000-07-05,13.68,13.79,13.58,13.68,13.68,5537020
2000-07-06,13.72,13.83,13.61,13.72,13.72,7099933
2000-07-07,13.65,13.76,13.54,13.65,13.65,5698159
2000-07-10,13.56,13.66,13.45,13.56,13.56,6400792
2000-07-11,13.21,13.31,13.1,13.21,13.21,4875267
2000-07-12,13.29,13.39,13.18,13.29,13.29,7856491
2000-07-13,13.04,13.14,12.93,13.04,13.04,4543812
2000-07-14,13.33,13.44,13.22,13.33,13.33,11470102
2000-07-17,13.13,13.24,13.03,13.13,13.13,6150221
2000-07-18,12.97,13.08,12.87,12.97,12.97,5584462
2000-07-19,13.15,13.25,13.04,13.15,13.15,6351268
2000-07-20,13.29,13.39,13.18,13.29,13.29,5290971
2000-07-21,13.2,13.31,13.1,13.2,13.2,5982406
2000-07-24,13.13,13.23,13.02,13.13,13.13,4312082
2000-07-25,13.26,13.37,13.15,13.26,13.26,4773065
2000-07-26,13.27,13.38,13.16,13.27,13.27,4727281
