,Open,High,Low,Close,Adj Close,Volume
2000-01-03,210.85,212.91,209.09,211.0,211.0,9478839
2000-01-04,212.19,212.87,211.61,212.24,212.24,4802176
2000-01-05,206.52,208.75,205.96,207.35,207.35,5706300
2000-01-06,214.51,216.27,212.73,214.5,214.5,7566517
2000-01-07,218.23,219.8,213.67,216.73,216.73,5499089
2000-01-10,224.04,225.36,220.25,222.81,222.81,9853084
2000-01-11,225.89,229.53,223.28,226.4,226.4,4920605
2000-01-12,226.54,229.21,225.81,227.51,227.51,5824789
2000-01-13,218.36,219.7,214.73,217.21,217.21,2792182
2000-01-14,213.13,214.6,211.6,213.1,213.1,5728984
2000-01-17,220.18,221.05,219.21,220.13,220.13,3993403
2000-01-18,216.31,219.57,215.46,217.51,217.51,2953876
2000-01-19,220.36,222.02,219.38,220.7,220.7,7607410
2000-01-20,225.95,228.21,224.93,226.57,226.57,8086956
2000-01-21,221.75,224.39,218.56,221.47,221.47,6954313
2000-01-24,219.51,222.08,217.04,219.56,219.56,5187471
2000-01-25,218.24,220.93,217.55,219.24,219.24,2698527
2000-01-26,225.67,226.97,224.08,225.53,225.53,6409651
2000-01-27,232.52,235.21,230.23,232.72,232.72,6805829
2000-01-28,235.16,236.22,231.63,233.93,233.93,2491125
2000-01-31,241.84,243.56,236.46,240.01,240.01,7804708
2000-02-01,240.22,241.67,238.43,240.05,240.05,5017369
2000-02-02,252.08,254.44,250.27,252.35,252.35,8308025
2000-02-03,253.84,255.36,249.05,252.21,252.21,4069880
2000-02-04,245.15,246.92,243.96,245.44,245.44,3899520
2000-02-07,249.99,252.74,246.86,249.8,249.8,8960400
2000-02-08,250.24,250.81,249.4,250.11,250.11,2840866
2000-02-09,251.27,252.66,249.5,251.08,251.08,6650021
2000-02-10,248.69,250.92,247.38,249.15,249.15,7272935
2000-02-11,249.01,251.12,246.84,248.98,248.98,4757685
2000-02-14,243.86,247.33,240.82,244.08,244.08,3981901
2000-02-15,247.64,249.34,245.4,247.37,247.37,5519055
2000-02-16,250.45,252.09,246.11,249.1,249.1,4999837
2000-02-17,249.49,251.39,247.81,249.6,249.6,4613491
2000-02-18,245.92,247.69,243.47,245.58,245.58,8039288
2000-02-21,245.13,246.82,241.43,244.13,244.13,21542470
2000-02-22,251.0,252.48,248.38,250.43,250.43,3478483
2000-02-23,261.09,262.6,259.62,261.11,261.11,4867534
2000-02-24,263.54,264.81,259.93,262.37,262.37,5211810
2000-02-25,262.5,264.66,259.5,262.08,262.08,3946451
