,Open,High,Low,Close,Adj Close,Volume
2012-01-02,30.7,30.94,30.45,30.7,30.7,3292913
2012-01-03,30.47,30.71,30.22,30.47,30.47,3733823
2012-01-04,30.32,30.56,30.07,30.32,30.32,4555867
2012-01-05,30.22,30.46,29.98,30.22,30.22,8530265
2012-01-06,30.2,30.44,29.95,30.2,30.2,4155506
2012-01-09,30.36,30.61,30.12,30.36,30.36,4190516
2012-01-10,30.08,30.32,29.84,30.08,30.08,5103469
2012-01-11,30.19,30.43,29.95,30.19,30.19,4626930
2012-01-12,30.63,30.88,30.39,30.63,30.63,7717630
2012-01-13,31.07,31.32,30.82,31.07,31.07,12933713
2012-01-16,30.78,31.03,30.54,30.78,30.78,8971845
2012-01-17,30.58,30.83,30.34,30.58,30.58,5648188
2012-01-18,30.7,30.95,30.45,30.7,30.7,7152022
2012-01-19,31.09,31.34,30.84,31.09,31.09,2449979
2012-01-20,30.79,31.03,30.54,30.79,30.79,6669109
2012-01-23,30.67,30.92,30.43,30.67,30.67,3156373
2012-01-24,29.53,29.77,29.29,29.53,29.53,5780039
2012-01-25,29.89,30.12,29.65,29.89,29.89,8354722
2012-01-26,29.34,29.57,29.1,29.34,29.34,12404434
2012-01-27,29.19,29.43,28.96,29.19,29.19,12602081
2012-01-30,28.96,29.19,28.73,28.96,28.96,5890339
2012-01-31,28.82,29.05,28.59,28.82,28.82,4829291
2012-02-01,29.22,29.46,28.99,29.22,29.22,3250818
2012-02-02,29.22,29.45,28.98,29.22,29.22,2866796
2012-02-03,28.87,29.1,28.64,28.87,28.87,4266734
2012-02-06,28.09,28.32,27.87,28.09,28.09,3355967
2012-02-07,27.99,28.22,27.77,27.99,27.99,13051907
2012-02-08,28.14,28.36,27.91,28.14,28.14,5932985
2012-02-09,28.52,28.75,28.3,28.52,28.52,7022462
2012-02-10,28.85,29.08,28.62,28.85,28.85,6685621
2012-02-13,29.25,29.48,29.01,29.25,29.25,3932172
2012-02-14,29.01,29.24,28.77,29.01,29.01,3790084
2012-02-15,30.08,30.32,29.84,30.08,30.08,8063413
2012-02-16,30.29,30.53,30.05,30.29,30.29,4024567
2012-02-17,30.28,30.53,30.04,30.28,30.28,4037419
2012-02-20,29.92,30.16,29.68,29.92,29.92,5383376
2012-02-21,30.45,30.69,30.2,30.45,30.45,6777735
2012-02-22,30.84,31.08,30.59,30.84,30.84,7932378
2012-02-23,31.46,31.71,31.21,31.46,31.46,6068163
2012-02-24,32.31,32.57,32.05,32.31,32.31,10451151
2012-02-27,33.08,33.34,32.81,33.08,33.08,4032048
2012-02-28,32.78,33.04,32.52,32.78,32.78,8214350
2012-02-29,32.33,32.59,32.07,32.33,32.33,5993834
2012-03-01,32.14,32.4,31.88,32.14,32.14,4972985
2012-03-02,32.01,32.27,31.75,32.01,32.01,3875723
2012-03-05,31.77,32.03,31.52,31.77,31.77,3975458
2012-03-06,31.77,32.03,31.52,31.77,31.77,2443664
2012-03-07,31.08,31.33,30.84,31.08,31.08,10089185
2012-03-08,31.69,31.94,31.43,31.69,31.69,4593535
2012-03-09,31.95,32.21,31.7,31.95,31.95,3442728
2012-03-12,32.11,32.37,31.85,32.11,32.11,5816628
2012-03-13,31.48,31.74,31.23,31.48,31.48,1924653
2012-03-14,31.83,32.08,31.57,31.83,31.83,6440483
2012-03-15,31.82,32.07,31.56,31.82,31.82,5238699
2012-03-16,32.31,32.56,32.05,32.31,32.31,3017177
2012-03-19,32.15,32.41,31.89,32.15,32.15,5838046
2012-03-20,31.22,31.47,30.97,31.22,31.22,4604802
2012-03-21,31.71,31.97,31.46,31.71,31.71,7945969
2012-03-22,31.82,32.07,31.56,31.82,31.82,2847710
2012-03-23,31.45,31.7,31.2,31.45,31.45,10077062
2012-03-26,31.64,31.89,31.38,31.64,31.64,8081421
2012-03-27,31.39,31.64,31.13,31.39,31.39,4229600
2012-03-28,32.17,32.43,31.91,32.17,32.17,5923051
2012-03-29,32.06,32.32,31.8,32.06,32.06,4984072
2012-03-30,32.29,32.55,32.03,32.29,32.29,7380691
2012-04-02,32.28,32.53,32.02,32.28,32.28,5678369
2012-04-03,32.53,32.79,32.27,32.53,32.53,5254742
2012-04-04,32.55,32.81,32.29,32.55,32.55,5073609
2012-04-05,32.94,33.21,32.68,32.94,32.94,10695803
2012-04-06,33.27,33.54,33.0,33.27,33.27,3712285
2012-04-09,33.45,33.72,33.18,33.45,33.45,3662000
2012-04-10,32.86,33.13,32.6,32.86,32.86,3714837
2012-04-11,32.29,32.55,32.03,32.29,32.29,4780273
2012-04-12,32.18,32.44,31.92,32.18,32.18,3840510
2012-04-13,32.28,32.54,32.02,32.28,32.28,4307243
2012-04-16,32.5,32.76,32.24,32.5,32.5,5713576
2012-04-17,32.51,32.77,32.25,32.51,32.51,3902243
2012-04-18,32.95,33.21,32.69,32.95,32.95,3374424
2012-04-19,33.68,33.95,33.41,33.68,33.68,5803780
2012-04-20,33.61,33.88,33.34,33.61,33.61,7073930
2012-04-23,33.89,34.16,33.62,33.89,33.89,5867577
2012-04-24,34.32,34.6,34.05,34.32,34.32,5388849
2012-04-25,33.49,33.76,33.23,33.49,33.49,4893311
2012-04-26,34.38,34.66,34.11,34.38,34.38,4121658
2012-04-27,34.05,34.33,33.78,34.05,34.05,4400476
2012-04-30,33.65,33.92,33.38,33.65,33.65,1916188
2012-05-01,34.07,34.34,33.8,34.07,34.07,6863010
2012-05-02,33.7,33.97,33.43,33.7,33.7,5666050
2012-05-03,34.09,34.36,33.82,34.09,34.09,12003565
2012-05-04,33.85,34.12,33.58,33.85,33.85,3708832
2012-05-07,34.05,34.32,33.78,34.05,34.05,5318380
2012-05-08,34.44,34.72,34.17,34.44,34.44,3898283
2012-05-09,34.14,34.42,33.87,34.14,34.14,2823957
2012-05-10,34.48,34.76,34.21,34.48,34.48,6850832
2012-05-11,34.25,34.53,33.98,34.25,34.25,3804822
2012-05-14,33.39,33.66,33.13,33.39,33.39,5159118
2012-05-15,33.56,33.83,33.29,33.56,33.56,5620362
2012-05-16,33.79,34.06,33.52,33.79,33.79,9371748
2012-05-17,33.8,34.07,33.53,33.8,33.8,6949860
2012-05-18,33.81,34.08,33.54,33.81,33.81,9161718
2012-05-21,33.48,33.74,33.21,33.48,33.48,3390296
2012-05-22,33.63,33.9,33.36,33.63,33.63,4252103
2012-05-23,34.18,34.45,33.9,34.18,34.18,4635141
2012-05-24,34.09,34.36,33.82,34.09,34.09,5979181
2012-05-25,34.01,34.28,33.74,34.01,34.01,4566364
2012-05-28,34.4,34.67,34.12,34.4,34.4,3307516
2012-05-29,35.27,35.55,34.99,35.27,35.27,13152632
2012-05-30,35.06,35.34,34.78,35.06,35.06,6447467
2012-05-31,35.45,35.74,35.17,35.45,35.45,2417102
2012-06-01,35.94,36.23,35.65,35.94,35.94,4534803
2012-06-04,36.47,36.76,36.17,36.47,36.47,6376897
2012-06-05,36.41,36.7,36.12,36.41,36.41,8061847
2012-06-06,36.62,36.92,36.33,36.62,36.62,4841049
2012-06-07,36.64,36.94,36.35,36.64,36.64,4393787
2012-06-08,37.39,37.69,37.09,37.39,37.39,6704583
2012-06-11,36.9,37.19,36.6,36.9,36.9,4206967
2012-06-12,37.63,37.93,37.33,37.63,37.63,6731583
2012-06-13,37.31,37.61,37.02,37.31,37.31,4890748
2012-06-14,37.13,37.43,36.83,37.13,37.13,10515567
2012-06-15,37.36,37.66,37.06,37.36,37.36,5663541
2012-06-18,37.3,37.6,37.0,37.3,37.3,3600952
2012-06-19,37.24,37.53,36.94,37.24,37.24,9033628
2012-06-20,37.38,37.68,37.09,37.38,37.38,6095938
2012-06-21,37.4,37.7,37.1,37.4,37.4,5600486
2012-06-22,37.88,38.18,37.57,37.88,37.88,3828817
2012-06-25,37.65,37.95,37.34,37.65,37.65,6446797
2012-06-26,37.04,37.34,36.75,37.04,37.04,3120625
2012-06-27,36.2,36.49,35.91,36.2,36.2,7269434
2012-06-28,37.14,37.44,36.85,37.14,37.14,2716724
2012-06-29,37.95,38.25,37.64,37.95,37.95,3641924
2012-07-02,37.95,38.25,37.64,37.95,37.95,6391970
2012-07-03,38.3,38.61,38.0,38.3,38.3,5779768
2012-07-04,37.28,37.58,36.98,37.28,37.28,8038394
2012-07-05,38.02,38.32,37.71,38.02,38.02,3101373
2012-07-06,39.39,39.7,39.07,39.39,39.39,4614785
2012-07-09,39.95,40.27,39.63,39.95,39.95,2919915
2012-07-10,40.35,40.67,40.02,40.35,40.35,5479338
2012-07-11,39.38,39.7,39.07,39.38,39.38,13078647
2012-07-12,40.28,40.6,39.95,40.28,40.28,6339670
2012-07-13,39.17,39.49,38.86,39.17,39.17,5695243
2012-07-16,38.93,39.24,38.61,38.93,38.93,6379334
2012-07-17,40.21,40.53,39.89,40.21,40.21,7971923
2012-07-18,40.4,40.72,40.07,40.4,40.4,5106920
2012-07-19,39.83,40.15,39.52,39.83,39.83,7012967
2012-07-20,40.49,40.82,40.17,40.49,40.49,5781333
2012-07-23,40.25,40.58,39.93,40.25,40.25,6130916
2012-07-24,39.56,39.87,39.24,39.56,39.56,7451758
2012-07-25,39.4,39.72,39.09,39.4,39.4,3179857
2012-07-26,38.97,39.28,38.65,38.97,38.97,5774431
2012-07-27,39.41,39.72,39.09,39.41,39.41,7022189
2012-07-30,38.56,38.87,38.25,38.56,38.56,4129907
2012-07-31,39.05,39.36,38.74,39.05,39.05,7217969
2012-08-01,39.55,39.87,39.23,39.55,39.55,10052692
2012-08-02,39.06,39.37,38.75,39.06,39.06,3241404
2012-08-03,39.58,39.89,39.26,39.58,39.58,5195855
2012-08-06,40.36,40.68,40.04,40.36,40.36,3627107
2012-08-07,40.3,40.62,39.98,40.3,40.3,5427083
2012-08-08,40.99,41.31,40.66,40.99,40.99,2252398
2012-08-09,41.39,41.72,41.06,41.39,41.39,6126362
2012-08-10,42.02,42.36,41.69,42.02,42.02,10157097
2012-08-13,41.95,42.29,41.62,41.95,41.95,10230060
2012-08-14,41.62,41.96,41.29,41.62,41.62,7028855
2012-08-15,41.97,42.31,41.64,41.97,41.97,8555201
2012-08-16,41.44,41.77,41.11,41.44,41.44,6494869
2012-08-17,43.56,43.91,43.22,43.56,43.56,4466803
2012-08-20,43.89,44.24,43.54,43.89,43.89,5381141
2012-08-21,44.79,45.15,44.43,44.79,44.79,4411099
2012-08-22,45.35,45.72,44.99,45.35,45.35,6526621
2012-08-23,46.01,46.37,45.64,46.01,46.01,9505716
2012-08-24,45.73,46.1,45.37,45.73,45.73,3887866
2012-08-27,45.76,46.12,45.39,45.76,45.76,3080917
2012-08-28,45.09,45.45,44.73,45.09,45.09,3786728
2012-08-29,46.54,46.91,46.17,46.54,46.54,5648131
2012-08-30,46.87,47.25,46.5,46.87,46.87,5063115
2012-08-31,48.43,48.82,48.05,48.43,48.43,11809596
2012-09-03,48.21,48.6,47.82,48.21,48.21,2702063
2012-09-04,48.88,49.27,48.49,48.88,48.88,4709768
2012-09-05,48.72,49.1,48.33,48.72,48.72,2360985
2012-09-06,48.22,48.6,47.83,48.22,48.22,4556476
2012-09-07,47.87,48.25,47.48,47.87,47.87,8448674
2012-09-10,48.92,49.31,48.52,48.92,48.92,4171936
2012-09-11,48.54,48.93,48.15,48.54,48.54,3589167
2012-09-12,49.52,49.92,49.12,49.52,49.52,3931599
2012-09-13,49.73,50.12,49.33,49.73,49.73,4689986
2012-09-14,50.35,50.76,49.95,50.35,50.35,6801482
2012-09-17,50.43,50.83,50.02,50.43,50.43,6690774
2012-09-18,50.18,50.58,49.78,50.18,50.18,5135988
2012-09-19,50.69,51.09,50.28,50.69,50.69,5559911
2012-09-20,51.1,51.51,50.69,51.1,51.1,8357676
2012-09-21,50.84,51.25,50.43,50.84,50.84,4104056
2012-09-24,51.39,51.8,50.97,51.39,51.39,3598218
2012-09-25,51.26,51.67,50.85,51.26,51.26,7890320
2012-09-26,51.66,52.07,51.25,51.66,51.66,11610671
2012-09-27,51.29,51.7,50.88,51.29,51.29,5369506
2012-09-28,51.98,52.4,51.57,51.98,51.98,5765631
2012-10-01,53.24,53.66,52.81,53.24,53.24,4919089
2012-10-02,53.49,53.91,53.06,53.49,53.49,3170842
2012-10-03,54.46,54.9,54.02,54.46,54.46,5219457
2012-10-04,55.72,56.17,55.28,55.72,55.72,5961788
2012-10-05,56.42,56.87,55.97,56.42,56.42,7013972
2012-10-08,56.39,56.84,55.94,56.39,56.39,6206459
2012-10-09,56.15,56.59,55.7,56.15,56.15,4450914
2012-10-10,55.79,56.23,55.34,55.79,55.79,3042810
2012-10-11,56.57,57.02,56.12,56.57,56.57,6382677
2012-10-12,55.71,56.16,55.27,55.71,55.71,8732368
2012-10-15,56.57,57.02,56.11,56.57,56.57,7234654
2012-10-16,58.64,59.11,58.17,58.64,58.64,6246531
2012-10-17,60.73,61.21,60.24,60.73,60.73,2678697
2012-10-18,59.54,60.01,59.06,59.54,59.54,4000430
2012-10-19,59.66,60.14,59.18,59.66,59.66,7401897
2012-10-22,59.54,60.02,59.06,59.54,59.54,7559506
2012-10-23,60.16,60.64,59.68,60.16,60.16,8455137
2012-10-24,60.57,61.06,60.09,60.57,60.57,6693678
2012-10-25,60.06,60.54,59.58,60.06,60.06,3855991
2012-10-26,60.92,61.4,60.43,60.92,60.92,3808318
2012-10-29,60.6,61.08,60.11,60.6,60.6,6724363
2012-10-30,60.71,61.19,60.22,60.71,60.71,4966864
2012-10-31,60.05,60.53,59.57,60.05,60.05,7909708
2012-11-01,60.47,60.95,59.99,60.47,60.47,3157396
2012-11-02,62.68,63.18,62.18,62.68,62.68,11682468
2012-11-05,64.52,65.03,64.0,64.52,64.52,4101165
2012-11-06,63.69,64.2,63.18,63.69,63.69,10850688
2012-11-07,64.35,64.87,63.84,64.35,64.35,7488396
2012-11-08,65.16,65.68,64.63,65.16,65.16,5172437
2012-11-09,65.14,65.66,64.62,65.14,65.14,4289774
2012-11-12,64.15,64.66,63.64,64.15,64.15,3234025
2012-11-13,65.4,65.93,64.88,65.4,65.4,5571216
2012-11-14,65.43,65.96,64.91,65.43,65.43,9947715
2012-11-15,63.96,64.47,63.45,63.96,63.96,3081257
2012-11-16,65.02,65.54,64.5,65.02,65.02,6773280
2012-11-19,65.06,65.58,64.53,65.06,65.06,5412389
2012-11-20,65.29,65.81,64.77,65.29,65.29,10810057
2012-11-21,66.46,66.99,65.93,66.46,66.46,3958831
2012-11-22,65.94,66.46,65.41,65.94,65.94,2476836
2012-11-23,66.88,67.42,66.35,66.88,66.88,6213237
2012-11-26,68.13,68.68,67.59,68.13,68.13,2434182
2012-11-27,68.62,69.17,68.07,68.62,68.62,4527218
2012-11-28,69.13,69.68,68.58,69.13,69.13,9239798
2012-11-29,68.9,69.45,68.35,68.9,68.9,6021587
2012-11-30,70.09,70.65,69.53,70.09,70.09,5811282
2012-12-03,69.52,70.08,68.97,69.52,69.52,6415991
2012-12-04,70.71,71.27,70.14,70.71,70.71,6294144
2012-12-05,69.64,70.2,69.09,69.64,69.64,10873437
2012-12-06,71.47,72.04,70.89,71.47,71.47,3917107
2012-12-07,69.72,70.28,69.17,69.72,69.72,7108226
2012-12-10,70.48,71.04,69.91,70.48,70.48,5242070
2012-12-11,69.02,69.57,68.47,69.02,69.02,4900326
2012-12-12,70.09,70.65,69.53,70.09,70.09,6536407
2012-12-13,68.6,69.15,68.05,68.6,68.6,6445131
2012-12-14,68.02,68.56,67.48,68.02,68.02,4773563
2012-12-17,70.05,70.61,69.49,70.05,70.05,4203281
2012-12-18,70.17,70.73,69.61,70.17,70.17,3653008
2012-12-19,70.25,70.81,69.69,70.25,70.25,6033406
2012-12-20,68.12,68.66,67.57,68.12,68.12,5651674
2012-12-21,68.38,68.92,67.83,68.38,68.38,2799522
2012-12-24,68.95,69.5,68.4,68.95,68.95,5771780
2012-12-25,68.48,69.02,67.93,68.48,68.48,7576947
