,Open,High,Low,Close,Adj Close,Volume
2000-01-03,143.12,144.13,139.87,142.0,142.0,6008921
2000-01-04,142.53,143.87,141.01,142.44,142.44,12441541
2000-01-05,140.36,140.97,139.95,140.46,140.46,3909166
2000-01-06,142.52,144.94,141.9,143.42,143.42,6968819
2000-01-07,146.51,147.74,145.64,146.69,146.69,13279998
2000-01-10,150.3,150.56,150.2,150.38,150.38,7154459
2000-01-11,154.78,155.32,153.12,154.22,154.22,6028252
2000-01-12,157.08,157.6,155.24,156.42,156.42,6900089
2000-01-13,153.94,155.43,153.15,154.29,154.29,6472195
2000-01-14,152.09,153.06,150.0,151.53,151.53,6347182
2000-01-17,148.69,150.04,147.17,148.61,148.61,5766061
2000-01-18,145.75,147.2,144.89,146.04,146.04,4517556
2000-01-19,144.82,147.21,143.77,145.49,145.49,3947278
2000-01-20,148.16,149.64,145.55,147.59,147.59,6643665
2000-01-21,149.03,150.02,146.65,148.33,148.33,4142779
2000-01-24,148.36,149.73,147.31,148.52,148.52,4969784
2000-01-25,147.26,148.91,146.64,147.77,147.77,3083492
2000-01-26,147.16,148.41,146.77,147.59,147.59,6444386
2000-01-27,146.8,147.33,146.32,146.83,146.83,8181935
2000-01-28,141.88,145.14,140.77,142.96,142.96,6799479
2000-01-31,142.14,142.84,140.77,141.8,141.8,7994449
2000-02-01,143.5,144.06,142.37,143.22,143.22,6175009
2000-02-02,141.93,144.35,140.96,142.66,142.66,5233955
2000-02-03,146.77,148.23,146.24,147.23,147.23,11917605
2000-02-04,147.52,148.68,147.09,147.88,147.88,4494786
2000-02-07,150.02,150.91,149.09,150.0,150.0,2271561
2000-02-08,152.47,153.15,152.1,152.62,152.62,5987001
2000-02-09,155.79,156.89,155.39,156.14,156.14,4584625
2000-02-10,153.21,155.7,152.42,154.06,154.06,10335113
2000-02-11,159.56,159.69,159.36,159.53,159.53,4375636
2000-02-14,160.02,160.27,159.96,160.11,160.11,7496521
2000-02-15,155.62,157.49,153.71,155.6,155.6,6913507
2000-02-16,152.34,153.23,151.83,152.53,152.53,2977202
2000-02-17,150.97,152.73,150.21,151.47,151.47,7879004
2000-02-18,154.04,154.52,153.49,154.0,154.0,5177007
2000-02-21,158.99,159.49,157.95,158.72,158.72,5058937
2000-02-22,154.96,156.96,154.3,155.63,155.63,3450762
2000-02-23,158.33,159.06,158.09,158.58,158.58,3041422
2000-02-24,154.59,156.29,153.7,154.99,154.99,6771630
2000-02-25,151.88,152.16,151.6,151.88,151.88,3496503
2000-02-28,149.38,149.56,149.17,149.36,149.36,5152364
2000-02-29,150.1,151.94,148.54,150.24,150.24,6590113
2000-03-01,145.81,146.64,143.89,145.27,145.27,4208684
2000-03-02,143.81,144.48,142.7,143.59,143.59,4478482
2000-03-03,141.93,142.94,140.77,141.85,141.85,7041986
2000-03-06,135.99,137.1,135.35,136.22,136.22,4088159
2000-03-07,136.68,137.28,134.4,135.84,135.84,6918038
2000-03-08,137.5,138.07,137.05,137.56,137.56,9918864
2000-03-09,141.34,142.16,139.77,140.96,140.96,10195448
2000-03-10,141.55,143.0,140.87,141.93,141.93,5204947
2000-03-13,138.96,140.14,138.24,139.19,139.19,6242185
2000-03-14,141.03,143.75,140.04,141.89,141.89,4219482
2000-03-15,145.76,147.23,143.57,145.4,145.4,6681690
2000-03-16,142.21,143.43,141.78,142.6,142.6,4040848
2000-03-17,143.88,144.92,142.75,143.83,143.83,2390040
2000-03-20,142.86,144.8,141.94,143.37,143.37,7424994
2000-03-21,141.02,142.74,140.3,141.52,141.52,3861474
2000-03-22,141.4,142.73,140.39,141.56,141.56,6349100
2000-03-23,142.02,142.42,141.69,142.06,142.06,7414019
2000-03-24,142.38,143.1,141.37,142.24,142.24,8241793
2000-03-27,144.55,145.68,144.17,144.92,144.92,9095364
2000-03-28,148.48,149.16,147.56,148.36,148.36,3676042
2000-03-29,152.52,153.58,151.94,152.76,152.76,4807318
2000-03-30,151.3,153.84,150.25,152.04,152.04,2737488
2000-03-31,150.07,151.44,149.47,150.45,150.45,5891619
2000-04-03,154.17,156.1,152.9,154.5,154.5,2659889
2000-04-04,153.34,154.04,151.27,152.65,152.65,3292833
2000-04-05,144.9,146.41,144.01,145.21,145.21,3425169
2000-04-06,147.81,148.6,146.99,147.79,147.79,7916433
2000-04-07,143.45,144.9,142.0,143.45,143.45,9474657
2000-04-10,147.2,148.37,145.15,146.76,146.76,9118001
2000-04-11,153.31,153.82,151.34,152.58,152.58,4440053
2000-04-12,150.2,151.16,149.1,150.13,150.13,5501208
2000-04-13,148.51,149.14,147.21,148.18,148.18,3970679
2000-04-14,147.0,147.9,145.26,146.58,146.58,10016964
