,Open,High,Low,Close,Adj Close,Volume
2000-01-03,43.05,43.39,42.7,43.05,43.05,5555323
2000-01-04,43.82,44.18,43.47,43.82,43.82,10026366
2000-01-05,43.65,44.0,43.3,43.65,43.65,3572585
2000-01-06,43.3,43.65,42.96,43.3,43.3,4401863
2000-01-07,42.56,42.9,42.22,42.56,42.56,6214024
2000-01-10,42.94,43.28,42.59,42.94,42.94,4759713
2000-01-11,42.82,43.16,42.48,42.82,42.82,8027332
2000-01-12,43.61,43.96,43.26,43.61,43.61,3073207
2000-01-13,43.44,43.79,43.1,43.44,43.44,10487049
2000-01-14,43.26,43.6,42.91,43.26,43.26,5256588
2000-01-17,42.8,43.14,42.46,42.8,42.8,2837871
2000-01-18,42.75,43.09,42.41,42.75,42.75,4918693
2000-01-19,43.11,43.46,42.77,43.11,43.11,11803472
2000-01-20,43.57,43.91,43.22,43.57,43.57,5994926
2000-01-21,43.9,44.25,43.55,43.9,43.9,5094554
2000-01-24,44.93,45.29,44.57,44.93,44.93,2935379
2000-01-25,44.24,44.6,43.89,44.24,44.24,4445702
2000-01-26,44.37,44.72,44.01,44.37,44.37,5803958
2000-01-27,44.62,44.98,44.27,44.62,44.62,5545726
2000-01-28,44.2,44.56,43.85,44.2,44.2,3045497
2000-01-31,45.36,45.72,45.0,45.36,45.36,6620219
2000-02-01,45.37,45.74,45.01,45.37,45.37,4786213
2000-02-02,45.83,46.19,45.46,45.83,45.83,5973755
2000-02-03,45.28,45.64,44.91,45.28,45.28,5057102
2000-02-04,46.04,46.4,45.67,46.04,46.04,3195310
2000-02-07,46.43,46.8,46.06,46.43,46.43,8728278
2000-02-08,47.28,47.66,46.91,47.28,47.28,3714426
2000-02-09,47.52,47.9,47.14,47.52,47.52,4689666
2000-02-10,46.82,47.2,46.45,46.82,46.82,6382135
2000-02-11,46.57,46.94,46.2,46.57,46.57,4414858
2000-02-14,45.01,45.37,44.65,45.01,45.01,2993240
2000-02-15,44.84,45.2,44.48,44.84,44.84,2690498
2000-02-16,44.33,44.68,43.97,44.33,44.33,5217996
2000-02-17,45.1,45.46,44.74,45.1,45.1,4630292
2000-02-18,45.18,45.54,44.82,45.18,45.18,6053707
2000-02-21,46.48,46.85,46.11,46.48,46.48,3863978
2000-02-22,46.99,47.37,46.62,46.99,46.99,4957060
2000-02-23,47.34,47.71,46.96,47.34,47.34,8681752
2000-02-24,48.3,48.69,47.91,48.3,48.3,8590905
2000-02-25,49.05,49.44,48.66,49.05,49.05,17338689
2000-02-28,49.04,49.43,48.65,49.04,49.04,4369364
2000-02-29,48.97,49.37,48.58,48.97,48.97,15107689
2000-03-01,49.42,49.82,49.03,49.42,49.42,5192281
2000-03-02,49.48,49.88,49.09,49.48,49.48,8826487
2000-03-03,49.32,49.72,48.93,49.32,49.32,7886322
2000-03-06,49.74,50.14,49.34,49.74,49.74,3751317
2000-03-07,50.17,50.57,49.77,50.17,50.17,7819115
2000-03-08,50.08,50.48,49.68,50.08,50.08,7285122
2000-03-09,49.88,50.28,49.48,49.88,49.88,3607502
2000-03-10,50.44,50.85,50.04,50.44,50.44,6409707
2000-03-13,50.69,51.1,50.29,50.69,50.69,4907770
2000-03-14,51.01,51.41,50.6,51.01,51.01,6436503
2000-03-15,50.85,51.26,50.44,50.85,50.85,4041740
2000-03-16,50.29,50.69,49.89,50.29,50.29,5785237
2000-03-17,50.53,50.94,50.13,50.53,50.53,6446075
2000-03-20,50.4,50.8,49.99,50.4,50.4,7170060
2000-03-21,51.08,51.49,50.68,51.08,51.08,5388104
2000-03-22,51.69,52.11,51.28,51.69,51.69,4174048
2000-03-23,52.5,52.92,52.08,52.5,52.5,4908573
2000-03-24,54.04,54.47,53.61,54.04,54.04,8986989
2000-03-27,52.66,53.08,52.24,52.66,52.66,4982225
2000-03-28,51.69,52.11,51.28,51.69,51.69,5734110
2000-03-29,52.08,52.5,51.66,52.08,52.08,9811803
2000-03-30,52.68,53.1,52.26,52.68,52.68,4941162
2000-03-31,52.42,52.84,52.0,52.42,52.42,4317534
2000-04-03,51.79,52.2,51.37,51.79,51.79,8748213
2000-04-04,51.44,51.85,51.03,51.44,51.44,15030068
2000-04-05,50.06,50.46,49.66,50.06,50.06,15311389
2000-04-06,49.54,49.94,49.15,49.54,49.54,5082659
2000-04-07,49.22,49.62,48.83,49.22,49.22,4297653
2000-04-10,48.51,48.89,48.12,48.51,48.51,4519459
2000-04-11,48.28,48.67,47.89,48.28,48.28,4729662
2000-04-12,48.07,48.45,47.68,48.07,48.07,6611811
2000-04-13,47.98,48.37,47.6,47.98,47.98,4417146
2000-04-14,48.33,48.72,47.95,48.33,48.33,5141882
2000-04-17,48.82,49.21,48.43,48.82,48.82,7274892
2000-04-18,48.16,48.55,47.78,48.16,48.16,7388008
2000-04-19,48.15,48.54,47.77,48.15,48.15,6508263
2000-04-20,49.41,49.81,49.02,49.41,49.41,3957690
2000-04-21,48.42,48.81,48.03,48.42,48.42,4905116
2000-04-24,49.87,50.27,49.47,49.87,49.87,9229772
2000-04-25,50.61,51.01,50.2,50.61,50.61,3804518
2000-04-26,49.49,49.88,49.09,49.49,49.49,7016360
2000-04-27,49.9,50.3,49.51,49.9,49.9,5546283
2000-04-28,51.05,51.46,50.64,51.05,51.05,7666377
2000-05-01,51.05,51.45,50.64,51.05,51.05,5674152
2000-05-02,49.18,49.57,48.78,49.18,49.18,4223655
2000-05-03,48.52,48.91,48.13,48.52,48.52,3669709
2000-05-04,50.3,50.71,49.9,50.3,50.3,6596830
2000-05-05,51.18,51.59,50.77,51.18,51.18,13389531
2000-05-08,52.21,52.63,51.79,52.21,52.21,3538944
2000-05-09,53.1,53.53,52.68,53.1,53.1,5104319
2000-05-10,53.42,53.85,52.99,53.42,53.42,4030967
2000-05-11,53.05,53.48,52.63,53.05,53.05,5410903
2000-05-12,52.62,53.04,52.2,52.62,52.62,4317123
2000-05-15,52.88,53.3,52.46,52.88,52.88,10378983
2000-05-16,53.85,54.28,53.42,53.85,53.85,5187475
2000-05-17,53.52,53.95,53.09,53.52,53.52,6640864
2000-05-18,54.8,55.24,54.36,54.8,54.8,3763307
2000-05-19,55.53,55.97,55.08,55.53,55.53,6497339
2000-05-22,55.71,56.16,55.27,55.71,55.71,8890375
2000-05-23,55.42,55.86,54.98,55.42,55.42,4880079
2000-05-24,55.6,56.05,55.16,55.6,55.6,10715427
2000-05-25,55.28,55.73,54.84,55.28,55.28,5859801
2000-05-26,55.69,56.13,55.24,55.69,55.69,2896275
2000-05-29,56.81,57.27,56.36,56.81,56.81,5667147
2000-05-30,56.39,56.84,55.94,56.39,56.39,4591483
2000-05-31,56.05,56.5,55.61,56.05,56.05,3835861
2000-06-01,55.96,56.41,55.51,55.96,55.96,3149409
2000-06-02,55.88,56.32,55.43,55.88,55.88,8221616
2000-06-05,55.75,56.19,55.3,55.75,55.75,6691111
2000-06-06,55.57,56.01,55.12,55.57,55.57,6183324
2000-06-07,55.66,56.1,55.21,55.66,55.66,4886766
2000-06-08,56.47,56.92,56.02,56.47,56.47,2922965
2000-06-09,57.13,57.58,56.67,57.13,57.13,5016291
2000-06-12,58.33,58.8,57.87,58.33,58.33,7173037
2000-06-13,58.8,59.27,58.33,58.8,58.8,3994521
2000-06-14,57.92,58.38,57.46,57.92,57.92,3554168
2000-06-15,57.39,57.85,56.93,57.39,57.39,10730464
2000-06-16,58.47,58.93,58.0,58.47,58.47,6330509
2000-06-19,60.09,60.57,59.61,60.09,60.09,5350813
2000-06-20,60.64,61.12,60.15,60.64,60.64,5009665
2000-06-21,60.62,61.11,60.14,60.62,60.62,5159110
2000-06-22,61.51,62.01,61.02,61.51,61.51,7144327
2000-06-23,62.19,62.69,61.69,62.19,62.19,4274404
2000-06-26,61.99,62.49,61.49,61.99,61.99,4666474
