,Open,High,Low,Close,Adj Close,Volume
2000-01-03,52.22,52.63,51.8,52.22,52.22,14427775
2000-01-04,52.72,53.14,52.3,52.72,52.72,5670492
2000-01-05,51.58,51.99,51.17,51.58,51.58,3388282
2000-01-06,51.83,52.24,51.41,51.83,51.83,4143400
2000-01-07,51.7,52.11,51.29,51.7,51.7,4280523
2000-01-10,52.0,52.42,51.58,52.0,52.0,5268593
2000-01-11,52.95,53.37,52.52,52.95,52.95,7829135
2000-01-12,52.6,53.03,52.18,52.6,52.6,19958311
2000-01-13,52.72,53.14,52.3,52.72,52.72,2525588
2000-01-14,52.52,52.94,52.1,52.52,52.52,3848785
2000-01-17,51.97,52.39,51.55,51.97,51.97,5212659
2000-01-18,52.4,52.81,51.98,52.4,52.4,7852001
2000-01-19,51.55,51.96,51.13,51.55,51.55,5449053
2000-01-20,52.22,52.64,51.8,52.22,52.22,2718624
2000-01-21,52.69,53.11,52.27,52.69,52.69,4895082
2000-01-24,53.02,53.45,52.6,53.02,53.02,6568282
2000-01-25,52.31,52.73,51.89,52.31,52.31,4156249
2000-01-26,53.26,53.69,52.83,53.26,53.26,4894146
2000-01-27,52.54,52.96,52.12,52.54,52.54,2943698
2000-01-28,52.64,53.07,52.22,52.64,52.64,8400548
2000-01-31,52.87,53.3,52.45,52.87,52.87,4784132
2000-02-01,52.2,52.62,51.79,52.2,52.2,4467065
2000-02-02,52.65,53.07,52.23,52.65,52.65,5292761
2000-02-03,54.28,54.71,53.84,54.28,54.28,5015409
2000-02-04,54.44,54.87,54.0,54.44,54.44,9843090
2000-02-07,55.3,55.75,54.86,55.3,55.3,2140101
2000-02-08,55.34,55.78,54.9,55.34,55.34,2076678
2000-02-09,55.02,55.46,54.58,55.02,55.02,6864609
2000-02-10,55.28,55.72,54.83,55.28,55.28,13405779
2000-02-11,54.79,55.23,54.36,54.79,54.79,8204588
2000-02-14,54.46,54.89,54.02,54.46,54.46,8299065
2000-02-15,54.83,55.27,54.39,54.83,54.83,8652848
2000-02-16,54.9,55.34,54.46,54.9,54.9,5472931
2000-02-17,54.8,55.24,54.36,54.8,54.8,3858947
2000-02-18,54.4,54.83,53.96,54.4,54.4,10674438
2000-02-21,53.63,54.05,53.2,53.63,53.63,4133739
2000-02-22,53.45,53.88,53.02,53.45,53.45,6803279
2000-02-23,53.83,54.26,53.4,53.83,53.83,6974315
2000-02-24,52.68,53.1,52.26,52.68,52.68,6484587
2000-02-25,53.18,53.61,52.76,53.18,53.18,3472758
2000-02-28,53.22,53.64,52.79,53.22,53.22,3167300
2000-02-29,53.53,53.96,53.1,53.53,53.53,3534501
2000-03-01,54.69,55.13,54.26,54.69,54.69,10453765
2000-03-02,54.22,54.65,53.78,54.22,54.22,3378088
2000-03-03,54.88,55.32,54.44,54.88,54.88,5124810
2000-03-06,55.14,55.58,54.7,55.14,55.14,2780041
2000-03-07,55.21,55.65,54.77,55.21,55.21,4723816
2000-03-08,57.06,57.52,56.61,57.06,57.06,3537982
