,Open,High,Low,Close,Adj Close,Volume
2000-01-03,10.66,10.74,10.57,10.66,10.66,4253732
2000-01-04,10.66,10.74,10.57,10.66,10.66,5231865
2000-01-05,10.39,10.47,10.3,10.39,10.39,3193786
2000-01-06,10.36,10.44,10.28,10.36,10.36,7125052
2000-01-07,10.3,10.39,10.22,10.3,10.3,8020855
2000-01-10,10.22,10.3,10.14,10.22,10.22,6398382
2000-01-11,10.24,10.33,10.16,10.24,10.24,10965267
2000-01-12,10.2,10.28,10.12,10.2,10.2,4926650
2000-01-13,10.35,10.43,10.27,10.35,10.35,9750409
2000-01-14,10.5,10.59,10.42,10.5,10.5,5894937
2000-01-17,10.58,10.66,10.5,10.58,10.58,3867087
2000-01-18,10.69,10.77,10.6,10.69,10.69,2991607
2000-01-19,10.68,10.77,10.6,10.68,10.68,3433529
2000-01-20,10.79,10.88,10.7,10.79,10.79,5785187
2000-01-21,10.54,10.62,10.45,10.54,10.54,4523669
2000-01-24,10.52,10.61,10.44,10.52,10.52,4840166
2000-01-25,10.54,10.62,10.45,10.54,10.54,6780468
2000-01-26,10.77,10.86,10.69,10.77,10.77,6306247
2000-01-27,10.78,10.86,10.69,10.78,10.78,7972435
2000-01-28,10.73,10.82,10.65,10.73,10.73,3682522
2000-01-31,11.01,11.1,10.92,11.01,11.01,6346657
2000-02-01,11.26,11.35,11.17,11.26,11.26,5483997
2000-02-02,11.28,11.37,11.19,11.28,11.28,3224795
2000-02-03,11.38,11.47,11.29,11.38,11.38,10736680
2000-02-04,11.47,11.56,11.37,11.47,11.47,4886846
2000-02-07,11.42,11.51,11.33,11.42,11.42,5200702
2000-02-08,11.38,11.48,11.29,11.38,11.38,3534092
2000-02-09,11.56,11.65,11.47,11.56,11.56,7577071
2000-02-10,11.38,11.47,11.28,11.38,11.38,6557298
2000-02-11,11.25,11.34,11.16,11.25,11.25,3376533
2000-02-14,11.29,11.38,11.2,11.29,11.29,3647919
2000-02-15,11.18,11.27,11.09,11.18,11.18,5073881
2000-02-16,10.98,11.07,10.89,10.98,10.98,7592868
2000-02-17,11.18,11.27,11.09,11.18,11.18,5814417
2000-02-18,11.19,11.28,11.1,11.19,11.19,7049878
2000-02-21,11.39,11.48,11.3,11.39,11.39,9030399
2000-02-22,11.33,11.42,11.24,11.33,11.33,4905476
2000-02-23,11.35,11.44,11.26,11.35,11.35,4604625
2000-02-24,11.58,11.67,11.49,11.58,11.58,2333291
2000-02-25,11.22,11.31,11.13,11.22,11.22,7557277
2000-02-28,11.04,11.13,10.95,11.04,11.04,3735809
2000-02-29,11.0,11.09,10.91,11.0,11.0,8900131
2000-03-01,11.09,11.18,11.0,11.09,11.09,7290395
2000-03-02,11.23,11.32,11.14,11.23,11.23,5396026
2000-03-03,11.49,11.59,11.4,11.49,11.49,4215622
2000-03-06,11.7,11.79,11.6,11.7,11.7,8649006
2000-03-07,11.57,11.66,11.48,11.57,11.57,4017643
2000-03-08,11.64,11.73,11.54,11.64,11.64,5716491
