,Open,High,Low,Close,Adj Close,Volume
2000-01-03,97.71,99.03,96.97,98.0,98.0,8772682
2000-01-04,96.04,97.24,95.51,96.37,96.37,6892297
2000-01-05,94.07,95.02,93.5,94.26,94.26,8919634
2000-01-06,95.87,96.96,94.76,95.86,95.86,7877126
2000-01-07,95.72,96.24,94.85,95.54,95.54,6867712
2000-01-10,95.66,96.16,95.2,95.68,95.68,12590720
2000-01-11,95.65,96.01,94.45,95.23,95.23,3570825
2000-01-12,94.17,95.26,93.86,94.56,94.56,7345081
2000-01-13,94.64,95.44,94.21,94.83,94.83,4842568
2000-01-14,95.41,95.82,94.23,95.02,95.02,6951152
2000-01-17,96.7,97.1,95.63,96.36,96.36,5870080
2000-01-18,97.24,97.66,96.76,97.21,97.21,8809615
2000-01-19,97.47,98.8,96.69,97.74,97.74,11739299
2000-01-20,96.65,97.8,96.25,97.03,97.03,8214211
2000-01-21,95.85,96.78,95.44,96.11,96.11,5289925
2000-01-24,96.37,96.52,96.05,96.29,96.29,4511829
2000-01-25,98.9,100.15,97.74,98.95,98.95,4921680
2000-01-26,97.16,97.98,96.56,97.27,97.27,11174203
2000-01-27,99.29,99.96,98.43,99.2,99.2,4154242
2000-01-28,97.95,99.13,97.58,98.36,98.36,3198561
2000-01-31,97.87,98.06,97.68,97.87,97.87,4861170
2000-02-01,96.71,97.13,96.58,96.86,96.86,7065156
2000-02-02,96.05,97.06,95.33,96.2,96.2,9157099
2000-02-03,96.92,98.55,96.46,97.51,97.51,5204014
2000-02-04,95.59,96.35,94.61,95.48,95.48,12826882
2000-02-07,94.18,95.41,93.3,94.35,94.35,8560340
2000-02-08,95.31,96.27,94.38,95.32,95.32,5519850
2000-02-09,95.1,96.37,94.73,95.55,95.55,8345538
2000-02-10,95.68,96.22,95.02,95.62,95.62,2399927
2000-02-11,96.15,97.57,94.84,96.21,96.21,5938590
2000-02-14,93.79,94.97,93.31,94.14,94.14,10280320
2000-02-15,90.55,91.07,89.45,90.26,90.26,5356150
2000-02-16,91.25,92.3,90.82,91.56,91.56,4447289
2000-02-17,90.69,91.45,89.15,90.3,90.3,5543821
2000-02-18,92.27,92.44,91.73,92.09,92.09,9222860
2000-02-21,92.19,92.61,91.62,92.12,92.12,4236376
2000-02-22,92.36,92.82,90.63,91.73,91.73,4412278
2000-02-23,91.77,92.29,91.2,91.74,91.74,7240535
2000-02-24,93.73,94.28,92.66,93.47,93.47,3666442
2000-02-25,97.33,98.01,96.87,97.44,97.44,4005901
2000-02-28,96.75,97.16,96.25,96.7,96.7,2829712
2000-02-29,99.07,99.53,98.93,99.23,99.23,5782667
2000-03-01,97.8,99.49,97.28,98.38,98.38,4842789
2000-03-02,96.1,96.44,94.95,95.69,95.69,2309718
2000-03-03,97.46,98.37,97.12,97.74,97.74,5536236
2000-03-06,97.38,97.74,96.5,97.12,97.12,4002867
2000-03-07,98.17,99.18,97.89,98.53,98.53,7165949
2000-03-08,97.75,98.18,96.89,97.54,97.54,11923999
2000-03-09,97.33,98.19,97.02,97.6,97.6,4237583
2000-03-10,98.02,98.56,97.46,98.01,98.01,7419287
2000-03-13,98.2,98.92,96.76,97.84,97.84,6103799
2000-03-14,97.12,97.48,95.88,96.68,96.68,6039438
2000-03-15,96.19,96.64,95.28,95.96,95.96,1797835
2000-03-16,96.0,96.72,95.39,96.05,96.05,9056103
2000-03-17,94.47,95.87,93.66,94.76,94.76,9354854
2000-03-20,92.92,93.31,92.1,92.71,92.71,4082576
2000-03-21,94.16,95.08,93.8,94.44,94.44,6365183
2000-03-22,95.33,96.09,93.81,94.95,94.95,5166272
2000-03-23,93.61,95.03,92.97,94.0,94.0,5220615
2000-03-24,95.5,95.96,95.29,95.63,95.63,3554647
2000-03-27,98.05,98.76,97.4,98.08,98.08,7336662
2000-03-28,100.28,100.95,100.06,100.51,100.51,2943862
2000-03-29,98.29,98.78,97.66,98.22,98.22,5067871
2000-03-30,98.1,98.39,97.56,97.98,97.98,4449131
2000-03-31,94.42,94.58,93.82,94.2,94.2,7034157
2000-04-03,95.62,96.37,94.62,95.5,95.5,6022896
2000-04-04,93.65,94.86,93.09,93.98,93.98,4856134
2000-04-05,93.03,93.64,92.77,93.21,93.21,5315364
2000-04-06,93.11,94.39,92.76,93.57,93.57,6658043
2000-04-07,94.43,94.83,94.01,94.42,94.42,3079714
2000-04-10,94.69,95.24,93.92,94.58,94.58,6220619
2000-04-11,94.0,94.41,93.27,93.84,93.84,2524421
2000-04-12,93.09,93.26,92.98,93.12,93.12,7804398
2000-04-13,94.51,94.84,94.12,94.48,94.48,4712220
2000-04-14,95.16,95.46,94.22,94.84,94.84,6633445
2000-04-17,95.38,96.66,93.77,95.21,95.21,3705711
2000-04-18,97.95,98.34,96.98,97.66,97.66,6052712
2000-04-19,97.8,99.19,97.05,98.12,98.12,7594576
2000-04-20,97.29,99.01,96.73,97.87,97.87,3384963
2000-04-21,98.77,99.64,97.41,98.52,98.52,4461900
2000-04-24,99.46,100.37,99.13,99.75,99.75,5432319
2000-04-25,102.62,103.41,101.8,102.6,102.6,5015550
2000-04-26,101.72,102.88,101.17,102.03,102.03,4954206
2000-04-27,101.22,102.76,100.6,101.68,101.68,6783168
2000-04-28,102.22,103.35,100.46,101.91,101.91,4168472
2000-05-01,102.99,104.23,102.03,103.13,103.13,2383079
2000-05-02,102.43,103.13,101.86,102.5,102.5,6480712
2000-05-03,103.69,104.23,103.34,103.79,103.79,5841814
2000-05-04,104.38,104.83,103.66,104.24,104.24,8423200
2000-05-05,104.14,104.8,102.53,103.66,103.66,10176533
2000-05-08,104.53,105.44,102.9,104.17,104.17,8845758
2000-05-09,102.5,102.75,101.87,102.31,102.31,6618731
2000-05-10,102.54,103.2,101.42,102.31,102.31,10003773
2000-05-11,102.72,103.7,102.31,103.01,103.01,3117335
2000-05-12,104.96,105.7,103.79,104.74,104.74,4048709
2000-05-15,105.47,106.2,104.97,105.59,105.59,3870353
2000-05-16,107.17,107.73,106.87,107.3,107.3,1655491
2000-05-17,107.37,108.28,105.83,107.06,107.06,5846056
2000-05-18,106.45,107.97,105.4,106.69,106.69,7847958
2000-05-19,106.51,107.17,104.54,105.85,105.85,12065068
2000-05-22,107.07,107.11,107.03,107.07,107.07,3877981
2000-05-23,104.68,104.93,104.29,104.61,104.61,5475906
2000-05-24,104.38,104.76,103.41,104.09,104.09,4969225
2000-05-25,105.34,105.96,103.82,104.89,104.89,11464938
2000-05-26,104.81,105.78,103.94,104.86,104.86,3009411
2000-05-29,104.72,105.25,104.03,104.64,104.64,7883569
2000-05-30,105.14,106.21,104.48,105.35,105.35,7040965
2000-05-31,106.01,107.36,105.05,106.21,106.21,17247650
2000-06-01,105.04,107.13,104.03,105.58,105.58,5676358
2000-06-02,105.79,106.68,104.53,105.6,105.6,5312524
2000-06-05,106.31,107.72,105.23,106.48,106.48,5686580
2000-06-06,103.56,105.25,102.63,103.94,103.94,5647098
2000-06-07,104.38,105.1,103.22,104.16,104.16,2732553
2000-06-08,104.89,105.51,104.53,105.02,105.02,4092896
2000-06-09,105.0,106.75,104.19,105.47,105.47,4949352
2000-06-12,105.17,105.9,103.74,104.82,104.82,6116051
2000-06-13,103.26,104.2,102.41,103.3,103.3,3112396
2000-06-14,100.87,101.15,100.8,100.97,100.97,7409528
2000-06-15,102.45,102.9,100.9,101.9,101.9,3531773
2000-06-16,101.36,102.1,100.82,101.46,101.46,6328883
2000-06-19,101.79,103.01,101.32,102.16,102.16,8897202
2000-06-20,102.71,103.06,101.34,102.2,102.2,3212262
2000-06-21,100.1,101.82,99.43,100.62,100.62,5180505
2000-06-22,100.8,101.06,100.48,100.77,100.77,3923331
2000-06-23,97.49,98.31,96.33,97.32,97.32,5541707
2000-06-26,96.84,97.3,95.5,96.4,96.4,4358914
2000-06-27,95.48,95.79,94.73,95.26,95.26,6182816
2000-06-28,96.05,97.38,95.17,96.27,96.27,2315921
2000-06-29,97.99,98.57,96.86,97.71,97.71,5278913
2000-06-30,96.6,97.16,95.44,96.3,96.3,6819645
2000-07-03,95.7,96.9,94.95,95.92,95.92,5114206
2000-07-04,94.18,94.7,93.72,94.21,94.21,6912202
2000-07-05,96.49,97.51,95.84,96.67,96.67,2999477
2000-07-06,94.33,94.55,94.14,94.34,94.34,7054089
2000-07-07,93.3,93.99,92.34,93.17,93.17,5942409
2000-07-10,92.02,92.85,91.03,91.94,91.94,5124591
2000-07-11,89.2,90.45,88.8,89.63,89.63,5886410
2000-07-12,89.18,89.75,88.26,89.01,89.01,5805452
2000-07-13,88.06,88.85,87.17,88.01,88.01,8703226
2000-07-14,87.93,88.87,87.21,88.04,88.04,4343140
2000-07-17,90.14,90.86,89.13,89.99,89.99,3330816
