,Open,High,Low,Close,Adj Close,Volume
2000-01-03,51.54,51.95,51.12,51.54,51.54,5473138
2000-01-04,52.02,52.43,51.6,52.02,52.02,4686589
2000-01-05,52.08,52.49,51.66,52.08,52.08,3771231
2000-01-06,52.26,52.68,51.84,52.26,52.26,11344916
2000-01-07,52.81,53.23,52.38,52.81,52.81,2975228
2000-01-10,53.58,54.01,53.15,53.58,53.58,3711390
2000-01-11,53.11,53.53,52.68,53.11,53.11,9232787
2000-01-12,53.47,53.9,53.04,53.47,53.47,8026181
2000-01-13,52.52,52.94,52.1,52.52,52.52,3148527
2000-01-14,52.15,52.57,51.74,52.15,52.15,5049595
2000-01-17,52.16,52.58,51.75,52.16,52.16,5676099
2000-01-18,52.2,52.62,51.78,52.2,52.2,4569605
2000-01-19,53.35,53.78,52.92,53.35,53.35,5198010
2000-01-20,53.85,54.28,53.42,53.85,53.85,4037220
2000-01-21,53.57,54.0,53.14,53.57,53.57,7385745
2000-01-24,53.78,54.21,53.35,53.78,53.78,9922667
2000-01-25,52.47,52.89,52.05,52.47,52.47,8547646
2000-01-26,52.02,52.43,51.6,52.02,52.02,6741153
2000-01-27,51.77,52.19,51.36,51.77,51.77,8319387
2000-01-28,52.69,53.11,52.26,52.69,52.69,10206626
2000-01-31,53.48,53.91,53.06,53.48,53.48,8964617
2000-02-01,53.13,53.55,52.7,53.13,53.13,5689350
2000-02-02,53.57,54.0,53.14,53.57,53.57,11159473
2000-02-03,53.0,53.42,52.57,53.0,53.0,8449389
2000-02-04,52.66,53.08,52.24,52.66,52.66,7539384
2000-02-07,53.11,53.53,52.68,53.11,53.11,7366727
2000-02-08,53.59,54.02,53.16,53.59,53.59,2457516
2000-02-09,53.44,53.86,53.01,53.44,53.44,4576570
2000-02-10,53.5,53.92,53.07,53.5,53.5,8578577
2000-02-11,54.62,55.06,54.19,54.62,54.62,8161589
2000-02-14,53.38,53.81,52.95,53.38,53.38,4926453
2000-02-15,53.47,53.9,53.04,53.47,53.47,5317233
2000-02-16,52.56,52.98,52.14,52.56,52.56,5273845
2000-02-17,53.17,53.59,52.74,53.17,53.17,5381751
2000-02-18,52.51,52.93,52.09,52.51,52.51,4965892
2000-02-21,52.8,53.22,52.37,52.8,52.8,6086829
