,Open,High,Low,Close,Adj Close,Volume
2000-01-03,54.43,54.86,53.99,54.43,54.43,2656793
2000-01-04,55.31,55.75,54.87,55.31,55.31,6158704
2000-01-05,53.28,53.71,52.85,53.28,53.28,5789377
2000-01-06,52.17,52.59,51.76,52.17,52.17,5854309
2000-01-07,51.13,51.54,50.72,51.13,51.13,6391930
2000-01-10,51.38,51.79,50.97,51.38,51.38,4052552
2000-01-11,51.69,52.11,51.28,51.69,51.69,3482825
2000-01-12,50.96,51.37,50.56,50.96,50.96,6276339
2000-01-13,49.97,50.37,49.57,49.97,49.97,7144445
2000-01-14,51.5,51.91,51.09,51.5,51.5,5868987
2000-01-17,50.69,51.09,50.28,50.69,50.69,4238835
2000-01-18,51.47,51.88,51.05,51.47,51.47,2410109
2000-01-19,50.95,51.36,50.54,50.95,50.95,3199281
2000-01-20,49.78,50.18,49.38,49.78,49.78,5799514
2000-01-21,48.34,48.73,47.95,48.34,48.34,8269011
2000-01-24,48.48,48.87,48.1,48.48,48.48,7055844
2000-01-25,49.01,49.4,48.61,49.01,49.01,4799812
2000-01-26,49.03,49.42,48.64,49.03,49.03,3571166
2000-01-27,48.76,49.15,48.37,48.76,48.76,3582397
2000-01-28,47.72,48.1,47.34,47.72,47.72,8417056
2000-01-31,47.8,48.19,47.42,47.8,47.8,14228924
2000-02-01,47.3,47.67,46.92,47.3,47.3,4884769
2000-02-02,46.3,46.67,45.93,46.3,46.3,5791380
2000-02-03,46.79,47.16,46.41,46.79,46.79,4794101
2000-02-04,46.6,46.97,46.23,46.6,46.6,8124304
2000-02-07,45.51,45.87,45.14,45.51,45.51,2498618
2000-02-08,46.4,46.77,46.03,46.4,46.4,2055813
2000-02-09,45.87,46.24,45.51,45.87,45.87,4067625
2000-02-10,46.26,46.63,45.89,46.26,46.26,6654992
2000-02-11,45.89,46.26,45.52,45.89,45.89,3187584
2000-02-14,45.53,45.89,45.17,45.53,45.53,4045906
2000-02-15,45.28,45.64,44.92,45.28,45.28,3017011
2000-02-16,45.42,45.78,45.05,45.42,45.42,5241035
2000-02-17,45.03,45.39,44.67,45.03,45.03,2751311
2000-02-18,44.62,44.98,44.26,44.62,44.62,8143989
2000-02-21,45.07,45.43,44.71,45.07,45.07,7413003
2000-02-22,45.29,45.65,44.93,45.29,45.29,5041114
2000-02-23,45.15,45.51,44.79,45.15,45.15,5113629
2000-02-24,44.67,45.03,44.32,44.67,44.67,3823546
2000-02-25,43.86,44.21,43.51,43.86,43.86,3098798
2000-02-28,44.54,44.9,44.18,44.54,44.54,6103984
2000-02-29,45.2,45.56,44.84,45.2,45.2,8336007
2000-03-01,45.23,45.59,44.87,45.23,45.23,5097754
2000-03-02,46.05,46.42,45.68,46.05,46.05,6762716
2000-03-03,46.64,47.01,46.27,46.64,46.64,2621397
2000-03-06,46.54,46.92,46.17,46.54,46.54,4170187
2000-03-07,46.64,47.01,46.26,46.64,46.64,8280328
2000-03-08,45.54,45.91,45.18,45.54,45.54,5812227
2000-03-09,45.28,45.64,44.92,45.28,45.28,5243903
2000-03-10,46.49,46.86,46.12,46.49,46.49,7260387
2000-03-13,46.7,47.08,46.33,46.7,46.7,5570334
2000-03-14,46.27,46.64,45.9,46.27,46.27,4605501
2000-03-15,45.1,45.46,44.74,45.1,45.1,7531822
2000-03-16,45.15,45.51,44.79,45.15,45.15,9247936
2000-03-17,45.23,45.59,44.86,45.23,45.23,3817540
2000-03-20,45.98,46.35,45.61,45.98,45.98,6178981
2000-03-21,46.0,46.36,45.63,46.0,46.0,7514007
2000-03-22,45.68,46.05,45.32,45.68,45.68,7506591
2000-03-23,45.38,45.74,45.01,45.38,45.38,3495778
2000-03-24,46.75,47.13,46.38,46.75,46.75,5173417
2000-03-27,46.75,47.12,46.37,46.75,46.75,6452263
2000-03-28,46.64,47.01,46.26,46.64,46.64,4003789
2000-03-29,47.16,47.54,46.78,47.16,47.16,7460393
2000-03-30,46.09,46.46,45.72,46.09,46.09,6396935
2000-03-31,46.66,47.03,46.28,46.66,46.66,6249379
2000-04-03,46.42,46.79,46.05,46.42,46.42,7989880
2000-04-04,45.86,46.23,45.5,45.86,45.86,6472775
2000-04-05,46.83,47.21,46.46,46.83,46.83,10641191
