,Open,High,Low,Close,Adj Close,Volume
2000-01-03,134.61,135.99,134.01,135.0,135.0,6987066
2000-01-04,138.81,139.53,138.03,138.78,138.78,7407772
2000-01-05,136.9,138.04,135.67,136.86,136.86,2842406
2000-01-06,138.89,139.65,138.3,138.97,138.97,3975114
2000-01-07,138.03,138.87,136.29,137.58,137.58,5012591
2000-01-10,138.36,139.96,137.11,138.54,138.54,4393745
2000-01-11,138.95,140.82,138.19,139.5,139.5,7965441
2000-01-12,139.89,141.61,138.52,140.07,140.07,2948046
2000-01-13,141.55,142.18,139.21,140.69,140.69,2939994
2000-01-14,139.06,140.3,138.46,139.38,139.38,5765735
2000-01-17,140.22,141.66,139.11,140.39,140.39,4851056
2000-01-18,141.01,141.49,139.67,140.58,140.58,4665619
2000-01-19,138.88,139.43,138.39,138.91,138.91,2333100
2000-01-20,138.41,139.46,136.89,138.17,138.17,4515312
2000-01-21,139.49,140.52,136.71,138.61,138.61,4710935
2000-01-24,137.87,138.48,136.43,137.46,137.46,7479933
2000-01-25,135.67,136.16,135.03,135.59,135.59,7370523
2000-01-26,135.06,136.9,134.31,135.6,135.6,6708673
2000-01-27,138.04,140.01,137.47,138.74,138.74,4611594
2000-01-28,138.03,138.46,136.43,137.45,137.45,4609870
2000-01-31,137.0,138.74,136.43,137.59,137.59,4886152
2000-02-01,136.94,137.82,135.77,136.79,136.79,3753626
2000-02-02,135.33,136.53,134.89,135.71,135.71,5740268
2000-02-03,140.19,140.86,139.33,140.1,140.1,6808201
2000-02-04,139.65,140.53,138.7,139.62,139.62,3086134
2000-02-07,138.72,139.57,137.46,138.52,138.52,16060519
2000-02-08,137.59,139.22,136.48,137.85,137.85,5863978
2000-02-09,138.61,140.61,137.85,139.23,139.23,7004830
2000-02-10,138.37,138.67,137.23,137.95,137.95,4162403
2000-02-11,136.96,139.23,135.26,137.25,137.25,3176846
2000-02-14,139.67,141.21,138.91,140.06,140.06,5519766
2000-02-15,137.39,138.68,136.44,137.56,137.56,5432460
2000-02-16,134.9,136.06,133.5,134.78,134.78,4867780
2000-02-17,132.56,132.94,131.28,132.11,132.11,7667811
2000-02-18,131.76,132.15,131.42,131.79,131.79,8927571
2000-02-21,126.29,126.97,125.7,126.34,126.34,6867486
