,Open,High,Low,Close,Adj Close,Volume
2000-01-03,23.89,24.08,23.7,23.89,23.89,9468862
2000-01-04,23.32,23.51,23.14,23.32,23.32,5026874
2000-01-05,23.02,23.21,22.84,23.02,23.02,6017735
2000-01-06,23.27,23.45,23.08,23.27,23.27,3206600
2000-01-07,23.62,23.8,23.43,23.62,23.62,5232782
2000-01-10,24.26,24.45,24.06,24.26,24.26,9978946
2000-01-11,24.5,24.7,24.31,24.5,24.5,9270657
2000-01-12,25.04,25.24,24.84,25.04,25.04,7430381
2000-01-13,26.14,26.35,25.93,26.14,26.14,4362721
2000-01-14,26.32,26.53,26.11,26.32,26.32,11143129
2000-01-17,26.24,26.45,26.03,26.24,26.24,3196159
2000-01-18,26.07,26.28,25.87,26.07,26.07,4244979
2000-01-19,26.64,26.85,26.42,26.64,26.64,4150207
2000-01-20,26.42,26.63,26.2,26.42,26.42,1792425
2000-01-21,25.92,26.12,25.71,25.92,25.92,8001048
2000-01-24,25.91,26.11,25.7,25.91,25.91,3472235
2000-01-25,25.65,25.86,25.45,25.65,25.65,1320134
2000-01-26,25.69,25.9,25.49,25.69,25.69,4839695
2000-01-27,25.54,25.74,25.33,25.54,25.54,6269991
2000-01-28,25.04,25.24,24.84,25.04,25.04,3308679
2000-01-31,25.02,25.22,24.82,25.02,25.02,5878118
2000-02-01,24.63,24.83,24.43,24.63,24.63,3873267
2000-02-02,24.8,25.0,24.6,24.8,24.8,4256307
2000-02-03,25.02,25.22,24.82,25.02,25.02,3255765
2000-02-04,24.48,24.67,24.28,24.48,24.48,3463397
2000-02-07,24.1,24.29,23.91,24.1,24.1,4746403
2000-02-08,24.02,24.21,23.83,24.02,24.02,2911959
2000-02-09,24.08,24.27,23.89,24.08,24.08,4281180
2000-02-10,24.24,24.43,24.05,24.24,24.24,5827180
2000-02-11,24.41,24.6,24.21,24.41,24.41,5319319
2000-02-14,24.17,24.36,23.98,24.17,24.17,4805019
2000-02-15,24.82,25.02,24.62,24.82,24.82,5223453
2000-02-16,24.84,25.04,24.64,24.84,24.84,7041382
2000-02-17,24.83,25.02,24.63,24.83,24.83,5635810
2000-02-18,24.81,25.01,24.61,24.81,24.81,6155087
2000-02-21,25.55,25.76,25.35,25.55,25.55,3431602
2000-02-22,24.92,25.12,24.72,24.92,24.92,2421918
2000-02-23,25.08,25.28,24.88,25.08,25.08,3751528
2000-02-24,25.67,25.88,25.47,25.67,25.67,6694001
2000-02-25,26.64,26.86,26.43,26.64,26.64,4032636
2000-02-28,26.56,26.77,26.35,26.56,26.56,6738525
2000-02-29,25.7,25.91,25.5,25.7,25.7,6627117
2000-03-01,25.93,26.13,25.72,25.93,25.93,4581866
2000-03-02,26.44,26.65,26.22,26.44,26.44,4101938
2000-03-03,26.96,27.17,26.74,26.96,26.96,5929038
2000-03-06,27.14,27.35,26.92,27.14,27.14,9072962
2000-03-07,27.01,27.23,26.8,27.01,27.01,3386796
2000-03-08,26.6,26.82,26.39,26.6,26.6,6874223
2000-03-09,27.1,27.31,26.88,27.1,27.1,6596081
2000-03-10,26.78,27.0,26.57,26.78,26.78,3859601
2000-03-13,26.21,26.42,26.0,26.21,26.21,7283930
2000-03-14,26.36,26.58,26.15,26.36,26.36,4205222
2000-03-15,25.8,26.01,25.59,25.8,25.8,5804932
2000-03-16,25.4,25.6,25.19,25.4,25.4,2254688
2000-03-17,25.52,25.72,25.32,25.52,25.52,5522933
2000-03-20,25.69,25.9,25.49,25.69,25.69,6274274
2000-03-21,25.12,25.32,24.92,25.12,25.12,3410514
2000-03-22,25.58,25.78,25.37,25.58,25.58,3991622
2000-03-23,25.83,26.03,25.62,25.83,25.83,9041788
2000-03-24,26.01,26.22,25.8,26.01,26.01,8929727
2000-03-27,27.15,27.37,26.93,27.15,27.15,6350299
2000-03-28,26.64,26.86,26.43,26.64,26.64,3143561
