,Open,High,Low,Close,Adj Close,Volume
2000-01-03,93.87,94.63,93.12,93.87,93.87,5213132
2000-01-04,91.16,91.89,90.43,91.16,91.16,2406214
2000-01-05,92.14,92.87,91.4,92.14,92.14,8377196
2000-01-06,92.01,92.75,91.28,92.01,92.01,10049749
2000-01-07,92.08,92.81,91.34,92.08,92.08,3411175
2000-01-10,89.82,90.53,89.1,89.82,89.82,11318736
2000-01-11,93.15,93.89,92.4,93.15,93.15,5536531
2000-01-12,91.49,92.22,90.76,91.49,91.49,3635250
2000-01-13,90.13,90.85,89.41,90.13,90.13,4420758
2000-01-14,89.38,90.09,88.66,89.38,89.38,4279154
2000-01-17,89.64,90.35,88.92,89.64,89.64,3758295
2000-01-18,88.55,89.26,87.84,88.55,88.55,7928367
2000-01-19,87.79,88.49,87.09,87.79,87.79,8173671
2000-01-20,88.39,89.1,87.69,88.39,88.39,6316756
2000-01-21,86.39,87.09,85.7,86.39,86.39,3226410
2000-01-24,86.72,87.42,86.03,86.72,86.72,5126564
2000-01-25,84.81,85.49,84.13,84.81,84.81,5631229
2000-01-26,86.73,87.42,86.03,86.73,86.73,3504008
2000-01-27,84.77,85.45,84.09,84.77,84.77,7077431
2000-01-28,83.26,83.92,82.59,83.26,83.26,3805797
2000-01-31,83.52,84.19,82.85,83.52,83.52,5004856
2000-02-01,85.46,86.14,84.77,85.46,85.46,5316144
2000-02-02,85.1,85.78,84.42,85.1,85.1,3741141
2000-02-03,85.15,85.83,84.47,85.15,85.15,3173874
2000-02-04,86.83,87.53,86.14,86.83,86.83,6949492
2000-02-07,86.31,87.0,85.62,86.31,86.31,6182322
2000-02-08,85.52,86.2,84.83,85.52,85.52,6001242
2000-02-09,84.44,85.12,83.77,84.44,84.44,6953160
2000-02-10,84.18,84.85,83.51,84.18,84.18,3429736
2000-02-11,84.76,85.44,84.08,84.76,84.76,7953353
2000-02-14,85.51,86.19,84.83,85.51,85.51,9131722
2000-02-15,86.63,87.33,85.94,86.63,86.63,8011611
2000-02-16,85.58,86.27,84.9,85.58,85.58,3085683
2000-02-17,84.96,85.64,84.28,84.96,84.96,7879070
2000-02-18,82.91,83.58,82.25,82.91,82.91,2232174
2000-02-21,82.97,83.64,82.31,82.97,82.97,4750208
2000-02-22,83.73,84.4,83.07,83.73,83.73,2758901
2000-02-23,83.15,83.82,82.49,83.15,83.15,4073204
2000-02-24,81.33,81.98,80.68,81.33,81.33,5212462
2000-02-25,81.58,82.24,80.93,81.58,81.58,4080591
2000-02-28,80.59,81.23,79.94,80.59,80.59,5774900
2000-02-29,82.64,83.3,81.98,82.64,82.64,4071364
2000-03-01,82.35,83.01,81.69,82.35,82.35,8559702
2000-03-02,82.61,83.27,81.94,82.61,82.61,6432322
2000-03-03,81.77,82.43,81.12,81.77,81.77,4106526
2000-03-06,82.55,83.21,81.89,82.55,82.55,3206256
2000-03-07,81.6,82.25,80.95,81.6,81.6,10626297
