,Open,High,Low,Close,Adj Close,Volume
2000-01-03,212.68,214.49,211.51,213.0,213.0,3146861
2000-01-04,207.33,207.62,206.25,206.93,206.93,4912011
2000-01-05,200.48,201.47,198.28,199.87,199.87,7683552
2000-01-06,191.98,193.12,190.82,191.97,191.97,7927715
2000-01-07,193.56,195.2,192.3,193.75,193.75,9365813
2000-01-10,198.68,200.46,197.54,199.0,199.0,15216784
2000-01-11,208.62,210.24,208.16,209.2,209.2,4049830
2000-01-12,214.11,216.63,212.52,214.58,214.58,4058314
2000-01-13,214.2,215.87,212.27,214.07,214.07,10041542
2000-01-14,222.26,223.17,218.78,220.98,220.98,8225899
2000-01-17,223.73,225.11,222.19,223.65,223.65,5402300
2000-01-18,226.35,227.73,224.48,226.11,226.11,5671331
2000-01-19,223.07,225.49,220.69,223.09,223.09,2661051
2000-01-20,225.74,227.16,222.18,224.67,224.67,6874944
2000-01-21,230.6,231.7,229.32,230.51,230.51,4418008
2000-01-24,223.18,226.21,222.34,224.28,224.28,7358810
2000-01-25,229.04,230.27,224.68,227.47,227.47,6986190
2000-01-26,232.18,233.31,228.3,230.81,230.81,5752284
2000-01-27,228.43,230.1,226.56,228.33,228.33,5476491
2000-01-28,227.54,230.41,225.91,228.16,228.16,4414490
2000-01-31,226.64,227.29,225.25,226.27,226.27,9130998
2000-02-01,229.92,233.06,228.57,230.82,230.82,5219089
2000-02-02,232.41,234.95,231.49,233.22,233.22,6277155
2000-02-03,229.06,230.25,225.75,228.0,228.0,5805330
2000-02-04,226.37,229.13,224.71,226.92,226.92,4770509
2000-02-07,220.53,221.24,218.46,219.85,219.85,7994193
2000-02-08,225.64,228.44,223.1,225.77,225.77,4379485
2000-02-09,223.26,224.85,221.02,222.94,222.94,3336606
2000-02-10,219.97,221.55,218.58,220.06,220.06,5907404
2000-02-11,222.46,224.12,218.36,221.24,221.24,3596646
2000-02-14,225.35,227.17,221.91,224.54,224.54,9646534
2000-02-15,214.55,216.73,212.7,214.71,214.71,4029813
2000-02-16,217.17,218.13,215.94,217.04,217.04,7167514
2000-02-17,211.84,212.85,210.76,211.8,211.8,4212155
2000-02-18,211.02,211.38,209.61,210.5,210.5,3768820
2000-02-21,221.0,222.05,220.53,221.29,221.29,5883292
2000-02-22,220.53,221.38,219.73,220.56,220.56,3346933
2000-02-23,216.78,220.39,215.86,218.13,218.13,5739673
2000-02-24,221.31,223.23,218.01,220.62,220.62,9582207
2000-02-25,221.1,224.31,217.35,220.83,220.83,6127232
2000-02-28,220.33,222.0,218.41,220.2,220.2,4783450
2000-02-29,229.97,232.31,228.59,230.45,230.45,4073161
2000-03-01,240.23,242.3,238.89,240.6,240.6,12832806
2000-03-02,237.29,239.92,236.48,238.2,238.2,7794837
2000-03-03,238.74,241.75,236.98,239.36,239.36,3210202
2000-03-06,234.54,235.92,234.15,235.04,235.04,2036468
2000-03-07,228.58,230.88,226.94,228.91,228.91,4126990
2000-03-08,231.4,231.68,230.67,231.17,231.17,6796355
2000-03-09,242.99,243.7,242.36,243.03,243.03,4673641
2000-03-10,253.46,255.25,250.54,252.89,252.89,7131854
2000-03-13,266.45,268.16,263.56,265.86,265.86,11551944
2000-03-14,259.15,260.25,255.4,257.83,257.83,4773087
2000-03-15,255.97,258.49,254.26,256.37,256.37,4525476
2000-03-16,260.12,262.55,258.01,260.28,260.28,4580108
2000-03-17,261.07,262.16,258.15,260.16,260.16,2480654
2000-03-20,256.69,259.12,255.25,257.18,257.18,3267571
2000-03-21,254.67,256.66,253.58,255.12,255.12,8322317
2000-03-22,255.37,257.14,253.89,255.51,255.51,4871193
2000-03-23,251.5,251.8,250.81,251.31,251.31,7709321
2000-03-24,261.75,263.55,256.44,259.99,259.99,5854369
2000-03-27,256.03,259.42,254.75,257.09,257.09,6641009
2000-03-28,247.27,251.16,246.12,248.64,248.64,6643469
2000-03-29,253.41,256.28,251.49,253.88,253.88,5413372
2000-03-30,254.16,254.95,252.14,253.55,253.55,14427615
2000-03-31,257.47,258.66,255.65,257.15,257.15,14242782
2000-04-03,262.62,264.65,259.75,262.2,262.2,6234376
2000-04-04,265.13,267.05,262.81,264.93,264.93,7170890
2000-04-05,267.12,269.33,264.41,266.87,266.87,5154449
2000-04-06,263.82,266.15,261.67,263.91,263.91,5575879
2000-04-07,258.7,261.84,257.52,259.68,259.68,5613504
2000-04-10,257.43,259.89,255.81,257.85,257.85,5603246
2000-04-11,264.99,267.01,263.11,265.06,265.06,6988707
2000-04-12,260.34,262.54,258.81,260.68,260.68,4405583
2000-04-13,265.6,266.7,263.33,265.01,265.01,5142312
2000-04-14,263.11,264.1,262.75,263.43,263.43,5496662
2000-04-17,263.65,264.78,261.51,263.15,263.15,3423906
2000-04-18,262.81,265.32,261.43,263.37,263.37,6396798
2000-04-19,264.34,266.67,261.49,264.08,264.08,3718031
2000-04-20,258.46,262.25,256.61,259.43,259.43,4118661
2000-04-21,258.64,260.05,255.52,257.79,257.79,5130593
2000-04-24,257.19,257.97,256.05,257.01,257.01,5800911
2000-04-25,254.04,256.32,252.47,254.39,254.39,2991927
2000-04-26,249.65,252.26,248.79,250.53,250.53,8023890
2000-04-27,254.37,256.3,253.56,254.93,254.93,4444802
2000-04-28,250.83,253.03,249.62,251.32,251.32,7689005
2000-05-01,253.68,258.22,251.38,254.8,254.8,6444390
2000-05-02,257.59,259.72,254.64,257.18,257.18,2209587
2000-05-03,262.95,263.67,260.96,262.31,262.31,4690457
2000-05-04,265.34,269.34,263.95,266.64,266.64,3577688
2000-05-05,276.49,280.64,274.18,277.41,277.41,7221485
2000-05-08,270.06,271.26,268.61,269.93,269.93,9953624
2000-05-09,274.84,278.64,273.75,276.19,276.19,6110818
2000-05-10,271.3,273.09,265.4,269.24,269.24,7792925
2000-05-11,266.01,267.83,264.61,266.22,266.22,3282661
2000-05-12,266.49,268.95,264.13,266.54,266.54,3931243
2000-05-15,260.76,262.27,258.98,260.63,260.63,5294276
2000-05-16,263.11,264.78,260.0,262.39,262.39,3453570
2000-05-17,253.14,255.11,252.09,253.6,253.6,3412125
2000-05-18,250.4,251.04,248.25,249.65,249.65,4170438
2000-05-19,248.92,252.0,248.11,250.05,250.05,8051006
2000-05-22,248.75,250.23,246.78,248.5,248.5,6673702
2000-05-23,254.33,256.04,252.64,254.34,254.34,7022788
2000-05-24,243.01,246.0,241.82,243.91,243.91,9464619
2000-05-25,233.65,235.93,232.94,234.44,234.44,4858476
2000-05-26,230.69,232.75,229.49,231.12,231.12,8368581
2000-05-29,235.92,236.97,233.05,235.01,235.01,2757070
2000-05-30,230.54,232.96,229.89,231.43,231.43,8006753
2000-05-31,232.17,233.57,231.21,232.39,232.39,4578384
2000-06-01,233.46,235.81,231.95,233.88,233.88,9218135
2000-06-02,236.18,237.26,232.01,234.64,234.64,2939186
2000-06-05,232.61,235.66,228.88,232.27,232.27,7296337
2000-06-06,234.69,236.43,232.69,234.56,234.56,15997057
2000-06-07,227.76,231.62,225.95,228.78,228.78,6536545
2000-06-08,227.96,229.77,226.1,227.93,227.93,3553698
2000-06-09,225.95,226.84,223.88,225.36,225.36,3976918
2000-06-12,225.28,227.89,223.69,225.79,225.79,3253425
2000-06-13,224.38,226.39,223.76,225.08,225.08,5461945
2000-06-14,232.18,234.3,228.1,231.2,231.2,4232154
2000-06-15,236.78,237.0,235.98,236.49,236.49,3959536
2000-06-16,231.56,232.66,230.31,231.48,231.48,4501633
2000-06-19,235.86,238.56,233.81,236.18,236.18,10504910
2000-06-20,242.8,245.09,239.99,242.54,242.54,4836748
2000-06-21,236.72,237.19,235.36,236.28,236.28,7599853
2000-06-22,238.26,240.28,237.71,238.99,238.99,7475990
2000-06-23,234.68,235.74,232.6,234.17,234.17,9610901
2000-06-26,226.98,230.72,225.46,228.09,228.09,6687293
2000-06-27,219.64,221.98,218.18,220.08,220.08,4725993
2000-06-28,223.32,225.54,222.37,223.95,223.95,9757880
2000-06-29,226.11,227.32,222.47,224.89,224.89,5222686
2000-06-30,226.51,228.58,223.93,226.26,226.26,9105652
2000-07-03,232.68,233.84,229.55,231.7,231.7,7188934
2000-07-04,238.84,242.02,235.48,238.75,238.75,3451318
2000-07-05,231.84,232.9,231.24,232.07,232.07,2705641
2000-07-06,230.82,233.73,229.9,231.81,231.81,5752319
2000-07-07,233.7,235.6,231.72,233.66,233.66,5084823
2000-07-10,239.54,240.53,237.94,239.24,239.24,4397368
2000-07-11,246.58,248.31,244.63,246.47,246.47,6761054
2000-07-12,255.68,257.22,253.73,255.47,255.47,2331777
2000-07-13,251.28,254.13,249.43,251.78,251.78,4090482
2000-07-14,249.86,251.48,247.82,249.65,249.65,2386977
2000-07-17,256.86,257.5,255.04,256.27,256.27,6541067
2000-07-18,260.47,262.17,257.6,259.88,259.88,3505345
2000-07-19,255.34,256.22,252.74,254.48,254.48,3463628
2000-07-20,264.1,266.13,260.03,263.08,263.08,9972084
2000-07-21,251.76,253.14,247.36,250.25,250.25,5451468
2000-07-24,253.59,254.5,252.27,253.39,253.39,5497303
2000-07-25,253.92,257.67,252.83,255.25,255.25,7467942
2000-07-26,262.72,265.18,261.04,263.11,263.11,4709013
2000-07-27,259.83,260.96,257.34,259.15,259.15,5752851
2000-07-28,260.71,263.1,259.06,261.08,261.08,11849548
2000-07-31,262.98,264.51,260.33,262.42,262.42,4185911
2000-08-01,269.31,271.79,268.13,269.96,269.96,5971700
2000-08-02,262.22,264.87,260.2,262.54,262.54,4475238
2000-08-03,261.69,264.06,258.84,261.45,261.45,9970929
2000-08-04,250.54,252.25,248.13,250.19,250.19,4708681
2000-08-07,255.37,256.91,251.58,254.24,254.24,2502430
2000-08-08,250.52,251.95,247.59,249.77,249.77,6985371
2000-08-09,249.38,249.78,248.17,248.98,248.98,3515469
