,Open,High,Low,Close,Adj Close,Volume
2000-01-03,17.32,17.46,17.18,17.32,17.32,3304866
2000-01-04,17.13,17.27,16.99,17.13,17.13,3411942
2000-01-05,17.21,17.35,17.07,17.21,17.21,9160590
2000-01-06,17.03,17.17,16.9,17.03,17.03,4617889
2000-01-07,17.01,17.14,16.87,17.01,17.01,6513355
2000-01-10,16.77,16.9,16.63,16.77,16.77,4423017
2000-01-11,16.55,16.68,16.42,16.55,16.55,5133725
2000-01-12,16.77,16.91,16.64,16.77,16.77,5014135
2000-01-13,16.5,16.63,16.37,16.5,16.5,1842521
2000-01-14,16.22,16.35,16.09,16.22,16.22,6250920
2000-01-17,16.47,16.61,16.34,16.47,16.47,5387276
2000-01-18,16.77,16.9,16.63,16.77,16.77,4901501
2000-01-19,16.49,16.62,16.36,16.49,16.49,9337490
2000-01-20,16.75,16.88,16.61,16.75,16.75,3483569
2000-01-21,16.52,16.65,16.39,16.52,16.52,3595293
2000-01-24,16.31,16.44,16.18,16.31,16.31,5213742
2000-01-25,16.27,16.4,16.14,16.27,16.27,7793433
2000-01-26,16.41,16.54,16.28,16.41,16.41,5399644
2000-01-27,16.16,16.29,16.03,16.16,16.16,9358405
2000-01-28,16.3,16.43,16.17,16.3,16.3,6013664
2000-01-31,16.35,16.48,16.22,16.35,16.35,11108699
2000-02-01,16.15,16.28,16.02,16.15,16.15,6225642
2000-02-02,15.97,16.1,15.85,15.97,15.97,7280234
2000-02-03,15.78,15.9,15.65,15.78,15.78,4606305
2000-02-04,15.88,16.01,15.76,15.88,15.88,4592779
2000-02-07,15.87,15.99,15.74,15.87,15.87,4669466
2000-02-08,15.62,15.75,15.5,15.62,15.62,5673660
2000-02-09,15.89,16.02,15.76,15.89,15.89,6156090
2000-02-10,15.7,15.83,15.58,15.7,15.7,7517777
2000-02-11,15.82,15.95,15.69,15.82,15.82,6741792
2000-02-14,15.35,15.47,15.23,15.35,15.35,6561130
2000-02-15,15.53,15.66,15.41,15.53,15.53,4447528
2000-02-16,15.66,15.79,15.54,15.66,15.66,3918859
2000-02-17,15.87,16.0,15.74,15.87,15.87,11959680
2000-02-18,15.34,15.46,15.21,15.34,15.34,5657272
2000-02-21,15.55,15.68,15.43,15.55,15.55,5097911
2000-02-22,15.6,15.73,15.48,15.6,15.6,3332845
2000-02-23,15.39,15.51,15.27,15.39,15.39,5980081
2000-02-24,15.8,15.93,15.67,15.8,15.8,3004546
2000-02-25,16.0,16.13,15.88,16.0,16.0,4241072
2000-02-28,16.01,16.14,15.88,16.01,16.01,8366038
2000-02-29,16.01,16.14,15.88,16.01,16.01,4552613
2000-03-01,16.09,16.22,15.96,16.09,16.09,5032989
2000-03-02,15.88,16.01,15.75,15.88,15.88,4444777
2000-03-03,15.65,15.78,15.53,15.65,15.65,6024530
2000-03-06,15.4,15.53,15.28,15.4,15.4,3665241
2000-03-07,15.3,15.42,15.17,15.3,15.3,7706617
2000-03-08,15.19,15.32,15.07,15.19,15.19,3532219
2000-03-09,15.32,15.44,15.2,15.32,15.32,4145070
2000-03-10,15.69,15.81,15.56,15.69,15.69,3709214
2000-03-13,15.6,15.73,15.48,15.6,15.6,6083293
2000-03-14,15.61,15.73,15.48,15.61,15.61,4585322
2000-03-15,15.72,15.84,15.59,15.72,15.72,6168936
2000-03-16,15.67,15.8,15.55,15.67,15.67,5583458
2000-03-17,15.55,15.68,15.43,15.55,15.55,3707884
2000-03-20,15.58,15.7,15.45,15.58,15.58,3491366
2000-03-21,15.46,15.58,15.34,15.46,15.46,4189390
2000-03-22,15.88,16.0,15.75,15.88,15.88,10362906
2000-03-23,15.43,15.55,15.3,15.43,15.43,4131452
2000-03-24,15.3,15.42,15.18,15.3,15.3,4197891
2000-03-27,15.43,15.55,15.3,15.43,15.43,3713262
2000-03-28,15.22,15.35,15.1,15.22,15.22,5248743
2000-03-29,15.34,15.46,15.22,15.34,15.34,4681203
2000-03-30,15.6,15.72,15.47,15.6,15.6,3717634
2000-03-31,16.11,16.24,15.98,16.11,16.11,6828998
2000-04-03,15.57,15.69,15.44,15.57,15.57,5191126
2000-04-04,15.48,15.6,15.36,15.48,15.48,6989667
2000-04-05,15.47,15.6,15.35,15.47,15.47,8429389
2000-04-06,15.79,15.92,15.67,15.79,15.79,3021779
2000-04-07,15.7,15.82,15.57,15.7,15.7,5918625
2000-04-10,15.9,16.03,15.77,15.9,15.9,6723200
2000-04-11,15.95,16.08,15.82,15.95,15.95,3256344
2000-04-12,15.7,15.83,15.58,15.7,15.7,3076057
2000-04-13,15.58,15.7,15.45,15.58,15.58,2593125
2000-04-14,15.52,15.65,15.4,15.52,15.52,8319146
2000-04-17,15.56,15.69,15.44,15.56,15.56,6437800
2000-04-18,15.74,15.87,15.61,15.74,15.74,6057043
2000-04-19,16.08,16.21,15.95,16.08,16.08,4210213
2000-04-20,15.97,16.1,15.84,15.97,15.97,4168800
2000-04-21,15.93,16.06,15.8,15.93,15.93,4749975
2000-04-24,15.82,15.95,15.7,15.82,15.82,5074818
