,Open,High,Low,Close,Adj Close,Volume
2000-01-03,151.59,152.8,150.38,151.59,151.59,4180581
2000-01-04,153.44,154.66,152.21,153.44,153.44,5138677
2000-01-05,156.57,157.82,155.32,156.57,156.57,8684746
2000-01-06,156.42,157.67,155.17,156.42,156.42,4457521
2000-01-07,152.4,153.62,151.19,152.4,152.4,4754320
2000-01-10,149.51,150.71,148.32,149.51,149.51,4378472
2000-01-11,150.98,152.18,149.77,150.98,150.98,12651015
2000-01-12,150.72,151.93,149.52,150.72,150.72,3567082
2000-01-13,150.77,151.97,149.56,150.77,150.77,5862973
2000-01-14,146.51,147.69,145.34,146.51,146.51,11115680
2000-01-17,142.71,143.85,141.57,142.71,142.71,8641612
2000-01-18,143.01,144.16,141.87,143.01,143.01,4128291
2000-01-19,142.52,143.66,141.38,142.52,142.52,4635315
2000-01-20,143.05,144.19,141.91,143.05,143.05,5241357
2000-01-21,141.71,142.84,140.57,141.71,141.71,8503188
2000-01-24,141.9,143.04,140.77,141.9,141.9,5544281
2000-01-25,138.46,139.57,137.35,138.46,138.46,15644621
2000-01-26,134.69,135.77,133.61,134.69,134.69,6943500
2000-01-27,132.55,133.61,131.49,132.55,132.55,6883807
2000-01-28,134.89,135.97,133.81,134.89,134.89,6650453
2000-01-31,135.93,137.01,134.84,135.93,135.93,6287061
2000-02-01,137.42,138.52,136.33,137.42,137.42,4115752
2000-02-02,136.85,137.95,135.76,136.85,136.85,8866337
2000-02-03,141.84,142.98,140.71,141.84,141.84,7229216
2000-02-04,140.08,141.2,138.96,140.08,140.08,7425934
2000-02-07,140.06,141.18,138.94,140.06,140.06,3634060
2000-02-08,140.63,141.76,139.51,140.63,140.63,5872088
2000-02-09,143.12,144.27,141.98,143.12,143.12,5026174
2000-02-10,147.1,148.28,145.93,147.1,147.1,6469452
2000-02-11,145.0,146.16,143.84,145.0,145.0,6802755
2000-02-14,146.03,147.2,144.86,146.03,146.03,3886178
2000-02-15,146.83,148.01,145.66,146.83,146.83,6687754
2000-02-16,145.98,147.15,144.81,145.98,145.98,9033994
2000-02-17,148.12,149.31,146.94,148.12,148.12,12103299
2000-02-18,153.83,155.06,152.6,153.83,153.83,16165615
2000-02-21,152.52,153.74,151.3,152.52,152.52,4849144
2000-02-22,152.22,153.44,151.01,152.22,152.22,11252192
2000-02-23,155.37,156.61,154.13,155.37,155.37,5279262
2000-02-24,151.69,152.91,150.48,151.69,151.69,8536087
2000-02-25,151.33,152.54,150.12,151.33,151.33,5002128
2000-02-28,152.15,153.36,150.93,152.15,152.15,5001399
2000-02-29,150.12,151.32,148.92,150.12,150.12,12473456
2000-03-01,150.04,151.24,148.84,150.04,150.04,2901823
2000-03-02,148.91,150.1,147.71,148.91,148.91,2907977
2000-03-03,147.15,148.33,145.97,147.15,147.15,4590589
2000-03-06,150.1,151.3,148.9,150.1,150.1,7481336
2000-03-07,146.1,147.26,144.93,146.1,146.1,3997243
2000-03-08,144.28,145.44,143.13,144.28,144.28,2704922
