,Open,High,Low,Close,Adj Close,Volume
2000-01-03,152.64,154.21,151.79,153.0,153.0,3948487
2000-01-04,155.99,156.39,154.53,155.46,155.46,4200870
2000-01-05,151.93,152.5,150.81,151.66,151.66,3917438
2000-01-06,157.09,160.02,156.15,158.09,158.09,10516637
2000-01-07,158.45,158.81,157.76,158.28,158.28,3430342
2000-01-10,159.43,160.37,157.61,158.99,158.99,5961728
2000-01-11,158.52,159.46,157.41,158.43,158.43,9299343
2000-01-12,154.99,155.53,154.64,155.09,155.09,4003710
2000-01-13,156.31,158.14,155.48,156.81,156.81,8706742
2000-01-14,160.74,162.34,160.2,161.27,161.27,3926822
2000-01-17,159.87,161.01,157.85,159.43,159.43,3282061
2000-01-18,155.97,158.55,155.24,156.9,156.9,3742292
2000-01-19,158.09,159.79,156.89,158.34,158.34,4215065
2000-01-20,155.53,156.76,154.78,155.77,155.77,4141855
2000-01-21,154.32,155.64,152.45,154.05,154.05,6354116
2000-01-24,156.28,157.04,153.38,155.21,155.21,5359198
2000-01-25,155.77,156.78,154.98,155.88,155.88,4381876
2000-01-26,159.46,161.26,158.57,159.92,159.92,5004989
2000-01-27,160.29,161.59,158.75,160.17,160.17,2690970
2000-01-28,159.56,159.97,158.43,159.2,159.2,6178661
2000-01-31,160.65,160.81,160.23,160.52,160.52,3340166
2000-02-01,160.2,162.43,159.23,160.83,160.83,3166717
2000-02-02,164.92,166.13,163.23,164.68,164.68,8192150
2000-02-03,162.76,164.03,161.32,162.67,162.67,2472448
2000-02-04,162.44,164.32,161.53,162.92,162.92,13144901
2000-02-07,159.86,161.51,158.88,160.2,160.2,3139029
2000-02-08,162.21,163.71,161.05,162.38,162.38,5858715
2000-02-09,161.04,162.05,159.53,160.79,160.79,3756593
2000-02-10,165.6,166.27,162.94,164.6,164.6,7854166
2000-02-11,163.98,164.6,161.92,163.26,163.26,5109574
2000-02-14,167.53,168.51,166.31,167.41,167.41,4191754
2000-02-15,164.69,165.33,163.0,164.16,164.16,9021638
2000-02-16,161.65,163.05,160.54,161.8,161.8,7886153
2000-02-17,162.38,163.16,160.49,161.82,161.82,4861958
2000-02-18,158.78,160.13,157.44,158.79,158.79,3681244
2000-02-21,157.6,159.24,156.43,157.83,157.83,2346157
2000-02-22,158.23,159.04,156.34,157.69,157.69,7645010
2000-02-23,158.26,158.81,156.12,157.47,157.47,3804729
2000-02-24,152.79,153.56,151.96,152.76,152.76,3228204
2000-02-25,151.84,152.39,150.09,151.24,151.24,7827080
2000-02-28,152.05,154.13,151.22,152.68,152.68,5981668
2000-02-29,152.26,155.57,151.18,153.38,153.38,2713504
2000-03-01,155.27,156.14,153.79,154.97,154.97,8363903
2000-03-02,154.97,155.42,153.22,154.32,154.32,7603744
2000-03-03,151.26,151.83,149.12,150.47,150.47,7419303
2000-03-06,158.38,159.12,157.26,158.19,158.19,3419319
2000-03-07,164.24,164.76,162.62,163.69,163.69,5938447
2000-03-08,164.47,165.31,161.98,163.65,163.65,4968702
2000-03-09,165.84,167.8,164.92,166.36,166.36,5868104
2000-03-10,171.76,172.84,171.01,171.92,171.92,10092035
2000-03-13,172.24,176.25,171.02,173.63,173.63,2114550
2000-03-14,169.41,171.28,168.68,169.98,169.98,4190483
2000-03-15,171.92,172.63,170.92,171.78,171.78,5787520
2000-03-16,172.11,172.76,171.53,172.15,172.15,4649454
2000-03-17,170.23,171.37,169.07,170.22,170.22,5710745
2000-03-20,174.3,175.64,173.11,174.37,174.37,6352994
2000-03-21,174.58,176.0,172.18,174.09,174.09,4291913
2000-03-22,176.33,177.51,174.02,175.77,175.77,4724463
2000-03-23,176.18,177.49,174.31,175.9,175.9,2633293
2000-03-24,169.9,172.83,169.07,170.95,170.95,8111233
2000-03-27,165.21,166.35,164.12,165.23,165.23,12477599
2000-03-28,169.44,170.72,167.16,168.94,168.94,10862542
2000-03-29,171.14,172.44,170.57,171.5,171.5,2759371
2000-03-30,174.1,175.33,170.35,172.84,172.84,2864867
2000-03-31,168.15,170.37,167.0,168.68,168.68,5486885
2000-04-03,167.29,168.9,165.65,167.27,167.27,7010443
2000-04-04,162.66,165.34,161.13,163.24,163.24,5251140
2000-04-05,167.1,167.61,166.71,167.16,167.16,3884828
2000-04-06,162.09,162.72,160.18,161.45,161.45,1888196
2000-04-07,162.33,163.5,161.47,162.48,162.48,5756514
2000-04-10,160.79,162.49,159.38,160.94,160.94,10427639
2000-04-11,163.94,164.52,161.92,163.22,163.22,3125814
2000-04-12,165.49,166.89,162.42,164.65,164.65,5133506
2000-04-13,164.53,166.41,163.08,164.74,164.74,3857792
2000-04-14,169.31,169.93,167.77,168.85,168.85,5067841
2000-04-17,173.43,174.07,171.93,173.0,173.0,4038887
2000-04-18,172.95,173.25,171.87,172.56,172.56,8926624
2000-04-19,177.38,178.03,176.82,177.42,177.42,3050816
2000-04-20,174.95,175.51,173.69,174.6,174.6,4820643
2000-04-21,171.14,173.7,169.97,171.84,171.84,2904770
2000-04-24,177.19,178.04,176.2,177.12,177.12,6906846
2000-04-25,175.77,176.88,173.87,175.37,175.37,7389509
2000-04-26,176.22,176.65,175.58,176.11,176.11,3399436
2000-04-27,176.8,178.49,175.0,176.74,176.74,4525515
2000-04-28,173.48,175.26,172.82,174.04,174.04,4438240
2000-05-01,177.08,177.96,174.17,176.07,176.07,5607997
2000-05-02,176.61,177.1,175.43,176.27,176.27,4586702
2000-05-03,173.81,174.51,173.58,174.05,174.05,4191502
2000-05-04,175.16,176.04,174.08,175.06,175.06,4564595
2000-05-05,171.36,173.55,170.56,172.06,172.06,7272518
2000-05-08,172.69,173.71,169.77,171.74,171.74,5278894
2000-05-09,168.83,169.2,167.67,168.44,168.44,5191833
2000-05-10,169.14,170.21,167.68,168.95,168.95,5099800
2000-05-11,171.17,172.56,168.35,170.45,170.45,4721079
2000-05-12,165.46,168.1,163.79,165.94,165.94,8350586
2000-05-15,165.21,167.11,164.13,165.62,165.62,4465563
2000-05-16,162.78,164.01,162.48,163.24,163.24,7336819
2000-05-17,161.52,163.23,159.27,161.25,161.25,3763086
2000-05-18,161.74,162.24,161.45,161.85,161.85,6155161
2000-05-19,160.74,161.27,159.69,160.48,160.48,3651935
2000-05-22,166.11,167.3,164.59,165.94,165.94,8649085
2000-05-23,164.64,165.8,163.34,164.57,164.57,5806648
2000-05-24,164.21,166.63,162.79,164.71,164.71,6070884
2000-05-25,161.77,164.13,160.98,162.55,162.55,7186860
2000-05-26,155.75,156.61,152.93,154.77,154.77,3092508
2000-05-29,154.78,155.85,152.07,153.96,153.96,5065186
2000-05-30,153.61,154.38,152.35,153.37,153.37,5670797
2000-05-31,155.95,156.86,154.55,155.71,155.71,8475684
2000-06-01,159.8,160.71,157.29,159.0,159.0,4505349
2000-06-02,160.54,161.6,158.0,159.8,159.8,5490197
2000-06-05,160.23,160.75,158.84,159.8,159.8,3256714
2000-06-06,157.91,159.66,156.99,158.32,158.32,6435675
2000-06-07,160.22,161.49,158.14,159.82,159.82,8807795
2000-06-08,159.89,161.26,159.47,160.37,160.37,4281466
2000-06-09,158.47,159.39,157.82,158.61,158.61,7455773
2000-06-12,161.37,162.03,159.72,160.88,160.88,6574230
2000-06-13,158.96,159.43,158.59,159.01,159.01,3743414
2000-06-14,162.58,163.64,160.88,162.26,162.26,5805829
2000-06-15,159.94,160.91,158.9,159.91,159.91,3083409
2000-06-16,162.39,163.82,160.62,162.22,162.22,7229582
2000-06-19,162.69,164.51,161.04,162.78,162.78,2389659
2000-06-20,162.85,163.61,160.61,162.11,162.11,7319395
2000-06-21,160.33,163.04,159.24,161.14,161.14,6684180
2000-06-22,162.43,162.43,162.41,162.42,162.42,5100066
2000-06-23,155.02,156.22,154.51,155.37,155.37,3359954
2000-06-26,157.19,158.18,155.48,156.83,156.83,4829963
2000-06-27,164.77,165.44,164.31,164.87,164.87,6437887
2000-06-28,165.54,167.39,164.94,166.17,166.17,5508946
2000-06-29,163.77,164.88,163.08,163.98,163.98,2722819
2000-06-30,163.47,165.14,162.8,163.97,163.97,5374334
2000-07-03,168.86,169.22,167.92,168.57,168.57,7158032
2000-07-04,164.0,164.77,161.78,163.28,163.28,4516254
2000-07-05,165.21,166.53,163.13,164.83,164.83,6586744
2000-07-06,159.75,162.95,158.87,160.91,160.91,5475493
2000-07-07,161.07,162.03,159.33,160.68,160.68,5354509
2000-07-10,161.93,162.87,160.21,161.54,161.54,6520215
2000-07-11,162.35,163.98,160.61,162.3,162.3,3489191
2000-07-12,162.42,163.11,161.52,162.31,162.31,2110474
2000-07-13,164.19,165.49,163.19,164.34,164.34,7074807
2000-07-14,160.88,161.55,160.32,160.93,160.93,5243325
2000-07-17,155.25,157.13,153.15,155.14,155.14,2763154
2000-07-18,150.63,152.26,150.14,151.2,151.2,4566683
2000-07-19,154.06,154.48,152.43,153.46,153.46,5400434
2000-07-20,151.29,152.45,149.6,151.03,151.03,3235910
2000-07-21,150.15,152.68,148.73,150.7,150.7,6651331
2000-07-24,150.45,151.02,148.99,150.0,150.0,6827366
2000-07-25,151.44,152.27,148.2,150.23,150.23,4852029
2000-07-26,153.08,153.59,151.1,152.34,152.34,8817512
2000-07-27,146.98,148.14,145.93,147.03,147.03,5864896
2000-07-28,145.81,146.64,145.06,145.85,145.85,7378291
2000-07-31,149.59,150.14,149.26,149.7,149.7,4017163
2000-08-01,149.99,150.76,148.02,149.39,149.39,8526091
2000-08-02,151.93,152.84,150.65,151.75,151.75,6110353
2000-08-03,156.13,156.88,154.6,155.74,155.74,3149838
2000-08-04,157.35,157.68,156.55,157.11,157.11,5924998
2000-08-07,156.88,157.91,155.4,156.65,156.65,3532043
2000-08-08,152.86,155.25,151.68,153.47,153.47,5787119
2000-08-09,156.4,159.03,154.5,156.76,156.76,3708180
2000-08-10,159.69,161.54,158.41,159.98,159.98,8998374
2000-08-11,158.68,159.26,156.43,157.85,157.85,7382208
2000-08-14,158.33,159.08,156.64,157.86,157.86,3522386
2000-08-15,156.86,157.36,156.28,156.82,156.82,4457857
2000-08-16,164.5,167.12,162.6,164.86,164.86,3206153
2000-08-17,161.06,163.24,160.33,161.78,161.78,6025282
2000-08-18,164.91,166.79,164.1,165.44,165.44,3721484
2000-08-21,162.1,162.75,160.66,161.7,161.7,8097533
2000-08-22,164.19,166.19,161.85,164.02,164.02,3462075
2000-08-23,165.1,166.63,163.5,165.06,165.06,2908532
2000-08-24,167.05,168.27,166.22,167.24,167.24,4710752
2000-08-25,173.55,175.04,171.83,173.44,173.44,7186294
2000-08-28,170.22,172.05,167.86,169.96,169.96,4993451
2000-08-29,174.44,176.9,173.79,175.34,175.34,7115431
2000-08-30,175.9,176.68,173.93,175.31,175.31,5253052
2000-08-31,170.79,171.63,169.93,170.78,170.78,2952296
2000-09-01,167.37,169.45,165.67,167.56,167.56,6397932
2000-09-04,167.27,168.52,166.85,167.68,167.68,5889744
2000-09-05,168.27,169.17,165.85,167.51,167.51,7180443
2000-09-06,168.51,169.96,167.59,168.77,168.77,7785354
2000-09-07,173.43,174.51,170.76,172.64,172.64,4693086
2000-09-08,172.51,173.1,170.93,172.02,172.02,7274006
2000-09-11,173.56,174.34,170.62,172.48,172.48,6109742
2000-09-12,170.59,171.81,169.54,170.68,170.68,10835187
2000-09-13,168.15,169.93,166.76,168.34,168.34,9167460
2000-09-14,171.64,172.7,169.26,170.98,170.98,4017214
2000-09-15,168.05,169.88,167.4,168.64,168.64,2608430
2000-09-18,174.45,174.82,173.36,174.09,174.09,4885134
2000-09-19,174.83,175.8,174.1,174.95,174.95,4148059
2000-09-20,177.35,178.0,176.17,177.08,177.08,8113150
2000-09-21,177.44,180.06,176.32,178.19,178.19,3910947
2000-09-22,184.87,186.89,183.1,184.99,184.99,9273654
2000-09-25,188.77,191.32,186.3,188.81,188.81,6076239
2000-09-26,188.27,189.39,186.22,187.81,187.81,3283157
2000-09-27,182.14,182.91,181.63,182.27,182.27,8047943
2000-09-28,184.69,186.56,182.9,184.73,184.73,3398252
2000-09-29,186.06,187.73,184.42,186.08,186.08,4162016
2000-10-02,184.84,186.4,181.94,184.17,184.17,4374539
2000-10-03,192.37,193.59,190.52,192.05,192.05,10561946
2000-10-04,190.69,191.64,187.07,189.36,189.36,5677769
2000-10-05,183.9,184.79,182.34,183.56,183.56,4546097
2000-10-06,183.29,183.94,181.19,182.56,182.56,4308708
2000-10-09,184.55,185.67,182.38,184.03,184.03,6494350
2000-10-10,188.24,191.47,186.54,189.01,189.01,4018939
2000-10-11,193.48,193.95,192.91,193.43,193.43,9804842
2000-10-12,190.76,193.83,188.84,191.33,191.33,11475507
2000-10-13,187.68,189.53,186.75,188.14,188.14,5555936
2000-10-16,193.93,195.41,193.29,194.35,194.35,4473597
2000-10-17,193.46,195.0,192.01,193.5,193.5,12143792
2000-10-18,186.06,189.71,185.01,187.36,187.36,5724192
2000-10-19,182.29,184.27,179.88,182.08,182.08,4581093
2000-10-20,177.1,179.57,175.61,177.59,177.59,6867011
2000-10-23,182.9,184.11,181.93,183.02,183.02,3879482
2000-10-24,179.77,181.11,179.02,180.06,180.06,3577963
2000-10-25,182.46,182.66,181.81,182.24,182.24,6716034
2000-10-26,186.31,187.02,184.2,185.61,185.61,4838896
2000-10-27,189.27,191.16,188.64,189.9,189.9,4028843
2000-10-30,189.29,190.35,187.41,188.88,188.88,2633343
2000-10-31,190.92,193.55,190.23,191.89,191.89,4801934
2000-11-01,189.36,190.98,188.43,189.71,189.71,4502112
2000-11-02,192.56,193.55,190.86,192.2,192.2,5984446
2000-11-03,194.61,195.48,192.79,194.13,194.13,9696661
2000-11-06,195.28,196.25,193.74,194.99,194.99,5557115
2000-11-07,204.86,206.26,203.72,204.99,204.99,3111547
2000-11-08,202.99,204.98,202.43,203.7,203.7,3208196
2000-11-09,197.69,200.05,195.75,197.9,197.9,5070569
2000-11-10,202.23,203.39,200.02,201.71,201.71,2870494
2000-11-13,201.9,202.9,199.76,201.33,201.33,5668638
2000-11-14,194.54,195.82,194.04,194.93,194.93,6121185
2000-11-15,198.69,199.22,197.84,198.53,198.53,3111926
2000-11-16,201.02,201.84,199.81,200.82,200.82,3392909
2000-11-17,194.04,196.74,192.5,194.62,194.62,7669345
2000-11-20,197.49,197.79,196.68,197.23,197.23,6307885
2000-11-21,202.34,203.78,199.61,201.7,201.7,6866688
2000-11-22,202.61,204.83,201.83,203.33,203.33,3304832
2000-11-23,206.59,208.22,205.38,206.8,206.8,7230678
2000-11-24,208.83,209.99,207.69,208.84,208.84,2556070
2000-11-27,205.4,207.75,203.68,205.71,205.71,4424582
2000-11-28,209.87,210.92,206.91,208.91,208.91,6583730
2000-11-29,211.55,212.53,208.33,210.43,210.43,7030174
2000-11-30,213.5,216.55,212.36,214.46,214.46,3279355
2000-12-01,212.03,213.29,209.05,211.17,211.17,3018608
2000-12-04,213.4,214.93,212.78,213.86,213.86,8171768
2000-12-05,210.69,213.42,209.86,211.64,211.64,3827330
2000-12-06,217.02,218.17,215.91,217.04,217.04,5944996
2000-12-07,227.75,229.59,226.74,228.16,228.16,7257666
2000-12-08,234.25,235.54,231.83,233.68,233.68,7265076
2000-12-11,223.13,226.58,222.26,224.42,224.42,3827716
2000-12-12,229.63,230.57,228.01,229.29,229.29,4853178
2000-12-13,229.63,231.71,226.44,229.08,229.08,12993923
2000-12-14,230.32,232.29,228.55,230.42,230.42,11486431
2000-12-15,226.11,227.68,225.43,226.55,226.55,1054717
2000-12-18,226.51,229.95,225.62,227.79,227.79,4892935
2000-12-19,220.41,222.79,218.38,220.58,220.58,5876841
2000-12-20,217.74,218.91,216.43,217.67,217.67,3836230
2000-12-21,215.7,217.79,214.24,216.01,216.01,4337081
2000-12-22,220.42,221.04,218.24,219.64,219.64,7862144
2000-12-25,219.34,220.78,217.98,219.38,219.38,8052564
2000-12-26,222.49,223.25,221.0,222.13,222.13,6965994
2000-12-27,220.1,221.69,216.8,219.25,219.25,15402472
2000-12-28,215.7,216.41,213.62,215.01,215.01,8319064
2000-12-29,220.08,221.2,218.17,219.68,219.68,5245599
2001-01-01,221.55,223.85,217.83,220.84,220.84,12851311
2001-01-02,218.67,219.17,216.92,218.04,218.04,5732342
2001-01-03,226.24,227.65,223.79,225.72,225.72,3775107
2001-01-04,230.53,231.65,228.83,230.24,230.24,9779141
2001-01-05,225.15,226.6,224.2,225.4,225.4,9167010
2001-01-08,219.78,222.38,217.66,220.02,220.02,2567415
2001-01-09,217.61,219.12,216.39,217.75,217.75,8143988
2001-01-10,218.82,220.06,216.94,218.5,218.5,6460008
2001-01-11,218.55,219.87,217.55,218.71,218.71,10025354
2001-01-12,217.82,219.92,216.38,218.15,218.15,4619232
2001-01-15,224.84,226.33,221.77,224.05,224.05,3050532
2001-01-16,221.58,222.13,220.24,221.18,221.18,9393229
2001-01-17,223.46,224.52,222.57,223.54,223.54,10881442
2001-01-18,233.44,236.71,231.8,234.25,234.25,3857796
2001-01-19,241.06,242.18,239.1,240.64,240.64,6140742
2001-01-22,237.88,240.42,235.99,238.21,238.21,6089987
