,Open,High,Low,Close,Adj Close,Volume
2000-01-03,60.99,61.48,60.5,60.99,60.99,6605152
2000-01-04,62.0,62.5,61.51,62.0,62.0,6327049
2000-01-05,61.52,62.02,61.03,61.52,61.52,7728549
2000-01-06,61.97,62.47,61.47,61.97,61.97,7638012
2000-01-07,61.78,62.28,61.29,61.78,61.78,3183185
2000-01-10,61.16,61.65,60.67,61.16,61.16,8828279
2000-01-11,62.1,62.6,61.6,62.1,62.1,6600075
2000-01-12,62.22,62.72,61.73,62.22,62.22,3963143
2000-01-13,60.75,61.24,60.26,60.75,60.75,5590972
2000-01-14,60.89,61.37,60.4,60.89,60.89,4789738
2000-01-17,61.36,61.85,60.87,61.36,61.36,5074412
2000-01-18,61.39,61.88,60.9,61.39,61.39,11670439
2000-01-19,61.97,62.47,61.47,61.97,61.97,5424696
2000-01-20,63.01,63.51,62.5,63.01,63.01,14161906
2000-01-21,61.64,62.13,61.15,61.64,61.64,7874391
2000-01-24,61.62,62.12,61.13,61.62,61.62,3451941
2000-01-25,61.76,62.25,61.26,61.76,61.76,5267404
2000-01-26,62.44,62.94,61.94,62.44,62.44,4997249
2000-01-27,63.64,64.15,63.13,63.64,63.64,5234516
2000-01-28,62.98,63.48,62.47,62.98,62.98,5818557
2000-01-31,62.25,62.75,61.75,62.25,62.25,7825685
2000-02-01,62.18,62.68,61.68,62.18,62.18,3295515
2000-02-02,63.0,63.5,62.49,63.0,63.0,5725738
2000-02-03,62.65,63.15,62.15,62.65,62.65,5077851
2000-02-04,63.25,63.75,62.74,63.25,63.25,5344742
2000-02-07,65.36,65.89,64.84,65.36,65.36,9815941
2000-02-08,64.93,65.45,64.41,64.93,64.93,3739945
2000-02-09,64.02,64.53,63.51,64.02,64.02,5196308
2000-02-10,63.0,63.5,62.49,63.0,63.0,5468934
2000-02-11,62.47,62.97,61.97,62.47,62.47,8851328
2000-02-14,62.48,62.98,61.98,62.48,62.48,5191235
2000-02-15,62.13,62.63,61.64,62.13,62.13,2224086
2000-02-16,61.53,62.02,61.04,61.53,61.53,2226359
2000-02-17,61.53,62.02,61.04,61.53,61.53,8919006
2000-02-18,60.71,61.19,60.22,60.71,60.71,3528890
2000-02-21,60.63,61.11,60.14,60.63,60.63,7579859
2000-02-22,61.52,62.02,61.03,61.52,61.52,5988987
2000-02-23,61.67,62.16,61.17,61.67,61.67,4710831
2000-02-24,60.6,61.09,60.12,60.6,60.6,4862112
2000-02-25,59.01,59.49,58.54,59.01,59.01,2672803
2000-02-28,58.3,58.76,57.83,58.3,58.3,9791568
2000-02-29,57.62,58.08,57.16,57.62,57.62,2690337
2000-03-01,56.28,56.73,55.83,56.28,56.28,5281153
2000-03-02,56.28,56.73,55.83,56.28,56.28,5742248
2000-03-03,56.2,56.65,55.75,56.2,56.2,9369787
2000-03-06,55.09,55.53,54.65,55.09,55.09,6032803
2000-03-07,55.05,55.49,54.61,55.05,55.05,5678061
2000-03-08,55.76,56.21,55.32,55.76,55.76,3591141
2000-03-09,56.05,56.5,55.6,56.05,56.05,4946494
2000-03-10,55.6,56.04,55.15,55.6,55.6,3567579
2000-03-13,55.75,56.19,55.3,55.75,55.75,3502988
2000-03-14,56.04,56.48,55.59,56.04,56.04,7664107
2000-03-15,56.12,56.57,55.67,56.12,56.12,5210141
2000-03-16,57.1,57.55,56.64,57.1,57.1,11105543
2000-03-17,57.37,57.83,56.91,57.37,57.37,6332572
2000-03-20,57.26,57.72,56.81,57.26,57.26,9881380
2000-03-21,57.31,57.77,56.85,57.31,57.31,4865103
2000-03-22,56.23,56.68,55.78,56.23,56.23,4758493
2000-03-23,57.65,58.11,57.19,57.65,57.65,3206016
2000-03-24,57.3,57.76,56.84,57.3,57.3,2325333
