,Open,High,Low,Close,Adj Close,Volume
2000-01-03,107.38,108.22,105.78,107.0,107.0,5440494
2000-01-04,107.79,108.91,107.05,107.98,107.98,4958189
2000-01-05,107.96,108.53,107.61,108.07,108.07,3225914
2000-01-06,109.74,110.18,108.87,109.53,109.53,5241751
2000-01-07,109.39,110.23,108.56,109.4,109.4,4701381
2000-01-10,107.56,109.54,106.83,108.18,108.18,5288366
2000-01-11,108.41,108.97,107.72,108.34,108.34,8429312
2000-01-12,106.42,107.72,105.69,106.71,106.71,5828576
2000-01-13,107.36,107.81,105.82,106.81,106.81,5628304
2000-01-14,109.32,110.33,109.04,109.69,109.69,3077247
2000-01-17,110.08,111.25,109.44,110.35,110.35,4752954
2000-01-18,110.86,111.49,109.59,110.54,110.54,7047881
2000-01-19,107.03,108.6,105.99,107.29,107.29,3798280
2000-01-20,105.82,106.92,105.54,106.23,106.23,5841103
2000-01-21,103.91,104.06,103.48,103.77,103.77,4177713
2000-01-24,104.7,104.84,104.59,104.71,104.71,5110416
2000-01-25,102.46,103.32,102.0,102.66,102.66,5063823
2000-01-26,103.09,103.64,101.68,102.66,102.66,3101711
2000-01-27,102.64,102.94,101.67,102.31,102.31,5342077
2000-01-28,105.4,106.01,104.63,105.32,105.32,4157417
2000-01-31,103.14,103.36,102.38,102.87,102.87,7397607
2000-02-01,102.23,103.89,101.68,102.78,102.78,2664418
2000-02-02,104.07,105.07,103.16,104.12,104.12,8115056
2000-02-03,103.61,104.38,103.24,103.81,103.81,5711886
2000-02-04,101.64,102.19,100.08,101.14,101.14,7087114
2000-02-07,98.39,98.74,97.4,98.07,98.07,4622413
2000-02-08,97.82,98.57,97.15,97.86,97.86,2731397
2000-02-09,102.55,103.04,100.81,101.93,101.93,2138518
2000-02-10,100.11,101.18,99.69,100.43,100.43,2396034
2000-02-11,102.41,103.36,101.32,102.34,102.34,2635551
2000-02-14,101.94,103.5,101.35,102.43,102.43,4927437
2000-02-15,105.56,105.81,104.83,105.32,105.32,6741260
2000-02-16,103.09,103.74,102.32,103.03,103.03,4929696
2000-02-17,103.36,104.17,103.05,103.61,103.61,5277972
2000-02-18,106.44,106.6,106.4,106.5,106.5,5745130
2000-02-21,107.97,109.34,107.59,108.46,108.46,4051365
2000-02-22,106.74,107.77,106.31,107.04,107.04,2849232
2000-02-23,107.12,108.17,106.61,107.39,107.39,8633088
2000-02-24,104.38,104.82,104.01,104.42,104.42,4629027
2000-02-25,104.6,104.8,103.87,104.34,104.34,6324193
2000-02-28,105.18,105.42,104.44,104.93,104.93,3250070
2000-02-29,105.17,106.19,104.23,105.21,105.21,4684461
2000-03-01,102.21,103.39,101.25,102.32,102.32,3086018
2000-03-02,102.26,103.13,101.65,102.39,102.39,6198948
2000-03-03,104.38,104.83,103.01,103.92,103.92,5658430
2000-03-06,103.57,103.97,103.39,103.68,103.68,9687063
2000-03-07,101.64,102.25,100.99,101.62,101.62,4126326
2000-03-08,99.6,100.88,99.04,99.96,99.96,5288763
2000-03-09,100.19,100.99,98.9,99.95,99.95,4062558
2000-03-10,98.01,99.08,97.35,98.22,98.22,5127313
2000-03-13,99.92,101.14,99.62,100.38,100.38,7013087
2000-03-14,101.03,101.82,100.62,101.22,101.22,3726228
2000-03-15,100.53,101.49,99.64,100.56,100.56,7818490
2000-03-16,98.77,100.09,98.21,99.15,99.15,4681498
2000-03-17,97.09,97.8,96.41,97.11,97.11,5984931
2000-03-20,98.72,99.05,97.46,98.25,98.25,5931092
2000-03-21,98.94,100.58,98.09,99.33,99.33,3575511
2000-03-22,96.73,98.05,95.7,96.87,96.87,7187033
2000-03-23,96.6,97.03,95.42,96.23,96.23,3610020
2000-03-24,98.04,98.57,97.17,97.87,97.87,6308603
2000-03-27,100.34,101.06,99.17,100.12,100.12,3803242
2000-03-28,99.83,101.27,99.06,100.17,100.17,7134558
2000-03-29,98.16,98.63,97.39,98.01,98.01,6250210
2000-03-30,96.25,97.47,95.86,96.67,96.67,5345711
2000-03-31,96.48,98.06,95.17,96.61,96.61,12951485
2000-04-03,96.23,97.18,94.98,96.08,96.08,3614040
2000-04-04,97.7,99.34,97.22,98.28,98.28,4193766
2000-04-05,96.19,97.3,95.7,96.5,96.5,5728396
2000-04-06,97.83,98.47,97.53,98.0,98.0,5683654
2000-04-07,98.99,99.42,98.33,98.87,98.87,10011177
2000-04-10,100.99,101.84,100.26,101.05,101.05,3430178
