,Open,High,Low,Close,Adj Close,Volume
2000-01-03,57.81,58.34,57.66,58.0,58.0,8831077
2000-01-04,57.47,57.87,57.27,57.57,57.57,3702411
2000-01-05,57.82,58.29,57.6,57.94,57.94,3350936
2000-01-06,58.47,58.58,58.27,58.42,58.42,4566194
2000-01-07,58.19,58.48,57.58,58.03,58.03,4999788
2000-01-10,57.75,58.37,57.44,57.9,57.9,3106760
2000-01-11,58.49,58.7,57.93,58.31,58.31,2551202
2000-01-12,58.3,59.24,57.85,58.54,58.54,6890307
2000-01-13,58.19,58.77,57.45,58.11,58.11,4138710
2000-01-14,57.62,58.03,57.27,57.65,57.65,7869069
2000-01-17,57.71,58.17,57.26,57.71,57.71,6454270
2000-01-18,57.67,58.28,57.22,57.75,57.75,5471172
2000-01-19,56.71,57.09,56.35,56.72,56.72,4493837
2000-01-20,57.1,57.31,56.92,57.11,57.11,7616433
2000-01-21,57.42,57.53,57.14,57.34,57.34,3648819
2000-01-24,57.59,57.85,57.03,57.44,57.44,12028570
2000-01-25,58.1,58.44,57.88,58.16,58.16,4738474
2000-01-26,59.18,59.45,58.34,58.89,58.89,8335570
2000-01-27,57.97,58.65,57.16,57.91,57.91,7146578
2000-01-28,57.65,58.0,57.54,57.77,57.77,7468655
2000-01-31,58.65,59.5,57.98,58.74,58.74,6384716
2000-02-01,57.56,58.6,57.12,57.86,57.86,6845341
2000-02-02,56.05,56.94,55.79,56.36,56.36,7232615
2000-02-03,56.8,57.13,56.42,56.78,56.78,3439689
2000-02-04,57.24,57.92,56.72,57.32,57.32,10990787
2000-02-07,56.92,57.14,56.8,56.97,56.97,5489333
2000-02-08,56.66,57.24,55.96,56.6,56.6,4760092
2000-02-09,57.46,57.77,56.67,57.22,57.22,6366050
2000-02-10,57.99,58.37,57.03,57.7,57.7,3540330
2000-02-11,57.09,57.41,56.19,56.8,56.8,9623987
2000-02-14,56.95,57.34,56.57,56.95,56.95,6709181
2000-02-15,56.34,56.61,56.19,56.4,56.4,11133149
2000-02-16,56.53,56.93,55.99,56.46,56.46,3917418
2000-02-17,56.58,56.73,56.17,56.45,56.45,9091687
2000-02-18,57.27,57.54,57.13,57.33,57.33,7314215
2000-02-21,57.66,58.15,56.84,57.49,57.49,3726637
2000-02-22,58.46,58.69,57.65,58.17,58.17,3171290
2000-02-23,57.66,58.02,57.46,57.74,57.74,7171638
2000-02-24,58.45,59.21,58.06,58.63,58.63,2365588
2000-02-25,58.17,58.32,57.81,58.06,58.06,4105766
2000-02-28,59.08,59.25,58.69,58.97,58.97,6883816
2000-02-29,59.28,60.08,58.88,59.48,59.48,6971633
2000-03-01,59.79,60.2,58.91,59.55,59.55,6216724
2000-03-02,59.05,59.38,58.63,59.01,59.01,5490667
2000-03-03,58.96,59.63,58.58,59.1,59.1,7808544
2000-03-06,59.3,59.56,58.39,58.98,58.98,1800737
2000-03-07,59.4,59.75,58.44,59.1,59.1,6310807
2000-03-08,59.4,60.13,58.96,59.55,59.55,3841240
2000-03-09,59.75,60.23,59.25,59.74,59.74,4488942
2000-03-10,58.83,59.02,58.59,58.81,58.81,4436250
2000-03-13,58.68,59.03,58.58,58.8,58.8,4289049
