,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.51,9.59,9.44,9.51,9.51,4507550
2000-01-04,9.47,9.55,9.4,9.47,9.47,3700554
2000-01-05,9.35,9.43,9.28,9.35,9.35,9133063
2000-01-06,9.36,9.43,9.28,9.36,9.36,12804363
2000-01-07,9.31,9.38,9.23,9.31,9.31,3758249
2000-01-10,9.26,9.34,9.19,9.26,9.26,7403850
2000-01-11,9.29,9.36,9.21,9.29,9.29,6218471
2000-01-12,9.37,9.44,9.29,9.37,9.37,3663411
2000-01-13,9.38,9.46,9.31,9.38,9.38,6562607
2000-01-14,9.42,9.49,9.34,9.42,9.42,4563150
2000-01-17,9.41,9.48,9.33,9.41,9.41,4471084
2000-01-18,9.29,9.36,9.21,9.29,9.29,3196406
2000-01-19,9.27,9.34,9.2,9.27,9.27,6837920
2000-01-20,9.32,9.39,9.24,9.32,9.32,6928115
2000-01-21,9.13,9.2,9.05,9.13,9.13,6684052
2000-01-24,9.28,9.35,9.21,9.28,9.28,12745335
2000-01-25,9.27,9.34,9.2,9.27,9.27,4879395
2000-01-26,9.39,9.46,9.31,9.39,9.39,3137482
2000-01-27,9.5,9.58,9.43,9.5,9.5,5174223
2000-01-28,9.57,9.64,9.49,9.57,9.57,2975036
2000-01-31,9.45,9.53,9.38,9.45,9.45,2070825
2000-02-01,9.27,9.34,9.19,9.27,9.27,4139499
2000-02-02,9.53,9.6,9.45,9.53,9.53,5925095
2000-02-03,9.77,9.85,9.7,9.77,9.77,7799075
2000-02-04,9.61,9.69,9.54,9.61,9.61,2445422
2000-02-07,9.59,9.67,9.51,9.59,9.59,6980864
2000-02-08,9.58,9.66,9.51,9.58,9.58,3901892
2000-02-09,9.78,9.86,9.7,9.78,9.78,4215235
2000-02-10,9.99,10.07,9.91,9.99,9.99,3831767
2000-02-11,10.05,10.13,9.97,10.05,10.05,6131509
2000-02-14,10.18,10.26,10.1,10.18,10.18,4455292
2000-02-15,10.23,10.31,10.15,10.23,10.23,5316261
2000-02-16,10.11,10.19,10.03,10.11,10.11,7613466
2000-02-17,10.21,10.29,10.13,10.21,10.21,5476701
2000-02-18,10.19,10.28,10.11,10.19,10.19,13398248
2000-02-21,10.11,10.19,10.03,10.11,10.11,8150584
2000-02-22,9.94,10.02,9.86,9.94,9.94,5476086
2000-02-23,9.87,9.95,9.79,9.87,9.87,6552235
2000-02-24,9.96,10.04,9.88,9.96,9.96,7259299
2000-02-25,9.89,9.97,9.81,9.89,9.89,7927925
2000-02-28,10.01,10.09,9.93,10.01,10.01,4264045
2000-02-29,10.06,10.14,9.98,10.06,10.06,4008028
2000-03-01,9.81,9.88,9.73,9.81,9.81,2141209
2000-03-02,9.63,9.7,9.55,9.63,9.63,9866653
2000-03-03,9.89,9.97,9.81,9.89,9.89,3054429
2000-03-06,9.48,9.56,9.41,9.48,9.48,6170634
2000-03-07,9.43,9.5,9.35,9.43,9.43,5614238
2000-03-08,9.63,9.71,9.55,9.63,9.63,10372023
2000-03-09,9.61,9.69,9.53,9.61,9.61,3039796
2000-03-10,9.35,9.42,9.27,9.35,9.35,8805688
2000-03-13,9.24,9.32,9.17,9.24,9.24,2817782
2000-03-14,9.18,9.26,9.11,9.18,9.18,6672245
2000-03-15,9.21,9.29,9.14,9.21,9.21,10291084
2000-03-16,9.3,9.38,9.23,9.3,9.3,5456581
