,Open,High,Low,Close,Adj Close,Volume
2000-01-03,4.51,4.55,4.48,4.51,4.51,7043460
2000-01-04,4.52,4.56,4.48,4.52,4.52,8026477
2000-01-05,4.45,4.49,4.41,4.45,4.45,7348498
2000-01-06,4.47,4.5,4.43,4.47,4.47,6674037
2000-01-07,4.58,4.61,4.54,4.58,4.58,2819869
2000-01-10,4.62,4.65,4.58,4.62,4.62,3223448
2000-01-11,4.66,4.7,4.62,4.66,4.66,7156862
2000-01-12,4.55,4.59,4.51,4.55,4.55,3821421
2000-01-13,4.69,4.73,4.65,4.69,4.69,4956037
2000-01-14,4.68,4.72,4.64,4.68,4.68,3210205
2000-01-17,4.72,4.76,4.68,4.72,4.72,4617777
2000-01-18,4.66,4.7,4.62,4.66,4.66,9117658
2000-01-19,4.63,4.66,4.59,4.63,4.63,5089417
2000-01-20,4.61,4.65,4.58,4.61,4.61,10496669
2000-01-21,4.66,4.7,4.63,4.66,4.66,4484996
2000-01-24,4.66,4.69,4.62,4.66,4.66,5566138
2000-01-25,4.72,4.76,4.68,4.72,4.72,7144415
2000-01-26,4.73,4.77,4.69,4.73,4.73,4347812
2000-01-27,4.81,4.85,4.78,4.81,4.81,3555943
2000-01-28,4.66,4.7,4.62,4.66,4.66,6028898
2000-01-31,4.53,4.56,4.49,4.53,4.53,5705994
2000-02-01,4.58,4.61,4.54,4.58,4.58,3357922
2000-02-02,4.56,4.6,4.52,4.56,4.56,5346251
2000-02-03,4.7,4.73,4.66,4.7,4.7,5678681
2000-02-04,4.51,4.55,4.48,4.51,4.51,4248089
2000-02-07,4.58,4.62,4.55,4.58,4.58,6290310
2000-02-08,4.55,4.59,4.52,4.55,4.55,3409015
2000-02-09,4.63,4.67,4.59,4.63,4.63,3778053
2000-02-10,4.62,4.66,4.59,4.62,4.62,10592385
2000-02-11,4.5,4.54,4.46,4.5,4.5,5028062
2000-02-14,4.52,4.56,4.48,4.52,4.52,10943003
2000-02-15,4.53,4.57,4.5,4.53,4.53,3977655
2000-02-16,4.51,4.54,4.47,4.51,4.51,8825923
2000-02-17,4.44,4.48,4.41,4.44,4.44,4932298
2000-02-18,4.4,4.44,4.37,4.4,4.4,9813553
2000-02-21,4.36,4.39,4.32,4.36,4.36,5193457
2000-02-22,4.35,4.39,4.32,4.35,4.35,3270782
2000-02-23,4.32,4.36,4.29,4.32,4.32,6332650
2000-02-24,4.29,4.33,4.26,4.29,4.29,3676173
2000-02-25,4.29,4.32,4.25,4.29,4.29,4547649
2000-02-28,4.26,4.29,4.22,4.26,4.26,6656710
2000-02-29,4.18,4.21,4.14,4.18,4.18,4650995
2000-03-01,4.29,4.32,4.25,4.29,4.29,3753120
2000-03-02,4.32,4.36,4.29,4.32,4.32,3259659
2000-03-03,4.36,4.4,4.33,4.36,4.36,2958837
2000-03-06,4.37,4.41,4.34,4.37,4.37,6975426
2000-03-07,4.46,4.5,4.42,4.46,4.46,4724402
2000-03-08,4.29,4.32,4.25,4.29,4.29,5420421
2000-03-09,4.5,4.53,4.46,4.5,4.5,2050754
2000-03-10,4.6,4.64,4.57,4.6,4.6,4235486
2000-03-13,4.64,4.67,4.6,4.64,4.64,6906386
2000-03-14,4.62,4.66,4.59,4.62,4.62,7647023
2000-03-15,4.74,4.77,4.7,4.74,4.74,5202203
2000-03-16,4.7,4.73,4.66,4.7,4.7,4013303
2000-03-17,4.72,4.76,4.68,4.72,4.72,3487920
2000-03-20,4.78,4.82,4.74,4.78,4.78,5288275
2000-03-21,4.71,4.75,4.67,4.71,4.71,3667745
2000-03-22,4.72,4.76,4.69,4.72,4.72,5056687
2000-03-23,4.74,4.78,4.7,4.74,4.74,13916936
2000-03-24,4.73,4.77,4.69,4.73,4.73,7331048
2000-03-27,4.73,4.77,4.69,4.73,4.73,6066422
2000-03-28,4.71,4.75,4.67,4.71,4.71,10102204
2000-03-29,4.54,4.57,4.5,4.54,4.54,5281925
2000-03-30,4.54,4.58,4.51,4.54,4.54,2082667
2000-03-31,4.59,4.62,4.55,4.59,4.59,3277150
2000-04-03,4.55,4.59,4.51,4.55,4.55,7526756
2000-04-04,4.63,4.67,4.59,4.63,4.63,12072235
2000-04-05,4.69,4.73,4.65,4.69,4.69,6179282
2000-04-06,4.68,4.72,4.64,4.68,4.68,4242286
2000-04-07,4.55,4.59,4.52,4.55,4.55,6925274
2000-04-10,4.54,4.58,4.51,4.54,4.54,4622166
2000-04-11,4.48,4.52,4.45,4.48,4.48,9041072
2000-04-12,4.42,4.46,4.38,4.42,4.42,2815251
2000-04-13,4.45,4.48,4.41,4.45,4.45,5158952
2000-04-14,4.27,4.3,4.24,4.27,4.27,4432305
2000-04-17,4.17,4.21,4.14,4.17,4.17,7053432
2000-04-18,4.15,4.19,4.12,4.15,4.15,4463315
2000-04-19,4.19,4.22,4.15,4.19,4.19,3854329
2000-04-20,4.2,4.23,4.16,4.2,4.2,5040879
2000-04-21,4.17,4.21,4.14,4.17,4.17,7900884
2000-04-24,4.22,4.26,4.19,4.22,4.22,5892336
2000-04-25,4.21,4.24,4.18,4.21,4.21,3245961
2000-04-26,4.31,4.34,4.27,4.31,4.31,2499506
2000-04-27,4.39,4.43,4.36,4.39,4.39,5428705
2000-04-28,4.49,4.52,4.45,4.49,4.49,3480239
2000-05-01,4.51,4.54,4.47,4.51,4.51,10695216
2000-05-02,4.53,4.56,4.49,4.53,4.53,3425704
2000-05-03,4.63,4.66,4.59,4.63,4.63,4862495
2000-05-04,4.54,4.58,4.5,4.54,4.54,5319194
2000-05-05,4.5,4.53,4.46,4.5,4.5,5036295
2000-05-08,4.6,4.64,4.56,4.6,4.6,6204006
2000-05-09,4.54,4.58,4.51,4.54,4.54,4342804
2000-05-10,4.55,4.58,4.51,4.55,4.55,5257763
2000-05-11,4.6,4.64,4.56,4.6,4.6,2233341
2000-05-12,4.6,4.63,4.56,4.6,4.6,5980610
2000-05-15,4.55,4.59,4.51,4.55,4.55,10118992
2000-05-16,4.59,4.63,4.55,4.59,4.59,3117280
2000-05-17,4.55,4.59,4.52,4.55,4.55,7188215
2000-05-18,4.65,4.68,4.61,4.65,4.65,3285097
2000-05-19,4.63,4.67,4.6,4.63,4.63,5441223
2000-05-22,4.6,4.63,4.56,4.6,4.6,6886193
2000-05-23,4.61,4.64,4.57,4.61,4.61,10185408
2000-05-24,4.6,4.63,4.56,4.6,4.6,3242393
2000-05-25,4.61,4.65,4.57,4.61,4.61,12801125
2000-05-26,4.68,4.72,4.64,4.68,4.68,3029910
2000-05-29,4.65,4.69,4.62,4.65,4.65,8069787
2000-05-30,4.74,4.78,4.7,4.74,4.74,6482864
2000-05-31,4.85,4.89,4.81,4.85,4.85,2386155
2000-06-01,4.79,4.83,4.75,4.79,4.79,6030032
2000-06-02,4.79,4.83,4.75,4.79,4.79,4812343
2000-06-05,4.81,4.85,4.77,4.81,4.81,6647022
