,Open,High,Low,Close,Adj Close,Volume
2000-01-03,0.04,0.04,0.04,0.04,0.04,5043082
2000-01-04,0.04,0.04,0.04,0.04,0.04,3650891
2000-01-05,0.04,0.04,0.04,0.04,0.04,3710775
2000-01-06,0.04,0.04,0.04,0.04,0.04,6511201
2000-01-07,0.04,0.04,0.04,0.04,0.04,5237448
2000-01-10,0.04,0.04,0.04,0.04,0.04,5655777
2000-01-11,0.04,0.04,0.04,0.04,0.04,5776189
2000-01-12,0.04,0.04,0.04,0.04,0.04,6191152
2000-01-13,0.04,0.04,0.04,0.04,0.04,4908740
2000-01-14,0.04,0.04,0.04,0.04,0.04,6334395
2000-01-17,0.04,0.04,0.04,0.04,0.04,7307900
2000-01-18,0.04,0.04,0.04,0.04,0.04,3018849
2000-01-19,0.04,0.04,0.04,0.04,0.04,7161680
2000-01-20,0.04,0.04,0.04,0.04,0.04,2813445
2000-01-21,0.04,0.04,0.04,0.04,0.04,5509612
2000-01-24,0.04,0.04,0.04,0.04,0.04,3673329
2000-01-25,0.04,0.04,0.04,0.04,0.04,9571519
2000-01-26,0.04,0.04,0.04,0.04,0.04,7276544
2000-01-27,0.04,0.04,0.04,0.04,0.04,4277100
2000-01-28,0.04,0.04,0.04,0.04,0.04,1883434
2000-01-31,0.04,0.04,0.04,0.04,0.04,3017296
2000-02-01,0.04,0.04,0.04,0.04,0.04,3617814
2000-02-02,0.04,0.04,0.04,0.04,0.04,4044208
2000-02-03,0.04,0.04,0.04,0.04,0.04,2923348
2000-02-04,0.04,0.04,0.04,0.04,0.04,3442904
2000-02-07,0.04,0.04,0.04,0.04,0.04,4876102
2000-02-08,0.04,0.04,0.04,0.04,0.04,5811825
2000-02-09,0.04,0.04,0.04,0.04,0.04,7267937
2000-02-10,0.04,0.04,0.04,0.04,0.04,3266563
2000-02-11,0.04,0.04,0.04,0.04,0.04,4845472
2000-02-14,0.05,0.05,0.04,0.05,0.05,4127625
2000-02-15,0.04,0.05,0.04,0.04,0.04,6955333
2000-02-16,0.04,0.05,0.04,0.04,0.04,6354820
2000-02-17,0.04,0.04,0.04,0.04,0.04,5379940
2000-02-18,0.04,0.04,0.04,0.04,0.04,4373034
2000-02-21,0.04,0.04,0.04,0.04,0.04,7779546
2000-02-22,0.04,0.04,0.04,0.04,0.04,9887278
2000-02-23,0.04,0.04,0.04,0.04,0.04,6950829
2000-02-24,0.04,0.04,0.04,0.04,0.04,4345270
2000-02-25,0.04,0.04,0.04,0.04,0.04,4898171
2000-02-28,0.04,0.04,0.04,0.04,0.04,2718093
2000-02-29,0.04,0.05,0.04,0.04,0.04,5029093
2000-03-01,0.05,0.05,0.04,0.05,0.05,4632665
2000-03-02,0.04,0.05,0.04,0.04,0.04,3391914
2000-03-03,0.04,0.04,0.04,0.04,0.04,6166284
2000-03-06,0.05,0.05,0.05,0.05,0.05,10650427
2000-03-07,0.05,0.05,0.05,0.05,0.05,4375077
2000-03-08,0.04,0.05,0.04,0.04,0.04,4637203
2000-03-09,0.05,0.05,0.05,0.05,0.05,5202740
2000-03-10,0.04,0.04,0.04,0.04,0.04,7424986
2000-03-13,0.05,0.05,0.04,0.05,0.05,3401768
2000-03-14,0.04,0.04,0.04,0.04,0.04,3688650
2000-03-15,0.04,0.04,0.04,0.04,0.04,4403223
2000-03-16,0.04,0.04,0.04,0.04,0.04,2901383
2000-03-17,0.04,0.04,0.04,0.04,0.04,6109225
2000-03-20,0.04,0.04,0.04,0.04,0.04,4435798
2000-03-21,0.04,0.04,0.04,0.04,0.04,6832964
2000-03-22,0.04,0.04,0.04,0.04,0.04,6673789
2000-03-23,0.04,0.04,0.04,0.04,0.04,4094884
2000-03-24,0.04,0.04,0.04,0.04,0.04,2744874
2000-03-27,0.04,0.04,0.04,0.04,0.04,6255326
2000-03-28,0.04,0.04,0.04,0.04,0.04,4247401
2000-03-29,0.04,0.04,0.04,0.04,0.04,4856620
2000-03-30,0.04,0.04,0.04,0.04,0.04,4820757
2000-03-31,0.04,0.04,0.04,0.04,0.04,7457216
2000-04-03,0.04,0.04,0.04,0.04,0.04,5961432
2000-04-04,0.04,0.04,0.04,0.04,0.04,6235313
2000-04-05,0.04,0.04,0.04,0.04,0.04,5628505
2000-04-06,0.04,0.04,0.04,0.04,0.04,3452196
2000-04-07,0.04,0.04,0.04,0.04,0.04,3774144
2000-04-10,0.04,0.04,0.04,0.04,0.04,2687948
2000-04-11,0.04,0.04,0.04,0.04,0.04,3070887
2000-04-12,0.04,0.04,0.04,0.04,0.04,5792081
2000-04-13,0.04,0.04,0.04,0.04,0.04,4427586
2000-04-14,0.04,0.04,0.04,0.04,0.04,8940471
2000-04-17,0.04,0.04,0.04,0.04,0.04,4384136
2000-04-18,0.04,0.04,0.04,0.04,0.04,5653046
2000-04-19,0.04,0.04,0.04,0.04,0.04,3461526
2000-04-20,0.04,0.04,0.04,0.04,0.04,5726061
2000-04-21,0.04,0.04,0.04,0.04,0.04,5269729
2000-04-24,0.04,0.04,0.04,0.04,0.04,10044888
2000-04-25,0.04,0.04,0.04,0.04,0.04,8612142
2000-04-26,0.04,0.04,0.04,0.04,0.04,4193499
2000-04-27,0.04,0.04,0.04,0.04,0.04,5139076
2000-04-28,0.04,0.04,0.04,0.04,0.04,4601616
2000-05-01,0.04,0.04,0.04,0.04,0.04,4324942
2000-05-02,0.04,0.04,0.04,0.04,0.04,5053416
2000-05-03,0.04,0.04,0.04,0.04,0.04,6640124
2000-05-04,0.04,0.04,0.04,0.04,0.04,3126479
2000-05-05,0.04,0.04,0.04,0.04,0.04,5263185
2000-05-08,0.04,0.04,0.04,0.04,0.04,7833370
2000-05-09,0.04,0.04,0.04,0.04,0.04,7120003
