,Open,High,Low,Close,Adj Close,Volume
2000-01-03,17.62,17.76,17.47,17.62,17.62,3114358
2000-01-04,17.72,17.86,17.57,17.72,17.72,3651448
2000-01-05,17.73,17.87,17.59,17.73,17.73,4639440
2000-01-06,17.99,18.14,17.85,17.99,17.99,4879845
2000-01-07,17.96,18.11,17.82,17.96,17.96,8690223
2000-01-10,17.77,17.91,17.63,17.77,17.77,4153682
2000-01-11,17.66,17.8,17.52,17.66,17.66,6788076
2000-01-12,17.53,17.67,17.39,17.53,17.53,8419789
2000-01-13,17.59,17.73,17.45,17.59,17.59,8200682
2000-01-14,17.85,18.0,17.71,17.85,17.85,5456996
2000-01-17,17.59,17.73,17.45,17.59,17.59,5465287
2000-01-18,17.72,17.87,17.58,17.72,17.72,11550228
2000-01-19,17.76,17.9,17.62,17.76,17.76,8057213
2000-01-20,17.89,18.04,17.75,17.89,17.89,6133018
2000-01-21,17.84,17.98,17.69,17.84,17.84,4475197
2000-01-24,17.95,18.09,17.81,17.95,17.95,4265112
2000-01-25,17.48,17.62,17.34,17.48,17.48,4792106
2000-01-26,17.77,17.92,17.63,17.77,17.77,8406474
2000-01-27,18.25,18.39,18.1,18.25,18.25,2606250
2000-01-28,18.18,18.32,18.03,18.18,18.18,5024078
2000-01-31,18.51,18.66,18.36,18.51,18.51,6425723
2000-02-01,18.51,18.65,18.36,18.51,18.51,4676778
2000-02-02,18.53,18.68,18.38,18.53,18.53,5862387
2000-02-03,18.22,18.36,18.07,18.22,18.22,7127589
2000-02-04,18.19,18.33,18.04,18.19,18.19,5764793
2000-02-07,18.42,18.57,18.28,18.42,18.42,3450157
2000-02-08,18.49,18.64,18.34,18.49,18.49,3468264
2000-02-09,18.52,18.67,18.37,18.52,18.52,4399303
2000-02-10,18.42,18.57,18.28,18.42,18.42,2274950
2000-02-11,18.63,18.78,18.48,18.63,18.63,4884598
2000-02-14,18.33,18.47,18.18,18.33,18.33,4218913
2000-02-15,18.26,18.41,18.12,18.26,18.26,6475708
2000-02-16,18.6,18.75,18.45,18.6,18.6,4607332
2000-02-17,18.81,18.96,18.66,18.81,18.81,2376833
2000-02-18,18.69,18.84,18.54,18.69,18.69,5547187
2000-02-21,18.33,18.47,18.18,18.33,18.33,3218380
2000-02-22,18.33,18.48,18.19,18.33,18.33,6202368
2000-02-23,18.33,18.48,18.19,18.33,18.33,4043716
2000-02-24,18.96,19.11,18.81,18.96,18.96,6593458
2000-02-25,18.74,18.89,18.59,18.74,18.74,6951648
2000-02-28,18.77,18.92,18.62,18.77,18.77,5974004
2000-02-29,18.83,18.98,18.68,18.83,18.83,7029374
2000-03-01,18.97,19.12,18.82,18.97,18.97,4586361
2000-03-02,18.35,18.49,18.2,18.35,18.35,7227192
2000-03-03,18.71,18.86,18.56,18.71,18.71,5896459
2000-03-06,18.69,18.84,18.54,18.69,18.69,7002959
2000-03-07,18.42,18.56,18.27,18.42,18.42,5463752
2000-03-08,18.17,18.32,18.03,18.17,18.17,5573682
2000-03-09,17.81,17.96,17.67,17.81,17.81,4230431
2000-03-10,17.89,18.03,17.74,17.89,17.89,6088367
2000-03-13,18.03,18.18,17.89,18.03,18.03,8654462
2000-03-14,18.04,18.18,17.9,18.04,18.04,10760893
2000-03-15,18.48,18.63,18.33,18.48,18.48,2726371
2000-03-16,18.81,18.96,18.66,18.81,18.81,5208461
2000-03-17,18.87,19.02,18.72,18.87,18.87,11108422
2000-03-20,18.88,19.03,18.73,18.88,18.88,3343990
2000-03-21,18.88,19.03,18.73,18.88,18.88,3833118
2000-03-22,18.88,19.03,18.73,18.88,18.88,4565312
2000-03-23,19.42,19.58,19.27,19.42,19.42,3776948
2000-03-24,19.18,19.34,19.03,19.18,19.18,5274362
2000-03-27,19.56,19.72,19.41,19.56,19.56,6097079
2000-03-28,19.3,19.45,19.14,19.3,19.3,4378282
2000-03-29,19.22,19.38,19.07,19.22,19.22,7716017
2000-03-30,19.04,19.19,18.88,19.04,19.04,4588537
2000-03-31,18.66,18.81,18.51,18.66,18.66,4948189
2000-04-03,18.95,19.1,18.8,18.95,18.95,5277811
2000-04-04,19.15,19.3,18.99,19.15,19.15,7234700
2000-04-05,18.65,18.8,18.5,18.65,18.65,5492114
2000-04-06,18.37,18.52,18.22,18.37,18.37,9599920
2000-04-07,18.93,19.09,18.78,18.93,18.93,10818015
2000-04-10,19.12,19.27,18.97,19.12,19.12,7979391
2000-04-11,19.18,19.33,19.03,19.18,19.18,3933626
2000-04-12,19.27,19.43,19.12,19.27,19.27,5896274
2000-04-13,19.04,19.19,18.88,19.04,19.04,6484282
2000-04-14,19.32,19.47,19.16,19.32,19.32,2062414
2000-04-17,18.74,18.89,18.59,18.74,18.74,5573899
2000-04-18,18.73,18.88,18.58,18.73,18.73,3276902
2000-04-19,18.5,18.65,18.35,18.5,18.5,4985273
2000-04-20,18.6,18.75,18.45,18.6,18.6,3120166
2000-04-21,18.81,18.96,18.66,18.81,18.81,1765420
2000-04-24,18.53,18.67,18.38,18.53,18.53,3864798
2000-04-25,18.47,18.62,18.32,18.47,18.47,3148400
2000-04-26,18.46,18.6,18.31,18.46,18.46,3663090
2000-04-27,18.56,18.71,18.41,18.56,18.56,5905416
2000-04-28,18.32,18.47,18.17,18.32,18.32,6030999
2000-05-01,18.27,18.42,18.13,18.27,18.27,8426503
