,Open,High,Low,Close,Adj Close,Volume
2000-01-03,134.11,135.05,132.95,134.0,134.0,6444790
2000-01-04,132.22,133.77,131.51,132.64,132.64,8755863
2000-01-05,133.49,134.18,133.31,133.74,133.74,12597639
2000-01-06,135.72,136.25,133.71,134.98,134.98,15320963
2000-01-07,131.66,132.36,129.12,130.74,130.74,8261039
2000-01-10,124.8,125.13,123.68,124.41,124.41,6218914
2000-01-11,123.94,124.49,122.67,123.58,123.58,6372950
2000-01-12,125.55,126.06,124.61,125.33,125.33,2213789
2000-01-13,121.87,122.78,121.09,121.94,121.94,9304665
2000-01-14,128.44,128.65,127.73,128.19,128.19,8866132
2000-01-17,129.92,130.39,129.07,129.73,129.73,5444673
2000-01-18,132.1,133.0,130.71,131.85,131.85,5056641
2000-01-19,132.21,133.22,131.09,132.16,132.16,7837590
2000-01-20,130.88,131.56,129.72,130.64,130.64,4045110
2000-01-21,130.78,131.0,129.97,130.48,130.48,4353274
2000-01-24,134.63,135.77,134.06,134.92,134.92,3458337
2000-01-25,134.47,136.91,133.7,135.31,135.31,7304940
2000-01-26,136.48,138.83,133.94,136.38,136.38,7956574
2000-01-27,134.87,136.59,133.96,135.28,135.28,5331702
2000-01-28,136.47,137.95,135.48,136.71,136.71,4659198
2000-01-31,136.23,137.28,135.83,136.55,136.55,4987795
2000-02-01,139.76,140.19,138.53,139.36,139.36,5324578
2000-02-02,141.26,142.93,140.64,141.78,141.78,3777821
2000-02-03,142.85,143.45,141.74,142.59,142.59,2994576
2000-02-04,142.62,143.69,140.76,142.22,142.22,11562095
2000-02-07,144.77,145.42,142.6,144.01,144.01,5606105
2000-02-08,146.52,148.24,145.74,146.99,146.99,7611428
2000-02-09,140.83,141.01,140.22,140.62,140.62,8712580
2000-02-10,145.33,146.12,143.38,144.75,144.75,5896449
2000-02-11,143.51,144.05,141.53,142.79,142.79,8411287
2000-02-14,143.07,145.51,142.15,143.83,143.83,7400503
2000-02-15,142.07,144.32,141.13,142.73,142.73,9214186
2000-02-16,146.12,146.86,144.73,145.79,145.79,3556122
2000-02-17,146.02,146.43,145.85,146.14,146.14,12988074
2000-02-18,147.47,148.01,145.4,146.71,146.71,3336177
2000-02-21,145.49,148.27,144.36,146.32,146.32,4810729
2000-02-22,149.18,150.25,146.74,148.5,148.5,5408615
2000-02-23,144.67,146.21,143.79,145.0,145.0,2988933
2000-02-24,142.98,144.36,142.24,143.3,143.3,4759549
2000-02-25,138.77,140.68,137.74,139.21,139.21,8909318
2000-02-28,141.02,141.1,140.92,141.01,141.01,4117484
2000-02-29,144.42,145.39,142.27,143.83,143.83,3628036
2000-03-01,143.93,145.32,142.69,144.0,144.0,10641382
2000-03-02,146.21,147.83,144.31,146.07,146.07,3578587
2000-03-03,147.51,149.56,146.87,148.21,148.21,4608068
2000-03-06,146.66,146.99,146.4,146.7,146.7,7138079
2000-03-07,142.26,142.68,140.79,141.74,141.74,7415403
2000-03-08,141.94,143.66,141.2,142.43,142.43,4054038
2000-03-09,140.37,141.08,139.43,140.26,140.26,3732372
2000-03-10,135.51,136.67,133.69,135.18,135.18,13740863
2000-03-13,131.95,132.94,131.17,132.05,132.05,3360222
2000-03-14,129.75,131.13,128.35,129.74,129.74,6264382
2000-03-15,124.44,126.69,123.75,125.22,125.22,3506592
2000-03-16,122.19,123.39,121.39,122.39,122.39,3691870
2000-03-17,121.13,121.79,119.1,120.44,120.44,4959160
2000-03-20,119.21,121.08,118.45,119.76,119.76,3125317
2000-03-21,118.71,119.16,117.95,118.55,118.55,4430911
2000-03-22,120.15,121.29,119.07,120.18,120.18,4936416
2000-03-23,123.33,124.09,122.33,123.21,123.21,2808400
2000-03-24,121.92,122.2,120.88,121.54,121.54,10974995
2000-03-27,117.68,118.85,117.31,118.08,118.08,5870836
2000-03-28,117.11,117.94,116.42,117.18,117.18,4585415
2000-03-29,116.14,117.03,114.94,115.99,115.99,3844279
2000-03-30,115.91,116.64,114.61,115.62,115.62,5380672
2000-03-31,112.29,114.35,111.41,112.88,112.88,4560991
2000-04-03,113.53,114.2,113.13,113.66,113.66,10786754
2000-04-04,110.98,111.27,110.21,110.74,110.74,7586524
2000-04-05,112.05,112.86,110.05,111.45,111.45,5040869
2000-04-06,108.22,108.98,107.28,108.13,108.13,3415972
2000-04-07,108.51,109.47,107.49,108.48,108.48,3712609
2000-04-10,109.01,109.56,106.95,108.26,108.26,6413645
2000-04-11,107.38,108.29,106.99,107.64,107.64,6844352
2000-04-12,106.87,108.24,106.42,107.33,107.33,8360144
2000-04-13,107.94,108.37,107.77,108.07,108.07,11016448
2000-04-14,108.17,108.42,107.75,108.09,108.09,4512964
2000-04-17,108.02,109.3,107.08,108.19,108.19,3190061
2000-04-18,108.58,109.33,108.39,108.86,108.86,4398745
2000-04-19,110.86,111.27,109.95,110.61,110.61,9538554
2000-04-20,109.53,111.28,108.75,110.02,110.02,8126022
2000-04-21,108.78,109.3,107.59,108.45,108.45,2955640
2000-04-24,111.1,111.84,110.7,111.27,111.27,4133898
2000-04-25,113.6,114.54,112.77,113.65,113.65,4017160
2000-04-26,114.65,115.57,113.07,114.32,114.32,3685240
2000-04-27,112.22,114.14,111.68,112.91,112.91,3835396
2000-04-28,113.09,113.72,112.42,113.07,113.07,3548024
2000-05-01,113.19,114.46,112.09,113.27,113.27,4950558
2000-05-02,114.83,115.24,114.48,114.86,114.86,5409566
2000-05-03,117.49,118.21,115.45,116.83,116.83,9699853
2000-05-04,118.82,119.06,117.93,118.5,118.5,8640844
2000-05-05,118.45,119.22,115.83,117.53,117.53,3867576
2000-05-08,119.68,119.86,119.05,119.45,119.45,4624277
2000-05-09,117.03,117.77,115.98,116.87,116.87,9804039
2000-05-10,117.97,118.36,117.13,117.75,117.75,6883051
2000-05-11,118.27,118.48,117.9,118.19,118.19,3921865
2000-05-12,117.3,118.07,115.39,116.73,116.73,6701076
2000-05-15,114.84,115.78,113.76,114.77,114.77,8278214
2000-05-16,118.48,119.75,117.6,118.67,118.67,6370792
2000-05-17,117.09,118.09,116.12,117.11,117.11,4716494
2000-05-18,118.94,119.33,117.71,118.52,118.52,7276519
2000-05-19,117.81,118.52,116.13,117.32,117.32,5581792
2000-05-22,118.91,119.82,118.48,119.15,119.15,7903546
2000-05-23,122.54,123.51,119.16,121.33,121.33,4372045
2000-05-24,122.66,123.5,121.48,122.49,122.49,4480935
2000-05-25,123.15,124.65,122.63,123.64,123.64,4924069
2000-05-26,120.43,121.13,119.52,120.33,120.33,4225693
2000-05-29,121.49,122.52,120.48,121.5,121.5,4205421
2000-05-30,118.55,119.34,117.79,118.57,118.57,3967254
2000-05-31,121.02,121.24,120.78,121.01,121.01,3659528
2000-06-01,119.86,120.62,118.12,119.37,119.37,6285806
2000-06-02,117.08,117.76,115.73,116.75,116.75,3637473
2000-06-05,115.37,116.83,114.95,115.89,115.89,7390187
2000-06-06,115.64,115.83,115.38,115.6,115.6,3835837
2000-06-07,113.07,113.52,112.94,113.23,113.23,8212343
2000-06-08,112.15,112.56,111.73,112.14,112.14,6859018
2000-06-09,117.54,118.81,116.64,117.72,117.72,2032178
2000-06-12,120.29,121.02,120.07,120.55,120.55,12425032
2000-06-13,120.19,121.85,119.33,120.59,120.59,4217985
2000-06-14,119.95,120.58,119.04,119.81,119.81,3643668
2000-06-15,121.22,122.85,120.05,121.45,121.45,4343471
2000-06-16,121.51,122.64,120.02,121.33,121.33,5835463
2000-06-19,120.26,122.49,119.59,121.04,121.04,3112734
2000-06-20,125.84,126.56,125.04,125.8,125.8,5340543
2000-06-21,124.22,124.51,123.12,123.82,123.82,4627768
2000-06-22,124.64,124.85,124.03,124.44,124.44,5660512
2000-06-23,127.18,128.82,126.56,127.69,127.69,5203136
2000-06-26,126.96,128.03,125.97,127.0,127.0,4640057
2000-06-27,126.29,127.06,123.88,125.47,125.47,7947191
2000-06-28,126.54,126.87,125.27,126.07,126.07,7054709
2000-06-29,126.75,128.49,126.26,127.37,127.37,13995602
2000-06-30,128.68,128.93,128.44,128.69,128.69,6823377
2000-07-03,128.79,129.09,127.89,128.49,128.49,7297575
2000-07-04,130.25,131.07,128.24,129.65,129.65,8799597
2000-07-05,126.13,127.61,125.27,126.44,126.44,3366477
2000-07-06,125.54,127.3,124.43,125.87,125.87,6649016
2000-07-07,125.1,125.36,124.13,124.75,124.75,11134714
2000-07-10,124.85,126.46,123.73,125.1,125.1,7301863
2000-07-11,123.31,124.05,121.85,122.95,122.95,9953038
2000-07-12,122.96,123.67,122.77,123.22,123.22,5299549
2000-07-13,125.87,126.23,125.33,125.78,125.78,3532304
2000-07-14,124.47,125.77,123.76,124.77,124.77,11598533
2000-07-17,125.84,126.36,125.01,125.68,125.68,6798505
2000-07-18,125.28,126.4,123.84,125.12,125.12,4039341
2000-07-19,124.91,126.14,124.16,125.15,125.15,7755771
2000-07-20,125.14,125.42,124.38,124.9,124.9,6634248
2000-07-21,124.57,126.24,124.02,125.13,125.13,3778832
2000-07-24,127.64,128.0,127.01,127.5,127.5,5328545
2000-07-25,131.42,133.15,130.24,131.7,131.7,3973510
2000-07-26,130.33,131.59,129.92,130.75,130.75,8675091
2000-07-27,127.83,129.59,126.81,128.2,128.2,3735861
2000-07-28,129.92,130.36,128.47,129.41,129.41,4537186
2000-07-31,131.78,132.67,130.08,131.37,131.37,12730076
2000-08-01,133.97,134.85,131.62,133.24,133.24,4879035
2000-08-02,129.24,130.32,128.72,129.52,129.52,6126767
2000-08-03,130.18,130.45,129.3,129.88,129.88,5152076
2000-08-04,129.85,131.14,129.33,130.23,130.23,2429136
2000-08-07,131.04,132.02,129.96,130.99,130.99,4062718
2000-08-08,131.36,131.59,131.0,131.3,131.3,4013279
