,Open,High,Low,Close,Adj Close,Volume
2000-01-03,37.01,37.3,36.71,37.01,37.01,7596635
2000-01-04,36.89,37.18,36.59,36.89,36.89,8187064
2000-01-05,37.03,37.32,36.73,37.03,37.03,6860116
2000-01-06,37.38,37.68,37.08,37.38,37.38,3670723
2000-01-07,36.48,36.78,36.19,36.48,36.48,4793181
2000-01-10,36.62,36.92,36.33,36.62,36.62,7461639
2000-01-11,36.77,37.06,36.47,36.77,36.77,6401359
2000-01-12,36.79,37.09,36.5,36.79,36.79,4648831
2000-01-13,37.02,37.31,36.72,37.02,37.02,5075011
2000-01-14,35.98,36.27,35.69,35.98,35.98,4262312
2000-01-17,36.39,36.68,36.1,36.39,36.39,3192380
2000-01-18,36.7,37.0,36.41,36.7,36.7,7535324
2000-01-19,37.01,37.3,36.71,37.01,37.01,10011842
2000-01-20,36.52,36.81,36.23,36.52,36.52,7624915
2000-01-21,36.68,36.97,36.39,36.68,36.68,4316242
2000-01-24,35.74,36.02,35.45,35.74,35.74,7829919
2000-01-25,34.62,34.9,34.34,34.62,34.62,6104712
2000-01-26,35.39,35.68,35.11,35.39,35.39,6140625
2000-01-27,35.15,35.43,34.86,35.15,35.15,6008964
2000-01-28,35.74,36.03,35.46,35.74,35.74,5716253
2000-01-31,35.94,36.23,35.65,35.94,35.94,13132157
2000-02-01,35.93,36.21,35.64,35.93,35.93,3666058
2000-02-02,36.28,36.57,35.99,36.28,36.28,5333041
2000-02-03,35.56,35.85,35.28,35.56,35.56,7524880
2000-02-04,36.33,36.62,36.03,36.33,36.33,6960457
2000-02-07,35.83,36.12,35.54,35.83,35.83,2986513
2000-02-08,35.28,35.56,34.99,35.28,35.28,3549967
2000-02-09,34.84,35.12,34.56,34.84,34.84,3787087
2000-02-10,33.87,34.14,33.6,33.87,33.87,4682956
2000-02-11,33.86,34.14,33.59,33.86,33.86,7671539
2000-02-14,34.47,34.75,34.2,34.47,34.47,5149684
2000-02-15,34.93,35.21,34.65,34.93,34.93,4456754
2000-02-16,34.11,34.38,33.84,34.11,34.11,3580128
2000-02-17,34.13,34.4,33.86,34.13,34.13,2814351
2000-02-18,34.85,35.13,34.57,34.85,34.85,5175843
2000-02-21,34.14,34.42,33.87,34.14,34.14,3964346
2000-02-22,34.09,34.36,33.81,34.09,34.09,4677936
2000-02-23,34.23,34.5,33.95,34.23,34.23,8954924
