,Open,High,Low,Close,Adj Close,Volume
2000-01-03,25.63,25.83,25.42,25.63,25.63,5242432
2000-01-04,25.63,25.83,25.42,25.63,25.63,7844704
2000-01-05,26.32,26.53,26.11,26.32,26.32,7544808
2000-01-06,26.57,26.78,26.36,26.57,26.57,9558470
2000-01-07,26.66,26.88,26.45,26.66,26.66,6698528
2000-01-10,26.44,26.65,26.23,26.44,26.44,5658647
2000-01-11,26.37,26.58,26.15,26.37,26.37,5913123
2000-01-12,25.95,26.16,25.75,25.95,25.95,5846087
2000-01-13,25.94,26.15,25.73,25.94,25.94,2753661
2000-01-14,25.93,26.14,25.72,25.93,25.93,8048368
2000-01-17,25.88,26.09,25.67,25.88,25.88,5695277
2000-01-18,25.85,26.06,25.65,25.85,25.85,4195946
2000-01-19,26.67,26.89,26.46,26.67,26.67,3010959
2000-01-20,27.01,27.23,26.79,27.01,27.01,6078434
2000-01-21,26.77,26.98,26.55,26.77,26.77,4680390
2000-01-24,26.8,27.01,26.59,26.8,26.8,2898452
2000-01-25,26.44,26.65,26.23,26.44,26.44,2551904
2000-01-26,26.52,26.73,26.31,26.52,26.52,6177323
2000-01-27,27.06,27.27,26.84,27.06,27.06,4777752
2000-01-28,27.01,27.22,26.79,27.01,27.01,4625017
2000-01-31,27.13,27.35,26.92,27.13,27.13,6669039
2000-02-01,27.96,28.18,27.74,27.96,27.96,2718645
2000-02-02,28.2,28.43,27.97,28.2,28.2,9221222
2000-02-03,28.07,28.29,27.84,28.07,28.07,7568097
2000-02-04,28.4,28.63,28.17,28.4,28.4,4929153
2000-02-07,28.43,28.65,28.2,28.43,28.43,4079976
2000-02-08,28.62,28.85,28.39,28.62,28.62,5413532
2000-02-09,28.75,28.98,28.52,28.75,28.75,5396728
2000-02-10,29.01,29.24,28.78,29.01,29.01,7054640
2000-02-11,28.81,29.04,28.58,28.81,28.81,4490857
2000-02-14,28.55,28.78,28.32,28.55,28.55,5314089
2000-02-15,28.78,29.01,28.55,28.78,28.78,15593664
2000-02-16,28.37,28.6,28.14,28.37,28.37,4596195
2000-02-17,28.4,28.62,28.17,28.4,28.4,8394723
2000-02-18,28.5,28.73,28.27,28.5,28.5,3784580
2000-02-21,29.03,29.26,28.8,29.03,29.03,6705338
2000-02-22,29.42,29.65,29.18,29.42,29.42,3165592
2000-02-23,29.94,30.18,29.7,29.94,29.94,5661312
2000-02-24,29.74,29.98,29.51,29.74,29.74,4989655
2000-02-25,29.37,29.6,29.13,29.37,29.37,3216164
2000-02-28,29.49,29.73,29.26,29.49,29.49,4522586
2000-02-29,29.22,29.46,28.99,29.22,29.22,2404355
2000-03-01,29.26,29.49,29.03,29.26,29.26,3198175
2000-03-02,29.45,29.69,29.21,29.45,29.45,3787636
2000-03-03,29.26,29.49,29.02,29.26,29.26,3306147
2000-03-06,28.74,28.97,28.51,28.74,28.74,8820011
2000-03-07,28.49,28.71,28.26,28.49,28.49,6577910
2000-03-08,28.43,28.66,28.2,28.43,28.43,3963661
2000-03-09,28.83,29.06,28.6,28.83,28.83,6258165
2000-03-10,28.35,28.57,28.12,28.35,28.35,6593920
2000-03-13,28.02,28.25,27.8,28.02,28.02,5072088
2000-03-14,28.03,28.26,27.81,28.03,28.03,5999749
2000-03-15,27.33,27.55,27.11,27.33,27.33,3041947
2000-03-16,26.82,27.04,26.61,26.82,26.82,7445574
2000-03-17,26.71,26.92,26.49,26.71,26.71,3920646
2000-03-20,26.89,27.1,26.67,26.89,26.89,6957205
2000-03-21,27.44,27.66,27.22,27.44,27.44,7513371
2000-03-22,27.71,27.93,27.49,27.71,27.71,4501667
2000-03-23,27.89,28.11,27.66,27.89,27.89,2509181
2000-03-24,27.84,28.06,27.61,27.84,27.84,6277372
2000-03-27,28.12,28.35,27.9,28.12,28.12,7926339
2000-03-28,27.74,27.96,27.52,27.74,27.74,4785499
2000-03-29,28.09,28.32,27.87,28.09,28.09,5120042
2000-03-30,27.89,28.12,27.67,27.89,27.89,9826981
2000-03-31,27.65,27.87,27.42,27.65,27.65,2965550
2000-04-03,27.65,27.87,27.43,27.65,27.65,4563536
2000-04-04,28.1,28.33,27.88,28.1,28.1,10071134
2000-04-05,27.49,27.71,27.27,27.49,27.49,4154237
2000-04-06,27.52,27.74,27.3,27.52,27.52,3012998
2000-04-07,28.03,28.26,27.81,28.03,28.03,3649191
2000-04-10,28.28,28.5,28.05,28.28,28.28,8348230
2000-04-11,28.17,28.39,27.94,28.17,28.17,9889768
2000-04-12,28.39,28.62,28.16,28.39,28.39,5781075
2000-04-13,28.35,28.58,28.12,28.35,28.35,5394107
2000-04-14,29.05,29.28,28.82,29.05,29.05,3503294
2000-04-17,29.26,29.49,29.02,29.26,29.26,8221871
2000-04-18,29.12,29.36,28.89,29.12,29.12,2374560
2000-04-19,29.13,29.36,28.9,29.13,29.13,3182183
2000-04-20,29.35,29.59,29.12,29.35,29.35,4008219
2000-04-21,28.97,29.2,28.74,28.97,28.97,5753242
2000-04-24,29.94,30.18,29.7,29.94,29.94,3269495
2000-04-25,29.61,29.84,29.37,29.61,29.61,6670657
2000-04-26,29.44,29.68,29.21,29.44,29.44,4409680
2000-04-27,30.17,30.41,29.93,30.17,30.17,3940219
2000-04-28,29.14,29.37,28.91,29.14,29.14,4872602
2000-05-01,29.68,29.92,29.44,29.68,29.68,12607150
2000-05-02,30.21,30.46,29.97,30.21,30.21,4594231
2000-05-03,29.77,30.01,29.53,29.77,29.77,3510373
2000-05-04,29.38,29.61,29.14,29.38,29.38,4486334
2000-05-05,29.42,29.65,29.18,29.42,29.42,4584247
2000-05-08,29.52,29.76,29.29,29.52,29.52,7559042
2000-05-09,29.96,30.2,29.72,29.96,29.96,5845962
2000-05-10,30.29,30.53,30.05,30.29,30.29,12972773
2000-05-11,29.55,29.79,29.32,29.55,29.55,3104024
2000-05-12,29.75,29.99,29.51,29.75,29.75,12549825
2000-05-15,29.99,30.23,29.75,29.99,29.99,5878345
2000-05-16,29.7,29.94,29.46,29.7,29.7,7435000
2000-05-17,29.29,29.52,29.06,29.29,29.29,8749167
2000-05-18,29.7,29.94,29.46,29.7,29.7,8717399
2000-05-19,29.52,29.76,29.29,29.52,29.52,4579803
2000-05-22,29.08,29.31,28.85,29.08,29.08,3947266
2000-05-23,28.5,28.73,28.27,28.5,28.5,5628614
2000-05-24,27.9,28.13,27.68,27.9,27.9,4648552
2000-05-25,28.29,28.52,28.07,28.29,28.29,3728327
2000-05-26,27.94,28.17,27.72,27.94,27.94,7581422
2000-05-29,28.34,28.56,28.11,28.34,28.34,3697551
2000-05-30,28.73,28.96,28.5,28.73,28.73,7627600
2000-05-31,29.8,30.04,29.56,29.8,29.8,4197508
2000-06-01,29.74,29.98,29.51,29.74,29.74,6102366
2000-06-02,29.9,30.14,29.66,29.9,29.9,3462199
2000-06-05,30.07,30.31,29.83,30.07,30.07,3216337
2000-06-06,30.33,30.58,30.09,30.33,30.33,3773089
2000-06-07,30.06,30.3,29.82,30.06,30.06,9016773
2000-06-08,30.36,30.6,30.11,30.36,30.36,6280342
2000-06-09,29.76,30.0,29.52,29.76,29.76,10416326
2000-06-12,29.99,30.23,29.75,29.99,29.99,7559151
2000-06-13,30.22,30.46,29.98,30.22,30.22,5884353
2000-06-14,29.99,30.23,29.75,29.99,29.99,12628830
2000-06-15,29.83,30.07,29.59,29.83,29.83,3006943
2000-06-16,30.26,30.51,30.02,30.26,30.26,6075765
2000-06-19,29.64,29.87,29.4,29.64,29.64,3296207
2000-06-20,30.59,30.83,30.34,30.59,30.59,6866945
2000-06-21,30.25,30.49,30.01,30.25,30.25,7287069
2000-06-22,30.2,30.44,29.96,30.2,30.2,8318616
2000-06-23,30.8,31.04,30.55,30.8,30.8,5783420
2000-06-26,30.35,30.59,30.11,30.35,30.35,9014318
2000-06-27,31.11,31.36,30.86,31.11,31.11,5839132
2000-06-28,31.22,31.47,30.97,31.22,31.22,15677953
2000-06-29,32.02,32.28,31.77,32.02,32.02,5605922
2000-06-30,32.21,32.46,31.95,32.21,32.21,6247981
2000-07-03,32.29,32.55,32.04,32.29,32.29,5680371
2000-07-04,33.36,33.63,33.1,33.36,33.36,2818495
2000-07-05,33.16,33.42,32.89,33.16,33.16,10803837
2000-07-06,33.79,34.07,33.52,33.79,33.79,3538434
2000-07-07,33.35,33.62,33.08,33.35,33.35,2396650
2000-07-10,33.76,34.03,33.49,33.76,33.76,5278964
2000-07-11,34.51,34.79,34.24,34.51,34.51,4149891
2000-07-12,33.85,34.12,33.58,33.85,33.85,12297708
2000-07-13,33.46,33.72,33.19,33.46,33.46,4990824
2000-07-14,34.47,34.74,34.19,34.47,34.47,8894428
2000-07-17,34.61,34.88,34.33,34.61,34.61,3709068
2000-07-18,35.08,35.36,34.8,35.08,35.08,3526824
2000-07-19,35.71,35.99,35.42,35.71,35.71,5287205
2000-07-20,35.25,35.53,34.97,35.25,35.25,7506462
2000-07-21,35.99,36.28,35.7,35.99,35.99,3944472
2000-07-24,35.86,36.15,35.58,35.86,35.86,4985479
2000-07-25,35.9,36.19,35.61,35.9,35.9,5637253
2000-07-26,37.05,37.34,36.75,37.05,37.05,4476478
2000-07-27,37.42,37.72,37.12,37.42,37.42,7859949
2000-07-28,36.9,37.19,36.6,36.9,36.9,6419020
2000-07-31,36.56,36.86,36.27,36.56,36.56,4758658
2000-08-01,36.7,37.0,36.41,36.7,36.7,5504998
2000-08-02,36.32,36.61,36.03,36.32,36.32,8783881
2000-08-03,36.43,36.72,36.14,36.43,36.43,9877070
2000-08-04,36.68,36.97,36.39,36.68,36.68,3463915
2000-08-07,37.31,37.61,37.01,37.31,37.31,5667598
2000-08-08,37.32,37.62,37.02,37.32,37.32,7001292
2000-08-09,36.67,36.96,36.38,36.67,36.67,3167924
2000-08-10,36.7,36.99,36.4,36.7,36.7,11548680
2000-08-11,36.25,36.54,35.96,36.25,36.25,5536490
2000-08-14,36.31,36.6,36.02,36.31,36.31,5041933
2000-08-15,37.0,37.3,36.71,37.0,37.0,9013601
2000-08-16,37.11,37.41,36.81,37.11,37.11,6889182
2000-08-17,37.31,37.61,37.01,37.31,37.31,4807483
2000-08-18,37.89,38.19,37.58,37.89,37.89,5556718
2000-08-21,38.13,38.43,37.82,38.13,38.13,5722491
2000-08-22,38.12,38.43,37.82,38.12,38.12,4344585
2000-08-23,37.24,37.53,36.94,37.24,37.24,3010442
2000-08-24,37.35,37.65,37.05,37.35,37.35,3449485
2000-08-25,37.98,38.28,37.67,37.98,37.98,3671185
2000-08-28,37.18,37.48,36.89,37.18,37.18,6285703
2000-08-29,37.73,38.03,37.43,37.73,37.73,10282811
2000-08-30,37.93,38.24,37.63,37.93,37.93,4943112
2000-08-31,37.41,37.71,37.11,37.41,37.41,9191060
2000-09-01,36.88,37.17,36.58,36.88,36.88,6418299
2000-09-04,37.2,37.49,36.9,37.2,37.2,2728740
2000-09-05,38.43,38.73,38.12,38.43,38.43,5934728
2000-09-06,38.82,39.13,38.51,38.82,38.82,3540592
2000-09-07,37.94,38.24,37.64,37.94,37.94,6549474
2000-09-08,37.34,37.64,37.04,37.34,37.34,3626769
2000-09-11,38.16,38.47,37.86,38.16,38.16,14056898
2000-09-12,37.78,38.08,37.48,37.78,37.78,3553813
2000-09-13,38.33,38.64,38.03,38.33,38.33,6867342
2000-09-14,38.06,38.36,37.75,38.06,38.06,5019123
2000-09-15,38.54,38.84,38.23,38.54,38.54,6268852
2000-09-18,37.84,38.14,37.53,37.84,37.84,4904650
2000-09-19,38.54,38.85,38.23,38.54,38.54,6413063
2000-09-20,38.1,38.4,37.79,38.1,38.1,2403411
2000-09-21,38.96,39.28,38.65,38.96,38.96,7490046
2000-09-22,38.58,38.89,38.27,38.58,38.58,14344917
2000-09-25,38.65,38.96,38.34,38.65,38.65,4578155
2000-09-26,38.39,38.7,38.08,38.39,38.39,7195312
2000-09-27,38.46,38.77,38.15,38.46,38.46,8121435
2000-09-28,38.91,39.22,38.6,38.91,38.91,4893559
2000-09-29,38.5,38.81,38.19,38.5,38.5,4114113
2000-10-02,39.26,39.58,38.95,39.26,39.26,4131888
2000-10-03,39.37,39.69,39.06,39.37,39.37,5653416
2000-10-04,38.49,38.8,38.18,38.49,38.49,8099858
2000-10-05,38.24,38.54,37.93,38.24,38.24,4726988
2000-10-06,37.22,37.52,36.93,37.22,37.22,5694097
2000-10-09,37.13,37.43,36.83,37.13,37.13,10649960
2000-10-10,37.08,37.38,36.79,37.08,37.08,4315588
2000-10-11,35.75,36.03,35.46,35.75,35.75,3601758
2000-10-12,36.08,36.37,35.79,36.08,36.08,5375134
2000-10-13,35.73,36.02,35.44,35.73,35.73,10386821
2000-10-16,35.15,35.43,34.87,35.15,35.15,4601962
2000-10-17,35.38,35.66,35.1,35.38,35.38,5234222
2000-10-18,35.68,35.96,35.39,35.68,35.68,3923088
2000-10-19,34.27,34.54,33.99,34.27,34.27,6816038
2000-10-20,34.9,35.18,34.62,34.9,34.9,2898554
2000-10-23,34.59,34.87,34.32,34.59,34.59,7202662
2000-10-24,34.53,34.81,34.25,34.53,34.53,4699533
2000-10-25,34.79,35.07,34.51,34.79,34.79,6288948
2000-10-26,34.34,34.62,34.07,34.34,34.34,10594439
2000-10-27,33.94,34.21,33.67,33.94,33.94,4360325
2000-10-30,33.79,34.06,33.52,33.79,33.79,6057043
2000-10-31,33.55,33.82,33.29,33.55,33.55,6103022
2000-11-01,33.92,34.19,33.65,33.92,33.92,3571162
2000-11-02,34.3,34.57,34.03,34.3,34.3,6652861
2000-11-03,35.28,35.57,35.0,35.28,35.28,5344331
2000-11-06,35.36,35.64,35.07,35.36,35.36,7906023
2000-11-07,35.57,35.86,35.29,35.57,35.57,3766743
2000-11-08,35.98,36.26,35.69,35.98,35.98,6918145
2000-11-09,36.06,36.35,35.77,36.06,36.06,3072094
2000-11-10,36.85,37.15,36.56,36.85,36.85,4070327
2000-11-13,35.98,36.27,35.69,35.98,35.98,10993541
2000-11-14,35.23,35.51,34.95,35.23,35.23,6391164
2000-11-15,34.93,35.21,34.65,34.93,34.93,6032131
2000-11-16,35.08,35.36,34.8,35.08,35.08,6822692
2000-11-17,35.08,35.36,34.8,35.08,35.08,3945490
2000-11-20,34.78,35.06,34.51,34.78,34.78,11241622
2000-11-21,34.48,34.76,34.21,34.48,34.48,4245103
2000-11-22,34.81,35.09,34.54,34.81,34.81,7935794
2000-11-23,35.16,35.44,34.88,35.16,35.16,3579614
2000-11-24,36.12,36.41,35.83,36.12,36.12,3925201
2000-11-27,35.55,35.83,35.26,35.55,35.55,8966936
2000-11-28,34.86,35.14,34.58,34.86,34.86,5312242
2000-11-29,34.84,35.12,34.56,34.84,34.84,4059435
2000-11-30,35.25,35.54,34.97,35.25,35.25,3954540
2000-12-01,34.93,35.21,34.65,34.93,34.93,2879548
2000-12-04,35.24,35.52,34.96,35.24,35.24,6245633
2000-12-05,34.54,34.82,34.27,34.54,34.54,6194994
2000-12-06,33.7,33.97,33.43,33.7,33.7,7915707
2000-12-07,34.18,34.45,33.91,34.18,34.18,3831558
2000-12-08,34.25,34.53,33.98,34.25,34.25,5690988
2000-12-11,33.38,33.65,33.12,33.38,33.38,5333717
2000-12-12,33.15,33.42,32.89,33.15,33.15,4716437
2000-12-13,33.06,33.32,32.79,33.06,33.06,5204468
2000-12-14,32.08,32.34,31.83,32.08,32.08,4085774
2000-12-15,32.5,32.76,32.24,32.5,32.5,3970623
2000-12-18,32.43,32.69,32.17,32.43,32.43,4404923
2000-12-19,33.31,33.58,33.05,33.31,33.31,7474834
2000-12-20,32.57,32.83,32.31,32.57,32.57,5425543
2000-12-21,33.12,33.39,32.86,33.12,33.12,11260586
2000-12-22,33.1,33.36,32.83,33.1,33.1,6773616
2000-12-25,32.54,32.8,32.28,32.54,32.54,10140885
2000-12-26,32.66,32.92,32.4,32.66,32.66,7945622
2000-12-27,32.57,32.84,32.31,32.57,32.57,6733378
2000-12-28,32.49,32.75,32.23,32.49,32.49,7375924
2000-12-29,32.82,33.08,32.56,32.82,32.82,11164956
2001-01-01,33.56,33.83,33.29,33.56,33.56,3815931
2001-01-02,32.97,33.24,32.71,32.97,32.97,3948317
2001-01-03,33.53,33.8,33.26,33.53,33.53,12331077
2001-01-04,33.59,33.85,33.32,33.59,33.59,5084983
2001-01-05,34.12,34.39,33.84,34.12,34.12,4182929
2001-01-08,34.58,34.86,34.3,34.58,34.58,6813816
2001-01-09,34.79,35.07,34.51,34.79,34.79,4083568
2001-01-10,34.5,34.77,34.22,34.5,34.5,4277773
2001-01-11,34.54,34.82,34.27,34.54,34.54,6440579
2001-01-12,34.32,34.59,34.05,34.32,34.32,4427508
2001-01-15,33.91,34.18,33.64,33.91,33.91,6201508
2001-01-16,33.54,33.81,33.28,33.54,33.54,6230245
2001-01-17,33.95,34.23,33.68,33.95,33.95,7757212
2001-01-18,33.43,33.69,33.16,33.43,33.43,3215364
2001-01-19,34.14,34.42,33.87,34.14,34.14,5171656
2001-01-22,34.05,34.32,33.78,34.05,34.05,5464643
2001-01-23,34.3,34.58,34.03,34.3,34.3,3130176
2001-01-24,34.06,34.34,33.79,34.06,34.06,4533010
2001-01-25,34.07,34.34,33.79,34.07,34.07,3771621
2001-01-26,34.57,34.85,34.3,34.57,34.57,3204284
2001-01-29,34.27,34.55,34.0,34.27,34.27,6857108
2001-01-30,34.39,34.67,34.12,34.39,34.39,5770253
2001-01-31,34.23,34.51,33.96,34.23,34.23,8316790
2001-02-01,35.36,35.64,35.08,35.36,35.36,3693904
2001-02-02,33.92,34.19,33.64,33.92,33.92,4212728
2001-02-05,33.66,33.93,33.39,33.66,33.66,6248332
2001-02-06,33.88,34.15,33.61,33.88,33.88,3500351
2001-02-07,33.7,33.97,33.43,33.7,33.7,4925364
2001-02-08,33.99,34.26,33.72,33.99,33.99,4173942
2001-02-09,34.47,34.75,34.19,34.47,34.47,6584560
2001-02-12,34.12,34.4,33.85,34.12,34.12,2344083
