,Open,High,Low,Close,Adj Close,Volume
2000-01-03,113.49,114.16,111.84,113.0,113.0,3436649
2000-01-04,112.87,114.7,112.41,113.55,113.55,5863555
2000-01-05,112.55,113.14,110.84,111.99,111.99,4013255
2000-01-06,114.8,115.7,114.08,114.89,114.89,5841293
2000-01-07,115.16,116.56,114.51,115.54,115.54,4535609
2000-01-10,117.43,118.12,116.3,117.21,117.21,10170383
2000-01-11,117.4,117.86,115.89,116.87,116.87,6503908
2000-01-12,116.05,117.01,114.58,115.8,115.8,7259840
2000-01-13,118.91,119.3,117.5,118.4,118.4,4865222
2000-01-14,119.92,120.48,119.57,120.03,120.03,6907865
2000-01-17,123.07,123.6,121.1,122.35,122.35,6191063
2000-01-18,122.36,124.98,121.65,123.32,123.32,6291765
2000-01-19,125.37,125.65,124.31,124.98,124.98,4332138
2000-01-20,123.2,124.17,121.34,122.76,122.76,5808129
2000-01-21,119.66,120.63,118.61,119.62,119.62,5880218
2000-01-24,114.55,115.92,113.65,114.78,114.78,4491344
2000-01-25,111.86,113.27,110.61,111.94,111.94,3246427
2000-01-26,112.56,113.78,111.35,112.57,112.57,2619600
2000-01-27,112.3,112.76,111.05,111.91,111.91,2862304
2000-01-28,107.92,108.89,107.36,108.12,108.12,5119176
2000-01-31,108.96,110.2,106.89,108.55,108.55,5808370
2000-02-01,107.41,108.04,106.87,107.46,107.46,10302983
2000-02-02,106.09,106.55,104.92,105.74,105.74,3267030
2000-02-03,103.63,105.03,102.86,103.95,103.95,7385267
2000-02-04,105.62,106.02,105.4,105.71,105.71,6862577
2000-02-07,107.25,108.18,105.9,107.04,107.04,9616030
2000-02-08,102.91,103.72,102.4,103.06,103.06,5197156
2000-02-09,105.07,105.13,104.86,104.99,104.99,3278543
2000-02-10,106.92,108.86,105.74,107.3,107.3,4651978
2000-02-11,107.12,108.13,106.74,107.44,107.44,7406852
2000-02-14,109.56,111.05,108.6,109.83,109.83,5303749
2000-02-15,112.81,113.65,111.24,112.45,112.45,4168732
2000-02-16,115.42,116.66,114.85,115.75,115.75,6624772
2000-02-17,114.35,115.28,113.88,114.58,114.58,2522023
2000-02-18,117.29,117.75,116.16,116.95,116.95,4389278
2000-02-21,118.65,119.87,117.75,118.81,118.81,2264784
2000-02-22,119.1,119.95,116.98,118.46,118.46,7968861
2000-02-23,122.2,123.05,121.14,122.09,122.09,7658127
2000-02-24,119.23,120.48,118.25,119.36,119.36,5042953
2000-02-25,116.24,117.35,115.92,116.63,116.63,4424061
2000-02-28,114.57,115.18,112.7,113.94,113.94,7281854
2000-02-29,111.8,112.7,110.47,111.58,111.58,2795332
2000-03-01,110.02,110.28,109.1,109.69,109.69,5570950
2000-03-02,104.96,106.15,104.49,105.32,105.32,5781470
2000-03-03,107.05,107.3,106.7,107.0,107.0,7421715
2000-03-06,108.23,109.29,107.32,108.3,108.3,10900500
2000-03-07,108.1,108.8,107.16,107.98,107.98,6129897
2000-03-08,106.67,107.88,105.69,106.78,106.78,5900640
2000-03-09,104.62,105.49,104.31,104.9,104.9,3297011
2000-03-10,104.01,105.88,103.19,104.53,104.53,3554167
2000-03-13,101.91,103.06,101.08,102.07,102.07,9566814
2000-03-14,102.46,102.95,101.35,102.15,102.15,6732856
2000-03-15,103.73,104.79,103.0,103.9,103.9,8908036
2000-03-16,106.79,107.47,105.7,106.58,106.58,12867134
2000-03-17,107.13,107.29,106.81,107.05,107.05,8780618
2000-03-20,106.67,107.53,105.37,106.45,106.45,14552351
2000-03-21,103.91,104.42,103.56,103.99,103.99,4133499
2000-03-22,106.71,107.09,105.48,106.28,106.28,7718426
2000-03-23,101.99,103.59,100.97,102.28,102.28,8193827
2000-03-24,97.45,98.24,96.34,97.29,97.29,6397872
2000-03-27,97.15,98.08,96.82,97.45,97.45,6768336
2000-03-28,96.33,96.89,96.07,96.48,96.48,4508403
2000-03-29,93.07,93.94,92.67,93.3,93.3,6348913
2000-03-30,92.51,93.27,92.07,92.67,92.67,7696406
2000-03-31,93.06,93.56,92.37,92.97,92.97,5138223
2000-04-03,89.66,90.64,88.86,89.75,89.75,5187411
2000-04-04,90.55,91.28,89.49,90.39,90.39,2492035
2000-04-05,91.47,92.9,90.97,91.94,91.94,8162349
2000-04-06,90.24,90.81,89.99,90.4,90.4,6488362
2000-04-07,90.53,90.91,89.5,90.2,90.2,4482416
2000-04-10,92.03,93.06,90.47,91.76,91.76,7518298
2000-04-11,88.04,88.71,87.65,88.18,88.18,3017676
2000-04-12,87.39,89.06,86.68,87.87,87.87,9024670
2000-04-13,86.4,86.82,86.0,86.41,86.41,3135896
2000-04-14,87.08,88.05,86.25,87.15,87.15,5768013
2000-04-17,86.4,86.99,86.19,86.59,86.59,5441001
2000-04-18,88.47,89.31,87.79,88.55,88.55,3575441
2000-04-19,91.2,92.13,90.53,91.33,91.33,2517516
2000-04-20,91.81,92.77,91.01,91.89,91.89,7555002
2000-04-21,93.03,93.8,92.68,93.24,93.24,6732178
2000-04-24,92.99,93.89,91.58,92.74,92.74,4974654
2000-04-25,92.84,93.85,91.72,92.78,92.78,12232938
2000-04-26,92.19,92.59,90.84,91.71,91.71,7436336
2000-04-27,92.02,92.05,91.92,91.99,91.99,5717224
2000-04-28,93.52,93.79,92.51,93.15,93.15,3518233
2000-05-01,91.97,93.33,91.57,92.45,92.45,4417140
2000-05-02,94.92,95.93,94.5,95.22,95.22,4565954
2000-05-03,93.58,94.1,91.83,92.97,92.97,11329792
2000-05-04,91.49,92.49,91.1,91.79,91.79,6250120
2000-05-05,93.38,94.43,92.94,93.68,93.68,5699310
2000-05-08,94.39,94.74,93.38,94.06,94.06,3599109
2000-05-09,95.67,96.35,94.32,95.34,95.34,5794505
2000-05-10,95.03,96.28,94.53,95.41,95.41,7599263
2000-05-11,92.63,93.43,91.61,92.52,92.52,10488127
2000-05-12,91.32,92.42,90.84,91.63,91.63,5235549
2000-05-15,90.49,91.07,89.88,90.47,90.47,4864659
2000-05-16,88.35,89.48,87.85,88.66,88.66,6012428
2000-05-17,88.49,89.18,87.63,88.41,88.41,5215241
2000-05-18,89.25,90.2,88.67,89.43,89.43,7281725
2000-05-19,87.79,88.26,87.3,87.78,87.78,7405826
2000-05-22,90.08,90.66,89.16,89.91,89.91,4824175
2000-05-23,92.22,92.67,90.59,91.63,91.63,2801479
2000-05-24,95.84,96.47,94.88,95.67,95.67,14387805
2000-05-25,96.65,97.21,95.66,96.44,96.44,12263567
2000-05-26,97.1,97.73,96.47,97.1,97.1,4588395
2000-05-29,97.44,98.25,96.61,97.43,97.43,5657900
2000-05-30,97.14,98.17,96.49,97.33,97.33,6710382
2000-05-31,98.35,98.89,97.46,98.18,98.18,3380819
2000-06-01,98.37,99.58,97.82,98.7,98.7,8181159
2000-06-02,99.3,100.03,98.7,99.37,99.37,9398349
2000-06-05,100.41,101.16,98.45,99.8,99.8,5626858
2000-06-06,100.99,101.52,100.36,100.94,100.94,4950676
2000-06-07,100.42,101.45,99.48,100.47,100.47,5023111
