,Open,High,Low,Close,Adj Close,Volume
2000-01-03,55.2,55.64,54.76,55.2,55.2,4631505
2000-01-04,56.32,56.77,55.87,56.32,56.32,4614063
2000-01-05,56.07,56.52,55.63,56.07,56.07,4292143
2000-01-06,56.88,57.33,56.42,56.88,56.88,3772510
2000-01-07,57.16,57.62,56.7,57.16,57.16,3926643
2000-01-10,56.62,57.08,56.17,56.62,56.62,6625490
2000-01-11,56.59,57.05,56.14,56.59,56.59,4456056
2000-01-12,57.35,57.81,56.89,57.35,57.35,8596204
2000-01-13,57.77,58.23,57.31,57.77,57.77,4302182
2000-01-14,58.13,58.59,57.66,58.13,58.13,3580959
2000-01-17,57.26,57.72,56.8,57.26,57.26,9888101
2000-01-18,57.13,57.59,56.67,57.13,57.13,10791182
2000-01-19,56.65,57.11,56.2,56.65,56.65,4031732
2000-01-20,56.34,56.79,55.89,56.34,56.34,2793213
2000-01-21,56.11,56.55,55.66,56.11,56.11,9509945
2000-01-24,55.97,56.42,55.52,55.97,55.97,2927000
2000-01-25,55.6,56.05,55.16,55.6,55.6,3892031
2000-01-26,55.43,55.87,54.99,55.43,55.43,7329765
2000-01-27,54.0,54.43,53.57,54.0,54.0,8647279
2000-01-28,53.39,53.81,52.96,53.39,53.39,6407869
2000-01-31,53.55,53.98,53.12,53.55,53.55,3218644
2000-02-01,53.58,54.01,53.16,53.58,53.58,6952225
2000-02-02,53.93,54.36,53.5,53.93,53.93,3528942
2000-02-03,52.46,52.88,52.04,52.46,52.46,6153948
2000-02-04,53.01,53.43,52.58,53.01,53.01,3228051
2000-02-07,53.46,53.89,53.03,53.46,53.46,3263829
2000-02-08,52.91,53.33,52.48,52.91,52.91,3918667
2000-02-09,52.08,52.49,51.66,52.08,52.08,4940519
2000-02-10,51.78,52.19,51.36,51.78,51.78,3627595
2000-02-11,51.91,52.33,51.5,51.91,51.91,4906933
2000-02-14,52.08,52.5,51.66,52.08,52.08,7625601
2000-02-15,52.99,53.42,52.57,52.99,52.99,5226162
2000-02-16,52.88,53.31,52.46,52.88,52.88,7357025
2000-02-17,53.29,53.72,52.86,53.29,53.29,2050991
2000-02-18,53.82,54.25,53.39,53.82,53.82,5048897
2000-02-21,53.23,53.65,52.8,53.23,53.23,5347857
2000-02-22,53.03,53.45,52.6,53.03,53.03,4501255
2000-02-23,52.83,53.25,52.4,52.83,52.83,5284558
2000-02-24,50.29,50.69,49.88,50.29,50.29,2263250
2000-02-25,52.14,52.56,51.72,52.14,52.14,4729199
2000-02-28,53.03,53.46,52.61,53.03,53.03,4137731
2000-02-29,53.55,53.98,53.12,53.55,53.55,5473295
2000-03-01,53.8,54.23,53.37,53.8,53.8,10301878
2000-03-02,53.8,54.23,53.37,53.8,53.8,10766978
2000-03-03,53.46,53.88,53.03,53.46,53.46,6152322
2000-03-06,54.6,55.03,54.16,54.6,54.6,3829609
2000-03-07,55.88,56.33,55.44,55.88,55.88,5415859
2000-03-08,56.31,56.76,55.86,56.31,56.31,10977998
2000-03-09,55.93,56.38,55.48,55.93,55.93,15444279
2000-03-10,58.03,58.49,57.56,58.03,58.03,6216785
2000-03-13,57.35,57.8,56.89,57.35,57.35,3168621
2000-03-14,54.84,55.27,54.4,54.84,54.84,5080969
2000-03-15,54.84,55.28,54.4,54.84,54.84,3325626
2000-03-16,54.48,54.92,54.05,54.48,54.48,4436568
2000-03-17,53.9,54.33,53.47,53.9,53.9,7422315
2000-03-20,54.32,54.75,53.88,54.32,54.32,4505814
2000-03-21,55.63,56.08,55.19,55.63,55.63,3209642
2000-03-22,55.62,56.07,55.18,55.62,55.62,3223411
2000-03-23,55.86,56.31,55.41,55.86,55.86,12522177
2000-03-24,54.75,55.19,54.32,54.75,54.75,4551396
2000-03-27,55.24,55.68,54.79,55.24,55.24,11278457
2000-03-28,56.17,56.62,55.72,56.17,56.17,5984627
2000-03-29,55.61,56.05,55.16,55.61,55.61,4219152
2000-03-30,54.9,55.34,54.46,54.9,54.9,4955347
2000-03-31,54.67,55.11,54.24,54.67,54.67,9744008
2000-04-03,55.56,56.01,55.12,55.56,55.56,3979081
2000-04-04,56.42,56.87,55.97,56.42,56.42,5261450
2000-04-05,56.94,57.4,56.49,56.94,56.94,6844318
2000-04-06,57.4,57.85,56.94,57.4,57.4,5945533
2000-04-07,56.27,56.72,55.82,56.27,56.27,7288180
2000-04-10,56.58,57.03,56.13,56.58,56.58,12304912
2000-04-11,55.77,56.21,55.32,55.77,55.77,8028235
2000-04-12,56.04,56.48,55.59,56.04,56.04,6148638
2000-04-13,55.28,55.72,54.84,55.28,55.28,5712851
2000-04-14,54.0,54.43,53.57,54.0,54.0,1985686
2000-04-17,53.13,53.56,52.71,53.13,53.13,4779380
2000-04-18,52.35,52.77,51.93,52.35,52.35,4474395
2000-04-19,51.23,51.64,50.82,51.23,51.23,6863707
2000-04-20,50.05,50.45,49.65,50.05,50.05,6487460
2000-04-21,50.69,51.09,50.28,50.69,50.69,3644733
2000-04-24,50.21,50.61,49.81,50.21,50.21,2375914
2000-04-25,49.04,49.43,48.65,49.04,49.04,3919492
2000-04-26,49.11,49.5,48.71,49.11,49.11,5815287
2000-04-27,48.8,49.19,48.41,48.8,48.8,4270336
2000-04-28,49.08,49.48,48.69,49.08,49.08,5219017
2000-05-01,50.08,50.48,49.68,50.08,50.08,6258707
2000-05-02,49.83,50.22,49.43,49.83,49.83,4540821
2000-05-03,49.96,50.36,49.56,49.96,49.96,4983130
2000-05-04,50.67,51.07,50.26,50.67,50.67,5159191
2000-05-05,49.2,49.6,48.81,49.2,49.2,6494954
2000-05-08,47.83,48.22,47.45,47.83,47.83,2811749
2000-05-09,47.25,47.63,46.88,47.25,47.25,4364654
2000-05-10,47.91,48.29,47.53,47.91,47.91,7424634
2000-05-11,47.66,48.04,47.28,47.66,47.66,5926254
2000-05-12,48.31,48.7,47.92,48.31,48.31,2401101
2000-05-15,48.9,49.29,48.51,48.9,48.9,4331503
2000-05-16,49.15,49.54,48.75,49.15,49.15,4832421
2000-05-17,50.02,50.42,49.62,50.02,50.02,5681237
2000-05-18,50.08,50.48,49.67,50.08,50.08,2518184
2000-05-19,51.11,51.52,50.7,51.11,51.11,6518408
2000-05-22,51.11,51.52,50.7,51.11,51.11,4168238
2000-05-23,50.49,50.89,50.09,50.49,50.49,6919021
2000-05-24,49.89,50.29,49.49,49.89,49.89,2920896
2000-05-25,50.41,50.81,50.01,50.41,50.41,8038347
2000-05-26,51.27,51.68,50.86,51.27,51.27,4764421
2000-05-29,51.77,52.18,51.36,51.77,51.77,6001929
2000-05-30,54.33,54.76,53.89,54.33,54.33,6017391
2000-05-31,54.24,54.68,53.81,54.24,54.24,4432397
2000-06-01,54.52,54.96,54.09,54.52,54.52,4344247
2000-06-02,54.7,55.14,54.26,54.7,54.7,4220779
2000-06-05,54.41,54.84,53.97,54.41,54.41,4120888
2000-06-06,53.62,54.05,53.19,53.62,53.62,2313256
2000-06-07,53.01,53.43,52.59,53.01,53.01,10749770
2000-06-08,53.36,53.79,52.93,53.36,53.36,2422716
2000-06-09,51.88,52.3,51.47,51.88,51.88,7326796
2000-06-12,53.3,53.72,52.87,53.3,53.3,3872182
2000-06-13,52.56,52.98,52.14,52.56,52.56,2955316
2000-06-14,53.99,54.42,53.56,53.99,53.99,2698397
2000-06-15,53.17,53.59,52.74,53.17,53.17,5790931
2000-06-16,52.99,53.41,52.56,52.99,52.99,3718205
2000-06-19,53.92,54.36,53.49,53.92,53.92,5394637
2000-06-20,53.16,53.59,52.74,53.16,53.16,3422732
2000-06-21,52.89,53.32,52.47,52.89,52.89,5810178
2000-06-22,53.84,54.27,53.41,53.84,53.84,3979033
2000-06-23,54.05,54.48,53.62,54.05,54.05,6443926
2000-06-26,54.81,55.25,54.37,54.81,54.81,6414566
2000-06-27,54.15,54.58,53.72,54.15,54.15,9223357
2000-06-28,53.76,54.19,53.33,53.76,53.76,5378506
2000-06-29,53.33,53.76,52.91,53.33,53.33,8410013
2000-06-30,54.49,54.92,54.05,54.49,54.49,2453066
2000-07-03,56.06,56.51,55.62,56.06,56.06,6413793
2000-07-04,55.01,55.45,54.57,55.01,55.01,9108804
2000-07-05,54.69,55.13,54.25,54.69,54.69,4499532
2000-07-06,54.89,55.33,54.45,54.89,54.89,6387542
2000-07-07,55.93,56.38,55.49,55.93,55.93,4863062
2000-07-10,55.29,55.73,54.85,55.29,55.29,5081968
2000-07-11,56.18,56.63,55.73,56.18,56.18,7168671
2000-07-12,56.06,56.51,55.61,56.06,56.06,4563622
2000-07-13,55.99,56.44,55.54,55.99,55.99,4990389
2000-07-14,56.07,56.51,55.62,56.07,56.07,6591369
