,Open,High,Low,Close,Adj Close,Volume
2000-01-03,48.47,48.86,48.08,48.47,48.47,5171256
2000-01-04,48.5,48.89,48.11,48.5,48.5,5301200
2000-01-05,48.39,48.78,48.01,48.39,48.39,4928613
2000-01-06,48.55,48.94,48.16,48.55,48.55,3424682
2000-01-07,47.91,48.29,47.53,47.91,47.91,7766589
2000-01-10,48.96,49.36,48.57,48.96,48.96,3408361
2000-01-11,49.01,49.41,48.62,49.01,49.01,4584599
2000-01-12,49.5,49.89,49.1,49.5,49.5,7050729
2000-01-13,49.7,50.09,49.3,49.7,49.7,7456737
2000-01-14,48.09,48.48,47.71,48.09,48.09,2532407
2000-01-17,47.77,48.15,47.39,47.77,47.77,5854587
2000-01-18,48.5,48.89,48.11,48.5,48.5,3992438
2000-01-19,47.88,48.27,47.5,47.88,47.88,20599650
2000-01-20,49.05,49.45,48.66,49.05,49.05,3591181
2000-01-21,47.61,47.99,47.23,47.61,47.61,6352876
2000-01-24,46.82,47.19,46.45,46.82,46.82,8949747
2000-01-25,47.8,48.18,47.41,47.8,47.8,5899246
2000-01-26,47.06,47.43,46.68,47.06,47.06,2184555
2000-01-27,47.98,48.37,47.6,47.98,47.98,3120342
2000-01-28,47.13,47.51,46.75,47.13,47.13,5747828
2000-01-31,46.66,47.03,46.28,46.66,46.66,6283946
2000-02-01,46.12,46.49,45.75,46.12,46.12,6089366
2000-02-02,46.19,46.56,45.82,46.19,46.19,10486319
2000-02-03,47.44,47.82,47.06,47.44,47.44,5045002
2000-02-04,47.93,48.31,47.54,47.93,47.93,6986503
2000-02-07,48.09,48.47,47.7,48.09,48.09,5688276
2000-02-08,48.1,48.48,47.71,48.1,48.1,4326833
2000-02-09,48.16,48.54,47.77,48.16,48.16,4198574
2000-02-10,49.47,49.86,49.07,49.47,49.47,4164174
2000-02-11,48.31,48.7,47.92,48.31,48.31,5119649
2000-02-14,48.1,48.49,47.72,48.1,48.1,9125826
2000-02-15,48.02,48.41,47.64,48.02,48.02,8475062
2000-02-16,47.93,48.31,47.54,47.93,47.93,6821070
2000-02-17,49.27,49.67,48.88,49.27,49.27,6985246
