,Open,High,Low,Close,Adj Close,Volume
2000-01-03,108.57,110.17,107.83,109.0,109.0,4092125
2000-01-04,109.16,110.21,108.69,109.45,109.45,6910214
2000-01-05,109.64,110.94,108.28,109.61,109.61,4740529
2000-01-06,111.34,112.06,110.07,111.06,111.06,3216174
2000-01-07,110.92,111.23,109.78,110.5,110.5,7481074
2000-01-10,110.28,110.97,109.99,110.48,110.48,3537563
2000-01-11,110.11,110.79,109.42,110.1,110.1,3930206
2000-01-12,111.87,112.58,110.03,111.31,111.31,8940385
2000-01-13,108.59,108.93,108.21,108.57,108.57,5860261
2000-01-14,107.77,108.97,106.6,107.79,107.79,4889934
2000-01-17,107.05,108.71,106.24,107.47,107.47,10752585
2000-01-18,107.53,108.45,105.64,107.04,107.04,5128242
2000-01-19,106.54,107.86,106.05,106.95,106.95,4239418
2000-01-20,105.59,106.48,104.8,105.64,105.64,7216881
2000-01-21,106.02,106.26,105.79,106.03,106.03,2565370
2000-01-24,107.23,107.62,105.87,106.75,106.75,7396990
2000-01-25,105.47,106.54,104.27,105.41,105.41,3426854
2000-01-26,104.59,105.66,104.08,104.87,104.87,4404537
2000-01-27,106.71,107.38,105.57,106.48,106.48,3203125
2000-01-28,109.41,109.8,108.32,109.06,109.06,6675372
2000-01-31,107.86,108.65,106.67,107.66,107.66,3229451
2000-02-01,107.65,109.18,107.23,108.2,108.2,7443137
2000-02-02,107.41,107.9,106.47,107.19,107.19,5458544
2000-02-03,107.36,108.04,106.57,107.31,107.31,5138328
2000-02-04,106.73,107.7,106.25,106.97,106.97,13393190
2000-02-07,105.71,106.77,104.91,105.84,105.84,5558522
2000-02-08,105.38,106.01,104.64,105.33,105.33,8938360
2000-02-09,109.49,110.21,108.67,109.44,109.44,8310050
2000-02-10,107.39,108.34,104.87,106.61,106.61,4455925
2000-02-11,109.01,110.32,107.31,108.81,108.81,4326260
2000-02-14,110.92,112.42,110.37,111.4,111.4,5518984
2000-02-15,110.29,110.81,108.92,109.86,109.86,12693199
2000-02-16,107.69,109.35,107.22,108.29,108.29,2921722
2000-02-17,106.3,107.1,104.86,105.98,105.98,6581866
2000-02-18,106.43,107.12,105.84,106.48,106.48,3800699
2000-02-21,106.91,107.25,106.35,106.8,106.8,2315943
2000-02-22,109.47,110.43,108.17,109.3,109.3,8742643
2000-02-23,111.72,112.32,110.74,111.53,111.53,6709788
2000-02-24,113.3,113.86,113.13,113.49,113.49,3813723
2000-02-25,113.85,114.59,113.15,113.87,113.87,4829893
2000-02-28,110.89,111.93,110.62,111.28,111.28,9434022
2000-02-29,114.77,115.78,113.51,114.65,114.65,5657192
2000-03-01,118.72,120.22,117.85,119.03,119.03,7818942
2000-03-02,118.97,120.71,118.24,119.47,119.47,5073506
2000-03-03,116.93,118.23,116.19,117.21,117.21,4849072
2000-03-06,116.95,117.73,115.88,116.81,116.81,8373958
