,Open,High,Low,Close,Adj Close,Volume
2018-01-01,59.65,60.13,59.17,59.65,59.65,6654266
2018-01-02,59.08,59.55,58.61,59.08,59.08,3866477
2018-01-03,59.26,59.74,58.79,59.26,59.26,6932686
2018-01-04,58.64,59.11,58.17,58.64,58.64,5442365
2018-01-05,60.38,60.87,59.9,60.38,60.38,2433388
2018-01-08,62.29,62.79,61.79,62.29,62.29,4978802
2018-01-09,60.43,60.91,59.94,60.43,60.43,5000442
2018-01-10,59.95,60.42,59.47,59.95,59.95,2994151
2018-01-11,59.27,59.75,58.8,59.27,59.27,6093153
2018-01-12,59.54,60.02,59.06,59.54,59.54,5513514
2018-01-15,59.61,60.08,59.13,59.61,59.61,7773075
2018-01-16,61.94,62.43,61.44,61.94,61.94,3452349
2018-01-17,64.09,64.6,63.57,64.09,64.09,3606063
2018-01-18,64.62,65.13,64.1,64.62,64.62,4553602
2018-01-19,64.23,64.74,63.72,64.23,64.23,2514440
2018-01-22,63.46,63.97,62.95,63.46,63.46,2997507
2018-01-23,62.9,63.41,62.4,62.9,62.9,4199781
2018-01-24,62.02,62.52,61.52,62.02,62.02,3641715
2018-01-25,61.33,61.83,60.84,61.33,61.33,3381815
2018-01-26,61.06,61.55,60.57,61.06,61.06,2182040
2018-01-29,60.61,61.09,60.12,60.61,60.61,6631826
2018-01-30,60.38,60.87,59.9,60.38,60.38,5828903
2018-01-31,60.57,61.06,60.09,60.57,60.57,4902564
2018-02-01,61.16,61.65,60.67,61.16,61.16,4587133
2018-02-02,60.95,61.44,60.46,60.95,60.95,3069329
2018-02-05,60.21,60.69,59.72,60.21,60.21,3209030
2018-02-06,58.46,58.93,58.0,58.46,58.46,3046998
2018-02-07,59.47,59.94,58.99,59.47,59.47,5705236
2018-02-08,60.54,61.02,60.05,60.54,60.54,7893260
2018-02-09,62.1,62.59,61.6,62.1,62.1,5213935
2018-02-12,60.11,60.59,59.63,60.11,60.11,3040648
2018-02-13,59.34,59.82,58.87,59.34,59.34,4796725
2018-02-14,60.71,61.19,60.22,60.71,60.71,11410975
2018-02-15,59.85,60.33,59.37,59.85,59.85,6553257
2018-02-16,59.5,59.98,59.03,59.5,59.5,14529126
2018-02-19,58.84,59.31,58.37,58.84,58.84,4495515
2018-02-20,58.38,58.84,57.91,58.38,58.38,7505115
2018-02-21,57.42,57.88,56.96,57.42,57.42,3573414
2018-02-22,58.12,58.59,57.66,58.12,58.12,5559049
2018-02-23,57.79,58.25,57.32,57.79,57.79,4126677
2018-02-26,59.41,59.89,58.94,59.41,59.41,3836477
2018-02-27,59.39,59.87,58.92,59.39,59.39,6181091
2018-02-28,59.52,60.0,59.05,59.52,59.52,7284141
2018-03-01,59.76,60.23,59.28,59.76,59.76,11008847
2018-03-02,60.26,60.75,59.78,60.26,60.26,7972494
2018-03-05,60.51,60.99,60.02,60.51,60.51,3979864
2018-03-06,61.59,62.08,61.09,61.59,61.59,5515357
2018-03-07,61.34,61.83,60.85,61.34,61.34,6024239
2018-03-08,61.66,62.16,61.17,61.66,61.66,5799161
2018-03-09,61.36,61.85,60.87,61.36,61.36,5648074
2018-03-12,63.19,63.7,62.69,63.19,63.19,4943168
2018-03-13,64.29,64.8,63.77,64.29,64.29,4347181
2018-03-14,63.71,64.22,63.2,63.71,63.71,3029427
2018-03-15,64.17,64.69,63.66,64.17,64.17,5705821
2018-03-16,63.54,64.05,63.03,63.54,63.54,4778549
2018-03-19,64.39,64.91,63.88,64.39,64.39,7385091
2018-03-20,64.2,64.72,63.69,64.2,64.2,7130279
2018-03-21,63.75,64.26,63.24,63.75,63.75,7221156
2018-03-22,65.91,66.44,65.38,65.91,65.91,3572054
