,Open,High,Low,Close,Adj Close,Volume
2000-01-03,14.21,14.33,14.1,14.21,14.21,10664715
2000-01-04,14.19,14.31,14.08,14.19,14.19,4990066
2000-01-05,13.68,13.79,13.57,13.68,13.68,5453285
2000-01-06,13.85,13.96,13.74,13.85,13.85,7780972
2000-01-07,13.95,14.06,13.84,13.95,13.95,5221604
2000-01-10,13.64,13.75,13.53,13.64,13.64,3643210
2000-01-11,13.4,13.51,13.29,13.4,13.4,9206405
2000-01-12,13.29,13.4,13.19,13.29,13.29,3209517
2000-01-13,13.26,13.36,13.15,13.26,13.26,3518794
2000-01-14,13.52,13.63,13.41,13.52,13.52,2430537
2000-01-17,13.27,13.37,13.16,13.27,13.27,3552370
2000-01-18,13.02,13.13,12.92,13.02,13.02,5155669
2000-01-19,13.07,13.17,12.96,13.07,13.07,7281197
2000-01-20,12.82,12.92,12.71,12.82,12.82,7434285
2000-01-21,12.84,12.95,12.74,12.84,12.84,3267194
2000-01-24,13.08,13.18,12.97,13.08,13.08,4328382
2000-01-25,13.21,13.32,13.11,13.21,13.21,6766286
2000-01-26,13.23,13.34,13.12,13.23,13.23,4907706
2000-01-27,13.24,13.34,13.13,13.24,13.24,2628511
2000-01-28,13.17,13.28,13.07,13.17,13.17,4000288
2000-01-31,13.17,13.27,13.06,13.17,13.17,2986648
2000-02-01,13.26,13.37,13.16,13.26,13.26,6280975
2000-02-02,13.62,13.73,13.51,13.62,13.62,5598441
2000-02-03,13.68,13.79,13.57,13.68,13.68,4153703
2000-02-04,13.49,13.6,13.38,13.49,13.49,6561313
2000-02-07,13.44,13.54,13.33,13.44,13.44,3461530
2000-02-08,13.33,13.44,13.22,13.33,13.33,6131118
2000-02-09,13.62,13.72,13.51,13.62,13.62,5416446
2000-02-10,13.45,13.55,13.34,13.45,13.45,6973016
2000-02-11,13.38,13.49,13.27,13.38,13.38,3817096
2000-02-14,12.91,13.01,12.81,12.91,12.91,3651128
2000-02-15,12.78,12.88,12.67,12.78,12.78,5835844
2000-02-16,12.71,12.81,12.61,12.71,12.71,3091653
2000-02-17,12.64,12.74,12.54,12.64,12.64,6063315
2000-02-18,12.67,12.78,12.57,12.67,12.67,10057697
2000-02-21,12.5,12.6,12.4,12.5,12.5,3249734
2000-02-22,12.68,12.78,12.58,12.68,12.68,3346058
2000-02-23,12.53,12.63,12.43,12.53,12.53,8904820
2000-02-24,12.71,12.81,12.61,12.71,12.71,6832235
2000-02-25,12.93,13.03,12.83,12.93,12.93,7801492
2000-02-28,13.19,13.3,13.09,13.19,13.19,2125784
2000-02-29,13.44,13.55,13.33,13.44,13.44,7328020
2000-03-01,13.31,13.41,13.2,13.31,13.31,4841998
2000-03-02,13.47,13.58,13.36,13.47,13.47,9731262
2000-03-03,13.76,13.87,13.65,13.76,13.76,4859032
2000-03-06,13.7,13.81,13.59,13.7,13.7,5225934
2000-03-07,13.92,14.03,13.81,13.92,13.92,6028984
