,Open,High,Low,Close,Adj Close,Volume
2000-01-03,219.58,220.16,217.84,219.0,219.0,6647615
2000-01-04,220.73,222.41,218.97,220.69,220.69,8790555
2000-01-05,221.1,224.28,220.3,222.29,222.29,4612832
2000-01-06,221.41,222.7,219.0,220.85,220.85,5303349
2000-01-07,223.87,226.4,222.93,224.67,224.67,5808153
2000-01-10,223.9,224.96,222.86,223.91,223.91,7483834
2000-01-11,222.03,222.54,220.11,221.32,221.32,7616050
2000-01-12,221.32,225.53,219.34,222.43,222.43,5482139
2000-01-13,223.56,224.33,221.41,222.87,222.87,3237300
2000-01-14,222.93,223.25,222.55,222.9,222.9,6016699
2000-01-17,219.01,221.56,218.0,219.78,219.78,3704842
2000-01-18,215.18,216.16,214.33,215.25,215.25,3383187
2000-01-19,215.97,216.88,214.19,215.54,215.54,2152262
2000-01-20,216.06,217.29,213.85,215.57,215.57,8347863
2000-01-21,217.14,219.95,216.19,218.07,218.07,3569162
2000-01-24,216.15,218.14,215.48,216.81,216.81,6417648
2000-01-25,215.96,217.55,214.63,216.09,216.09,14493355
2000-01-26,218.94,221.95,218.08,220.01,220.01,4261134
2000-01-27,217.74,220.39,216.64,218.51,218.51,2678389
2000-01-28,217.99,222.31,216.28,219.3,219.3,6012689
2000-01-31,213.06,214.03,211.06,212.55,212.55,4448835
2000-02-01,211.15,214.59,210.14,212.37,212.37,4826732
2000-02-02,210.66,212.22,209.49,210.86,210.86,4594474
2000-02-03,208.13,208.92,206.35,207.63,207.63,1645125
2000-02-04,208.4,211.02,206.78,208.9,208.9,4338462
2000-02-07,212.84,213.94,210.39,212.16,212.16,5000075
2000-02-08,213.24,214.12,211.77,212.95,212.95,13291173
2000-02-09,211.73,213.66,210.03,211.85,211.85,6411927
2000-02-10,211.99,213.36,210.94,212.15,212.15,4504545
2000-02-11,211.17,213.29,210.04,211.66,211.66,4505863
2000-02-14,214.3,216.31,211.95,214.13,214.13,4387166
2000-02-15,220.73,222.41,217.37,219.89,219.89,2087334
2000-02-16,223.32,224.58,222.1,223.34,223.34,7506591
2000-02-17,222.94,223.88,222.28,223.08,223.08,6295246
2000-02-18,225.14,230.0,222.63,226.31,226.31,2575461
2000-02-21,225.99,228.08,224.09,226.09,226.09,4977405
2000-02-22,227.53,228.1,226.32,227.21,227.21,7111917
2000-02-23,232.36,233.55,231.78,232.67,232.67,4258361
2000-02-24,234.77,237.78,231.97,234.87,234.87,7074134
2000-02-25,232.06,233.09,231.3,232.19,232.19,10453531
2000-02-28,232.46,233.07,231.79,232.43,232.43,5012954
2000-02-29,229.32,231.29,228.73,230.01,230.01,3916239
