,Open,High,Low,Close,Adj Close,Volume
2018-01-01,136.72,137.81,135.63,136.72,136.72,7881571
2018-01-02,139.25,140.37,138.14,139.25,139.25,3945725
2018-01-03,137.83,138.93,136.73,137.83,137.83,5147316
2018-01-04,135.61,136.69,134.52,135.61,135.61,5785656
2018-01-05,134.37,135.44,133.29,134.37,134.37,6534632
2018-01-08,133.02,134.09,131.96,133.02,133.02,3150849
2018-01-09,133.25,134.31,132.18,133.25,133.25,4388045
2018-01-10,133.62,134.68,132.55,133.62,133.62,3908240
2018-01-11,133.34,134.4,132.27,133.34,133.34,2312363
2018-01-12,132.61,133.67,131.55,132.61,132.61,7447642
2018-01-15,129.88,130.92,128.84,129.88,129.88,2317041
2018-01-16,127.94,128.96,126.91,127.94,127.94,4395669
2018-01-17,125.84,126.85,124.84,125.84,125.84,7487580
2018-01-18,128.03,129.05,127.01,128.03,128.03,3793883
2018-01-19,128.91,129.95,127.88,128.91,128.91,4345240
2018-01-22,128.98,130.01,127.95,128.98,128.98,6657479
2018-01-23,128.24,129.26,127.21,128.24,128.24,5828283
2018-01-24,129.98,131.02,128.94,129.98,129.98,6085024
2018-01-25,134.28,135.35,133.21,134.28,134.28,3479481
2018-01-26,134.29,135.36,133.21,134.29,134.29,1643974
2018-01-29,134.18,135.26,133.11,134.18,134.18,3751201
2018-01-30,136.62,137.71,135.53,136.62,136.62,3372752
2018-01-31,134.2,135.27,133.13,134.2,134.2,2589138
2018-02-01,133.1,134.17,132.04,133.1,133.1,7162681
2018-02-02,129.72,130.75,128.68,129.72,129.72,4242687
2018-02-05,132.4,133.46,131.34,132.4,132.4,5616509
2018-02-06,131.0,132.05,129.95,131.0,131.0,6514140
2018-02-07,132.1,133.16,131.04,132.1,132.1,6332856
2018-02-08,133.89,134.96,132.82,133.89,133.89,6282157
2018-02-09,134.45,135.52,133.37,134.45,134.45,5399042
2018-02-12,135.5,136.58,134.42,135.5,135.5,4062605
2018-02-13,136.45,137.54,135.36,136.45,136.45,6189298
2018-02-14,137.36,138.46,136.26,137.36,137.36,4212617
2018-02-15,133.54,134.6,132.47,133.54,133.54,3827085
2018-02-16,135.13,136.21,134.05,135.13,135.13,4200754
2018-02-19,133.4,134.46,132.33,133.4,133.4,1865180
2018-02-20,137.54,138.64,136.44,137.54,137.54,3384301
2018-02-21,135.54,136.62,134.45,135.54,135.54,4867486
2018-02-22,133.83,134.9,132.76,133.83,133.83,3651174
2018-02-23,134.58,135.66,133.51,134.58,134.58,3594664
2018-02-26,131.34,132.39,130.29,131.34,131.34,3486339
2018-02-27,130.8,131.85,129.75,130.8,130.8,4962956
2018-02-28,131.13,132.18,130.08,131.13,131.13,6468704
2018-03-01,132.15,133.21,131.09,132.15,132.15,6676422
2018-03-02,134.3,135.37,133.22,134.3,134.3,5314567
2018-03-05,137.83,138.93,136.72,137.83,137.83,6608542
2018-03-06,137.34,138.43,136.24,137.34,137.34,2999543
2018-03-07,138.82,139.93,137.71,138.82,138.82,5095581
2018-03-08,138.88,139.99,137.77,138.88,138.88,7042401
2018-03-09,134.78,135.85,133.7,134.78,134.78,7565087
2018-03-12,136.05,137.14,134.96,136.05,136.05,9146975
2018-03-13,136.26,137.35,135.17,136.26,136.26,4257426
2018-03-14,132.35,133.41,131.29,132.35,132.35,3693773
2018-03-15,134.08,135.16,133.01,134.08,134.08,6312504
2018-03-16,132.73,133.79,131.67,132.73,132.73,7993892
2018-03-19,132.01,133.07,130.96,132.01,132.01,3360544
2018-03-20,130.43,131.47,129.39,130.43,130.43,8295506
2018-03-21,130.43,131.47,129.38,130.43,130.43,5230024
2018-03-22,129.48,130.52,128.45,129.48,129.48,2862463
2018-03-23,130.73,131.77,129.68,130.73,130.73,2625069
2018-03-26,131.89,132.95,130.84,131.89,131.89,6033705
2018-03-27,133.39,134.45,132.32,133.39,133.39,4444095
2018-03-28,133.28,134.35,132.22,133.28,133.28,4696647
2018-03-29,131.67,132.72,130.61,131.67,131.67,2169875
2018-03-30,128.7,129.73,127.67,128.7,128.7,5794768
2018-04-02,127.61,128.63,126.59,127.61,127.61,4307206
2018-04-03,124.77,125.77,123.77,124.77,124.77,5376199
2018-04-04,124.51,125.51,123.52,124.51,124.51,4240993
2018-04-05,125.51,126.52,124.51,125.51,125.51,16581439
2018-04-06,125.04,126.04,124.04,125.04,125.04,4349136
2018-04-09,121.97,122.94,120.99,121.97,121.97,6622202
2018-04-10,123.56,124.55,122.57,123.56,123.56,6958471
2018-04-11,122.72,123.7,121.73,122.72,122.72,6351333
2018-04-12,122.63,123.61,121.65,122.63,122.63,3675431
2018-04-13,123.49,124.48,122.51,123.49,123.49,5755702
2018-04-16,125.74,126.75,124.74,125.74,125.74,5220738
2018-04-17,126.13,127.14,125.12,126.13,126.13,3737095
2018-04-18,124.63,125.63,123.63,124.63,124.63,9537796
2018-04-19,124.08,125.08,123.09,124.08,124.08,3912034
2018-04-20,127.93,128.95,126.91,127.93,127.93,2297056
2018-04-23,130.63,131.67,129.58,130.63,130.63,6162398
2018-04-24,134.68,135.76,133.6,134.68,134.68,9597775
2018-04-25,136.03,137.11,134.94,136.03,136.03,6138738
2018-04-26,136.84,137.94,135.75,136.84,136.84,8485386
2018-04-27,136.05,137.14,134.97,136.05,136.05,6950069
2018-04-30,135.44,136.52,134.35,135.44,135.44,7618056
2018-05-01,136.34,137.43,135.25,136.34,136.34,8521209
2018-05-02,134.45,135.53,133.37,134.45,134.45,7281308
2018-05-03,133.16,134.22,132.09,133.16,133.16,8457690
2018-05-04,131.57,132.62,130.51,131.57,131.57,7990134
2018-05-07,135.47,136.56,134.39,135.47,135.47,6042578
2018-05-08,135.04,136.12,133.96,135.04,135.04,6561019
2018-05-09,130.54,131.58,129.49,130.54,130.54,6814672
2018-05-10,134.1,135.17,133.03,134.1,134.1,4452396
2018-05-11,132.66,133.72,131.6,132.66,132.66,6170219
2018-05-14,132.38,133.44,131.32,132.38,132.38,2442632
2018-05-15,131.02,132.07,129.98,131.02,131.02,4678349
2018-05-16,128.08,129.1,127.05,128.08,128.08,4610078
2018-05-17,129.48,130.52,128.44,129.48,129.48,6237512
2018-05-18,131.64,132.69,130.59,131.64,131.64,9954143
2018-05-21,131.1,132.15,130.06,131.1,131.1,8959840
2018-05-22,131.26,132.31,130.21,131.26,131.26,6122677
2018-05-23,130.14,131.18,129.1,130.14,130.14,4236720
2018-05-24,132.16,133.21,131.1,132.16,132.16,2521250
2018-05-25,131.22,132.27,130.17,131.22,131.22,5485616
2018-05-28,132.52,133.58,131.46,132.52,132.52,3153847
2018-05-29,131.79,132.85,130.74,131.79,131.79,11082744
2018-05-30,131.27,132.32,130.22,131.27,131.27,6564438
2018-05-31,130.79,131.83,129.74,130.79,130.79,3715931
2018-06-01,130.41,131.46,129.37,130.41,130.41,2647226
2018-06-04,127.74,128.76,126.72,127.74,127.74,10706808
2018-06-05,125.65,126.66,124.65,125.65,125.65,10834710
2018-06-06,124.62,125.61,123.62,124.62,124.62,8385771
2018-06-07,125.62,126.63,124.62,125.62,125.62,3889601
2018-06-08,126.62,127.63,125.61,126.62,126.62,3421873
2018-06-11,127.56,128.58,126.54,127.56,127.56,3577234
2018-06-12,125.72,126.72,124.71,125.72,125.72,6655221
2018-06-13,126.4,127.41,125.39,126.4,126.4,3744237
2018-06-14,127.81,128.83,126.79,127.81,127.81,4444493
2018-06-15,127.77,128.79,126.75,127.77,127.77,5099691
2018-06-18,129.46,130.5,128.43,129.46,129.46,2668623
2018-06-19,128.68,129.71,127.65,128.68,128.68,3051115
2018-06-20,128.79,129.82,127.76,128.79,128.79,3967682
2018-06-21,131.58,132.63,130.53,131.58,131.58,13351487
2018-06-22,133.41,134.48,132.35,133.41,133.41,6877957
2018-06-25,135.41,136.5,134.33,135.41,135.41,2365141
2018-06-26,136.98,138.08,135.89,136.98,136.98,8209431
2018-06-27,136.84,137.94,135.75,136.84,136.84,8054265
2018-06-28,142.44,143.58,141.3,142.44,142.44,3515529
2018-06-29,143.49,144.64,142.34,143.49,143.49,4518690
2018-07-02,146.21,147.38,145.04,146.21,146.21,5129510
2018-07-03,147.58,148.76,146.4,147.58,147.58,12950478
2018-07-04,146.18,147.35,145.01,146.18,146.18,3199862
